# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.191
metadata : {}


# id : NWRW1800000037.191.1.1
해외서 3만5402원 콘택트렌즈, 국내선 5만8214원

해외서	해외/NNG+서/JKB
가격(3만8282원)이	가격/NNG+(/SS+3/SN+만/NR+8282/SN+원/NNB+)/SS+이/JKS
외국(4만3150원)보다	외국/NNG+(/SS+4/SN+만/NR+3150/SN+원/NNB+)/SS+보다/JKB
저렴했다.	저렴하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.191.6.1
미국, EU와의 FTA 발효로 관세가 인하됐는데도 일부 제품의 가격은 더 올랐다.

미국,	미국/NNP+,/SP
EU와의	EU/SL+와/JKB+의/JKG
FTA	FTA/SL
발효로	발효/NNG+로/JKB
관세가	관세/NNG+가/JKS
인하됐는데도	인하/NNG+되/XSV+었/EP+는데/EC+도/JX
일부	일부/NNG
제품의	제품/NNG+의/JKG
가격은	가격/NNG+은/JX
더	더/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.191.6.2
‘소프렌즈 데일리’(바슈롬)의 개당 가격은 2011년 996원에서 작년에는 1192원으로 올랐다.

‘소프렌즈	‘/SS+소프렌즈/NNP
데일리’(바슈롬)의	데일리/NNP+’/SS+(/SS+바슈롬/NNP+)/SS+의/JKG
개당	개/NNB+당/XSN
가격은	가격/NNG+은/JX
2011년	2011/SN+년/NNB
996원에서	996/SN+원/NNB+에서/JKB
작년에는	작년/NNG+에/JKB+는/JX
1192원으로	1192/SN+원/NNB+으로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.191.6.3
‘아큐브 트루아이’(존슨앤드존슨) 제품의 개당 가격도 2011년 1490원에서 지난해에는 1496원으로 오히려 인상됐다.

‘아큐브	‘/SS+아큐브/NNP
트루아이’(존슨앤드존슨)	트루아이/NNP+’/SS+(/SS+존슨앤드존슨/NNP+)/SS
제품의	제품/NNG+의/JKG
개당	개/NNB+당/XSN
가격도	가격/NNG+도/JX
2011년	2011/SN+년/NNB
1490원에서	1490/SN+원/NNB+에서/JKB
지난해에는	지난해/NNG+에/JKB+는/JX
1496원으로	1496/SN+원/NNB+으로/JKB
오히려	오히려/MAG
인상됐다.	인상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.191.7.1
일부 제품은 거의 모든 안경점에서 같은 가격에 팔리고 있었다.

일부	일부/NNG
제품은	제품/NNG+은/JX
거의	거의/MAG
모든	모든/MMN
안경점에서	안경점/NNG+에서/JKB
같은	같/VA+은/ETM
가격에	가격/NNG+에/JKB
팔리고	팔리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.191.7.2
‘아큐브 트루아이’를 판매 중인 132곳의 안경점 중 129곳의 판매가격은 4만5000원으로 같았다.

‘아큐브	‘/SS+아큐브/NNP
트루아이’를	트루아이/NNP+’/SS+를/JKO
판매	판매/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
132곳의	132/SN+곳/NNG+의/JKG
안경점	안경점/NNG
중	중/NNB
129곳의	129/SN+곳/NNG+의/JKG
판매가격은	판매/NNG+가격/NNG+은/JX
4만5000원으로	4/SN+만/NR+5000/SN+원/NNB+으로/JKB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.191.7.3
기타 제품도 90% 이상 안경점에서 동일한 가격에 판매하고 있었다.

기타	기타/NNG
제품도	제품/NNG+도/JX
90%	90/SN+%/SW
이상	이상/NNG
안경점에서	안경점/NNG+에서/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
가격에	가격/NNG+에/JKB
판매하고	판매/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.191.8.1
강정화 소비자연맹 회장은 “소수의 외국 업체가 국내 시장에서 독과점적 유통구조를 구축해 소매가격을 높게 정해 팔게 하고 있다”며 “최근 원-달러 환율이 많이 떨어진 데다 FTA로 관세까지 인하됐기 때문에 가격을 내릴 여력이 충분하다”고 말했다.

강정화	강정화/NNP
소비자연맹	소비자/NNG+연맹/NNG
회장은	회장/NNG+은/JX
“소수의	“/SS+소수/NNG+의/JKG
외국	외국/NNG
업체가	업체/NNG+가/JKS
국내	국내/NNG
시장에서	시장/NNG+에서/JKB
독과점적	독과점/NNG+적/XSN
유통구조를	유통/NNG+구조/NNG+를/JKO
구축해	구축/NNG+하/XSV+아/EC
소매가격을	소매가격/NNG+을/JKO
높게	높/VA+게/EC
정해	정하/VV+아/EC
팔게	팔/VV+게/EC
하고	하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“최근	“/SS+최근/NNG
원-달러	원/NNG+-/SO+달러/NNG
환율이	환율/NNG+이/JKS
많이	많이/MAG
떨어진	떨어지/VV+ㄴ/ETM
데다	데/NNB+다/JX
FTA로	FTA/SL+로/JKB
관세까지	관세/NNG+까지/JX
인하됐기	인하/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
가격을	가격/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
여력이	여력/NNG+이/JKS
충분하다”고	충분하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


