# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.35
metadata : {}


# id : NWRW1800000032.35.1.1
중화학기업 ‘평생 직장’ /유통업체는 ‘잠깐 직장’

중화학기업	중화학/NNG+기업/NNG
최하위권에	최/XPN+하위/NNG+권/XSN+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.35.6.3
신세계는 5.8년, 롯데쇼핑은 4.7년, 홈플러스는 3.4년에 그쳤다.

신세계는	신세계/NNP+는/JX
5.8년,	5/SN+./SP+8/SN+년/NNB+,/SP
롯데쇼핑은	롯데쇼핑/NNP+은/JX
4.7년,	4/SN+./SP+7/SN+년/NNB+,/SP
홈플러스는	홈플러스/NNP+는/JX
3.4년에	3/SN+./SP+4/SN+년/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.35.6.4
롯데쇼핑 관계자는 “백화점 직원의 평균 근속연수는 9~8년 정도로 그리 짧은 편은 아니라고 생각한다”며 “하지만 롯데슈퍼 등에서 일하는 계산원은 대부분 계약직인데 이들의 이직률이 높다”고 말했다.

롯데쇼핑	롯데쇼핑/NNP
관계자는	관계자/NNG+는/JX
“백화점	“/SS+백화점/NNG
직원의	직원/NNG+의/JKG
평균	평균/NNG
근속연수는	근속/NNG+연수/NNG+는/JX
9~8년	9/SN+~/SO+8/SN+년/NNB
정도로	정도/NNG+로/JKB
그리	그리/MAG
짧은	짧/VA+은/ETM
편은	편/NNB+은/JX
아니라고	아니/VCN+라고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
롯데슈퍼	롯데슈퍼/NNP
등에서	등/NNB+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
계산원은	계산원/NNG+은/JX
대부분	대/XPN+부분/NNG
계약직인데	계약직/NNG+이/VCP+ㄴ데/EC
이들의	이/NP+들/XSN+의/JKG
이직률이	이직/NNG+률/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.35.6.5
홈플러스 관계자도 “계약직으로 일하는 계산원들의 근무기간이 짧기 때문”이라고 말했다.

홈플러스	홈플러스/NNP
관계자도	관계자/NNG+도/JX
“계약직으로	“/SS+계약직/NNG+으로/JKB
일하는	일/NNG+하/XSV+는/ETM
계산원들의	계산원/NNG+들/XSN+의/JKG
근무기간이	근무/NNG+기간/NNG+이/JKS
짧기	짧/VA+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.35.7.1
이에 반해 대표적인 장치산업인 중화학 공업의 직원 근속연수가 가장 길었다.

이에	이/NP+에/JKB
반해	반하/VV+아/EC
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
장치산업인	장치/NNG+산업/NNG+이/VCP+ㄴ/ETM
중화학	중화학/NNG
공업의	공업/NNG+의/JKG
직원	직원/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
가장	가장/MAG
길었다.	길/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.35.7.2
현장의 전문 기술인력이 차지하는 비중이 상대적으로 높기 때문이다.

현장의	현장/NNG+의/JKG
전문	전문/NNG
기술인력이	기술/NNG+인력/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중이	비중/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
높기	높/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.35.7.3
직원 평균 근속연수가 19.5년으로 전체 조사대상 기업 가운데 1위에 오른 여천NCC(엔시시)의 경우가 대표적이다.

직원	직원/NNG
평균	평균/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
19.5년으로	19/SN+./SP+5/SN+년/NNB+으로/JKB
전체	전체/NNG
조사대상	조사/NNG+대상/NNG
기업	기업/NNG
가운데	가운데/NNG
1위에	1/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
여천NCC(엔시시)의	여천NCC/NNP+(/SS+엔시시/NNP+)/SS+의/JKG
경우가	경우/NNG+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.35.7.4
이밖에 현대중공업(19.1년), 포스코(18.9년), 한국전력공사(17.8년) 등도 직원 근속연수가 긴 업체로 꼽혔다.

이밖에	이/NP+밖/NNG+에/JKB
현대중공업(19.1년),	현대중공업/NNP+(/SS+19/SN+./SP+1/SN+년/NNB+)/SS+,/SP
포스코(18.9년),	포스코/NNP+(/SS+18/SN+./SP+9/SN+년/NNB+)/SS+,/SP
한국전력공사(17.8년)	한국전력공사/NNP+(/SS+17/SN+./SP+8/SN+년/NNB+)/SS
등도	등/NNB+도/JX
직원	직원/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
긴	길/VA+ㄴ/ETM
업체로	업체/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.35.7.5
나프타를 가공하는 석유화학업체인 여천엔시시 관계자는 “인력의 80% 이상이 현장 공장에서 일하는 전문 기술인력 이므로 이직률이 높으면 공장을 가동하기 어려운 특성이 있다”고 말했다.

나프타를	나프타/NNG+를/JKO
가공하는	가공/NNG+하/XSV+는/ETM
석유화학업체인	석유/NNG+화학/NNG+업체/NNG+이/VCP+ㄴ/ETM
여천엔시시	여천엔시시/NNP
관계자는	관계자/NNG+는/JX
“인력의	“/SS+인력/NNG+의/JKG
80%	80/SN+%/SW
이상이	이상/NNG+이/JKS
현장	현장/NNG
공장에서	공장/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
전문	전문/NNG
기술인력	기술/NNG+인력/NNG
이므로	이/VCP+므로/EC
이직률이	이직/NNG+률/XSN+이/JKS
높으면	높/VA+으면/EC
공장을	공장/NNG+을/JKO
가동하기	가동/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
특성이	특성/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.35.7.6
이번 조사에서 직원 근속연수가 가장 짧은 것으로 나타난 엘지이노텍 관계자는 “파주에 엘이디(LED) 공장을 만들면서 2009년과 지난해 3200명을 새로 채용한 특수한 사정이 있었다”고 밝혔다.

이번	이번/NNG
조사에서	조사/NNG+에서/JKB
직원	직원/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
가장	가장/MAG
짧은	짧/VA+은/ETM
것으로	것/NNB+으로/JKB
나타난	나타나/VV+ㄴ/ETM
엘지이노텍	엘지이노텍/NNP
관계자는	관계자/NNG+는/JX
“파주에	“/SS+파주/NNP+에/JKB
엘이디(LED)	엘이디/NNG+(/SS+LED/SL+)/SS
공장을	공장/NNG+을/JKO
만들면서	만들/VV+면서/EC
2009년과	2009/SN+년/NNB+과/JC
지난해	지난해/NNG
3200명을	3200/SN+명/NNB+을/JKO
새로	새로/MAG
채용한	채용/NNG+하/XSV+ㄴ/ETM
특수한	특수/NNG+하/XSA+ㄴ/ETM
사정이	사정/NNG+이/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


