# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.258
metadata : {}


# id : NWRW1800000038.258.1.1
똘똘 뭉친 LG, 하루만에 1위 탈환

똘똘	똘똘/MAG
홈런 세 방을 앞세워 두산에 6대5로 역전승해 4연승으로 포스트 시즌 가능성을 더욱 높였다.

홈런	홈런/NNG
세	세/MMN
방을	방/NNB+을/JKO
앞세워	앞세우/VV+어/EC
두산에	두산/NNP+에/JKB
6대5로	6/SN+대/NNB+5/SN+로/JKB
역전승해	역전승/NNG+하/XSV+아/EC
4연승으로	4/SN+연승/NNG+으로/JKB
포스트	포스트/NNG
시즌	시즌/NNG
가능성을	가능/NNG+성/XSN+을/JKO
더욱	더욱/MAG
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.10.3
4회 강정호가 2점포, 7회 이성열이 1점 홈런을 날린 데 이어 4―5로 뒤진 8회말 1사 2루에서 박병호가 역전 홈런을 때렸다.

4회	4/SN+회/NNB
강정호가	강정호/NNP+가/JKS
2점포,	2/SN+점/NNB+포/NNG+,/SP
7회	7/SN+회/NNB
이성열이	이성열/NNP+이/JKS
1점	1/SN+점/NNB
홈런을	홈런/NNG+을/JKO
날린	날리/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
4―5로	4/SN+―/SS+5/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
8회말	8/SN+회/NNB+말/NNB
1사	1/SN+사/NNG
2루에서	2루/NNG+에서/JKB
박병호가	박병호/NNP+가/JKS
역전	역전/NNG
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.10.4
박병호는 시즌 27호 홈런으로 이 부문 1위 자리를 지켰다.

박병호는	박병호/NNP+는/JX
시즌	시즌/NNG
27호	27/SN+호/NNB
홈런으로	홈런/NNG+으로/JKB
이	이/MMD
부문	부문/NNG
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.11.1
SK는 문학 홈경기에서 NC를 10대6으로 제압했다.

SK는	SK/SL+는/JX
문학	문학/NNP
홈경기에서	홈경기/NNG+에서/JKB
NC를	NC/SL+를/JKO
10대6으로	10/SN+대/NNB+6/SN+으로/JKB
제압했다.	제압/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.11.2
투타의 중심인 크리스 세든과 최정이 제 몫을 했다.

투타의	투타/NNG+의/JKG
중심인	중심/NNG+이/VCP+ㄴ/ETM
크리스	크리스/NNP
세든과	세든/NNP+과/JC
최정이	최정/NNP+이/JKS
제	저/NP+의/JKG
몫을	몫/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.11.3
세든은 6과 3분의 1이닝 동안 상대 타선을 1점으로 막고 시즌 12승(5패)째를 거뒀다.

세든은	세든/NNP+은/JX
6과	6/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
1이닝	1/SN+이닝/NNG
동안	동안/NNG
상대	상대/NNG
타선을	타선/NNG+을/JKO
1점으로	1/SN+점/NNB+으로/JKB
막고	막/VV+고/EC
시즌	시즌/NNG
12승(5패)째를	12/SN+승/NNB+(/SS+5/SN+패/NNB+)/SS+째/XSN+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.11.4
최정은 시즌 26호 홈런을 포함해 3타수 3안타(3타점)를 쳤다.

최정은	최정/NNP+은/JX
시즌	시즌/NNG
26호	26/SN+호/NNB
홈런을	홈런/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
3타수	3/SN+타수/NNG
3안타(3타점)를	3/SN+안타/NNG+(/SS+3/SN+타점/NNG+)/SS+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.11.5
광주에선 한화가 KIA를 8대7로 따돌렸다.

광주에선	광주/NNP+에서/JKB+ㄴ/JX
한화가	한화/NNP+가/JKS
KIA를	KIA/SL+를/JKO
8대7로	8/SN+대/NNB+7/SN+로/JKB
따돌렸다.	따돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.11.6
KIA는 4연패에 빠졌다.

KIA는	KIA/SL+는/JX
4연패에	4/SN+연패/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


