# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.133
metadata : {}


# id : NWRW1800000032.133.1.1
푸틴-후진타오 ‘천연가스 협상’ 타결 못해

푸틴-후진타오	푸틴/NNP+-/SO+후진타오/NNP
200달러	200/SN+달러/NNB
정도를	정도/NNG+를/JKO
제시하고	제시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.133.5.3
지난 6월 후진타오 주석의 러시아 방문 직전 중국은 협상 타결을 위해 250달러까지 제시했으나, 러시아는 거부했다고 <명보>는 전했다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
후진타오	후진타오/NNP
주석의	주석/NNG+의/JKG
러시아	러시아/NNP
방문	방문/NNG
직전	직전/NNG
중국은	중국/NNP+은/JX
협상	협상/NNG
타결을	타결/NNG+을/JKO
위해	위하/VV+아/EC
250달러까지	250/SN+달러/NNB+까지/JX
제시했으나,	제시/NNG+하/XSV+았/EP+으나/EC+,/SP
러시아는	러시아/NNP+는/JX
거부했다고	거부/NNG+하/XSV+았/EP+다고/EC
<명보>는	</SS+명보/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.5.4
러시아는 중국이 판매대금 중 400억달러를 선불금으로 줄 것도 요구하고 있다.

러시아는	러시아/NNP+는/JX
중국이	중국/NNP+이/JKS
판매대금	판매/NNG+대금/NNG
중	중/NNB
400억달러를	400/SN+억/NR+달러/NNB+를/JKO
선불금으로	선불금/NNG+으로/JKB
줄	주/VV+ㄹ/ETM
것도	것/NNB+도/JX
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.133.6.1
천연가스 합의는 불발됐지만, 이번 방문 동안 중-러 양국은 에너지·금융·농업 등 분야에서 70억달러 규모의 대규모 경제·무역 협력 협정과 계약을 체결했다.

천연가스	천연가스/NNG
합의는	합의/NNG+는/JX
불발됐지만,	불발/NNG+되/XSV+었/EP+지만/EC+,/SP
이번	이번/NNG
방문	방문/NNG
동안	동안/NNG
중-러	중/NNP+-/SO+러/NNP
양국은	양국/NNG+은/JX
에너지·금융·농업	에너지/NNG+·/SP+금융/NNG+·/SP+농업/NNG
등	등/NNB
분야에서	분야/NNG+에서/JKB
70억달러	70/SN+억/NR+달러/NNB
규모의	규모/NNG+의/JKG
대규모	대/XPN+규모/NNG
경제·무역	경제/NNG+·/SP+무역/NNG
협력	협력/NNG
협정과	협정/NNG+과/JKB
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.6.2
중국 국부펀드인 중국투자공사(CIC)는 러시아 정부와 관련된 직접투자기금에 10억달러를 투자하기로 했다.

중국	중국/NNP
국부펀드인	국부/NNG+펀드/NNG+이/VCP+ㄴ/ETM
중국투자공사(CIC)는	중국투자공사/NNP+(/SS+CIC/SL+)/SS+는/JX
러시아	러시아/NNP
정부와	정부/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
직접투자기금에	직접/NNG+투자/NNG+기금/NNG+에/JKB
10억달러를	10/SN+억/NR+달러/NNB+를/JKO
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.6.3
양국은 지난해 약 700억달러였던 양국간 무역액을 2020년까지 2000억달러로 늘리기로 합의했다.

양국은	양국/NNG+은/JX
지난해	지난해/NNG
약	약/MMA
700억달러였던	700/SN+억/NR+달러/NNB+이/VCP+었/EP+던/ETM
양국간	양국/NNG+간/NNB
무역액을	무역액/NNG+을/JKO
2020년까지	2020/SN+년/NNB+까지/JX
2000억달러로	2000/SN+억/NR+달러/NNB+로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.7.1
미국 등 서방에 대항하는 중-러의 전략적 협력을 강조하고 있는 푸틴 총리는 <신화통신> 인터뷰에서 “미국의 달러 독점은 기생충”이라며 미국의 달러 패권을 비난하기도 했다.

미국	미국/NNP
등	등/NNB
서방에	서방/NNG+에/JKB
대항하는	대항/NNG+하/XSV+는/ETM
중-러의	중/NNP+-/SO+러/NNP+의/JKG
전략적	전략/NNG+적/XSN
협력을	협력/NNG+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
푸틴	푸틴/NNP
총리는	총리/NNG+는/JX
<신화통신>	</SS+신화통신/NNP+>/SS
인터뷰에서	인터뷰/NNG+에서/JKB
“미국의	“/SS+미국/NNP+의/JKG
달러	달러/NNG
독점은	독점/NNG+은/JX
기생충”이라며	기생충/NNG+”/SS+이/VCP+라며/EC
미국의	미국/NNP+의/JKG
패권을	패권/NNG+을/JKO
비난하기도	비난/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.133.7.2
<환구시보>는 “푸틴이 대통령의 기세로 중국을 방문했다”고 묘사했다.

<환구시보>는	</SS+환구시보/NNP+>/SS+는/JX
“푸틴이	“/SS+푸틴/NNP+이/JKS
대통령의	대통령/NNG+의/JKG
기세로	기세/NNG+로/JKB
중국을	중국/NNP+을/JKO
방문했다”고	방문/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
묘사했다.	묘사/NNG+하/XSV+았/EP+다/EF+./SF


