# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.11
metadata : {}


# id : NWRW1800000038.11.1.1
도쿄都서 만드는 日 역사 교과서… 독도·센카쿠 내용 대폭 늘리기로

도쿄都서	도쿄/NNP+都/SH+서/JKS
독도와	독도/NNP+와/JKB
센카쿠에	센카쿠/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
기술을	기술/NNG+을/JKO
현재	현재/MAG
2줄에서	2/SN+줄/NNG+에서/JKB
22줄로	22/SN+줄/NNG+로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.11.4.2
그동안 이 교과서는 독도를 '다케시마'로 표기한 지도와 "한국이 다케시마를 불법 점거하고 있다"는 내용만 있었다.

그동안	그동안/NNG
이	이/MMD
교과서는	교과서/NNG+는/JX
독도를	독도/NNP+를/JKO
'다케시마'로	'/SS+다케시마/NNP+'/SS+로/JKB
표기한	표기/NNG+하/XSV+ㄴ/ETM
지도와	지도/NNG+와/JC
"한국이	"/SS+한국/NNP+이/JKS
다케시마를	다케시마/NNP+를/JKO
불법	불법/NNG
점거하고	점거/NNG+하/XSV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
내용만	내용/NNG+만/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.11.4.3
새 교과서에는 일본이 독도에 대한 영유권을 17세기부터 확립했으며 1905년에 각의 결정으로 영유권 의사를 재확인했다는 내용이 추가된다.

새	새/MMA
교과서에는	교과서/NNG+에/JKB+는/JX
일본이	일본/NNP+이/JKS
독도에	독도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
영유권을	영유/NNG+권/XSN+을/JKO
17세기부터	17/SN+세기/NNG+부터/JX
확립했으며	확립/NNG+하/XSV+았/EP+으며/EC
1905년에	1905/SN+년/NNB+에/JKB
각의	각의/NNG
결정으로	결정/NNG+으로/JKB
영유권	영유/NNG+권/XSN
의사를	의사/NNG+를/JKO
재확인했다는	재/XPN+확인/NNG+하/XSV+았/EP+다는/ETM
내용이	내용/NNG+이/JKS
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.11.5.1
일본사 교과서 수정판은 오는 4월 입학하는 도립고교 1학년 학생들이 교과서로 사용한다.

일본사	일본사/NNG
교과서	교과서/NNG
수정판은	수정판/NNG+은/JX
오는	오/VV+는/ETM
4월	4/SN+월/NNB
입학하는	입학/NNG+하/XSV+는/ETM
도립고교	도립/NNG+고교/NNG
1학년	1/SN+학년/NNG
학생들이	학생/NNG+들/XSN+이/JKS
교과서로	교과서/NNG+로/JKB
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.11.5.2
중국과 영토 분쟁을 겪고 있는 센카쿠(尖閣·중국명 댜오위다오)와 관련해서는 지난해 9월 일본 정부의 국유화 조치에 대한 설명도 추가된다.

중국과	중국/NNP+과/JKB
영토	영토/NNG
분쟁을	분쟁/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
센카쿠(尖閣·중국명	센카쿠/NNP+(/SS+尖閣/SH+·/SP+중국/NNP+명/NNG
댜오위다오)와	댜오위다오/NNP+)/SS+와/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
일본	일본/NNP
정부의	정부/NNG+의/JKG
국유화	국유/NNG+화/XSN
조치에	조치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명도	설명/NNG+도/JX
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.11.5.3
지방자치 단체가 독자적으로 제작하는 교과서는 일본 정부의 검정을 받지 않아 검정교과서보다 역사적 사실을 훨씬 더 많이 왜곡한 내용이 상당수 포함돼 있다.

지방자치	지방/NNG+자치/NNG
단체가	단체/NNG+가/JKS
독자적으로	독자/NNG+적/XSN+으로/JKB
제작하는	제작/NNG+하/XSV+는/ETM
교과서는	교과서/NNG+는/JX
일본	일본/NNP
정부의	정부/NNG+의/JKG
검정을	검정/NNG+을/JKO
받지	받/VV+지/EC
않아	않/VX+아/EC
검정교과서보다	검정/NNG+교과서/NNG+보다/JKB
역사적	역사/NNG+적/XSN
사실을	사실/NNG+을/JKO
훨씬	훨씬/MAG
더	더/MAG
많이	많이/MAG
왜곡한	왜곡/NNG+하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
상당수	상당수/NNG
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.11.6.1
한편 아베 신조(安倍晋三) 총리 직속의 교육재생실행회의가 24일 첫 회의를 가졌다.

한편	한편/MAG
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
총리	총리/NNG
직속의	직속/NNG+의/JKG
교육재생실행회의가	교육/NNG+재생/NNG+실행/NNG+회의/NNG+가/JKS
24일	24/SN+일/NNB
첫	첫/MMN
회의를	회의/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.11.6.2
아베 총리는 회의에 참석해 "교육 재생은 경제 재생과 함께 가장 중요한 과제이며 강한 일본으로 되돌리기 위해서는 필수불가결한 과제"라면서 "물의를 일으키는 것을 두려워하지 말고 활발하게 논의 하라"고 말했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
회의에	회의/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
"교육	"/SS+교육/NNG
재생은	재생/NNG+은/JX
경제	경제/NNG
재생과	재생/NNG+과/JKB
함께	함께/MAG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
과제이며	과제/NNG+이/VCP+며/EC
강한	강하/VA+ㄴ/ETM
일본으로	일본/NNP+으로/JKB
되돌리기	되돌리/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
필수불가결한	필수/NNG+불가결/NNG+하/XSA+ㄴ/ETM
과제"라면서	과제/NNG+"/SS+이/VCP+라면서/EC
"물의를	"/SS+물의/NNG+를/JKO
일으키는	일으키/VV+는/ETM
것을	것/NNB+을/JKO
두려워하지	두려워하/VV+지/EC
말고	말/VX+고/EC
활발하게	활발하/VA+게/EC
논의	논의/NNG
하라"고	하/VV+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.11.7.1
일본교육재생실행회의에는 야기 히데쓰구(八木秀次) 다카사키경제대 교수와 소노 아야코(曾野綾子) 전 일본재단 회장 등 일본의 전쟁책임을 부인해온 인사들이 참여하고 있다.

일본교육재생실행회의에는	일본/NNP+교육/NNG+재생/NNG+실행/NNG+회의/NNG+에/JKB+는/JX
야기	야기/NNP
히데쓰구(八木秀次)	히데쓰구/NNP+(/SS+八木秀次/SH+)/SS
다카사키경제대	다카사키경제대/NNP
교수와	교수/NNG+와/JC
소노	소노/NNP
아야코(曾野綾子)	아야코/NNP+(/SS+曾野綾子/SH+)/SS
전	전/MMD
일본재단	일본/NNP+재단/NNG
회장	회장/NNG
등	등/NNB
일본의	일본/NNP+의/JKG
전쟁책임을	전쟁/NNG+책임/NNG+을/JKO
부인해온	부인/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
인사들이	인사/NNG+들/XSN+이/JKS
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.11.7.2
자민당은 총선 공약에서 현행 교과서를 자학사관 편향적이라고 규정하고 교과서 검정제도를 근본적으로 개혁하겠다고 밝혔다.

자민당은	자민당/NNP+은/JX
총선	총선/NNG
공약에서	공약/NNG+에서/JKB
현행	현행/NNG
교과서를	교과서/NNG+를/JKO
자학사관	자학/NNG+사관/NNG
편향적이라고	편향/NNG+적/XSN+이/VCP+라고/EC
규정하고	규정/NNG+하/XSV+고/EC
교과서	교과서/NNG
검정제도를	검정/NNG+제도/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
개혁하겠다고	개혁/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


