# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.34
metadata : {}


# id : NWRW1800000046.34.1.1
별의별 사람들 다 나오는 美대선… 30여명이나 출마

별의별	별의별/MMA
예상되던	예상/NNG+되/XSV+던/ETM
민주당	민주당/NNP
경선에도	경선/NNG+에/JKB+도/JX
새바람이	새바람/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.34.3.3
자칭 사회주의자인 버니 샌더스 상원의원(버몬트)이 돌풍을 일으키더니 이번에는 '공유경제' 개념을 창시한 로런스 레식(54) 하버드대 로스쿨 교수가 뛰어들었다.

자칭	자칭/NNG
사회주의자인	사회주의자/NNG+이/VCP+ㄴ/ETM
버니	버니/NNP
샌더스	샌더스/NNP
상원의원(버몬트)이	상원/NNG+의원/NNG+(/SS+버몬트/NNP+)/SS+이/JKS
돌풍을	돌풍/NNG+을/JKO
일으키더니	일으키/VV+더니/EC
이번에는	이번/NNG+에/JKB+는/JX
'공유경제'	'/SS+공유/NNG+경제/NNG+'/SS
개념을	개념/NNG+을/JKO
창시한	창시/NNG+하/XSV+ㄴ/ETM
로런스	로런스/NNP
레식(54)	레식/NNP+(/SS+54/SN+)/SS
하버드대	하버드대/NNP
로스쿨	로스쿨/NNG
교수가	교수/NNG+가/JKS
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.34.3.4
컴퓨터 보안업체인 '맥아피'를 창립한 존 맥아피(70)까지 사이버 정당 창당을 선언하면서 9일(현지 시각) 연방선거위원회에 출마 서류를 제출했다.

컴퓨터	컴퓨터/NNG
보안업체인	보안업체/NNG+이/VCP+ㄴ/ETM
'맥아피'를	'/SS+맥아피/NNP+'/SS+를/JKO
창립한	창립/NNG+하/XSV+ㄴ/ETM
존	존/NNP
맥아피(70)까지	맥아피/NNP+(/SS+70/SN+)/SS+까지/JX
사이버	사이버/NNG
정당	정당/NNG
창당을	창당/NNG+을/JKO
선언하면서	선언/NNG+하/XSV+면서/EC
9일(현지	9/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
연방선거위원회에	연방/NNG+선거/NNG+위원회/NNG+에/JKB
출마	출마/NNG
서류를	서류/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.34.3.5
여야·무소속 후보를 전부 합치면 30명 가까이 된다.

여야·무소속	여야/NNG+·/SP+무/XPN+소속/NNG
후보를	후보/NNG+를/JKO
전부	전부/MAG
합치면	합치/VV+면/EC
30명	30/SN+명/NNB
가까이	가까이/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.34.4.1
싱거울 것 같던 민주당 경선은 레식 교수 가세로 한층 뜨거워질 전망이다.

싱거울	싱겁/VA+ㄹ/ETM
것	것/NNB
같던	같/VA+던/ETM
민주당	민주당/NNP
경선은	경선/NNG+은/JX
레식	레식/NNP
교수	교수/NNG
가세로	가세/NNG+로/JKB
한층	한층/MAG
뜨거워질	뜨거워지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.34.4.2
힐러리가 출마 선언할 때만 해도 70% 가까운 지지율을 보여, 경선은 요식행위일 것으로 생각됐다.

힐러리가	힐러리/NNP+가/JKS
출마	출마/NNG
선언할	선언/NNG+하/XSV+ㄹ/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
70%	70/SN+%/SW
가까운	가깝/VA+ㄴ/ETM
지지율을	지지/NNG+율/XSN+을/JKO
보여,	보이/VV+어/EC+,/SP
경선은	경선/NNG+은/JX
요식행위일	요식/NNG+행위/NNG+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
생각됐다.	생각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.34.4.3
하지만 힐러리가 국무장관으로 일하면서 개인 이메일을 통해 국가 기밀을 주고받은 사실이 드러났고, 그가 수습 과정에서 '모르쇠'로 일관하면서 국민의 마음을 잃었다.

하지만	하지만/MAJ
힐러리가	힐러리/NNP+가/JKS
국무장관으로	국무/NNG+장관/NNG+으로/JKB
일하면서	일/NNG+하/XSV+면서/EC
개인	개인/NNG
이메일을	이메일/NNG+을/JKO
통해	통하/VV+아/EC
국가	국가/NNG
기밀을	기밀/NNG+을/JKO
주고받은	주고받/VV+은/ETM
사실이	사실/NNG+이/JKS
드러났고,	드러나/VV+았/EP+고/EC+,/SP
그가	그/NP+가/JKS
수습	수습/NNG
과정에서	과정/NNG+에서/JKB
'모르쇠'로	'/SS+모르쇠/NNG+'/SS+로/JKB
일관하면서	일관/NNG+하/XSV+면서/EC
국민의	국민/NNG+의/JKG
마음을	마음/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.34.4.4
이 틈을 월가 개혁, 빈부 격차 해소 등을 주장하는 샌더스 의원이 차지했다.

이	이/MMD
틈을	틈/NNG+을/JKO
월가	월가/NNP
개혁,	개혁/NNG+,/SP
빈부	빈부/NNG
격차	격차/NNG
해소	해소/NNG
등을	등/NNB+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
샌더스	샌더스/NNP
의원이	의원/NNG+이/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.34.4.5
대선 초반 승부처라는 뉴햄프셔주에서 힐러리를 9%포인트 차이 나게 이기기까지 했다.

대선	대선/NNG
초반	초반/NNG
승부처라는	승부처/NNG+이/VCP+라는/ETM
뉴햄프셔주에서	뉴햄프셔주/NNP+에서/JKB
힐러리를	힐러리/NNP+를/JKO
9%포인트	9/SN+%포인트/NNG
차이	차이/NNG
나게	나/VV+게/EC
이기기까지	이기/VV+기/ETN+까지/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.34.4.6
저명한 사회운동가이기도 한 개혁 성향의 레식 교수가 나선 것도 '새로움'을 갈망하는 요구가 컸기 때문이다.

저명한	저명/NNG+하/XSA+ㄴ/ETM
사회운동가이기도	사회/NNG+운동가/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
개혁	개혁/NNG
성향의	성향/NNG+의/JKG
레식	레식/NNP
교수가	교수/NNG+가/JKS
나선	나서/VV+ㄴ/ETM
것도	것/NNB+도/JX
'새로움'을	'/SS+새로움/NNG+'/SS+을/JKO
갈망하는	갈망/NNG+하/XSV+는/ETM
요구가	요구/NNG+가/JKS
컸기	크/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.34.5.1
공화당의 대표 주자로 꼽히던 부시는 첫 공화당 후보 간 토론에서 관심을 끌지 못한 채 '막말 돌풍'의 부동산 재벌 도널드 트럼프에게 압도당했다.

공화당의	공화당/NNP+의/JKG
대표	대표/NNG
주자로	주자/NNG+로/JKB
꼽히던	꼽히/VV+던/ETM
부시는	부시/NNP+는/JX
첫	첫/MMN
공화당	공화당/NNP
후보	후보/NNG
간	간/NNB
토론에서	토론/NNG+에서/JKB
관심을	관심/NNG+을/JKO
끌지	끌/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
'막말	'/SS+막말/NNG
돌풍'의	돌풍/NNG+'/SS+의/JKG
부동산	부동산/NNG
재벌	재벌/NNG
도널드	도널드/NNP
트럼프에게	트럼프/NNP+에게/JKB
압도당했다.	압도/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.34.5.2
오히려 신경외과 의사 출신의 흑인 보수 논객 벤 카슨이 지지율을 끌어올리며 트럼프 뒤를 잇고 있다.

오히려	오히려/MAG
신경외과	신경외과/NNG
의사	의사/NNG
출신의	출신/NNG+의/JKG
흑인	흑인/NNG
보수	보수/NNG
논객	논객/NNG
벤	벤/NNP
카슨이	카슨/NNP+이/JKS
지지율을	지지/NNG+율/XSN+을/JKO
끌어올리며	끌어올리/VV+며/EC
트럼프	트럼프/NNP
뒤를	뒤/NNG+를/JKO
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.34.5.3
신경전도 점점 치열해지고 있다.

신경전도	신경전/NNG+도/JX
점점	점점/MAG
치열해지고	치열/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.34.5.4
'막말 행진'을 이어가고 있는 트럼프가 이번엔 자신에게 날 세우는 피오리나의 외모를 놓고 비하 발언을 했다.

'막말	'/SS+막말/NNG
행진'을	행진/NNG+'/SS+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
트럼프가	트럼프/NNP+가/JKS
이번엔	이번/NNG+에/JKB+ㄴ/JX
자신에게	자신/NNG+에게/JKB
날	날/NNG
세우는	세우/VV+는/ETM
피오리나의	피오리나/NNP+의/JKG
외모를	외모/NNG+를/JKO
놓고	놓/VV+고/EC
비하	비하/NNG
발언을	발언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.34.5.5
9일 언론 인터뷰 도중 피오리나 얼굴이 TV에 나오자 짜증스러운 반응을 보이며 "저 얼굴 좀 봐라. 누가 저 얼굴에 투표하고 싶겠냐"고 소리쳤다.

9일	9/SN+일/NNB
언론	언론/NNG
인터뷰	인터뷰/NNG
도중	도중/NNG
피오리나	피오리나/NNP
얼굴이	얼굴/NNG+이/JKS
TV에	TV/SL+에/JKB
나오자	나오/VV+자/EC
짜증스러운	짜증/NNG+스럽/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이며	보이/VV+며/EC
"저	"/SS+저/MMD
얼굴	얼굴/NNG
좀	좀/MAG
봐라.	보/VV+아라/EF+./SF
누가	누구/NP+가/JKS
저	저/MMD
얼굴에	얼굴/NNG+에/JKB
투표하고	투표/NNG+하/XSV+고/EC
싶겠냐"고	싶/VX+겠/EP+냐/EF+"/SS+고/JKQ
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.34.6.1
이색 후보가 빠지면 선거가 아니다.

이색	이색/NNG
후보가	후보/NNG+가/JKS
빠지면	빠지/VV+면/EC
선거가	선거/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.34.6.2
트위터 소개란에 자신을 '기이한 백만장자, 아직도 살아있다'고 쓴 맥아피는 자신 이름을 딴 컴퓨터 보안 프로그램의 성공으로 갑부가 됐다.

트위터	트위터/NNP
소개란에	소개란/NNG+에/JKB
자신을	자신/NNG+을/JKO
'기이한	'/SS+기이하/VA+ㄴ/ETM
백만장자,	백만장자/NNG+,/SP
아직도	아직/MAG+도/JX
살아있다'고	살/VV+아/EC+있/VX+다/EF+'/SS+고/JKQ
쓴	쓰/VV+ㄴ/ETM
맥아피는	맥아피/NNP+는/JX
자신	자신/NNG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
컴퓨터	컴퓨터/NNG
보안	보안/NNG
프로그램의	프로그램/NNG+의/JKG
성공으로	성공/NNG+으로/JKB
갑부가	갑부/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.34.6.3
중앙아메리카의 벨리즈에서 은퇴 생활을 즐기던 그는 살인 혐의를 받고 과테말라로 도주했다가 미국으로 추방당했다.

중앙아메리카의	중앙아메리카/NNP+의/JKG
벨리즈에서	벨리즈/NNP+에서/JKB
은퇴	은퇴/NNG
생활을	생활/NNG+을/JKO
즐기던	즐기/VV+던/ETM
그는	그/NP+는/JX
살인	살인/NNG
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
과테말라로	과테말라/NNP+로/JKB
도주했다가	도주/NNG+하/XSV+았/EP+다가/EC
미국으로	미국/NNP+으로/JKB
추방당했다.	추방/NNG+당하/XSV+았/EP+다/EF+./SF


