# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.216
metadata : {}


# id : NWRW1800000045.216.1.1
‘병역 논란’ 위기의 배상문, 위축은 없다

‘병역	‘/SS+병역/NNG
대회 개막 전부터 병역을 둘러싼 논란에 휩싸이며 현지 언론으로부터 쏟아지는 질문을 받았던 배상문은 심리적으로 위축될 것이란 당초 예상을 깨고 집중력을 보였다.

대회	대회/NNG
개막	개막/NNG
전부터	전/NNG+부터/JX
병역을	병역/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란에	논란/NNG+에/JKB
휩싸이며	휩싸이/VV+며/EC
현지	현지/NNG
언론으로부터	언론/NNG+으로부터/JKB
쏟아지는	쏟아지/VV+는/ETM
질문을	질문/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
배상문은	배상문/NNP+은/JX
심리적으로	심리/NNG+적/XSN+으로/JKB
위축될	위축/NNG+되/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
당초	당초/NNG
예상을	예상/NNG+을/JKO
깨고	깨/VV+고/EC
집중력을	집중력/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.5.2
배상문의 한 측근은 “이번에 잘해야 입대 연기 요청에 대한 명분을 찾을 수 있다는 생각도 작용한 것 같다”고 전했다.

배상문의	배상문/NNP+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
“이번에	“/SS+이번/NNG+에/JKB
잘해야	잘/MAG+하/XSV+아야/EC
입대	입대/NNG
연기	연기/NNG
요청에	요청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
명분을	명분/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각도	생각/NNG+도/JX
작용한	작용/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.216.5.3
이틀 동안의 그린 적중률이 91%에 이를 정도로 정확한 아이언샷을 과시했다.

이틀	이틀/NNG
동안의	동안/NNG+의/JKG
그린	그린/NNG
적중률이	적중/NNG+률/XSN+이/JKS
91%에	91/SN+%/SW+에/JKB
이를	이르/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
정확한	정확/NNG+하/XSA+ㄴ/ETM
아이언샷을	아이언/NNG+샷/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.216.6.1
한편 배상문의 절친한 선배인 최경주(45·SK텔레콤·사진)는 배상문에 대한 안타까움을 나타냈다.

한편	한편/MAG
배상문의	배상문/NNP+의/JKG
절친한	절친하/VA+ㄴ/ETM
선배인	선배/NNG+이/VCP+ㄴ/ETM
최경주(45·SK텔레콤·사진)는	최경주/NNP+(/SS+45/SN+·/SP+SK텔레콤/NNP+·/SP+사진/NNG+)/SS+는/JX
배상문에	배상문/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.6.2
최경주는 10일 서울에서 취재진을 만나 “이젠 뭐라 조언하기에 너무 멀리 가버린 것 같다.

최경주는	최경주/NNP+는/JX
10일	10/SN+일/NNB
서울에서	서울/NNP+에서/JKB
취재진을	취재진/NNG+을/JKO
만나	만나/VV+아/EC
“이젠	“/SS+이제/NNG+ㄴ/JX
뭐라	뭐/NP+이/VCP+라/EC
조언하기에	조언/NNG+하/XSV+기에/EC
너무	너무/MAG
멀리	멀리/MAG
가버린	가/VV+아/EC+버리/VX+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000045.216.6.3
이 지경까지 오기 전에 해결해야 했다.

이	이/MMD
지경까지	지경/NNB+까지/JX
오기	오/VV+기/ETN
전에	전/NNG+에/JKB
해결해야	해결/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.216.6.4
내 경험을 보면 군대 생활이 골프에도 큰 도움이 됐다.

내	나/NP+의/JKG
경험을	경험/NNG+을/JKO
보면	보/VV+면/EC
군대	군대/NNG
생활이	생활/NNG+이/JKS
골프에도	골프/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.6.5
버릴 수 있는 걸 버릴 줄도 알아야 한다.

버릴	버리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
걸	거/NNB+ㄹ/JKO
줄도	줄/NNB+도/JX
알아야	알/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.216.6.6
버티기만 해서 될 일도 아닌 것 같으니 현명한 판단을 바란다”고 했다.

버티기만	버티기/NNG+만/JX
해서	하/VX+아서/EC
될	되/VV+ㄹ/ETM
일도	일/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같으니	같/VA+으니/EC
현명한	현명/NNG+하/XSA+ㄴ/ETM
판단을	판단/NNG+을/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.216.7.1
최경주는 새해를 맞아 자신감도 드러냈다.

최경주는	최경주/NNP+는/JX
새해를	새해/NNG+를/JKO
맞아	맞/VV+아/EC
자신감도	자신감/NNG+도/JX
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.7.2
세계 랭킹이 117위까지 처진 최경주는 “지난 몇 년간 솔직히 연습이 부족했다.

세계	세계/NNG
랭킹이	랭킹/NNG+이/JKS
117위까지	117/SN+위/NNB+까지/JX
처진	처지/VV+ㄴ/ETM
최경주는	최경주/NNP+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
몇	몇/NR
년간	년/NNB+간/XSN
솔직히	솔직히/MAG
연습이	연습/NNG+이/JKS
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.216.7.3
세 아이의 아빠로서 집안일과 교육 등 챙길 일이 많았다.

세	세/MMN
아이의	아이/NNG+의/JKG
아빠로서	아빠/NNG+로서/JKB
집안일과	집안일/NNG+과/JKB
교육	교육/NNG
등	등/NNB
챙길	챙기/VV+ㄹ/ETM
일이	일/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000045.216.7.4
나이 탓인지 왼쪽 팔꿈치가 아파 벙커 샷과 칩샷도 흔들렸다”며 “이젠 달라졌다.

나이	나이/NNG
탓인지	탓/NNG+이/VCP+ㄴ지/EC
왼쪽	왼쪽/NNG
팔꿈치가	팔꿈치/NNG+가/JKS
아파	아프/VA+아/EC
벙커	벙커/NNG
샷과	샷/NNG+과/JC
칩샷도	칩샷/NNG+도/JX
흔들렸다”며	흔들리/VV+었/EP+다/EF+”/SS+며/EC
“이젠	“/SS+이제/NNG+ㄴ/JX
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.7.5
골프에만 집중하고 있다.

골프에만	골프/NNG+에/JKB+만/JX
집중하고	집중/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.216.7.6
몸과 마음의 느낌이 좋다”고 말했다.

몸과	몸/NNG+과/JC
마음의	마음/NNG+의/JKG
느낌이	느낌/NNG+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.216.7.7
그는 또 “지난해 11월부터 강도 높은 체력 훈련을 했다.

그는	그/NP+는/JX
또	또/MAG
“지난해	“/SS+지난해/NNG
11월부터	11/SN+월/NNB+부터/JX
강도	강도/NNG
높은	높/VA+은/ETM
체력	체력/NNG
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.216.7.8
유산소 운동을 많이 한 덕분에 하체가 단단해졌다.

유산소	유산소/NNG
운동을	운동/NNG+을/JKO
많이	많이/MAG
한	하/VV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
하체가	하체/NNG+가/JKS
단단해졌다.	단단하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.216.7.9
최근 몇 년간 해마다 샷의 비거리가 70cm씩 줄어 힘들었는데 거리 부담도 사라졌다”고 했다.

최근	최근/NNG
몇	몇/NR
년간	년/NNB+간/XSN
해마다	해마다/MAG
샷의	샷/NNG+의/JKG
비거리가	비거리/NNG+가/JKS
70cm씩	70/SN+cm/SW+씩/XSN
줄어	줄/VV+어/EC
힘들었는데	힘들/VA+었/EP+는데/EC
거리	거리/NNG
부담도	부담/NNG+도/JX
사라졌다”고	사라지/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.216.7.10
그는 또 10월 인천 잭니클라우스GC에서 미국팀과 세계팀이 벌이는 프레지던츠컵의 출전 의지를 다시 밝혔다.

그는	그/NP+는/JX
또	또/MAG
10월	10/SN+월/NNB
인천	인천/NNP
잭니클라우스GC에서	잭니클라우스/NNP+GC/SL+에서/JKB
미국팀과	미국/NNP+팀/NNG+과/JKB
세계팀이	세계/NNG+팀/NNG+이/JKS
벌이는	벌이/VV+는/ETM
프레지던츠컵의	프레지던츠컵/NNG+의/JKG
출전	출전/NNG
의지를	의지/NNG+를/JKO
다시	다시/MAG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.7.11
세계팀 부단장을 맡고 있는 그는 “(대회 때) 무전기나 들고 다니기는 싫다.

세계팀	세계/NNG+팀/NNG
부단장을	부단장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
그는	그/NP+는/JX
“(대회	“/SS+(/SS+대회/NNG
때)	때/NNG+)/SS
무전기나	무전기/NNG+나/JX
들고	들/VV+고/EC
다니기는	다니/VV+기/ETN+는/JX
싫다.	싫/VA+다/EF+./SF


# id : NWRW1800000045.216.7.12
선수로 뛰고 싶다.

선수로	선수/NNG+로/JKB
뛰고	뛰/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000045.216.7.13
그러기 위해선 올 시즌 우승 1회, 준우승 2회, 3위 1회 정도 해야 한다”고 덧붙였다.

그러기	그러/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
올	올/NNG
시즌	시즌/NNG
우승	우승/NNG
1회,	1/SN+회/NNB+,/SP
준우승	준/XPN+우승/NNG
2회,	2/SN+회/NNB+,/SP
3위	3/SN+위/NNB
1회	1/SN+회/NNB
정도	정도/NNG
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


