# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.125
metadata : {}


# id : NWRW1800000036.125.1.1
2PM 도쿄 부도칸 공연 성황…티켓 6만장 1분만에 동나

2PM	2/SN+PM/SL
모양의	모양/NNG+의/JKG
전등들이	전등/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.125.4.2
공연이 매진됐을 경우에만 앙코르 무대 때 켜진다고 한다.

공연이	공연/NNG+이/JKS
매진됐을	매진/NNG+되/XSV+었/EP+을/ETM
경우에만	경우/NNG+에/JKB+만/JX
앙코르	앙코르/NNG
무대	무대/NNG
때	때/NNG
켜진다고	켜/VV+어/EC+지/VX+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.125.4.3
31일에도 쿨레이는 어김없이 불을 밝혔다.

31일에도	31/SN+일/NNB+에/JKB+도/JX
쿨레이는	쿨레이/NNG+는/JX
어김없이	어김없이/MAG
불을	불/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.4.4
지난 닷새 동안 켜졌으니, 6일 연속이다.

지난	지나/VV+ㄴ/ETM
닷새	닷새/NNG
동안	동안/NNG
켜졌으니,	켜/VV+어/EC+지/VX+었/EP+으니/EC+,/SP
6일	6/SN+일/NNB
연속이다.	연속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.125.4.5
쿨레이의 하얀 불빛 아래 한국 아이돌 그룹 투피엠(2PM)의 여섯 사내들은 마지막 춤사위를 펼쳤다.

쿨레이의	쿨레이/NNG+의/JKG
하얀	하얗/VA+ㄴ/ETM
불빛	불빛/NNG
아래	아래/NNG
한국	한국/NNP
아이돌	아이돌/NNG
그룹	그룹/NNG
투피엠(2PM)의	투피엠/NNP+(/SS+2/SN+PM/SL+)/SS+의/JKG
여섯	여섯/NR
사내들은	사내/NNG+들/XSN+은/JX
마지막	마지막/NNG
춤사위를	춤사위/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.4.6
줄곧 자리에서 일어나 있던 1만 관객도 마지막 환호성을 질렀다.

줄곧	줄곧/MAG
자리에서	자리/NNG+에서/JKB
일어나	일어나/VV+아/EC
있던	있/VX+던/ETM
1만	1/SN+만/NR
관객도	관객/NNG+도/JX
마지막	마지막/NNG
환호성을	환호성/NNG+을/JKO
질렀다.	지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.4.7
24~25일, 28~31일 여섯 차례 열린 투피엠의 ‘식스 뷰티풀 데이스’ 공연은 그렇게 대단원의 막을 내렸다.

24~25일,	24/SN+~/SO+25/SN+일/NNB+,/SP
28~31일	28/SN+~/SO+31/SN+일/NNB
여섯	여섯/NR
차례	차례/NNG
열린	열리/VV+ㄴ/ETM
투피엠의	투피엠/NNP+의/JKG
‘식스	‘/SS+식스/NNP
뷰티풀	뷰티풀/NNP
데이스’	데이스/NNP+’/SS
공연은	공연/NNG+은/JX
그렇게	그렇/VA+게/EC
대단원의	대/XPN+단원/NNG+의/JKG
막을	막/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.5.1
투피엠의 리더 택연은 “연습생 시절 같은 소속사의 비 형이 일본 가수도 쉽게 설 수 없다는 부도칸에서 공연한다는 얘기를 듣고, 나도 언젠가 그곳에 서고 싶다고 생각했는데, 그 꿈을 이뤄 굉장히 기분이 좋다”며 “특히 쿨레이 전등이 켜지는 걸 볼 때마다 감동이 밀려왔다”고 말했다.

투피엠의	투피엠/NNP+의/JKG
리더	리더/NNG
택연은	택연/NNP+은/JX
“연습생	“/SS+연습/NNG+생/XSN
시절	시절/NNG
같은	같/VA+은/ETM
소속사의	소속사/NNG+의/JKG
비	비/NNP
형이	형/NNB+이/JKS
일본	일본/NNP
가수도	가수/NNG+도/JX
쉽게	쉽/VA+게/EC
설	서/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
부도칸에서	부도칸/NNP+에서/JKB
공연한다는	공연/NNG+하/XSV+ㄴ다는/ETM
얘기를	얘기/NNG+를/JKO
듣고,	듣/VV+고/EC+,/SP
나도	나/NP+도/JX
언젠가	언젠가/MAG
그곳에	그곳/NP+에/JKB
서고	서/VV+고/EC
싶다고	싶/VX+다고/EC
생각했는데,	생각/NNG+하/XSV+았/EP+는데/EC+,/SP
그	그/MMD
꿈을	꿈/NNG+을/JKO
이뤄	이루/VV+어/EC
굉장히	굉장히/MAG
기분이	기분/NNG+이/JKS
좋다”며	좋/VA+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
쿨레이	쿨레이/NNG
전등이	전등/NNG+이/JKS
켜지는	켜/VV+어/EC+지/VX+는/ETM
걸	거/NNB+ㄹ/JKO
볼	보/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
감동이	감동/NNG+이/JKS
밀려왔다”고	밀려오/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.6.1
지난 2월 말 이번 공연 티켓 판매를 시작한 지 1분 만에 6만장 모두 매진됐다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
말	말/NNB
이번	이번/NNG
공연	공연/NNG
티켓	티켓/NNG
판매를	판매/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1분	1/SN+분/NNB
만에	만/NNB+에/JKB
6만장	6/SN+만/NR+장/NNB
모두	모두/MAG
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.6.2
뜨거운 성원에 보답하고자 6월5~6일 요코하마 아레나 공연을 추가로 잡았는데, 이마저 2만4000석이 1분 만에 매진됐다.

뜨거운	뜨겁/VA+ㄴ/ETM
성원에	성원/NNG+에/JKB
보답하고자	보답/NNG+하/XSV+고자/EC
6월5~6일	6/SN+월/NNB+5/SN+~/SO+6/SN+일/NNB
요코하마	요코하마/NNP
아레나	아레나/NNG
공연을	공연/NNG+을/JKO
추가로	추가/NNG+로/JKB
잡았는데,	잡/VV+았/EP+는데/EC+,/SP
이마저	이/NP+마저/JX
2만4000석이	2/SN+만/NR+4000/SN+석/NNB+이/JKS
1분	1/SN+분/NNB
만에	만/NNB+에/JKB
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.7.1
2010년 말 일본 진출 이후 이들의 상승세는 멈출 줄을 모른다.

2010년	2010/SN+년/NNB
말	말/NNB
일본	일본/NNP
진출	진출/NNG
이후	이후/NNG
이들의	이/NP+들/XSN+의/JKG
상승세는	상승세/NNG+는/JX
멈출	멈추/VV+ㄹ/ETM
줄을	줄/NNB+을/JKO
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.125.7.2
다부진 근육질 몸매에 힘 넘치는 퍼포먼스로 ‘짐승돌’이란 애칭을 갖게 된 이들의 매력은 일본 여심도 사로잡았다.

다부진	다부지/VA+ㄴ/ETM
근육질	근육질/NNG
몸매에	몸매/NNG+에/JKB
힘	힘/NNG
넘치는	넘치/VV+는/ETM
퍼포먼스로	퍼포먼스/NNG+로/JKB
‘짐승돌’이란	‘/SS+짐승돌/NNG+’/SS+이/VCP+란/ETM
애칭을	애칭/NNG+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
이들의	이/NNB+들/XSN+의/JKG
매력은	매력/NNG+은/JX
일본	일본/NNP
여심도	여심/NNG+도/JX
사로잡았다.	사로잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.7.3
이날 공연 관객의 99%가 다양한 연령대의 여성이었다.

이날	이날/NNG
공연	공연/NNG
관객의	관객/NNG+의/JKG
99%가	99/SN+%/SW+가/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
연령대의	연령대/NNG+의/JKG
여성이었다.	여성/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.125.7.4
투피엠 멤버들이 공연 도중 상의를 풀어헤치자 환호성이 귀를 찌를 듯이 치솟았다.

투피엠	투피엠/NNP
멤버들이	멤버/NNG+들/XSN+이/JKS
공연	공연/NNG
도중	도중/NNG
상의를	상의/NNG+를/JKO
풀어헤치자	풀어헤치/VV+자/EC
환호성이	환호성/NNG+이/JKS
귀를	귀/NNG+를/JKO
찌를	찌르/VV+ㄹ/ETM
듯이	듯이/NNB
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.7.5
택연은 “남자답고 거친 야수의 느낌을 가진 아이돌 그룹이 일본에 없었기 때문에 우리에게 더 관심을 보이는 것 같다”고 했다.

택연은	택연/NNP+은/JX
“남자답고	“/SS+남자/NNG+답/XSA+고/EC
거친	거칠/VA+ㄴ/ETM
야수의	야수/NNG+의/JKG
느낌을	느낌/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
아이돌	아이돌/NNG
그룹이	그룹/NNG+이/JKS
일본에	일본/NNP+에/JKB
없었기	없/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
우리에게	우리/NP+에게/JKB
더	더/MAG
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.8.1
부도칸에서만 엿새를 공연한 것은 여섯 멤버의 날을 하루씩 정해 각기 개성을 드러내는 솔로 무대를 보여주고 싶어서였다고 한다.

부도칸에서만	부도칸/NNP+에서/JKB+만/JX
엿새를	엿새/NNG+를/JKO
공연한	공연/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
여섯	여섯/NR
멤버의	멤버/NNG+의/JKG
날을	날/NNG+을/JKO
하루씩	하루/NNG+씩/XSN
정해	정하/VV+아/EC
각기	각기/MAG
개성을	개성/NNG+을/JKO
드러내는	드러내/VV+는/ETM
솔로	솔로/NNG
무대를	무대/NNG+를/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶어서였다고	싶/VX+어서/EC+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.125.8.2
첫날 찬성은 무용수와 함께 정적인 춤을 선보이며 발라드를 불렀다.

첫날	첫날/NNG
찬성은	찬성/NNP+은/JX
무용수와	무용수/NNG+와/JKB
함께	함께/MAG
정적인	정적/NNG+이/VCP+ㄴ/ETM
춤을	춤/NNG+을/JKO
선보이며	선보이/VV+며/EC
발라드를	발라드/NNG+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.8.3
멤버들끼리 팔씨름하다 골절상을 당해 철심을 박는 수술을 하고도 팔걸이를 한 채 무대에 오른 택연은 둘째 날 격렬한 춤 대신 첫 자작곡을 선보였다.

멤버들끼리	멤버/NNG+들/XSN+끼리/XSN
팔씨름하다	팔씨름/NNG+하/XSV+다/EC
골절상을	골절상/NNG+을/JKO
당해	당하/VV+아/EC
철심을	철심/NNG+을/JKO
박는	박/VV+는/ETM
수술을	수술/NNG+을/JKO
하고도	하/VV+고/EC+도/JX
팔걸이를	팔걸이/NNG+를/JKO
한	하/VV+ㄴ/ETM
채	채/NNB
무대에	무대/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
택연은	택연/NNP+은/JX
둘째	둘째/NR
날	날/NNB
격렬한	격렬하/VA+ㄴ/ETM
춤	춤/NNG
대신	대신/NNG
첫	첫/MMN
자작곡을	자작곡/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.8.4
우영은 일본 가수 나카시마 미카의 ‘오리온’을 불렀고, 닉쿤은 피아노를 치며 브루노 마스의 ‘저스트 더 웨이 유 아’를 노래했다.

우영은	우영/NNP+은/JX
일본	일본/NNP
가수	가수/NNG
나카시마	나카시마/NNP
미카의	미카/NNP+의/JKG
‘오리온’을	‘/SS+오리온/NNP+’/SS+을/JKO
불렀고,	부르/VV+었/EP+고/EC+,/SP
닉쿤은	닉쿤/NNP+은/JX
피아노를	피아노/NNG+를/JKO
치며	치/VV+며/EC
브루노	브루노/NNP
마스의	마스/NNP+의/JKG
‘저스트	‘/SS+저스트/NNP
더	더/NNP
웨이	웨이/NNP
유	유/NNP
아’를	아/NNP+’/SS+를/JKO
노래했다.	노래/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.8.5
준수는 올해 초 갑작스레 세상을 떠난 아버지를 떠올리며 만든 자작곡을 부르다 눈물을 글썽였다.

준수는	준수/NNP+는/JX
올해	올해/NNG
초	초/NNB
갑작스레	갑작스레/MAG
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
아버지를	아버지/NNG+를/JKO
떠올리며	떠올리/VV+며/EC
만든	만들/VV+ㄴ/ETM
자작곡을	자작곡/NNG+을/JKO
부르다	부르/VV+다/EC
눈물을	눈물/NNG+을/JKO
글썽였다.	글썽이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.8.6
준호는 직접 드럼까지 치며 밴드 느낌을 더한 자작곡으로 마지막날 솔로 무대를 달궜다.

준호는	준호/NNP+는/JX
직접	직접/MAG
드럼까지	드럼/NNG+까지/JX
치며	치/VV+며/EC
밴드	밴드/NNG
느낌을	느낌/NNG+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
자작곡으로	자작곡/NNG+으로/JKB
마지막날	마지막/NNG+날/NNG
솔로	솔로/NNG
무대를	무대/NNG+를/JKO
달궜다.	달구/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.125.9.1
투피엠이 공연하던 29~30일 요코하마 아레나에선 국내 최장수 아이돌 그룹 신화가 공연했다.

투피엠이	투피엠/NNP+이/JKS
공연하던	공연/NNG+하/XSV+던/ETM
29~30일	29/SN+~/SO+30/SN+일/NNB
요코하마	요코하마/NNP
아레나에선	아레나/NNG+에서/JKB+ㄴ/JX
국내	국내/NNG
최장수	최/XPN+장수/NNG
아이돌	아이돌/NNG
그룹	그룹/NNG
신화가	신화/NNP+가/JKS
공연했다.	공연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.9.2
우영은 “같은 날 일본에서 훌륭한 선배님들과 공연한다는 건 선의의 경쟁이기도 하고, 한국을 알리는 좋은 계기가 된다고 생각한다”며 “한국인의 자긍심을 갖고 더욱 열심히 하겠다”고 말했다.

우영은	우영/NNP+은/JX
“같은	“/SS+같/VA+은/ETM
날	날/NNG
일본에서	일본/NNP+에서/JKB
훌륭한	훌륭하/VA+ㄴ/ETM
선배님들과	선배/NNG+님/XSN+들/XSN+과/JKB
공연한다는	공연/NNG+하/XSV+ㄴ다는/ETM
건	거/NNB+ㄴ/JX
선의의	선의/NNG+의/JKG
경쟁이기도	경쟁/NNG+이/VCP+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
한국을	한국/NNP+을/JKO
알리는	알리/VV+는/ETM
좋은	좋/VA+은/ETM
계기가	계기/NNG+가/JKC
된다고	되/VV+ㄴ다고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“한국인의	“/SS+한국인/NNG+의/JKG
자긍심을	자긍심/NNG+을/JKO
갖고	갖/VV+고/EC
더욱	더욱/MAG
열심히	열심히/MAG
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


