# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.10
metadata : {}


# id : NWRW1800000046.10.1.1
'수소車' 직접 탄 아베… 日정부도 막대한 지원

'수소車'	'/SS+수소/NNG+車/SH+'/SS
도요타 관계자는 "주문건수의 60%는 정부기관과 법인, 40%는 개인 소비자였는데, 개인의 비중이 예상치를 훨씬 웃돌았다"고 말했다.

도요타	도요타/NNP
관계자는	관계자/NNG+는/JX
"주문건수의	"/SS+주문/NNG+건수/NNG+의/JKG
60%는	60/SN+%/SW+는/JX
정부기관과	정부/NNG+기관/NNG+과/JC
법인,	법인/NNG+,/SP
40%는	40/SN+%/SW+는/JX
개인	개인/NNG
소비자였는데,	소비자/NNG+이/VCP+었/EP+는데/EC+,/SP
개인의	개인/NNG+의/JKG
비중이	비중/NNG+이/JKS
예상치를	예상/NNG+치/XSN+를/JKO
훨씬	훨씬/MAG
웃돌았다"고	웃돌/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.10.4.6
도요타는 올여름 미라이의 미국 수출도 계획하고 있다.

도요타는	도요타/NNP+는/JX
올여름	올여름/NNG
미라이의	미라이/NNP+의/JKG
미국	미국/NNP
수출도	수출/NNG+도/JX
계획하고	계획/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.10.5.1
일본 정부는 미라이의 성공적인 상용화를 위해 범정부적인 지원을 아끼지 않는다는 계획이다.

일본	일본/NNP
정부는	정부/NNG+는/JX
미라이의	미라이/NNP+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
상용화를	상용/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
범정부적인	범/XPN+정부/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않는다는	않/VX+는다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.10.5.2
우선 수소 연료를 충전할 수 있는 시설을 올 연말까지 대도시권역을 중심으로 100곳 설치하기로 했다.

우선	우선/MAG
수소	수소/NNG
연료를	연료/NNG+를/JKO
충전할	충전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시설을	시설/NNG+을/JKO
올	오/VV+ㄹ/ETM
연말까지	연말/NNG+까지/JX
대도시권역을	대/XPN+도시/NNG+권역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
100곳	100/SN+곳/NNG
설치하기로	설치/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.10.5.3
또 셀프 주유소처럼 개인이 간편하게 연료를 충전할 수 있는 시설을 손쉽게 건립·운영할 수 있도록 각종 규제도 완화한다는 계획이다.

또	또/MAG
셀프	셀프/NNG
주유소처럼	주유소/NNG+처럼/JKB
개인이	개인/NNG+이/JKS
간편하게	간편하/VA+게/EC
연료를	연료/NNG+를/JKO
충전할	충전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시설을	시설/NNG+을/JKO
손쉽게	손쉽/VA+게/EC
건립·운영할	건립/NNG+·/SP+운영/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
각종	각종/NNG
규제도	규제/NNG+도/JX
완화한다는	완화/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


