# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.359
metadata : {}


# id : NWRW1800000025.359.1.1
한국, 월드컵 이어 카타르와 ‘2012년 기후변화협약총회’ 유치 경쟁

한국,	한국/NNP+,/SP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.359.4.3
칸쿤 총회에 참석한 한국대표단도 ‘자발적인 온실가스 감축’을 홍보했다.

칸쿤	칸쿤/NNP
총회에	총회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
한국대표단도	한국/NNP+대표단/NNG+도/JX
‘자발적인	‘/SS+자발/NNG+적/XSN+이/VCP+ㄴ/ETM
온실가스	온실가스/NNG
감축’을	감축/NNG+’/SS+을/JKO
홍보했다.	홍보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.359.4.4
‘한국도 의무감축국이 돼야 한다’는 국제사회의 요구에 선제적으로 대응하기 위해서다.

‘한국도	‘/SS+한국/NNP+도/JX
의무감축국이	의무/NNG+감축국/NNG+이/JKC
돼야	되/VV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
요구에	요구/NNG+에/JKB
선제적으로	선제/NNG+적/XSN+으로/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000025.359.5.1
이번 총회에서 한국이 ‘2012년 기후변화협약 당사국총회(COP18) 개최국’ 선정을 놓고 2022년 월드컵에 이어 카타르와 재격돌해 화제가 됐다.

이번	이번/NNG
총회에서	총회/NNG+에서/JKB
한국이	한국/NNP+이/JKS
‘2012년	‘/SS+2012/SN+년/NNB
기후변화협약	기후/NNG+변화/NNG+협약/NNG
당사국총회(COP18)	당사국/NNG+총회/NNG+(/SS+COP/SL+18/SN+)/SS
개최국’	개최국/NNG+’/SS
선정을	선정/NNG+을/JKO
놓고	놓/VV+고/EC
2022년	2022/SN+년/NNB
월드컵에	월드컵/NNG+에/JKB
이어	잇/VV+어/EC
카타르와	카타르/NNP+와/JKB
재격돌해	재/XPN+격돌/NNG+하/XSV+아/EC
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.359.5.2
6일 열린 ‘아시아그룹회의’에서 카타르는 “지역안배 차원에서 중동국가가 선정돼야 한다”고 주장했다.

6일	6/SN+일/NNB
열린	열리/VV+ㄴ/ETM
‘아시아그룹회의’에서	‘/SS+아시아/NNP+그룹/NNG+회의/NNG+’/SS+에서/JKB
카타르는	카타르/NNP+는/JX
“지역안배	“/SS+지역/NNG+안배/NNG
차원에서	차원/NNG+에서/JKB
중동국가가	중동/NNP+국가/NNG+가/JKS
선정돼야	선정/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.359.5.3
반면 한국은 “교토의정서 종료를 앞두고 선진국과 개도국 간 갈등을 해결하는 데 카타르보다는 한국의 리더십이 우수하다”고 밝혔다.

반면	반면/NNG
한국은	한국/NNP+은/JX
“교토의정서	“/SS+교토/NNP+의정서/NNG
종료를	종료/NNG+를/JKO
앞두고	앞두/VV+고/EC
선진국과	선진국/NNG+과/JC
개도국	개도국/NNG
간	간/NNB
갈등을	갈등/NNG+을/JKO
해결하는	해결/NNG+하/XSV+는/ETM
데	데/NNB
카타르보다는	카타르/NNP+보다/JKB+는/JX
한국의	한국/NNP+의/JKG
리더십이	리더십/NNG+이/JKS
우수하다”고	우수/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.359.5.4
개최지는 내년 6월 기후변화협약 부속기구 회의에서 결정된다.

개최지는	개최지/NNG+는/JX
내년	내년/NNG
6월	6/SN+월/NNB
기후변화협약	기후/NNG+변화/NNG+협약/NNG
부속기구	부속/NNG+기구/NNG
회의에서	회의/NNG+에서/JKB
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.359.5.5
김찬우 환경부 국제협력관은 “아시아 국가들이 만장일치로 합의해야 총회 개최지로 선정된다”며 “카타르의 포기를 이끌어내기 위한 외교전을 다각도로 펼치고 있다”고 말했다.

김찬우	김찬우/NNP
환경부	환경부/NNG
국제협력관은	국제/NNG+협력관/NNG+은/JX
“아시아	“/SS+아시아/NNP
국가들이	국가/NNG+들/XSN+이/JKS
만장일치로	만장일치/NNG+로/JKB
합의해야	합의/NNG+하/XSV+아야/EC
총회	총회/NNG
개최지로	개최지/NNG+로/JKB
선정된다”며	선정/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“카타르의	“/SS+카타르/NNP+의/JKG
포기를	포기/NNG+를/JKO
이끌어내기	이끌/VV+어/EC+내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
외교전을	외교전/NNG+을/JKO
다각도로	다각도/NNG+로/JKB
펼치고	펼치/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


