# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.88
metadata : {}


# id : NWRW1800000036.88.1.1
이집트혁명 열매 무슬림 손에…군부와 ‘권력충돌’ 불가피

이집트혁명	이집트/NNP+혁명/NNG
카이로의 정치공학자 오마르 애시아워는 “민주주의로 가는 시작점치고는 재앙에 가깝다”고 <뉴욕 타임스>에 이번 선거 결과를 평가했다.

카이로의	카이로/NNP+의/JKG
정치공학자	정치/NNG+공학자/NNG
오마르	오마르/NNP
애시아워는	애시아워/NNP+는/JX
“민주주의로	“/SS+민주주의/NNG+로/JKB
가는	가/VV+는/ETM
시작점치고는	시작점/NNG+치/VV+고/EC+는/JX
재앙에	재앙/NNG+에/JKB
가깝다”고	가깝/VA+다/EF+”/SS+고/JKQ
<뉴욕	</SS+뉴욕/NNP
타임스>에	타임스/NNP+>/SS+에/JKB
이번	이번/NNG
선거	선거/NNG
결과를	결과/NNG+를/JKO
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.88.7.2
앞으로도 집권 이슬람 세력과 군부 세력 간의 치열한 권력싸움이 예상된다는 뜻이다.

앞으로도	앞/NNG+으로/JKB+도/JX
집권	집권/NNG
이슬람	이슬람/NNG
세력과	세력/NNG+과/JC
군부	군부/NNG
세력	세력/NNG
간의	간/NNB+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
권력싸움이	권력/NNG+싸움/NNG+이/JKS
예상된다는	예상/NNG+되/XSV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.8.1
무바라크의 30년 철권통치 이후 처음 치러지는 이번 대선은 외양적으로는 ‘민주주의 축제’에 가까웠지만 내용 면에서는 과거로의 회귀에 지나지 않았다.

무바라크의	무바라크/NNP+의/JKG
30년	30/SN+년/NNB
철권통치	철권통치/NNG
이후	이후/NNG
처음	처음/NNG
치러지는	치르/VV+어/EC+지/VX+는/ETM
이번	이번/NNG
대선은	대선/NNG+은/JX
외양적으로는	외양/NNG+적/XSN+으로/JKB+는/JX
‘민주주의	‘/SS+민주주의/NNG
축제’에	축제/NNG+’/SS+에/JKB
가까웠지만	가깝/VA+었/EP+지만/EC
내용	내용/NNG
면에서는	면/NNG+에서/JKB+는/JX
과거로의	과거/NNG+로/JKB+의/JKG
회귀에	회귀/NNG+에/JKB
지나지	지나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.88.8.2
지난 5월 대선 1차 투표에서 무슬림형제단의 후보였던 무르시와 무바라크 시절의 마지막 총리 아흐마드 샤피끄가 결선투표 후보로 결정나면서 이미 이런 파국은 예정된 것이나 마찬가지였다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
대선	대선/NNG
1차	1/SN+차/NNB
투표에서	투표/NNG+에서/JKB
무슬림형제단의	무슬림형제단/NNP+의/JKG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
무르시와	무르시/NNP+와/JC
무바라크	무바라크/NNP
시절의	시절/NNG+의/JKG
마지막	마지막/NNG
총리	총리/NNG
아흐마드	아흐마드/NNP
샤피끄가	샤피끄/NNP+가/JKS
결선투표	결선/NNG+투표/NNG
후보로	후보/NNG+로/JKB
결정나면서	결정/NNG+나/VV+면서/EC
이미	이미/MAG
이런	이런/MMD
파국은	파국/NNG+은/JX
예정된	예정/NNG+되/XSV+ㄴ/ETM
것이나	것/NNB+이나/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.88.9.1
무르시가 이끌 이집트의 미래가 어떻게 될지는 오리무중이다.

무르시가	무르시/NNP+가/JKS
이끌	이끌/VV+ㄹ/ETM
이집트의	이집트/NNP+의/JKG
미래가	미래/NNG+가/JKS
어떻게	어떻/VA+게/EC
될지는	되/VV+ㄹ지/EF+는/JX
오리무중이다.	오리무중/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.9.2
이미 군부 실세들로 구성된 ‘최고군사위원회’는 무슬림형제단이 과반을 차지하고 있던 의회를 해산했고, 입법권, 예산권, 신헌법 초안을 만드는 위원 임명권 등을 자신들이 가진다고 선언했다.

이미	이미/MAG
군부	군부/NNG
실세들로	실세/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘최고군사위원회’는	‘/SS+최고/NNG+군사/NNG+위원회/NNG+’/SS+는/JX
무슬림형제단이	무슬림형제단/NNP+이/JKS
과반을	과반/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
의회를	의회/NNG+를/JKO
해산했고,	해산/NNG+하/XSV+았/EP+고/EC+,/SP
입법권,	입법/NNG+권/XSN+,/SP
예산권,	예산/NNG+권/XSN+,/SP
신헌법	신/XPN+헌법/NNG
초안을	초안/NNG+을/JKO
만드는	만들/VV+는/ETM
위원	위원/NNG
임명권	임명/NNG+권/XSN
등을	등/NNB+을/JKO
자신들이	자신/NNG+들/XSN+이/JKS
가진다고	가지/VV+ㄴ다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.88.9.3
대통령의 군에 대한 감시·통제는 배제했다.

대통령의	대통령/NNG+의/JKG
군에	군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감시·통제는	감시/NNG+·/SP+통제/NNG+는/JX
배제했다.	배제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.88.9.4
누가 대통령이 되든 군부가 거의 모든 것을 좌지우지할 수 있는 권한을 가진 셈이다.

누가	누구/NP+가/JKS
대통령이	대통령/NNG+이/JKC
되든	되/VV+든/EC
군부가	군부/NNG+가/JKS
거의	거의/MAG
모든	모든/MMN
것을	것/NNB+을/JKO
좌지우지할	좌지우지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권한을	권한/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.9.5
맘두흐 샤힌 소장 등 군부 최고실력자들은 “군은 권력을 원하는 것이 아니고, 대통령에게 모든 권한을 넘겨줄 것”이라고 주장하고 있지만 이를 곧이곧대로 믿는 이집트인은 많지 않다.

맘두흐	맘두흐/NNP
샤힌	샤힌/NNP
소장	소장/NNG
등	등/NNB
군부	군부/NNG
최고실력자들은	최고/NNG+실력자/NNG+들/XSN+은/JX
“군은	“/SS+군/NNG+은/JX
권력을	권력/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니고,	아니/VCN+고/EC+,/SP
대통령에게	대통령/NNG+에게/JKB
모든	모든/MMN
권한을	권한/NNG+을/JKO
넘겨줄	넘겨주/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
이를	이/NP+를/JKO
곧이곧대로	곧이곧대로/MAG
믿는	믿/VV+는/ETM
이집트인은	이집트인/NNG+은/JX
많지	많/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.88.10.1
거의 대부분의 힘이 최고군사위원회로 넘어간 상태에서 대통령의 권한은 매우 제한된다.

거의	거의/MAG
대부분의	대/XPN+부분/NNG+의/JKG
힘이	힘/NNG+이/JKS
최고군사위원회로	최고/NNG+군사/NNG+위원회/NNG+로/JKB
넘어간	넘어가/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
대통령의	대통령/NNG+의/JKG
권한은	권한/NNG+은/JX
매우	매우/MAG
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.88.10.2
대통령은 장관을 임명하고, 법을 비준하거나 거부권을 행사하는 정도의 권한밖에 없다.

대통령은	대통령/NNG+은/JX
장관을	장관/NNG+을/JKO
임명하고,	임명/NNG+하/XSV+고/EC+,/SP
법을	법/NNG+을/JKO
비준하거나	비준/NNG+하/XSV+거나/EC
거부권을	거부/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
정도의	정도/NNG+의/JKG
권한밖에	권한/NNG+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.88.10.3
무르시가 취임도 하기 전에 ‘식물 대통령’이 될 가능성도 있는 셈이다.

무르시가	무르시/NNP+가/JKS
취임도	취임/NNG+도/JX
하기	하/VV+기/ETN
전에	전/NNG+에/JKB
‘식물	‘/SS+식물/NNG
대통령’이	대통령/NNG+’/SS+이/JKC
될	되/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있는	있/VA+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.10.4
최고군사위원회는 신헌법 초안을 만드는 위원회를 구성한 뒤 다시 의회선거를 재실시하고, 의회가 구성된 뒤 모든 권한을 대통령에게 넘길 것이라고 밝힌 상태다.

최고군사위원회는	최고/NNG+군사/NNG+위원회/NNG+는/JX
신헌법	신/XPN+헌법/NNG
초안을	초안/NNG+을/JKO
만드는	만들/VV+는/ETM
위원회를	위원회/NNG+를/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
의회선거를	의회/NNG+선거/NNG+를/JKO
재실시하고,	재/XPN+실시/NNG+하/XSV+고/EC+,/SP
의회가	의회/NNG+가/JKS
구성된	구성/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
권한을	권한/NNG+을/JKO
대통령에게	대통령/NNG+에게/JKB
넘길	넘기/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.10.5
원래는 이번주 안에 헌법위원회가 구성될 것이라는 관측이 나왔으나 선거 결과의 공포가 늦어지고 공포 뒤에도 극심한 혼란이 예상되는 상황에서 예측대로 향후 일정이 진행될 수 있을지는 미지수다.

원래는	원래/NNG+는/JX
이번주	이번/NNG+주/NNG
안에	안/NNG+에/JKB
헌법위원회가	헌법/NNG+위원회/NNG+가/JKS
구성될	구성/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나왔으나	나오/VV+았/EP+으나/EC
선거	선거/NNG
결과의	결과/NNG+의/JKG
공포가	공포/NNG+가/JKS
늦어지고	늦어지/VV+고/EC
공포	공포/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
극심한	극심하/VA+ㄴ/ETM
혼란이	혼란/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
예측대로	예측/NNG+대로/JX
향후	향후/NNG
일정이	일정/NNG+이/JKS
진행될	진행/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.10.6
이집트 정국이 총선상황에 들어서면서 다시 혼란상태에 빠질 수도 있다.

이집트	이집트/NNP
정국이	정국/NNG+이/JKS
총선상황에	총선/NNG+상황/NNG+에/JKB
들어서면서	들어서/VV+면서/EC
다시	다시/MAG
혼란상태에	혼란/NNG+상태/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.88.11.1
이집트 국민들의 움직임도 어떻게 될지 예상하기 힘들다.

이집트	이집트/NNP
국민들의	국민/NNG+들/XSN+의/JKG
움직임도	움직임/NNG+도/JX
어떻게	어떻/VA+게/EC
될지	되/VV+ㄹ지/EC
예상하기	예상/NNG+하/XSV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000036.88.11.2
당장 나세르에 모였던 수천명의 샤피끄의 지지자들은 선거 결과를 믿을 수 없다며 항거할 뜻을 밝히고 있다.

당장	당장/NNG
나세르에	나세르/NNP+에/JKB
모였던	모이/VV+었/EP+던/ETM
수천명의	수천/NR+명/NNB+의/JKG
샤피끄의	샤피끄/NNP+의/JKG
지지자들은	지지자/NNG+들/XSN+은/JX
선거	선거/NNG
결과를	결과/NNG+를/JKO
믿을	믿/VV+을/ETM
수	수/NNB
없다며	없/VA+다며/EC
항거할	항거/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.88.11.3
이들의 집단행동이 계속될 경우 유혈사태가 벌어지면서 국내 정세 전체가 혼란에 빠진 지난해 봄 상황이 재현될 수도 있다.

이들의	이/NP+들/XSN+의/JKG
집단행동이	집단행동/NNG+이/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
유혈사태가	유혈/NNG+사태/NNG+가/JKS
벌어지면서	벌어지/VV+면서/EC
국내	국내/NNG
정세	정세/NNG
전체가	전체/NNG+가/JKS
혼란에	혼란/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
지난해	지난해/NNG
봄	봄/NNG
상황이	상황/NNG+이/JKS
재현될	재현/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.88.12.1
무르시 당선으로 당분간 이집트의 권력은 이슬람주의자들에게 집중될 것으로 보인다.

무르시	무르시/NNP
당선으로	당선/NNG+으로/JKB
당분간	당분간/MAG
이집트의	이집트/NNP+의/JKG
권력은	권력/NNG+은/JX
이슬람주의자들에게	이슬람주의자/NNG+들/XSN+에게/JKB
집중될	집중/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.88.12.2
이는 많은 민주주의 활동가들이 우려하던 상황이기도 하다.

이는	이/NP+는/JX
많은	많/VA+은/ETM
민주주의	민주주의/NNG
활동가들이	활동가/NNG+들/XSN+이/JKS
우려하던	우려/NNG+하/XSV+던/ETM
상황이기도	상황/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000036.88.12.3
무르시가 강력한 이슬람주의 정책을 강행한다면 시민들이 다시 거리로 몰려나올 가능성을 배제할 수 없다.

무르시가	무르시/NNP+가/JKS
강력한	강력/NNG+하/XSA+ㄴ/ETM
이슬람주의	이슬람주의/NNG
정책을	정책/NNG+을/JKO
강행한다면	강행/NNG+하/XSV+ㄴ다면/EC
시민들이	시민/NNG+들/XSN+이/JKS
다시	다시/MAG
거리로	거리/NNG+로/JKB
몰려나올	몰려나오/VV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.88.12.4
하지만 예상외로 향후 정국이 안정을 유지할 수 있다는 분석도 나오고 있다.

하지만	하지만/MAJ
예상외로	예상외/NNG+로/JKB
향후	향후/NNG
정국이	정국/NNG+이/JKS
안정을	안정/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석도	분석/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.88.12.5
<에이피>(AP) 통신 등은 선거 결과 발표가 계속 늦어졌던 것은 군부와 무슬림형제단이 권력을 분점하기 위한 뒷거래를 했기 때문이라는 의심도 이집트 시민들 사이에서는 팽배하다고 전했다.

<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신	통신/NNG
등은	등/NNB+은/JX
선거	선거/NNG
결과	결과/NNG
발표가	발표/NNG+가/JKS
계속	계속/MAG
늦어졌던	늦어지/VV+었/EP+던/ETM
것은	것/NNB+은/JX
군부와	군부/NNG+와/JC
무슬림형제단이	무슬림형제단/NNP+이/JKS
권력을	권력/NNG+을/JKO
분점하기	분점/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
뒷거래를	뒷거래/NNG+를/JKO
했기	하/VV+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
의심도	의심/NNG+도/JX
이집트	이집트/NNP
시민들	시민/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
팽배하다고	팽배/NNG+하/XSV+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.88.12.6
타흐리르 광장의 민주화 시위를 이끌었던 민주개혁 세력도 각각 ‘이슬람주의 대두’, ‘군부정권으로의 회귀’ 등을 우려해 뿔뿔이 흩어져 각 세력과 손을 잡은 상태라 대규모 시위를 이끌 만한 구심점이 없는 점도 이런 관측을 뒷받침한다.

타흐리르	타흐리르/NNP
광장의	광장/NNG+의/JKG
민주화	민주/NNG+화/XSN
시위를	시위/NNG+를/JKO
이끌었던	이끌/VV+었/EP+던/ETM
민주개혁	민주개혁/NNG
세력도	세력/NNG+도/JX
각각	각각/MAG
‘이슬람주의	‘/SS+이슬람주의/NNG
대두’,	대두/NNG+’/SS+,/SP
‘군부정권으로의	‘/SS+군부/NNG+정권/NNG+으로/JKB+의/JKG
회귀’	회귀/NNG+’/SS
등을	등/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
뿔뿔이	뿔뿔이/MAG
흩어져	흩어지/VV+어/EC
각	각/MMD
세력과	세력/NNG+과/JKB
손을	손/NNG+을/JKO
잡은	잡/VV+은/ETM
상태라	상태/NNG+이/VCP+라/EC
대규모	대/XPN+규모/NNG
이끌	이끌/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
구심점이	구심점/NNG+이/JKS
없는	없/VA+는/ETM
점도	점/NNG+도/JX
이런	이런/MMD
관측을	관측/NNG+을/JKO
뒷받침한다.	뒷받침/NNG+하/XSV+ㄴ다/EF+./SF


