# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.224
metadata : {}


# id : NWRW1800000038.224.1.1
구로 공사현장 화재로 11명 死傷… 용접하다 引火물질에 불 붙은 듯

구로	구로/NNP
계류	계류/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.224.8.1
작년 2월 착공, 내년 7월 완공 예정이었던 지밸리비즈플라자는 연면적 9만9954㎡로 판매동과 업무동, 롯데호텔 등 3개동으로 이뤄져 있다.

작년	작년/NNG
2월	2/SN+월/NNB
착공,	착공/NNG+,/SP
내년	내년/NNG
7월	7/SN+월/NNB
완공	완공/NNG
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
지밸리비즈플라자는	지밸리비즈플라자/NNP+는/JX
연면적	연면적/NNG
9만9954㎡로	9/SN+만/NR+9954/SN+㎡/SW+로/JKB
판매동과	판매/NNG+동/NNG+과/JC
업무동,	업무/NNG+동/NNG+,/SP
롯데호텔	롯데호텔/NNP
등	등/NNB
3개동으로	3/SN+개/NNB+동/NNB+으로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.224.8.2
이날 화재는 판매동 쪽 지하에서 발생해 업무동과 호텔동은 큰 피해를 보지 않았다.

이날	이날/NNG
화재는	화재/NNG+는/JX
판매동	판매/NNG+동/NNG
쪽	쪽/NNB
지하에서	지하/NNG+에서/JKB
발생해	발생/NNG+하/XSV+아/EC
업무동과	업무/NNG+동/NNG+과/JC
호텔동은	호텔/NNG+동/NNG+은/JX
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
보지	보/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.224.8.3
불이 나자 구로소방서 등에서 소방대원 127명과 소방차 39대가 출동해 긴급 진화에 나섰지만, 바람이 불어서 불길이 잡히는 데 32분이나 걸렸다.

불이	불/NNG+이/JKS
나자	나/VV+자/EC
구로소방서	구로소방서/NNP
등에서	등/NNB+에서/JKB
소방대원	소방대원/NNG
127명과	127/SN+명/NNB+과/JC
소방차	소방차/NNG
39대가	39/SN+대/NNB+가/JKS
출동해	출동/NNG+하/XSV+아/EC
긴급	긴급/NNG
진화에	진화/NNG+에/JKB
나섰지만,	나서/VV+었/EP+지만/EC+,/SP
바람이	바람/NNG+이/JKS
불어서	불/VV+어서/EC
불길이	불길/NNG+이/JKS
잡히는	잡히/VV+는/ETM
데	데/NNB
32분이나	32/SN+분/NNB+이나/JX
걸렸다.	걸리/VV+었/EP+다/EF+./SF


