# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.29
metadata : {}


# id : NWRW1800000052.29.1.1
“공정위 대통령 직속으로 둬야”

“공정위	“/SS+공정위/NNG
중견기업	중견/NNG+기업/NNG
정책을	정책/NNG+을/JKO
산업통상자원부로	산업/NNG+통상/NNG+자원부/NNG+로/JKB
이관하고	이관/NNG+하/XSV+고/EC
중소기업청을	중소기업청/NNG+을/JKO
중소기업부로	중소기업부/NNG+로/JKB
승격해야	승격/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.6.1
박 회장은 대기업집단 지정 기준 상향도 재고하라고 촉구했다.

박	박/NNP
회장은	회장/NNG+은/JX
대기업집단	대/XPN+기업/NNG+집단/NNG
지정	지정/NNG
기준	기준/NNG
상향도	상향/NNG+도/JX
재고하라고	재고/NNG+하/XSV+라고/EC
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.6.2
공정위는 대기업집단 지정 기준을 현행 자산 5조원에서 10조원으로 올리겠다고 밝힌 바 있다.

공정위는	공정위/NNG+는/JX
대기업집단	대/XPN+기업/NNG+집단/NNG
지정	지정/NNG
기준을	기준/NNG+을/JKO
현행	현행/NNG
자산	자산/NNG
5조원에서	5/SN+조/NR+원/NNB+에서/JKB
10조원으로	10/SN+조/NR+원/NNB+으로/JKB
올리겠다고	올리/VV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.29.6.3
박 회장은 지정 기준 상향으로 대기업의 골목상권 진입이 확대될 수 있다고 우려했다.

박	박/NNP
회장은	회장/NNG+은/JX
지정	지정/NNG
기준	기준/NNG
상향으로	상향/NNG+으로/JKB
대기업의	대/XPN+기업/NNG+의/JKG
골목상권	골목/NNG+상권/NNG
진입이	진입/NNG+이/JKS
확대될	확대/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.6.4
그는 “동네 빵집과 음식점 등 생계형 업종까지 대기업들이 시장을 잠식하는 상황에서 최소한의 생존권 보장을 위한 (중소기업) 적합업종 법제화는 대기업의 목소리에 밀려 국회 문턱을 넘지 못하고 있다”며 “생계형 업종만이라도 적합업종을 법제화해야 한다”고 주장했다.

그는	그/NP+는/JX
“동네	“/SS+동네/NNG
빵집과	빵집/NNG+과/JC
음식점	음식점/NNG
등	등/NNB
생계형	생계/NNG+형/XSN
업종까지	업종/NNG+까지/JX
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
시장을	시장/NNG+을/JKO
잠식하는	잠식/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
최소한의	최소한/NNG+의/JKG
생존권	생존/NNG+권/XSN
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
(중소기업)	(/SS+중소기업/NNG+)/SS
적합업종	적합/NNG+업종/NNG
법제화는	법제/NNG+화/XSN+는/JX
대기업의	대/XPN+기업/NNG+의/JKG
목소리에	목소리/NNG+에/JKB
밀려	밀리/VV+어/EC
국회	국회/NNG
문턱을	문턱/NNG+을/JKO
넘지	넘/VV+지/EC
못하고	못하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“생계형	“/SS+생계/NNG+형/XSN
업종만이라도	업종/NNG+만/JX+이/VCP+라도/EC
적합업종을	적합/NNG+업종/NNG+을/JKO
법제화해야	법제/NNG+화/XSN+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.7.1
박 회장은 또 구조조정 과정에서 협력 중소기업의 피해는 최소화하고 부실 대기업에 대한 대마불사식 금융 지원을 지양해야 한다고 밝혔다.

박	박/NNP
회장은	회장/NNG+은/JX
또	또/MAG
구조조정	구조/NNG+조정/NNG
과정에서	과정/NNG+에서/JKB
협력	협력/NNG
중소기업의	중소기업/NNG+의/JKG
피해는	피해/NNG+는/JX
최소화하고	최소/NNG+화/XSN+하/XSV+고/EC
부실	부실/NNG
대기업에	대/XPN+기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대마불사식	대마불사식/NNG
금융	금융/NNG
지원을	지원/NNG+을/JKO
지양해야	지양/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.29.7.2
“구조조정 추진이 부실 대기업에 대한 국책은행의 지원을 더욱 편중시키고, 실제 정책자금이 흘러가야 할 신산업·중소기업 분야에는 지원이 축소되는 결과를 초래하는 것을 막아야 한다”는 것이다.

“구조조정	“/SS+구조/NNG+조정/NNG
추진이	추진/NNG+이/JKS
부실	부실/NNG
대기업에	대/XPN+기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국책은행의	국책/NNG+은행/NNG+의/JKG
지원을	지원/NNG+을/JKO
더욱	더욱/MAG
편중시키고,	편중/NNG+시키/XSV+고/EC+,/SP
실제	실제/NNG
정책자금이	정책/NNG+자금/NNG+이/JKS
흘러가야	흘러가/VV+아야/EC
할	하/VX+ㄹ/ETM
신산업·중소기업	신/XPN+산업/NNG+·/SP+중소기업/NNG
분야에는	분야/NNG+에/JKB+는/JX
지원이	지원/NNG+이/JKS
축소되는	축소/NNG+되/XSV+는/ETM
결과를	결과/NNG+를/JKO
초래하는	초래/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막아야	막/VV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.29.8.1
이어 박 회장은 “사회 구성원 간 이중구조와 갈등을 심화시키는 대기업 중심 경제 성장 전략은 한계에 부닥쳤다”며 “우리 경제의 지속 가능한 균형 성장을 위해 중소기업·소상공인 친화적 경제정책으로의 전환이 시급하다”고 말했다.

이어	이어/MAG
박	박/NNP
회장은	회장/NNG+은/JX
“사회	“/SS+사회/NNG
구성원	구성원/NNG
간	간/NNB
이중구조와	이중/NNG+구조/NNG+와/JC
갈등을	갈등/NNG+을/JKO
심화시키는	심화/NNG+시키/XSV+는/ETM
대기업	대/XPN+기업/NNG
중심	중심/NNG
경제	경제/NNG
성장	성장/NNG
전략은	전략/NNG+은/JX
한계에	한계/NNG+에/JKB
부닥쳤다”며	부닥치/VV+었/EP+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
경제의	경제/NNG+의/JKG
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
균형	균형/NNG
성장을	성장/NNG+을/JKO
위해	위하/VV+아/EC
중소기업·소상공인	중소기업/NNG+·/SP+소/XPN+상공인/NNG
친화적	친화/NNG+적/XSN
경제정책으로의	경제/NNG+정책/NNG+으로/JKB+의/JKG
전환이	전환/NNG+이/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


