# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.387
metadata : {}


# id : NWRW1800000037.387.1.1
“통진당은 종북세력” 56%…“아니다” 37%

“통진당은	“/SS+통진당/NNP+은/JX
‘정부가	‘/SS+정부/NNG+가/JKS
헌법재판소에	헌법/NNG+재판소/NNG+에/JKB
통진당에	통진당/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정당해산	정당/NNG+해산/NNG
심판을	심판/NNG+을/JKO
청구한	청구/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
어떻게	어떻/VA+게/EC
생각하는가’라는	생각/NNG+하/XSV+는가/EF+’/SS+이/VCP+라는/ETM
질문에	질문/NNG+에/JKB
거의	거의/MAG
모든	모든/MMN
연령층이	연령/NNG+층/XSN+이/JKS
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라고	조치/NNG+’/SS+라고/JKQ
판단하는	판단/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.6.1
50대(68.7%)와 60대 이상(62.7%) 등 고연령층은 물론이고 20대(63.6%)에서도 60%가 넘는 응답자가 ‘적절한 조치’라는 의견을 내놨다.

50대(68.7%)와	50/SN+대/NNB+(/SS+68/SN+./SP+7/SN+%/SW+)/SS+와/JC
60대	60/SN+대/NNB
이상(62.7%)	이상/NNG+(/SS+62/SN+./SP+7/SN+%/SW+)/SS
등	등/NNB
고연령층은	고/XPN+연령/NNG+층/XSN+은/JX
물론이고	물론/NNG+이/VCP+고/EC
20대(63.6%)에서도	20/SN+대/NNB+(/SS+63/SN+./SP+6/SN+%/SW+)/SS+에서/JKB+도/JX
60%가	60/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
응답자가	응답자/NNG+가/JKS
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라는	조치/NNG+’/SS+이/VCP+라는/ETM
의견을	의견/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.6.2
40대 역시 58.6%의 응답자가 ‘적절한 조치’라고 답변해 ‘부적절한 조치’(33.4%)보다 많았다.

40대	40/SN+대/NNB
역시	역시/MAG
58.6%의	58/SN+./SP+6/SN+%/SW+의/JKG
응답자가	응답자/NNG+가/JKS
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라고	조치/NNG+’/SS+라고/JKQ
답변해	답변/NNG+하/XSV+아/EC
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
조치’(33.4%)보다	조치/NNG+’/SS+(/SS+33/SN+./SP+4/SN+%/SW+)/SS+보다/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.387.6.3
다만 30대의 경우 ‘적절한 조치’(47.7%)와 ‘부적절한 조치’(44.6%)란 응답이 비슷하게 나타났다.

다만	다만/MAG
30대의	30/SN+대/NNB+의/JKG
경우	경우/NNG
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’(47.7%)와	조치/NNG+’/SS+(/SS+47/SN+./SP+7/SN+%/SW+)/SS+와/JC
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
조치’(44.6%)란	조치/NNG+’/SS+(/SS+44/SN+./SP+6/SN+%/SW+)/SS+란/JX
응답이	응답/NNG+이/JKS
비슷하게	비슷하/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.7.1
‘통진당이 북한을 따르는 종북 세력이라는 정부의 설명에 공감하느냐’란 질문에서도 응답자의 절반 이상(56.2%)이 ‘공감한다’고 답변했다.

‘통진당이	‘/SS+통진당/NNP+이/JKS
북한을	북한/NNP+을/JKO
따르는	따르/VV+는/ETM
종북	종북/NNG
세력이라는	세력/NNG+이/VCP+라는/ETM
정부의	정부/NNG+의/JKG
설명에	설명/NNG+에/JKB
공감하느냐’란	공감/NNG+하/XSV+느냐/EF+’/SS+란/ETM
질문에서도	질문/NNG+에서/JKB+도/JX
응답자의	응답자/NNG+의/JKG
절반	절반/NNG
이상(56.2%)이	이상/NNG+(/SS+56/SN+./SP+2/SN+%/SW+)/SS+이/JKS
‘공감한다’고	‘/SS+공감/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.7.2
공감하지 않는다는 응답은 37.3%에 그쳤다.

공감하지	공감/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
응답은	응답/NNG+은/JX
37.3%에	37/SN+./SP+3/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.387.8.1
다만 이 질문에서도 30대는 ‘공감한다’(45.3%)와 ‘공감하지 않는다’(52.3%)는 의견이 오차범위 안에 있어 사실상 엇비슷한 것으로 나타났다.

다만	다만/MAG
이	이/MMD
질문에서도	질문/NNG+에서/JKB+도/JX
30대는	30/SN+대/NNB+는/JX
‘공감한다’(45.3%)와	‘/SS+공감/NNG+하/XSV+ㄴ다/EF+’/SS+(/SS+45/SN+./SP+3/SN+%/SW+)/SS+와/JC
‘공감하지	‘/SS+공감/NNG+하/XSV+지/EC
않는다’(52.3%)는	않/VX+는다/EF+’/SS+(/SS+52/SN+./SP+3/SN+%/SW+)/SS+는/JX
의견이	의견/NNG+이/JKS
오차범위	오차/NNG+범위/NNG
안에	안/NNG+에/JKB
있어	있/VA+어/EC
사실상	사실/NNG+상/XSN
엇비슷한	엇비슷하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.8.2
다른 연령층에서는 20대 53.3%, 40대 58.6%, 50대 65.6%, 60대 이상 58.1% 등으로 통진당이 종북 세력이라는 평가에 ‘공감’을 표시했다.

다른	다른/MMD
연령층에서는	연령/NNG+층/XSN+에서/JKB+는/JX
20대	20/SN+대/NNB
53.3%,	53/SN+./SP+3/SN+%/SW+,/SP
40대	40/SN+대/NNB
58.6%,	58/SN+./SP+6/SN+%/SW+,/SP
50대	50/SN+대/NNB
65.6%,	65/SN+./SP+6/SN+%/SW+,/SP
60대	60/SN+대/NNB
이상	이상/NNG
58.1%	58/SN+./SP+1/SN+%/SW
등으로	등/NNB+으로/JKB
통진당이	통진당/NNP+이/JKS
종북	종북/NNG
세력이라는	세력/NNG+이/VCP+라는/ETM
평가에	평가/NNG+에/JKB
‘공감’을	‘/SS+공감/NNG+’/SS+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.9.1
배종찬 리서치앤리서치 본부장은 “30대는 다른 여론조사에서도 늘 대통령과 정부에 대해 비우호적인 응답을 내놓고, 진영 논리에서도 상대적으로 진보에 가까운 성향을 보인다”며 “그런 반정부적 성향이 이번 여론조사에서도 통진당에 상대적으로 우호적인 답변으로 나타난 것으로 보인다”고 말했다.

배종찬	배종찬/NNP
리서치앤리서치	리서치앤리서치/NNP
본부장은	본부장/NNG+은/JX
“30대는	“/SS+30/SN+대/NNB+는/JX
다른	다른/MMD
여론조사에서도	여론/NNG+조사/NNG+에서/JKB+도/JX
늘	늘/MAG
대통령과	대통령/NNG+과/JC
정부에	정부/NNG+에/JKB
대해	대하/VV+아/EC
비우호적인	비/XPN+우호/NNG+적/XSN+이/VCP+ㄴ/ETM
응답을	응답/NNG+을/JKO
내놓고,	내놓/VV+고/EC+,/SP
진영	진영/NNG
논리에서도	논리/NNG+에서/JKB+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
진보에	진보/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
성향을	성향/NNG+을/JKO
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“그런	“/SS+그런/MMD
반정부적	반/XPN+정부/NNG+적/XSN
성향이	성향/NNG+이/JKS
이번	이번/NNG
통진당에	통진당/NNP+에/JKB
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
답변으로	답변/NNG+으로/JKB
나타난	나타나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.9.2
그는 “반면 20대의 경우 최근 탈이념화 현상이 뚜렷해지면서 극단적인 종북 성향이나 이석기 의원 같은 주사파 논리에 반대하는 응답이 많다”고 설명했다.

그는	그/NP+는/JX
“반면	“/SS+반면/NNG
20대의	20/SN+대/NNB+의/JKG
경우	경우/NNG
최근	최근/NNG
탈이념화	탈/XPN+이념/NNG+화/XSN
현상이	현상/NNG+이/JKS
뚜렷해지면서	뚜렷하/VA+아/EC+지/VX+면서/EC
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
종북	종북/NNG
성향이나	성향/NNG+이나/JC
이석기	이석기/NNP
의원	의원/NNG
같은	같/VA+은/ETM
주사파	주사파/NNG
논리에	논리/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
응답이	응답/NNG+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.10.1
실제 박근혜 대통령의 국정운영 평가에서도 30대는 유일하게 ‘긍정’(49.0%)과 ‘부정’(44.2%)이 비슷하게 나타났다.

실제	실제/MAG
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
국정운영	국정/NNG+운영/NNG
평가에서도	평가/NNG+에서/JKB+도/JX
30대는	30/SN+대/NNB+는/JX
유일하게	유일/NNG+하/XSA+게/EC
‘긍정’(49.0%)과	‘/SS+긍정/NNG+’/SS+(/SS+49/SN+./SP+0/SN+%/SW+)/SS+과/JC
‘부정’(44.2%)이	‘/SS+부정/NNG+’/SS+(/SS+44/SN+./SP+2/SN+%/SW+)/SS+이/JKS
비슷하게	비슷하/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.10.2
30대를 제외한 나머지 연령층은 모두 박 대통령에 대해 ‘긍정’ 응답이 더 많았다.

30대를	30/SN+대/NNB+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
연령층은	연령/NNG+층/XSN+은/JX
모두	모두/MAG
박	박/NNP
대통령에	대통령/NNG+에/JKB
대해	대하/VV+아/EC
‘긍정’	‘/SS+긍정/NNG+’/SS
응답이	응답/NNG+이/JKS
더	더/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.387.11.1
○ 지역과 지지 정당에 따라 의견 엇갈려

○	○/SW
지역과	지역/NNG+과/JC
지지	지지/NNG
정당에	정당/NNG+에/JKB
따라	따르/VV+아/EC
의견	의견/NNG
엇갈려	엇갈리/VV+어/EC


# id : NWRW1800000037.387.12.1
절반 이상의 국민이 통진당이 종북 세력이라는 인식에 ‘공감’을 표시하고 정당해산 청구 심판도 ‘적절한 조치’라고 답변했지만 지지 정당과 지역별 분류에서는 의견이 크게 엇갈렸다.

절반	절반/NNG
이상의	이상/NNG+의/JKG
국민이	국민/NNG+이/JKS
통진당이	통진당/NNP+이/JKS
종북	종북/NNG
세력이라는	세력/NNG+이/VCP+라는/ETM
인식에	인식/NNG+에/JKB
‘공감’을	‘/SS+공감/NNG+’/SS+을/JKO
표시하고	표시/NNG+하/XSV+고/EC
정당해산	정당/NNG+해산/NNG
청구	청구/NNG
심판도	심판/NNG+도/JX
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라고	조치/NNG+’/SS+라고/JKQ
답변했지만	답변/NNG+하/XSV+았/EP+지만/EC
지지	지지/NNG
정당과	정당/NNG+과/JC
지역별	지역/NNG+별/XSN
분류에서는	분류/NNG+에서/JKB+는/JX
의견이	의견/NNG+이/JKS
크게	크/VA+게/EC
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.387.13.1
새누리당을 지지한다고 밝힌 응답자 가운데 74.0%는 통진당이 종북 세력이라는 데 ‘공감’했고, 82.0%는 정당해산 청구 심판에 대해 ‘적절한 조치’라고 답변했다.

새누리당을	새누리당/NNP+을/JKO
지지한다고	지지/NNG+하/XSV+ㄴ다고/EC
밝힌	밝히/VV+ㄴ/ETM
응답자	응답자/NNG
가운데	가운데/NNG
74.0%는	74/SN+./SP+0/SN+%/SW+는/JX
통진당이	통진당/NNP+이/JKS
종북	종북/NNG
세력이라는	세력/NNG+이/VCP+라는/ETM
데	데/NNB
‘공감’했고,	‘/SS+공감/NNG+’/SS+하/VV+았/EP+고/EC+,/SP
82.0%는	82/SN+./SP+0/SN+%/SW+는/JX
정당해산	정당/NNG+해산/NNG
청구	청구/NNG
심판에	심판/NNG+에/JKB
대해	대하/VV+아/EC
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라고	조치/NNG+’/SS+라고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.13.2
‘공감하지 않는다’는 의견은 20.7%, 정당해산 심판 청구가 ‘부적절한 조치’라는 응답은 10.2%에 불과했다.

‘공감하지	‘/SS+공감/NNG+하/XSV+지/EC
않는다’는	않/VX+는다/EF+’/SS+는/ETM
의견은	의견/NNG+은/JX
20.7%,	20/SN+./SP+7/SN+%/SW+,/SP
정당해산	정당/NNG+해산/NNG
심판	심판/NNG
청구가	청구/NNG+가/JKS
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
조치’라는	조치/NNG+’/SS+이/VCP+라는/ETM
응답은	응답/NNG+은/JX
10.2%에	10/SN+./SP+2/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000037.387.14.1
하지만 민주당 지지자 가운데 62.7%는 통진당이 종북세력이라는 데 ‘공감하지 않는다’고 밝혀 ‘공감한다’(30.9%)는 응답의 두 배 이상이었다.

하지만	하지만/MAJ
민주당	민주당/NNP
지지자	지지자/NNG
가운데	가운데/NNG
62.7%는	62/SN+./SP+7/SN+%/SW+는/JX
통진당이	통진당/NNP+이/JKS
종북세력이라는	종북/NNG+세력/NNG+이/VCP+라는/ETM
데	데/NNB
‘공감하지	‘/SS+공감/NNG+하/XSV+지/EC
않는다’고	않/VX+는다/EF+’/SS+고/JKQ
밝혀	밝히/VV+어/EC
‘공감한다’(30.9%)는	‘/SS+공감/NNG+하/XSV+ㄴ다/EF+’/SS+(/SS+30/SN+./SP+9/SN+%/SW+)/SS+는/JX
응답의	응답/NNG+의/JKG
두	두/MMN
배	배/NNG
이상이었다.	이상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.387.14.2
또 정부의 정당해산 심판청구에 대해서도 ‘부적절한 조치’(54.0%)라는 의견이 ‘적절한 조치’(37.7%)보다 많았다.

또	또/MAG
정부의	정부/NNG+의/JKG
정당해산	정당/NNG+해산/NNG
심판청구에	심판/NNG+청구/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
조치’(54.0%)라는	조치/NNG+’/SS+(/SS+54/SN+./SP+0/SN+%/SW+)/SS+이/VCP+라는/ETM
의견이	의견/NNG+이/JKS
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’(37.7%)보다	조치/NNG+’/SS+(/SS+37/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.387.14.3
민주당 관계자는 “민주당 지지자들이 종북 세력에 대해 상대적으로 우호적인 것이 아니라 박근혜 정부에 대한 반감이 그 원인이라고 봐야 한다”고 말했다.

민주당	민주당/NNP
관계자는	관계자/NNG+는/JX
“민주당	“/SS+민주당/NNP
지지자들이	지지자/NNG+들/XSN+이/JKS
종북	종북/NNG
세력에	세력/NNG+에/JKB
대해	대하/VV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
박근혜	박근혜/NNP
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반감이	반감/NNG+이/JKS
그	그/MMD
원인이라고	원인/NNG+이/VCP+라고/EC
봐야	보/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.14.4
지역별로도 민주당의 전통적 지지 기반인 광주·전남북에서는 36.6%의 응답자만 정당해산 심판청구가 ‘적절한 조치’라고 답변했고 45.7%는 ‘부적절한 조치’라는 생각을 밝혔다.

지역별로도	지역/NNG+별/XSN+로/JKB+도/JX
민주당의	민주당/NNP+의/JKG
전통적	전통/NNG+적/XSN
지지	지지/NNG
기반인	기반/NNG+이/VCP+ㄴ/ETM
광주·전남북에서는	광주/NNP+·/SP+전남북/NNP+에서/JKB+는/JX
36.6%의	36/SN+./SP+6/SN+%/SW+의/JKG
응답자만	응답자/NNG+만/JX
정당해산	정당/NNG+해산/NNG
심판청구가	심판/NNG+청구/NNG+가/JKS
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라고	조치/NNG+’/SS+라고/JKQ
답변했고	답변/NNG+하/XSV+았/EP+고/EC
45.7%는	45/SN+./SP+7/SN+%/SW+는/JX
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
조치’라는	조치/NNG+’/SS+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.387.15.1
통진당 의원들의 의원 자격 유지에 대해서도 새누리당 지지자의 72.0%는 ‘국회의원 자격도 상실해야 한다’고 답변해 ‘지역구 의원을 빼고 비례대표 의원만 상실해야’(13.9%) ‘국회의원 자격 유지해야’(7.7%)보다 훨씬 많았지만 민주당 지지자들은 ‘국회의원 자격도 상실해야 한다’는 응답은 23.2%에 그쳤다.

통진당	통진당/NNP
의원들의	의원/NNG+들/XSN+의/JKG
의원	의원/NNG
자격	자격/NNG
유지에	유지/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
새누리당	새누리당/NNP
지지자의	지지자/NNG+의/JKG
72.0%는	72/SN+./SP+0/SN+%/SW+는/JX
‘국회의원	‘/SS+국회/NNG+의원/NNG
자격도	자격/NNG+도/JX
상실해야	상실/NNG+하/XSV+아야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
답변해	답변/NNG+하/XSV+아/EC
‘지역구	‘/SS+지역구/NNG
의원을	의원/NNG+을/JKO
빼고	빼/VV+고/EC
비례대표	비례/NNG+대표/NNG
의원만	의원/NNG+만/JX
상실해야’(13.9%)	상실/NNG+하/XSV+아야/EC+’/SS+(/SS+13/SN+./SP+9/SN+%/SW+)/SS
유지해야’(7.7%)보다	유지/NNG+하/XSV+아야/EC+’/SS+(/SS+7/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
훨씬	훨씬/MAG
많았지만	많/VA+았/EP+지만/EC
민주당	민주당/NNP
지지자들은	지지자/NNG+들/XSN+은/JX
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
응답은	응답/NNG+은/JX
23.2%에	23/SN+./SP+2/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.387.15.2
민주당 지지자의 38.6%는 ‘국회의원 자격을 유지해야 한다’고 응답했고 비례대표 의원만 상실해야 한다는 응답은 35.0%로 나타났다.

민주당	민주당/NNP
지지자의	지지자/NNG+의/JKG
38.6%는	38/SN+./SP+6/SN+%/SW+는/JX
‘국회의원	‘/SS+국회/NNG+의원/NNG
자격을	자격/NNG+을/JKO
유지해야	유지/NNG+하/XSV+아야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
응답했고	응답/NNG+하/XSV+았/EP+고/EC
비례대표	비례/NNG+대표/NNG
의원만	의원/NNG+만/JX
상실해야	상실/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
응답은	응답/NNG+은/JX
35.0%로	35/SN+./SP+0/SN+%/SW+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.16.1
연령별 차이도 두드러졌다.

연령별	연령/NNG+별/XSN
차이도	차이/NNG+도/JX
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.387.16.2
50대에선 55.7%, 60대 이상에선 67.1%가 국회의원 자격도 상실해야 한다고 답했다.

50대에선	50/SN+대/NNB+에서/JKB+ㄴ/JX
55.7%,	55/SN+./SP+7/SN+%/SW+,/SP
60대	60/SN+대/NNB
이상에선	이상/NNG+에서/JKB+ㄴ/JX
67.1%가	67/SN+./SP+1/SN+%/SW+가/JKS
국회의원	국회/NNG+의원/NNG
자격도	자격/NNG+도/JX
상실해야	상실/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.387.16.3
반면 30대에선 국회의원 자격을 상실해야 한다는 응답이 36.2%로 가장 낮았다.

반면	반면/NNG
30대에선	30/SN+대/NNB+에서/JKB+ㄴ/JX
국회의원	국회/NNG+의원/NNG
자격을	자격/NNG+을/JKO
상실해야	상실/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
응답이	응답/NNG+이/JKS
36.2%로	36/SN+./SP+2/SN+%/SW+로/JKB
가장	가장/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


