# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.332
metadata : {}


# id : NWRW1800000046.332.1.1
[韓中日 외무회담] 朴대통령 "전제 조건 없는 南北대화 제안하고 있다"

[韓中日	[/SS+韓中日/SH
북측에	북측/NNG+에/JKB
제안하고	제안/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF
북한이	북한/NNP+이/JKS
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
대화와	대화/NNG+와/JC
변화의	변화/NNG+의/JKG
길로	길/NNG+로/JKB
들어선다면	들어서/VV+ㄴ다면/EC
모든	모든/MMN
협력의	협력/NNG+의/JKG
길을	길/NNG+을/JKO
열어놓겠다"고	열/VV+어/EC+놓/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.332.4.1
박 대통령은 이날 3국 외교장관 회의에 앞서 윤병세 외교부 장관과 왕이 중국 외교부장, 기시다 후미오 일본 외무상을 청와대로 초청, "한반도의 평화통일은 한반도는 물론 동북아와 세계 평화 및 번영에도 새로운 동력을 제공할 것으로 확신한다"며 이같이 말했다고 청와대가 밝혔다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
3국	3국/NNG
외교장관	외교/NNG+장관/NNG
회의에	회의/NNG+에/JKB
앞서	앞서/VV+어/EC
윤병세	윤병세/NNP
외교부	외교부/NNG
장관과	장관/NNG+과/JC
왕이	왕이/NNP
중국	중국/NNP
외교부장,	외교부장/NNG+,/SP
기시다	기시다/NNP
후미오	후미오/NNP
일본	일본/NNP
외무상을	외무상/NNG+을/JKO
청와대로	청와대/NNP+로/JKB
초청,	초청/NNG+,/SP
"한반도의	"/SS+한반도/NNP+의/JKG
평화통일은	평화/NNG+통일/NNG+은/JX
한반도는	한반도/NNP+는/JX
물론	물론/MAG
동북아와	동북아/NNP+와/JC
세계	세계/NNG
평화	평화/NNG
및	및/MAG
번영에도	번영/NNG+에/JKB+도/JX
새로운	새롭/VA+ㄴ/ETM
동력을	동력/NNG+을/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
확신한다"며	확신/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
이같이	이/NP+같이/JKB
말했다고	말/NNG+하/XSV+았/EP+다고/EC
청와대가	청와대/NNP+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.332.5.1
박 대통령은 "3국이 지혜를 모아 북한 비핵화의 실질적 진전을 위해 함께 노력해나가야 한다"며 "북핵 문제 해결은 안정적인 남북 관계 발전은 물론 동북아 정세 안정에 기여할 것"이라고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"3국이	"/SS+3국/NNG+이/JKS
지혜를	지혜/NNG+를/JKO
모아	모으/VV+아/EC
북한	북한/NNP
비핵화의	비핵/NNG+화/XSN+의/JKG
실질적	실질/NNG+적/XSN
진전을	진전/NNG+을/JKO
위해	위하/VV+아/EC
함께	함께/MAG
노력해나가야	노력/NNG+하/XSV+아/EC+나가/VX+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"북핵	"/SS+북핵/NNG
문제	문제/NNG
해결은	해결/NNG+은/JX
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
남북	남북/NNP
관계	관계/NNG
발전은	발전/NNG+은/JX
물론	물론/MAG
동북아	동북아/NNP
정세	정세/NNG
안정에	안정/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.332.6.1
박 대통령은 이번 3국 외교회의에 대해 "양자(兩者) 관계에 어려움이 있더라도 다자(多者) 협력 메커니즘을 통해 대화와 협력을 가능토록 해준다는 점에서 동북아 다자 협력의 유용성을 잘 보여주는 좋은 사례"라고 언급했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이번	이번/NNG
3국	3국/NNG
외교회의에	외교/NNG+회의/NNG+에/JKB
대해	대하/VV+아/EC
"양자(兩者)	"/SS+양자/NNG+(/SS+兩者/SH+)/SS
관계에	관계/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있더라도	있/VA+더라도/EC
다자(多者)	다자/NNG+(/SS+多者/SH+)/SS
협력	협력/NNG
메커니즘을	메커니즘/NNG+을/JKO
통해	통하/VV+아/EC
대화와	대화/NNG+와/JC
협력을	협력/NNG+을/JKO
가능토록	가능/NNG+하/XSA+도록/EC
해준다는	하/VX+아/EC+주/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
동북아	동북아/NNP
다자	다자/NNG
협력의	협력/NNG+의/JKG
유용성을	유용/NNG+성/XSN+을/JKO
잘	잘/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
좋은	좋/VA+은/ETM
사례"라고	사례/NNG+"/SS+라고/JKQ
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.332.6.2
또 "금년은 광복 70주년, 종전 70주년, 한·일 수교 50주년 등 역사적으로 의미 있는 해이자 역사가 3국에 협력의 모멘텀(momentum·동력)을 선사하는 소중한 한 해가 될 것"이라고 했다.

또	또/MAG
"금년은	"/SS+금년/NNG+은/JX
광복	광복/NNG
70주년,	70/SN+주년/NNB+,/SP
종전	종전/NNG
한·일	한·일/NNP
수교	수교/NNG
50주년	50/SN+주년/NNB
등	등/NNB
역사적으로	역사/NNG+적/XSN+으로/JKB
의미	의미/NNG
있는	있/VA+는/ETM
해이자	해/NNG+이/VCP+자/EC
역사가	역사/NNG+가/JKS
3국에	3국/NNG+에/JKB
협력의	협력/NNG+의/JKG
모멘텀(momentum·동력)을	모멘텀/NNG+(/SS+momentum/SL+·/SP+동력/NNG+)/SS+을/JKO
선사하는	선사/NNG+하/XSV+는/ETM
소중한	소중하/VA+ㄴ/ETM
한	한/MMN
해가	해/NNB+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.332.7.1
박 대통령은 취임 후 시진핑 중국 국가주석과 5차례 정상회담을 하는 과정에서 왕이 부장을 수차례 만났지만 일본 외무상을 접견한 것은 처음이다.

박	박/NNP
대통령은	대통령/NNG+은/JX
취임	취임/NNG
후	후/NNG
시진핑	시진핑/NNP
중국	중국/NNP
국가주석과	국가주석/NNG+과/JC
5차례	5/SN+차례/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
하는	하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
왕이	왕이/NNP
부장을	부장/NNG+을/JKO
수차례	수차례/NNG
만났지만	만나/VV+았/EP+지만/EC
일본	일본/NNP
외무상을	외무상/NNG+을/JKO
접견한	접견/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.332.7.2
과거사 문제로 한·일 관계가 냉각돼 있지만 중·일 외교장관이 동시 방한한 기회를 살린 셈이다.

과거사	과거사/NNG
문제로	문제/NNG+로/JKB
한·일	한·일/NNP
관계가	관계/NNG+가/JKS
냉각돼	냉각/NNG+되/XSV+어/EC
있지만	있/VX+지만/EC
중·일	중·일/NNP
외교장관이	외교/NNG+장관/NNG+이/JKS
동시	동시/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
기회를	기회/NNG+를/JKO
살린	살리/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


