# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.88
metadata : {}


# id : NWRW1800000038.88.1.1
[월요바둑] 여성이냐, 시니어(45세 이상 남성)냐… 최후승자 놓고 '2대2' 대결

[월요바둑]	[/SS+월요/NNG+바둑/NNG+]/SS
# id : NWRW1800000038.88.4.4
현재 연승 주자는 시니어 팀 조훈현으로 16일 김혜림과 대결한다.

현재	현재/MAG
연승	연승/NNG
주자는	주자/NNG+는/JX
시니어	시니어/NNG
팀	팀/NNG
조훈현으로	조훈현/NNP+으로/JKB
16일	16/SN+일/NNB
김혜림과	김혜림/NNP+과/JKB
대결한다.	대결/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.88.5.1
우승 결정까지 가능한 경우의 수는 모두 6가지.

우승	우승/NNG
결정까지	결정/NNG+까지/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
경우의	경우/NNG+의/JKG
수는	수/NNG+는/JX
모두	모두/MAG
6가지.	6/SN+가지/NNB+./SF


# id : NWRW1800000038.88.5.2
어느 팀이건 우승을 위해선 2승이 필요하다.

어느	어느/MMD
팀이건	팀/NNG+이/VCP+건/EC
우승을	우승/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
2승이	2/SN+승/NNB+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.88.5.3
일단 조훈현·유창혁 등 왕년의 '트윈 타워'가 포진한 시니어 팀의 우세를 점치는 쪽이 많다.

일단	일단/MAG
조훈현·유창혁	조훈현/NNP+·/SP+유창혁/NNP
등	등/NNB
왕년의	왕년/NNG+의/JKG
'트윈	'/SS+트윈/NNG
타워'가	타워/NNG+'/SS+가/JKS
포진한	포진/NNG+하/XSV+ㄴ/ETM
시니어	시니어/NNG
팀의	팀/NNG+의/JKG
우세를	우세/NNG+를/JKO
점치는	점치/VV+는/ETM
쪽이	쪽/NNB+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.88.5.4
여성 바둑계 에이스인 박지은의 궁륭산배 1회전 탈락 등 최근 부진도 여성 팀 열세를 점치는 이유다.

여성	여성/NNG
바둑계	바둑/NNG+계/XSN
에이스인	에이스/NNG+이/VCP+ㄴ/ETM
박지은의	박지은/NNP+의/JKG
궁륭산배	궁륭산/NNP+배/NNB
1회전	1/SN+회전/NNB
탈락	탈락/NNG
등	등/NNB
최근	최근/NNG
부진도	부진/NNG+도/JX
팀	팀/NNG
열세를	열세/NNG+를/JKO
점치는	점치/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.88.6.1
하지만 박지은은 이 대회에 특별히 강했던 경력을 갖고 있다.

하지만	하지만/MAJ
박지은은	박지은/NNP+은/JX
이	이/MMD
대회에	대회/NNG+에/JKB
특별히	특별히/MAG
강했던	강하/VA+았/EP+던/ETM
경력을	경력/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.88.6.2
1회와 4회 두 차례나 클로저(우승 종결자) 역할을 맡았다.

1회와	1/SN+회/NNB+와/JC
4회	4/SN+회/NNB
두	두/MMN
차례나	차례/NNG+나/JX
클로저(우승	클로저/NNG+(/SS+우승/NNG
종결자)	종결자/NNG+)/SS
역할을	역할/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.88.6.3
그 두 번 모두 마지막 상대가 조훈현이었다.

그	그/MMD
두	두/MMN
번	번/NNB
모두	모두/MAG
마지막	마지막/NNG
상대가	상대/NNG+가/JKS
조훈현이었다.	조훈현/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.88.6.4
대신 시니어 팀 최종 주자로 대기 중인 유창혁도 5회 대회 우승 결정국서 박지은을 꺾었던 좋은 기억이 있다.

대신	대신/NNG
시니어	시니어/NNG
팀	팀/NNG
최종	최종/NNG
주자로	주자/NNG+로/JKB
대기	대기/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
유창혁도	유창혁/NNP+도/JX
5회	5/SN+회/NNB
대회	대회/NNG
우승	우승/NNG
결정국서	결정/NNG+국/NNB+서/JKB
박지은을	박지은/NNP+을/JKO
꺾었던	꺾/VV+었/EP+던/ETM
좋은	좋/VA+은/ETM
기억이	기억/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.88.6.5
상대 전적을 보면 박지은 기준으로 조훈현에게 3승 1패, 유창혁에게 2승 4패다.

상대	상대/NNG
전적을	전적/NNG+을/JKO
보면	보/VV+면/EC
박지은	박지은/NNP
기준으로	기준/NNG+으로/JKB
조훈현에게	조훈현/NNP+에게/JKB
3승	3/SN+승/NNB
1패,	1/SN+패/NNB+,/SP
유창혁에게	유창혁/NNP+에게/JKB
2승	2/SN+승/NNB
4패다.	4/SN+패/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.88.6.6
신예 김혜림은 유창혁과 겨룬 1패가 전부지만 부담이 적어 '결정타'의 주인공이 될 수도 있다.

신예	신예/NNG
김혜림은	김혜림/NNP+은/JX
유창혁과	유창혁/NNP+과/JKB
겨룬	겨루/VV+ㄴ/ETM
1패가	1/SN+패/NNB+가/JKS
전부지만	전부/NNG+이/VCP+지만/EC
부담이	부담/NNG+이/JKS
적어	적/VA+어/EC
'결정타'의	'/SS+결정타/NNG+'/SS+의/JKG
주인공이	주인공/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.88.7.1
우승 팀 단체 상금은 7000만원인데 패한 쪽엔 한 푼도 없다.

우승	우승/NNG
팀	팀/NNG
단체	단체/NNG
상금은	상금/NNG+은/JX
7000만원인데	7000/SN+만/NR+원/NNB+이/VCP+ㄴ데/EC
패한	패/NNG+하/XSV+ㄴ/ETM
쪽엔	쪽/NNB+에/JKB+ㄴ/JX
한	한/MMN
푼도	푼/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.88.7.2
명예로만 그치지 않고 '실리'도 천양지차라는 뜻.

명예로만	명예/NNG+로/JKB+만/JX
그치지	그치/VV+지/EC
않고	않/VX+고/EC
'실리'도	'/SS+실리/NNG+'/SS+도/JX
천양지차라는	천양지차/NNG+이/VCP+라는/ETM
뜻.	뜻/NNG+./SF


# id : NWRW1800000038.88.7.3
그보다 더 중요한 것은 자존심이다.

그보다	그/NP+보다/JKB
더	더/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
자존심이다.	자존심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.88.7.4
프로 바둑계에서 고참들은 젊은이들에게 속속 밀려나고 있다.

프로	프로/NNG
바둑계에서	바둑/NNG+계/XSN+에서/JKB
고참들은	고참/NNG+들/XSN+은/JX
젊은이들에게	젊은이/NNG+들/XSN+에게/JKB
속속	속속/MAG
밀려나고	밀려나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.88.7.5
여자 기사들에겐 '양성평등'이 아직은 구호에 불과하다.

여자	여자/NNG
기사들에겐	기사/NNG+들/XSN+에게/JKB+ㄴ/JX
'양성평등'이	'/SS+양성평등/NNG+'/SS+이/JKS
아직은	아직/MAG+은/JX
구호에	구호/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000038.88.7.6
'시니어'와 '여성' 두 마이너리티(열세 집단) 멤버들이 마주칠 때마다 특별히 전의를 불살라왔던 이유다.

'시니어'와	'/SS+시니어/NNG+'/SS+와/JC
'여성'	'/SS+여성/NNG+'/SS
두	두/MMN
마이너리티(열세	마이너리티/NNG+(/SS+열세/NNG
집단)	집단/NNG+)/SS
멤버들이	멤버/NNG+들/XSN+이/JKS
마주칠	마주치/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
특별히	특별히/MAG
전의를	전의/NNG+를/JKO
불살라왔던	불사르/VV+아/EC+오/VX+았/EP+던/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.88.8.1
지지옥션배란 그들만의 마당이 마련된 뒤 6년 간의 전적은 3승 3패로 두 그룹이 팽팽하다.

지지옥션배란	지지옥션/NNP+배/NNB+란/JX
그들만의	그/NP+들/XSN+만/JX+의/JKG
마당이	마당/NNG+이/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
6년	6/SN+년/NNB
간의	간/NNB+의/JKG
전적은	전적/NNG+은/JX
3승	3/SN+승/NNB
3패로	3/SN+패/NNG+로/JKB
두	두/MMN
그룹이	그룹/NNG+이/JKS
팽팽하다.	팽팽하/VA+다/EF+./SF


# id : NWRW1800000038.88.8.2
이번 대회는 중간 결산에 해당하는 셈이다.

이번	이번/NNG
대회는	대회/NNG+는/JX
중간	중간/NNG
결산에	결산/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.88.8.3
6년간 총승패에선 시니어 팀이 77승 72패로 앞서 있다.

6년간	6/SN+년/NNB+간/XSN
총승패에선	총/MMA+승패/NNG+에서/JKB+ㄴ/JX
시니어	시니어/NNG
팀이	팀/NNG+이/JKS
77승	77/SN+승/NNB
72패로	72/SN+패/NNG+로/JKB
앞서	앞서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.88.8.4
올해 출전자 평균 연령은 시니어가 55.7세, 여성이 25.6세로 딱 한 세대 차이가 난다.

올해	올해/NNG
출전자	출전자/NNG
평균	평균/NNG
연령은	연령/NNG+은/JX
시니어가	시니어/NNG+가/JKS
55.7세,	55/SN+./SP+7/SN+세/NNB+,/SP
여성이	여성/NNG+이/JKS
25.6세로	25/SN+./SP+6/SN+세/NNB+로/JKB
딱	딱/MAG
한	한/MMN
세대	세대/NNG
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.88.9.1
바둑TV 생방송 진행자인 김효정 二단은 "현재 연승 주자인 조훈현 九단의 기세가 높아 일단 남성 팀이 우세해 보이는 게 사실"이라면서도 "여성 쪽 잔여 병력의 저력 또한 만만치 않아 승부는 최종국이 끝나봐야 알 수 있을 것"이라고 진단했다.

바둑TV	바둑/NNG+TV/SL
생방송	생/XPN+방송/NNG
진행자인	진행자/NNG+이/VCP+ㄴ/ETM
김효정	김효정/NNP
二단은	二/SH+단/NNG+은/JX
"현재	"/SS+현재/MAG
연승	연승/NNG
주자인	주자/NNG+이/VCP+ㄴ/ETM
조훈현	조훈현/NNP
九단의	九/SH+단/NNG+의/JKG
기세가	기세/NNG+가/JKS
높아	높/VA+아/EC
일단	일단/MAG
남성	남성/NNG
팀이	팀/NNG+이/JKS
우세해	우세/NNG+하/XSA+아/EC
보이는	보이/VV+는/ETM
게	거/NNB+이/JKS
사실"이라면서도	사실/NNG+"/SS+이/VCP+라면서/EC+도/JX
"여성	"/SS+여성/NNG
쪽	쪽/NNB
잔여	잔여/NNG
병력의	병력/NNG+의/JKG
저력	저력/NNG
또한	또한/MAG
만만치	만만하/VA+지/EC
않아	않/VX+아/EC
승부는	승부/NNG+는/JX
최종국이	최종국/NNG+이/JKS
끝나봐야	끝나/VV+아/EC+보/VX+아야/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.88.9.2
16일 저녁 7시에 벌어질 조훈현 대 김혜림 간의 21국이 1차 분수령이 될 전망.

16일	16/SN+일/NNB
저녁	저녁/NNG
7시에	7/SN+시/NNB+에/JKB
벌어질	벌어지/VV+ㄹ/ETM
조훈현	조훈현/NNP
대	대/NNB
김혜림	김혜림/NNP
간의	간/NNB+의/JKG
21국이	21/SN+국/NNB+이/JKS
1차	1/SN+차/NNB
분수령이	분수령/NNG+이/JKC
될	되/VV+ㄹ/ETM
전망.	전망/NNG+./SF


