# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.182
metadata : {}


# id : NWRW1800000056.182.1.1
“구제역, 보은에서 묶어라” 중부권 확산 마지노선

“구제역,	“/SS+구제역/NNG+,/SP
바이러스를	바이러스/NNG+를/JKO
적어도	적어도/MAG
탄부·마로	탄부/NNP+·/SP+마로/NNP
등	등/NNB
보은	보은/NNP
안에	안/NNG+에/JKB
진공	진공/NNG
상태처럼	상태/NNG+처럼/JKB
차단하려는	차단/NNG+하/XSV+려는/ETM
조처”라고	조처/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.182.13.1
방역대를 보은 전역으로 확대하는 등 탄부·마로 방역대 사수에 사활을 건 것은 이곳이 보은지역 돼지·소 사육의 4분의 1 정도가 밀집해 있는 데다, 군·도 경계여서 저지선이 무너지면 자칫 다른 지역으로 확산할 우려가 크기 때문이다.

방역대를	방역대/NNG+를/JKO
보은	보은/NNP
전역으로	전역/NNG+으로/JKB
확대하는	확대/NNG+하/XSV+는/ETM
등	등/NNB
탄부·마로	탄부/NNP+·/SP+마로/NNP
방역대	방역대/NNG
사수에	사수/NNG+에/JKB
사활을	사활/NNG+을/JKO
건	걸/VV+ㄴ/ETM
것은	것/NNB+은/JX
이곳이	이곳/NP+이/JKS
보은지역	보은/NNP+지역/NNG
돼지·소	돼지/NNG+·/SP+소/NNG
사육의	사육/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1	1/SN
정도가	정도/NNG+가/JKS
밀집해	밀집/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
데다,	데/NNB+다/JX+,/SP
군·도	군/NNG+·/SP+도/NNG
경계여서	경계/NNG+이/VCP+어서/EC
저지선이	저지선/NNG+이/JKS
무너지면	무너지/VV+면/EC
자칫	자칫/MAG
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
확산할	확산/NNG+하/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
크기	크/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.182.13.2
윤충노 충북도 농정국장은 “탄부·마로 저지선이 무너지면 자칫 경북 상주, 옥천, 영동 등으로 구제역이 번질 우려가 있어 차단 방역에 주력하고 있다”고 말했다.

윤충노	윤충노/NNP
충북도	충북도/NNP
농정국장은	농정국장/NNG+은/JX
“탄부·마로	“/SS+탄부/NNP+·/SP+마로/NNP
저지선이	저지선/NNG+이/JKS
무너지면	무너지/VV+면/EC
자칫	자칫/MAG
경북	경북/NNP
상주,	상주/NNP+,/SP
옥천,	옥천/NNP+,/SP
영동	영동/NNP
등으로	등/NNB+으로/JKB
구제역이	구제역/NNG+이/JKS
번질	번지/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있어	있/VA+어/EC
차단	차단/NNG
방역에	방역/NNG+에/JKB
주력하고	주력/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


