# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.356
metadata : {}


# id : NWRW1800000049.356.1.1
“김형준 검사, 모친 적금 깨 스폰서비 돌려막아”

“김형준	“/SS+김형준/NNP
별도로	별도/NNG+로/JKB
김	김/NNP
씨	씨/NNB
자금	자금/NNG
500만	500/SN+만/NR
원은	원/NNB+은/JX
2월	2/SN+월/NNB
3일	3/SN+일/NNB
부장검사의	부장/NNG+검사/NNG+의/JKG
내연녀	내연녀/NNG
계좌로	계좌/NNG+로/JKB
입금됐다.	입금/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.356.5.1
횡령 및 사기 혐의로 조사를 받던 김 씨는 수개월 동안 자신이 불구속 수사를 받도록 김 부장검사가 검찰에 영향력을 행사할 것을 종용했다.

횡령	횡령/NNG
및	및/MAG
사기	사기/NNG
혐의로	혐의/NNG+로/JKB
조사를	조사/NNG+를/JKO
받던	받/VV+던/ETM
김	김/NNP
씨는	씨/NNB+는/JX
수개월	수개월/NNG
동안	동안/NNG
자신이	자신/NNG+이/JKS
불구속	불/XPN+구속/NNG
수사를	수사/NNG+를/JKO
받도록	받/VV+도록/EC
부장검사가	부장/NNG+검사/NNG+가/JKS
검찰에	검찰/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
종용했다.	종용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.356.5.2
검찰은 “김 부장검사가 김 씨와 거리를 두기 시작했고, 4월경 1500만 원과 웃돈 1000만 원을 얹어 스폰서 비용을 돌려줄 당시 어머니의 적금계좌를 깼다”는 진술과 금융 거래 자료를 확보한 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
“김	“/SS+김/NNP
부장검사가	부장/NNG+검사/NNG+가/JKS
김	김/NNP
씨와	씨/NNB+와/JKB
거리를	거리/NNG+를/JKO
두기	두/VV+기/ETN
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
4월경	4/SN+월/NNB+경/XSN
1500만	1500/SN+만/NR
원과	원/NNB+과/JC
웃돈	웃돈/NNG
1000만	1000/SN+만/NR
원을	원/NNB+을/JKO
얹어	얹/VV+어/EC
스폰서	스폰서/NNG
비용을	비용/NNG+을/JKO
돌려줄	돌려주/VV+ㄹ/ETM
당시	당시/NNG
어머니의	어머니/NNG+의/JKG
적금계좌를	적금/NNG+계좌/NNG+를/JKO
깼다”는	깨/VV+었/EP+다/EF+”/SS+는/ETM
진술과	진술/NNG+과/JC
금융	금융/NNG
거래	거래/NNG
자료를	자료/NNG+를/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.356.6.1
하지만 끝내 구속영장이 청구되자 김 씨는 김 부장검사를 협박하기 시작했다.

하지만	하지만/MAJ
끝내	끝내/MAG
구속영장이	구속/NNG+영장/NNG+이/JKS
청구되자	청구/NNG+되/XSV+자/EC
김	김/NNP
씨는	씨/NNB+는/JX
부장검사를	부장/NNG+검사/NNG+를/JKO
협박하기	협박/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.356.6.2
“내연녀 A 씨와 김 부장검사가 함께 제주도 여행을 가서 찍은 사진을 들이대며 김 부장검사를 압박했을 것”이라는 얘기도 나온다.

“내연녀	“/SS+내연녀/NNG
A	A/SL
씨와	씨/NNB+와/JC
김	김/NNP
부장검사가	부장/NNG+검사/NNG+가/JKS
함께	함께/MAG
제주도	제주도/NNP
여행을	여행/NNG+을/JKO
가서	가/VV+아서/EC
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
들이대며	들이대/VV+며/EC
부장검사를	부장/NNG+검사/NNG+를/JKO
압박했을	압박/NNG+하/XSV+았/EP+을/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.356.7.1
김 씨가 2일 한 언론사에 녹취록과 소셜네트워크서비스(SNS) 메시지를 건네자 다급해진 김 부장검사는 박 변호사에게 SOS를 쳤고, 결국 박 변호사 자금 2000만 원을 끌어다 김 씨에게 준 것이다.

김	김/NNP
씨가	씨/NNB+가/JKS
2일	2/SN+일/NNB
한	한/MMN
언론사에	언론사/NNG+에/JKB
녹취록과	녹취록/NNG+과/JC
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
메시지를	메시지/NNG+를/JKO
건네자	건네/VV+자/EC
다급해진	다급하/VA+아/EC+지/VX+ㄴ/ETM
부장검사는	부장/NNG+검사/NNG+는/JX
박	박/NNP
변호사에게	변호사/NNG+에게/JKB
SOS를	SOS/SL+를/JKO
쳤고,	치/VV+었/EP+고/EC+,/SP
결국	결국/MAG
변호사	변호사/NNG
자금	자금/NNG
2000만	2000/SN+만/NR
원을	원/NNB+을/JKO
끌어다	끌/VV+어다/EC
씨에게	씨/NNB+에게/JKB
준	주/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.356.7.2
박 변호사는 “많은 것을 체념한 듯 ‘내가 죽는 게 맞겠다’며 패닉 상태가 된 친구가 월요일에 갚겠다면서 송금을 부탁하는데 거절하기 어려웠다”고 했다.

박	박/NNP
변호사는	변호사/NNG+는/JX
“많은	“/SS+많/VA+은/ETM
것을	것/NNB+을/JKO
체념한	체념/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
‘내가	‘/SS+내/NP+가/JKS
죽는	죽/VV+는/ETM
게	거/NNB+이/JKS
맞겠다’며	맞/VV+겠/EP+다/EF+’/SS+며/EC
패닉	패닉/NNG
상태가	상태/NNG+가/JKC
된	되/VV+ㄴ/ETM
친구가	친구/NNG+가/JKS
월요일에	월요일/NNG+에/JKB
갚겠다면서	갚/VV+겠/EP+다면서/EC
송금을	송금/NNG+을/JKO
부탁하는데	부탁/NNG+하/XSV+는데/EC
거절하기	거절/NNG+하/XSV+기/ETN
어려웠다”고	어렵/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.356.8.1
대검찰청 특별감찰팀(팀장 안병익 서울고검 감찰부장)은 9일 김 부장검사를 출국 금지하고 김 부장검사의 금융 계좌와 통화 기록 추적에 나섰다.

대검찰청	대/XPN+검찰청/NNG
특별감찰팀(팀장	특별/NNG+감찰/NNG+팀/NNG+(/SS+팀장/NNG
안병익	안병익/NNP
서울고검	서울고검/NNP
감찰부장)은	감찰부장/NNG+)/SS+은/JX
9일	9/SN+일/NNB
김	김/NNP
부장검사를	부장/NNG+검사/NNG+를/JKO
출국	출국/NNG
금지하고	금지/NNG+하/XSV+고/EC
부장검사의	부장/NNG+검사/NNG+의/JKG
금융	금융/NNG
계좌와	계좌/NNG+와/JC
통화	통화/NNG
기록	기록/NNG
추적에	추적/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.356.8.2
감찰에서 수사 단계로 전환한 검찰은 “향후 도움을 받으려고 김 부장검사에게 금품과 향응을 제공했다”는 김 씨 진술의 신빙성을 확인하고 있다.

감찰에서	감찰/NNG+에서/JKB
수사	수사/NNG
단계로	단계/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
검찰은	검찰/NNG+은/JX
“향후	“/SS+향후/NNG
도움을	도움/NNG+을/JKO
받으려고	받/VV+으려고/EC
김	김/NNP
부장검사에게	부장/NNG+검사/NNG+에게/JKB
금품과	금품/NNG+과/JC
향응을	향응/NNG+을/JKO
제공했다”는	제공/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
씨	씨/NNB
진술의	진술/NNG+의/JKG
신빙성을	신빙/NNG+성/XSN+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.356.8.3
김 부장검사가 빌린 1500만 원을 반환하는 과정에 대해선 박 변호사와 김 씨가 서로 엇갈린 진술을 하고 있다.

김	김/NNP
부장검사가	부장/NNG+검사/NNG+가/JKS
빌린	빌리/VV+ㄴ/ETM
1500만	1500/SN+만/NR
원을	원/NNB+을/JKO
반환하는	반환/NNG+하/XSV+는/ETM
과정에	과정/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
박	박/NNP
변호사와	변호사/NNG+와/JC
씨가	씨/NNB+가/JKS
서로	서로/MAG
엇갈린	엇갈리/VV+ㄴ/ETM
진술을	진술/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.356.9.1
검찰은 내연녀로 지목된 술집 종업원 A 씨를 8일 불러 김 부장검사와의 관계, 금품 거래 자금의 성격 등도 조사했다.

검찰은	검찰/NNG+은/JX
내연녀로	내연녀/NNG+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
술집	술집/NNG
종업원	종업원/NNG
A	A/SL
씨를	씨/NNB+를/JKO
8일	8/SN+일/NNB
불러	부르/VV+어/EC
김	김/NNP
부장검사와의	부장/NNG+검사/NNG+와/JKB+의/JKG
관계,	관계/NNG+,/SP
금품	금품/NNG
거래	거래/NNG
자금의	자금/NNG+의/JKG
성격	성격/NNG
등도	등/NNB+도/JX
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.356.9.2
특별감찰팀은 김 부장검사의 혐의를 먼저 확정한 뒤 그와 식사 자리에서 접촉했다는 의혹을 받는 검사 10여 명에 대한 조사를 벌일 계획이다.

특별감찰팀은	특별/NNG+감찰/NNG+팀/NNG+은/JX
김	김/NNP
부장검사의	부장/NNG+검사/NNG+의/JKG
혐의를	혐의/NNG+를/JKO
먼저	먼저/MAG
확정한	확정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그와	그/NP+와/JKB
식사	식사/NNG
자리에서	자리/NNG+에서/JKB
접촉했다는	접촉/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받는	받/VV+는/ETM
검사	검사/NNG
10여	10/SN+여/XSN
명에	명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
조사를	조사/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.356.9.3
김 부장검사에 대해 수뢰 후 부정처사 혐의, 알선수뢰 혐의 등을 적용하는 방안도 폭넓게 검토되고 있다.

김	김/NNP
부장검사에	부장/NNG+검사/NNG+에/JKB
대해	대하/VV+아/EC
수뢰	수뢰/NNG
후	후/NNG
부정처사	부정/NNG+처사/NNG
혐의,	혐의/NNG+,/SP
알선수뢰	알선/NNG+수뢰/NNG
혐의	혐의/NNG
등을	등/NNB+을/JKO
적용하는	적용/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
폭넓게	폭넓/VA+게/EC
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


