# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.384
metadata : {}


# id : NWRW1800000052.384.1.1
“진경준 들었다”vs“말한 적 없다”…검찰의 선택은?

“진경준	“/SS+진경준/NNP
검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
우	우/NNP
수석	수석/NNG
처가가	처가/NNG+가/JKS
강남땅을	강남땅/NNG+을/JKO
넥슨에	넥슨/NNP+에/JKB
판	팔/VV+ㄴ/ETM
것은	것/NNB+은/JX
“자연스러운	“/SS+자연/NNG+스럽/XSA+ㄴ/ETM
거래”라며	거래/NNG+”/SS+이/VCP+라며/EC
수석과	수석/NNG+과/JC
넥슨	넥슨/NNP
간의	간/NNB+의/JKG
뇌물성	뇌물/NNG+성/XSN
땅거래	땅/NNG+거래/NNG
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
사실상	사실/NNG+상/XSN
무혐의	무/XPN+혐의/NNG
판단을	판단/NNG+을/JKO
내렸음을	내리/VV+었/EP+음/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.6.4
하지만 진 전 검사장이 거래에 개입했다는 ㅇ 부동산 대표 채아무개씨의 진술 내용이 언론을 통해 공개되자 뒤늦게 채씨를 소환했다.

하지만	하지만/MAJ
진	진/NNP
전	전/MMD
검사장이	검사장/NNG+이/JKS
거래에	거래/NNG+에/JKB
개입했다는	개입/NNG+하/XSV+았/EP+다는/ETM
ㅇ	ㅇ/NNG
부동산	부동산/NNG
대표	대표/NNG
채아무개씨의	채/NNP+아무개/NP+씨/NNB+의/JKG
진술	진술/NNG
내용이	내용/NNG+이/JKS
언론을	언론/NNG+을/JKO
통해	통하/VV+아/EC
공개되자	공개/NNG+되/XSV+자/EC
뒤늦게	뒤늦/VA+게/EC
채씨를	채/NNP+씨/NNB+를/JKO
소환했다.	소환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.7.1
채씨는 이날 <한겨레>와의 통화에서 “검찰에서 ‘ㅈ부동산 김아무개 대표로부터 분명히 진경준 검사를 통해 넥슨 땅을 소개받았다는 말을 들었다’고 진술했다.

채씨는	채/NNP+씨/NNB+는/JX
이날	이날/NNG
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“검찰에서	“/SS+검찰/NNG+에서/JKB
‘ㅈ부동산	‘/SS+ㅈ부동산/NNP
김아무개	김/NNP+아무개/NP
대표로부터	대표/NNG+로부터/JKB
분명히	분명히/MAG
진경준	진경준/NNP
검사를	검사/NNG+를/JKO
통해	통하/VV+아/EC
넥슨	넥슨/NNP
땅을	땅/NNG+을/JKO
소개받았다는	소개/NNG+받/XSV+았/EP+다는/ETM
말을	말/NNG+을/JKO
들었다’고	듣/VV+었/EP+다/EF+’/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.7.2
김씨는 내게 ‘거짓말 하지 말라’며 언성을 높였다”고 말했다.

김씨는	김/NNP+씨/NNB+는/JX
내게	나/NP+에게/JKB
‘거짓말	‘/SS+거짓말/NNG
하지	하/VV+지/EC
말라’며	말/VX+라/EF+’/SS+며/EC
언성을	언성/NNG+을/JKO
높였다”고	높이/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.7.3
김씨도 <한겨레>와의 통화에서 “2009년 3월21일 우 수석 처가 쪽과 매매종료일까지 부동산 거래를 전속으로 맡겠다는 계약을 맺었다.

김씨도	김/NNP+씨/NNB+도/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“2009년	“/SS+2009/SN+년/NNB
3월21일	3/SN+월/NNB+21/SN+일/NNB
우	우/NNP
수석	수석/NNG
처가	처가/NNG
쪽과	쪽/NNB+과/JKB
매매종료일까지	매매/NNG+종료일/NNG+까지/JX
부동산	부동산/NNG
거래를	거래/NNG+를/JKO
전속으로	전속/NNG+으로/JKB
맡겠다는	맡/VV+겠/EP+다는/ETM
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.384.7.4
채씨는 내가 2009년 9월 전화를 걸어 ‘넥슨이 사옥부지를 알아보고 있으니 매물정보를 제공하면 공동중개하겠다’고 제안했다고 주장하는데 나는 이미 그 전에 우 수석 쪽과 전속계약을 했다.

채씨는	채/NNP+씨/NNB+는/JX
내가	내/NP+가/JKS
2009년	2009/SN+년/NNB
9월	9/SN+월/NNB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
‘넥슨이	‘/SS+넥슨/NNP+이/JKS
사옥부지를	사옥/NNG+부지/NNG+를/JKO
알아보고	알아보/VV+고/EC
있으니	있/VX+으니/EC
매물정보를	매물/NNG+정보/NNG+를/JKO
제공하면	제공/NNG+하/XSV+면/EC
공동중개하겠다’고	공동/NNG+중개/NNG+하/XSV+겠/EP+다/EF+’/SS+고/JKQ
제안했다고	제안/NNG+하/XSV+았/EP+다고/EC
주장하는데	주장/NNG+하/XSV+는데/EC
나는	나/NP+는/JX
이미	이미/MAG
그	그/MMD
전에	전/NNG+에/JKB
우	우/NNP
수석	수석/NNG
쪽과	쪽/NNB+과/JKB
전속계약을	전속/NNG+계약/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.7.5
당시 진경준 검사가 누군지도 몰랐다고 진술했다”고 말했다.

당시	당시/NNG
진경준	진경준/NNP
검사가	검사/NNG+가/JKS
누군지도	누구/NP+이/VCP+ㄴ지/EF+도/JX
몰랐다고	모르/VV+았/EP+다고/EC
진술했다”고	진술/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.8.1
검찰은 당시 채씨와 함께 있었던 또 다른 부동산 대표 이아무개씨의 소환 여부를 검토하고 있다.

검찰은	검찰/NNG+은/JX
당시	당시/NNG
채씨와	채/NNP+씨/NNB+와/JKB
함께	함께/MAG
있었던	있/VA+었/EP+던/ETM
또	또/MAG
다른	다른/MMD
부동산	부동산/NNG
대표	대표/NNG
이아무개씨의	이/NNP+아무개/NP+씨/NNB+의/JKG
소환	소환/NNG
여부를	여부/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.384.8.2
검찰은 채씨가 진 전 검사장의 연결고리로 지목한 김 대표의 매형인 이아무개 변호사의 소환 여부에 대해서도 “검토하고 있다”고 밝혔다.

검찰은	검찰/NNG+은/JX
채씨가	채/NNP+씨/NNB+가/JKS
진	진/NNP
전	전/MMD
검사장의	검사장/NNG+의/JKG
연결고리로	연결/NNG+고리/NNG+로/JKB
지목한	지목/NNG+하/XSV+ㄴ/ETM
김	김/NNP
대표의	대표/NNG+의/JKG
매형인	매형/NNG+이/VCP+ㄴ/ETM
이아무개	이/NNP+아무개/NP
변호사의	변호사/NNG+의/JKG
소환	소환/NNG
여부에	여부/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“검토하고	“/SS+검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.384.8.3
하지만 검찰이 강남땅 거래와 관련해 우 수석 등에 대해 사실상 무혐의로 결론을 내린 것을 뒤집을 가능성은 그리 커 보이지 않는다.

하지만	하지만/MAJ
검찰이	검찰/NNG+이/JKS
강남땅	강남땅/NNG
거래와	거래/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
우	우/NNP
수석	수석/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
사실상	사실/NNG+상/XSN
무혐의로	무/XPN+혐의/NNG+로/JKB
결론을	결론/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것을	것/NNB+을/JKO
뒤집을	뒤집/VV+을/ETM
가능성은	가능/NNG+성/XSN+은/JX
그리	그리/MAG
커	크/VA+어/EC
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000052.384.9.1
한편 검찰은 지난 7월 우 수석 처가가 진 전 검사장의 소개로 강남땅을 매각한 의혹이 있다고 보도한 조선일보 기자에게 10일 피고소인 신분으로 나와 조사받으라고 통보했다.

한편	한편/MAG
검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
우	우/NNP
수석	수석/NNG
처가가	처가/NNG+가/JKS
진	진/NNP
전	전/MMD
검사장의	검사장/NNG+의/JKG
소개로	소개/NNG+로/JKB
강남땅을	강남땅/NNG+을/JKO
매각한	매각/NNG+하/XSV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
있다고	있/VA+다고/EC
보도한	보도/NNG+하/XSV+ㄴ/ETM
조선일보	조선일보/NNP
기자에게	기자/NNG+에게/JKB
10일	10/SN+일/NNB
피고소인	피/XPN+고소인/NNG
신분으로	신분/NNG+으로/JKB
나와	나오/VV+아/EC
조사받으라고	조사/NNG+받/XSV+으라고/EC
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.384.9.2
검찰은 이 기자가 이석수 전 특별감찰관의 직무상 기밀 누설 의혹과 관련한 핵심 참고인인 만큼, 출석할 경우 해당 내용도 조사한다는 방침이다.

검찰은	검찰/NNG+은/JX
이	이/MMD
기자가	기자/NNG+가/JKS
이석수	이석수/NNP
전	전/MMN
특별감찰관의	특별/NNG+감찰관/NNG+의/JKG
직무상	직무/NNG+상/XSN
기밀	기밀/NNG
누설	누설/NNG
의혹과	의혹/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
핵심	핵심/NNG
참고인인	참고인/NNG+이/VCP+ㄴ/ETM
만큼,	만큼/NNB+,/SP
출석할	출석/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
해당	해당/NNG
내용도	내용/NNG+도/JX
조사한다는	조사/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.384.9.3
하지만 이 기자가 실제 출석할지는 미지수다.

하지만	하지만/MAJ
이	이/MMD
기자가	기자/NNG+가/JKS
실제	실제/MAG
출석할지는	출석/NNG+하/XSV+ㄹ지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


