# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.101
metadata : {}


# id : NWRW1800000038.101.1.1
[화제人] 대한남자간호사회 초대회장 된 서울대 어린이병원 수간호사 김장언씨

[화제人]	[/SS+화제/NNG+人/SH+]/SS
남자 간호사로 살아오면서 가장 힘들었던 점으로 그는 '간호사는 여자'라는 편견을 꼽았다.

남자	남자/NNG
간호사로	간호사/NNG+로/JKB
살아오면서	살아오/VV+면서/EC
가장	가장/MAG
힘들었던	힘들/VA+었/EP+던/ETM
점으로	점/NNG+으로/JKB
그는	그/NP+는/JX
'간호사는	'/SS+간호사/NNG+는/JX
여자'라는	여자/NNG+'/SS+이/VCP+라는/ETM
편견을	편견/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.5.2
그가 겪은 첫 번째 '시련'은 1979년 서울대 의과대학 간호학과에 입학할 때다.

그가	그/NP+가/JKS
겪은	겪/VV+은/ETM
첫	첫/MMN
번째	번/NNB+째/XSN
'시련'은	'/SS+시련/NNG+'/SS+은/JX
1979년	1979/SN+년/NNB
서울대	서울대/NNP
의과대학	의과/NNG+대학/NNG
간호학과에	간호학과/NNG+에/JKB
입학할	입학/NNG+하/XSV+ㄹ/ETM
때다.	때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.101.5.3
당시 부모는 아들이 간호학과에 입학하는 걸 극구 반대했다.

당시	당시/NNG
부모는	부모/NNG+는/JX
아들이	아들/NNG+이/JKS
간호학과에	간호학과/NNG+에/JKB
입학하는	입학/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
극구	극구/MAG
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.5.4
"친구들에게 제 이야기를 하실 수가 없으셨나 봐요.

"친구들에게	"/SS+친구/NNG+들/XSN+에게/JKB
제	저/NP+의/JKG
이야기를	이야기/NNG+를/JKO
하실	하/VV+시/EP+ㄹ/ETM
수가	수/NNB+가/JKS
없으셨나	없/VA+으시/EP+었/EP+나/EC
봐요.	보/VX+아요/EF+./SF


# id : NWRW1800000038.101.5.5
사실 저도 친구들에게 명함을 내밀기가 껄끄러울 정도였으니까요."

사실	사실/MAG
저도	저/NP+도/JX
친구들에게	친구/NNG+들/XSN+에게/JKB
명함을	명함/NNG+을/JKO
내밀기가	내밀/VV+기/ETN+가/JKS
껄끄러울	껄끄럽/VA+ㄹ/ETM
정도였으니까요."	정도/NNG+이/VCP+었/EP+으니까요/EF+./SF+"/SS


# id : NWRW1800000038.101.6.1
1984년 서울대병원에 입사할 때 간호사 동기 100여명 중 남자는 그 혼자였다.

1984년	1984/SN+년/NNB
서울대병원에	서울대병원/NNP+에/JKB
입사할	입사/NNG+하/XSV+ㄹ/ETM
때	때/NNG
간호사	간호사/NNG
동기	동기/NNG
100여명	100/SN+여/XSN+명/NNB
중	중/NNB
남자는	남자/NNG+는/JX
그	그/NP
혼자였다.	혼자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.101.6.2
30년차 베테랑이지만, 아직도 힘든 점이 "동료와의 소통"이라고 했다.

30년차	30/SN+년/NNB+차/NNB
베테랑이지만,	베테랑/NNG+이/VCP+지만/EC+,/SP
아직도	아직/MAG+도/JX
힘든	힘들/VA+ㄴ/ETM
점이	점/NNG+이/JKS
"동료와의	"/SS+동료/NNG+와/JKB+의/JKG
소통"이라고	소통/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.7.1
"스트레스 쌓이면 술 한 잔 하고 싶은데 여자 동료와의 술자리는 부담스러웠어요.

"스트레스	"/SS+스트레스/NNG
쌓이면	쌓이/VV+면/EC
술	술/NNG
한	한/MMN
잔	잔/NNG
하고	하/VV+고/EC
싶은데	싶/VX+은데/EC
여자	여자/NNG
동료와의	동료/NNG+와/JKB+의/JKG
술자리는	술자리/NNG+는/JX
부담스러웠어요.	부담/NNG+스럽/XSA+었/EP+어요/EF+./SF


# id : NWRW1800000038.101.7.2
괜한 오해를 받을 수도 있잖아요." 시간이 지나 남자 후배들도 생겨났지만 여전히 수 많은 여자 동료와 후배들 속에서 어색하고 외로웠다.

괜한	괜하/VA+ㄴ/ETM
오해를	오해/NNG+를/JKO
받을	받/VV+을/ETM
수도	수/NNB+도/JX
있잖아요."	있/VA+잖아/EF+요/JX+./SF+"/SS
시간이	시간/NNG+이/JKS
지나	지나/VV+아/EC
남자	남자/NNG
후배들도	후배/NNG+들/XSN+도/JX
생겨났지만	생겨나/VV+았/EP+지만/EC
여전히	여전히/MAG
수	수/NNG
많은	많/VA+은/ETM
여자	여자/NNG
동료와	동료/NNG+와/JC
후배들	후배/NNG+들/XSN
속에서	속/NNG+에서/JKB
어색하고	어색하/VA+고/EC
외로웠다.	외롭/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.101.7.3
그는 "여자들 속에 섞여 30년이나 일했는데 아직도 여자 심리를 모르겠다"고도 했다.

그는	그/NP+는/JX
"여자들	"/SS+여자/NNG+들/XSN
속에	속/NNG+에/JKB
섞여	섞이/VV+어/EC
30년이나	30/SN+년/NNB+이나/JX
일했는데	일/NNG+하/XSV+았/EP+는데/EC
아직도	아직/MAG+도/JX
여자	여자/NNG
심리를	심리/NNG+를/JKO
모르겠다"고도	모르/VV+겠/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.8.1
원래 꿈은 학교 선생님이었다.

원래	원래/MAG
꿈은	꿈/NNG+은/JX
학교	학교/NNG
선생님이었다.	선생/NNG+님/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.101.8.2
고3 때 읽은 신문 기사 한 줄이 인생을 바꿨다.

고3	고/NNG+3/SN
때	때/NNG
읽은	읽/VV+은/ETM
신문	신문/NNG
기사	기사/NNG
한	한/MMN
줄이	줄/NNG+이/JKS
인생을	인생/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.101.8.3
'서울대학교 의과대학 간호학과에 최초로 남학생이 입학했다'는 기사였다.

'서울대학교	'/SS+서울대학교/NNP
의과대학	의과/NNG+대학/NNG
간호학과에	간호학과/NNG+에/JKB
최초로	최초/NNG+로/JKB
남학생이	남학생/NNG+이/JKS
입학했다'는	입학/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
기사였다.	기사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.101.8.4
김 간호사 전에 남학생 네 명이 서울대 간호학과에 입학했다.

김	김/NNP
간호사	간호사/NNG
전에	전/NNG+에/JKB
남학생	남학생/NNG
네	네/MMN
명이	명/NNB+이/JKS
서울대	서울대/NNP
간호학과에	간호학과/NNG+에/JKB
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.8.5
그중 2명은 서울대병원이 아닌 다른 병원에 취직했고, 2명은 2학년 때 자퇴했다.

그중	그중/NNG
2명은	2/SN+명/NNB+은/JX
서울대병원이	서울대병원/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
병원에	병원/NNG+에/JKB
취직했고,	취직/NNG+하/XSV+았/EP+고/EC+,/SP
2학년	2/SN+학년/NNG
때	때/NNG
자퇴했다.	자퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.8.6
그래서 김 간호사가 서울대병원에 들어갔을 때 '서울대병원 최초의 남자 간호사'가 될 수 있었다.

그래서	그래서/MAJ
김	김/NNP
간호사가	간호사/NNG+가/JKS
서울대병원에	서울대병원/NNP+에/JKB
들어갔을	들어가/VV+았/EP+을/ETM
때	때/NNG
'서울대병원	'/SS+서울대병원/NNP
최초의	최초/NNG+의/JKG
남자	남자/NNG
간호사'가	간호사/NNG+'/SS+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.101.9.1
올해는 사상 처음으로 남자 간호사가 1000명 넘게(1019명) 배출됐다.

올해는	올해/NNG+는/JX
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
남자	남자/NNG
간호사가	간호사/NNG+가/JKS
1000명	1000/SN+명/NNB
넘게(1019명)	넘/VV+게/EC+(/SS+1019/SN+명/NNB+)/SS
배출됐다.	배출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.101.9.2
2013년 현재 남자 간호사는 전체 등록 간호사(29만여명)의 2% 수준.

2013년	2013/SN+년/NNB
현재	현재/MAG
남자	남자/NNG
간호사는	간호사/NNG+는/JX
전체	전체/NNG
등록	등록/NNG
간호사(29만여명)의	간호사/NNG+(/SS+29/SN+만/NR+여/XSN+명/NNB+)/SS+의/JKG
2%	2/SN+%/SW
수준.	수준/NNG+./SF


# id : NWRW1800000038.101.9.3
현재 간호학과에 재학 중인 남학생이 8500여명에 달해 그 비중은 계속 늘어날 것으로 전망된다.

현재	현재/MAG
간호학과에	간호학과/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
남학생이	남학생/NNG+이/JKS
8500여명에	8500/SN+여/XSN+명/NNB+에/JKB
달해	달하/VV+아/EC
그	그/MMD
비중은	비중/NNG+은/JX
계속	계속/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.101.10.1
김씨는 "간호사를 많이 채용하기 어려운 지방 병원에서는 체력이 좋아 혼자서 두세 가지 일을 거뜬히 처리해 내는 남자 간호사가 특히 인기"라고 말했다.

김씨는	김/NNP+씨/NNB+는/JX
"간호사를	"/SS+간호사/NNG+를/JKO
많이	많이/MAG
채용하기	채용/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
지방	지방/NNG
병원에서는	병원/NNG+에서/JKB+는/JX
체력이	체력/NNG+이/JKS
좋아	좋/VA+아/EC
혼자서	혼자/NNG+서/JKS
두세	두세/MMN
가지	가지/NNB
일을	일/NNG+을/JKO
거뜬히	거뜬히/MAG
처리해	처리/NNG+하/XSV+아/EC
내는	내/VX+는/ETM
남자	남자/NNG
간호사가	간호사/NNG+가/JKS
특히	특히/MAG
인기"라고	인기/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


