# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.158
metadata : {}


# id : NWRW1800000038.158.1.1
천안서 여성 납치해 4일간 감금·성폭행… 경찰과 엽총 총격전까지

천안서	천안/NNP+서/JKB
자신의	자신/NNG+의/JKG
승용차에	승용차/NNG+에/JKB
태워	태우/VV+어/EC
감금한	감금/NNG+하/XSV+ㄴ/ETM
후	후/NNG
성폭행하고,	성폭행/NNG+하/XSV+고/EC+,/SP
"경찰에	"/SS+경찰/NNG+에/JKB
신고하면	신고/NNG+하/XSV+면/EC
총으로	총/NNG+으로/JKB
너와	너/NP+와/JC
가족들을	가족/NNG+들/XSN+을/JKO
모두	모두/MAG
죽이겠다"고	죽이/VV+겠/EP+다/EF+"/SS+고/JKQ
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.5.2
조씨에게 감금돼 끌려다니던 최씨는 21일 밤 10시 50분쯤 충남 아산시 가덕펌프장 부근에서 감시가 소홀한 틈을 타 도망친 뒤 휴대전화로 지인에게 위치를 알려줬고, 신고를 받은 경찰에 의해 병원으로 옮겨져 치료를 받았다.

조씨에게	조/NNP+씨/NNB+에게/JKB
감금돼	감금/NNG+되/XSV+어/EC
끌려다니던	끌려다니/VV+던/ETM
최씨는	최/NNP+씨/NNB+는/JX
21일	21/SN+일/NNB
밤	밤/NNG
10시	10/SN+시/NNB
50분쯤	50/SN+분/NNB+쯤/XSN
충남	충남/NNP
아산시	아산시/NNP
가덕펌프장	가덕펌프장/NNP
부근에서	부근/NNG+에서/JKB
감시가	감시/NNG+가/JKS
소홀한	소홀/NNG+하/XSA+ㄴ/ETM
틈을	틈/NNG+을/JKO
타	타/VV+아/EC
도망친	도망치/VV+ㄴ/ETM
뒤	뒤/NNG
휴대전화로	휴대/NNG+전화/NNG+로/JKB
지인에게	지인/NNG+에게/JKB
위치를	위치/NNG+를/JKO
알려줬고,	알리/VV+어/EC+주/VX+었/EP+고/EC+,/SP
신고를	신고/NNG+를/JKO
받은	받/VV+은/ETM
경찰에	경찰/NNG+에/JKB
의해	의하/VV+아/EC
병원으로	병원/NNG+으로/JKB
옮겨져	옮기/VV+어/EC+지/VX+어/EC
치료를	치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.5.3
경찰은 조씨가 보복하겠다고 협박한 데 따라 최씨 부모가 운영하는 천안시내 음식점 부근에서 잠복 근무하던 중 24일 오전 9시 50분쯤 조씨 승용차를 발견하고 10㎞가량 추격했다.

경찰은	경찰/NNG+은/JX
조씨가	조/NNP+씨/NNB+가/JKS
보복하겠다고	보복/NNG+하/XSV+겠/EP+다고/EC
협박한	협박/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따라	따르/VV+아/EC
최씨	최/NNP+씨/NNB
부모가	부모/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
천안시내	천안/NNP+시내/NNG
음식점	음식점/NNG
부근에서	부근/NNG+에서/JKB
잠복	잠복/NNG
근무하던	근무/NNG+하/XSV+던/ETM
중	중/NNB
24일	24/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
50분쯤	50/SN+분/NNB+쯤/XSN
조씨	조/NNP+씨/NNB
승용차를	승용차/NNG+를/JKO
발견하고	발견/NNG+하/XSV+고/EC
10㎞가량	10/SN+㎞/SW+가량/XSN
추격했다.	추격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.6.1
조씨는 오전 10시 5분쯤 천안시 동남구 신부동 모 아파트단지 인근에서 경찰에 저지당하자 엽총 3발을 쏘며 완강히 저항했다.

조씨는	조/NNP+씨/NNB+는/JX
오전	오전/NNG
10시	10/SN+시/NNB
5분쯤	5/SN+분/NNB+쯤/XSN
천안시	천안시/NNP
동남구	동남구/NNP
신부동	신부동/NNP
모	모/MMD
아파트단지	아파트/NNG+단지/NNG
인근에서	인근/NNG+에서/JKB
경찰에	경찰/NNG+에/JKB
저지당하자	저지/NNG+당하/XSV+자/EC
엽총	엽총/NNG
3발을	3/SN+발/NNB+을/JKO
쏘며	쏘/VV+며/EC
완강히	완강히/MAG
저항했다.	저항/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.6.2
경찰도 이에 대응해 조씨 승용차 바퀴 등에 공포탄 3발과 실탄 9발을 발사했다.

경찰도	경찰/NNG+도/JX
이에	이/NP+에/JKB
대응해	대응/NNG+하/XSV+아/EC
조씨	조/NNP+씨/NNB
승용차	승용차/NNG
바퀴	바퀴/NNG
등에	등/NNB+에/JKB
공포탄	공포탄/NNG
3발과	3/SN+발/NNB+과/JC
실탄	실탄/NNG
9발을	9/SN+발/NNB+을/JKO
발사했다.	발사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.6.3
이어 경찰차 등으로 승용차를 에워싸고 전기충격기를 발사해 조씨를 붙잡았다.

이어	이어/MAG
경찰차	경찰차/NNG
등으로	등/NNB+으로/JKB
승용차를	승용차/NNG+를/JKO
에워싸고	에워싸/VV+고/EC
전기충격기를	전기/NNG+충격기/NNG+를/JKO
발사해	발사/NNG+하/XSV+아/EC
조씨를	조/NNP+씨/NNB+를/JKO
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.7.1
이날 추격전으로 경찰차와 승용차 등이 심하게 파손됐으나 경찰관과 시민들의 인명피해는 발생하지 않았다.

이날	이날/NNG
추격전으로	추격전/NNG+으로/JKB
경찰차와	경찰차/NNG+와/JC
승용차	승용차/NNG
등이	등/NNB+이/JKS
심하게	심하/VA+게/EC
파손됐으나	파손/NNG+되/XSV+었/EP+으나/EC
경찰관과	경찰관/NNG+과/JC
시민들의	시민/NNG+들/XSN+의/JKG
인명피해는	인명/NNG+피해/NNG+는/JX
발생하지	발생/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.158.7.2
경찰은 조씨 승용차에서 160여발의 엽총 탄알과 흉기 10여점, 연료통 등을 발견하고 다른 범행을 저질렀는지 여부를 조사 중이다.

경찰은	경찰/NNG+은/JX
조씨	조/NNP+씨/NNB
승용차에서	승용차/NNG+에서/JKB
160여발의	160/SN+여/XSN+발/NNB+의/JKG
엽총	엽총/NNG
탄알과	탄알/NNG+과/JC
흉기	흉기/NNG
10여점,	10/SN+여/XSN+점/NNB+,/SP
연료통	연료/NNG+통/NNG
등을	등/NNB+을/JKO
발견하고	발견/NNG+하/XSV+고/EC
다른	다른/MMD
범행을	범행/NNG+을/JKO
저질렀는지	저지르/VV+었/EP+는지/EF
여부를	여부/NNG+를/JKO
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.158.7.3
경찰 조사결과 조씨는 엽총과 승용차를 훔쳐 범행을 저질렀고, 승용차에 넣을 기름을 훔치기 위해 여러 개의 연료통을 싣고 다닌 것으로 드러났다.

경찰	경찰/NNG
조사결과	조사/NNG+결과/NNG
조씨는	조/NNP+씨/NNB+는/JX
엽총과	엽총/NNG+과/JC
승용차를	승용차/NNG+를/JKO
훔쳐	훔치/VV+어/EC
범행을	범행/NNG+을/JKO
저질렀고,	저지르/VV+었/EP+고/EC+,/SP
승용차에	승용차/NNG+에/JKB
넣을	넣/VV+을/ETM
기름을	기름/NNG+을/JKO
훔치기	훔치/VV+기/ETN
위해	위하/VV+아/EC
여러	여러/MMN
개의	개/NNB+의/JKG
연료통을	연료/NNG+통/NNG+을/JKO
싣고	싣/VV+고/EC
다닌	다니/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.158.8.1
경찰은 "조씨가 5건가량의 전과 사실이 있고 엽총을 가지고 다니며 여성을 납치한 점으로 미뤄 또 다른 범죄를 저질렀을 가능성이 높은 것으로 보고 조사 중"이라고 말했다.

경찰은	경찰/NNG+은/JX
"조씨가	"/SS+조/NNP+씨/NNB+가/JKS
5건가량의	5/SN+건/NNB+가량/XSN+의/JKG
전과	전과/NNG
사실이	사실/NNG+이/JKS
있고	있/VA+고/EC
엽총을	엽총/NNG+을/JKO
가지고	가지/VV+고/EC
다니며	다니/VV+며/EC
여성을	여성/NNG+을/JKO
납치한	납치/NNG+하/XSV+ㄴ/ETM
점으로	점/NNG+으로/JKB
미뤄	미루/VV+어/EC
또	또/MAG
다른	다른/MMD
범죄를	범죄/NNG+를/JKO
저질렀을	저지르/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
조사	조사/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


