# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.217
metadata : {}


# id : NWRW1800000030.217.1.1
여름 사나이 송승준, KIA도 스톱

여름	여름/NNG
맹폭했다.	맹폭/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.4.5
2연승을 거두면서 5위 LG와 승차를 3게임으로 벌렸다.

2연승을	2/SN+연승/NNG+을/JKO
거두면서	거두/VV+면서/EC
5위	5/SN+위/NNB
LG와	LG/SL+와/JKB
승차를	승차/NNG+를/JKO
3게임으로	3/SN+게임/NNG+으로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.217.5.1
송승준은 올해 6월까지 기복 심한 투구내용으로 평균 자책점이 5.42까지 치솟았다.

송승준은	송승준/NNP+은/JX
올해	올해/NNG
6월까지	6/SN+월/NNB+까지/JX
기복	기복/NNG
심한	심하/VA+ㄴ/ETM
투구내용으로	투구/NNG+내용/NNG+으로/JKB
평균	평균/NNG
자책점이	자책점/NNG+이/JKS
5.42까지	5/SN+./SP+42/SN+까지/JX
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.5.2
하지만 7월이 시작되면서 안정을 찾아 이날까지 등판한 7경기에서 모두 QS 피칭을 기록했다.

하지만	하지만/MAJ
7월이	7/SN+월/NNB+이/JKS
시작되면서	시작/NNG+되/XSV+면서/EC
안정을	안정/NNG+을/JKO
찾아	찾/VV+아/EC
이날까지	이날/NNG+까지/JX
등판한	등판/NNG+하/XSV+ㄴ/ETM
7경기에서	7/SN+경기/NNG+에서/JKB
모두	모두/MAG
QS	QS/SL
피칭을	피칭/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.5.3
7경기 평균 자책점이 1.93에 불과하다.

7경기	7/SN+경기/NNG
평균	평균/NNG
자책점이	자책점/NNG+이/JKS
1.93에	1/SN+./SP+93/SN+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000030.217.5.4
송승준은 이날 9승(8패)으로 다승 부문 공동 5위로 올라섰다.

송승준은	송승준/NNP+은/JX
이날	이날/NNG
9승(8패)으로	9/SN+승/NNB+(/SS+8/SN+패/NNB+)/SS+으로/JKB
다승	다승/NNG
부문	부문/NNG
공동	공동/NNG
5위로	5/SN+위/NNB+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.217.6.1
KIA는 신종길이 9회 2점 홈런을 날린 덕분에 영패를 모면했다.

KIA는	KIA/SL+는/JX
신종길이	신종길/NNP+이/JKS
9회	9/SN+회/NNB
2점	2/SN+점/NNB
홈런을	홈런/NNG+을/JKO
날린	날리/VV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
영패를	영패/NNG+를/JKO
모면했다.	모면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.6.2
KIA의 '무등산 메시' 김선빈은 이날 부상 후 41일 만에 1군 엔트리에 이름을 올린 뒤 곧바로 경기에 출장해 2타수 1안타 1볼넷을 기록했다.

KIA의	KIA/SL+의/JKG
'무등산	'/SS+무등산/NNP
메시'	메시/NNP+'/SS
김선빈은	김선빈/NNP+은/JX
이날	이날/NNG
부상	부상/NNG
후	후/NNG
41일	41/SN+일/NNB
만에	만/NNB+에/JKB
1군	1/SN+군/NNG
엔트리에	엔트리/NNG+에/JKB
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
경기에	경기/NNG+에/JKB
출장해	출장/NNG+하/XSV+아/EC
2타수	2/SN+타수/NNG
1안타	1/SN+안타/NNG
1볼넷을	1/SN+볼넷/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.6.3
김선빈은 지난달 5일 넥센과의 군산 경기에서 알드리지의 타구에 얼굴을 맞아 코뼈와 턱뼈 골절상을 입었다.

김선빈은	김선빈/NNP+은/JX
지난달	지난달/NNG
5일	5/SN+일/NNB
넥센과의	넥센/NNP+과/JKB+의/JKG
군산	군산/NNP
경기에서	경기/NNG+에서/JKB
알드리지의	알드리지/NNP+의/JKG
타구에	타구/NNG+에/JKB
얼굴을	얼굴/NNG+을/JKO
맞아	맞/VV+아/EC
코뼈와	코뼈/NNG+와/JC
턱뼈	턱뼈/NNG
골절상을	골절상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.217.7.1
잠실(LG-두산), 문학(삼성-SK), 목동(한화-넥센) 경기는 비로 취소됐다.

잠실(LG-두산),	잠실/NNP+(/SS+LG/SL+-/SO+두산/NNP+)/SS+,/SP
문학(삼성-SK),	문학/NNP+(/SS+삼성/NNP+-/SO+SK/SL+)/SS+,/SP
목동(한화-넥센)	목동/NNP+(/SS+한화/NNP+-/SO+넥센/NNP+)/SS
경기는	경기/NNG+는/JX
비로	비/NNG+로/JKB
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.217.7.2
프로야구는 이날까지 예정됐던 456경기 중 73경기(16%)가 비로 인해 미뤄졌다.

프로야구는	프로/NNG+야구/NNG+는/JX
이날까지	이날/NNG+까지/JX
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
456경기	456/SN+경기/NNG
중	중/NNB
73경기(16%)가	73/SN+경기/NNG+(/SS+16/SN+%/SW+)/SS+가/JKS
비로	비/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.217.7.3
KBO(한국야구위원회)는 19일 잔여경기 일정을 발표한다.

KBO(한국야구위원회)는	KBO/SL+(/SS+한국야구위원회/NNP+)/SS+는/JX
19일	19/SN+일/NNB
잔여경기	잔여/NNG+경기/NNG
일정을	일정/NNG+을/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


