# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.333
metadata : {}


# id : NWRW1800000033.333.1.1
이석기-김재연 사면초가… 여야는 “퇴출” 黨선 “제명”

이석기-김재연	이석기/NNP+-/SO+김재연/NNP
석방촉구를	석방/NNG+촉구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
결의안을	결의안/NNG+을/JKO
7월	7/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
최우선	최/XPN+우선/NNG
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.333.5.2
19대 국회는 다음 달 2일 첫 본회의를 열어 전반기 국회의장단을 선출하고 개원식을 갖는다.

19대	19/SN+대/NNB
국회는	국회/NNG+는/JX
다음	다음/NNG
달	달/NNG
2일	2/SN+일/NNB
첫	첫/MMN
본회의를	본회의/NNG+를/JKO
열어	열/VV+어/EC
전반기	전반기/NNG
국회의장단을	국회/NNG+의장단/NNG+을/JKO
선출하고	선출/NNG+하/XSV+고/EC
개원식을	개원식/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000033.333.5.3
의장 후보로는 새누리당 강창희 의원이, 국회부의장 후보로는 새누리당 이병석, 민주당 박병석 의원이 각각 양당에 의해 합의된 상태다.

의장	의장/NNG
후보로는	후보/NNG+로/JKB+는/JX
새누리당	새누리당/NNP
강창희	강창희/NNP
의원이,	의원/NNG+이/JKS+,/SP
국회부의장	국회/NNG+부의장/NNG
이병석,	이병석/NNP+,/SP
민주당	민주당/NNP
박병석	박병석/NNP
의원이	의원/NNG+이/JKS
각각	각각/MAG
양당에	양당/NNG+에/JKB
의해	의하/VV+아/EC
합의된	합의/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.333.6.1
○ 가속도 내는 이석기, 김재연 ‘퇴출’

○	○/SW
가속도	가속도/NNG
내는	내/VV+는/ETM
이석기,	이석기/NNP+,/SP
김재연	김재연/NNP
‘퇴출’	‘/SS+퇴출/NNG+’/SS


# id : NWRW1800000033.333.7.1
이날 합의로 국회는 통진당이 지난달 2일 비례대표 부정 경선에 대한 진상조사보고서를 발표한 지 58일 만에 이, 김 의원에 대한 ‘퇴출’을 추진하게 됐다.

이날	이날/NNG
합의로	합의/NNG+로/JKB
국회는	국회/NNG+는/JX
통진당이	통진당/NNP+이/JKS
지난달	지난달/NNG
2일	2/SN+일/NNB
비례대표	비례/NNG+대표/NNG
부정	부정/NNG
경선에	경선/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진상조사보고서를	진상/NNG+조사/NNG+보고서/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
지	지/NNB
58일	58/SN+일/NNB
만에	만/NNB+에/JKB
이,	이/NNP+,/SP
김	김/NNP
의원에	의원/NNG+에/JKB
‘퇴출’을	‘/SS+퇴출/NNG+’/SS+을/JKO
추진하게	추진/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.333.8.1
국회의장은 의원 자격심사가 청구되면 이를 국회 윤리특별위원회에 회부하고 이, 김 의원에게 답변서 제출을 요구한다.

국회의장은	국회/NNG+의장/NNG+은/JX
의원	의원/NNG
자격심사가	자격/NNG+심사/NNG+가/JKS
청구되면	청구/NNG+되/XSV+면/EC
이를	이/NP+를/JKO
국회	국회/NNG
윤리특별위원회에	윤리/NNG+특별/NNG+위원회/NNG+에/JKB
회부하고	회부/NNG+하/XSV+고/EC
이,	이/NNP+,/SP
김	김/NNP
의원에게	의원/NNG+에게/JKB
답변서	답변서/NNG
제출을	제출/NNG+을/JKO
요구한다.	요구/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.333.8.2
이들이 답변서를 내지 않으면 윤리특위는 자격심사 청구서만으로 심사를 진행할 수 있다.

이들이	이/NP+들/XSN+이/JKS
답변서를	답변서/NNG+를/JKO
내지	내/VV+지/EC
않으면	않/VX+으면/EC
윤리특위는	윤리특위/NNP+는/JX
자격심사	자격/NNG+심사/NNG
청구서만으로	청구서/NNG+만/JX+으로/JKB
심사를	심사/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.333.8.3
윤리특위가 자격심사 청구서에 대한 심사보고서를 채택하면 의장이 이를 본회의에 회부하고 재적의원 3분의 2 이상이 찬성하면 두 의원은 의원직을 상실한다.

윤리특위가	윤리특위/NNP+가/JKS
자격심사	자격/NNG+심사/NNG
청구서에	청구서/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심사보고서를	심사/NNG+보고서/NNG+를/JKO
채택하면	채택/NNG+하/XSV+면/EC
의장이	의장/NNG+이/JKS
이를	이/NP+를/JKO
본회의에	본회의/NNG+에/JKB
회부하고	회부/NNG+하/XSV+고/EC
재적의원	재적/NNG+의원/NNG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
이상이	이상/NNG+이/JKS
찬성하면	찬성/NNG+하/XSV+면/EC
두	두/MMN
의원은	의원/NNG+은/JX
의원직을	의원직/NNG+을/JKO
상실한다.	상실/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.333.9.1
이들이 의원직을 잃는다면 육군 특무부대장 김창룡 중장 암살 사건으로 구속됐다가 1957년 9월 의원자격을 박탈당한 자유당 도진희 의원 이후 두 번째로 자격심사를 통해 의원직을 상실한 경우가 된다.

이들이	이/NP+들/XSN+이/JKS
의원직을	의원직/NNG+을/JKO
잃는다면	잃/VV+는다면/EC
육군	육군/NNG
특무부대장	특무/NNG+부대장/NNG
김창룡	김창룡/NNP
중장	중장/NNG
암살	암살/NNG
사건으로	사건/NNG+으로/JKB
구속됐다가	구속/NNG+되/XSV+었/EP+다가/EC
1957년	1957/SN+년/NNB
9월	9/SN+월/NNB
의원자격을	의원/NNG+자격/NNG+을/JKO
박탈당한	박탈/NNG+당하/XSV+ㄴ/ETM
자유당	자유당/NNP
도진희	도진희/NNP
의원	의원/NNG
이후	이후/NNG
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
자격심사를	자격/NNG+심사/NNG+를/JKO
통해	통하/VV+아/EC
상실한	상실/NNG+하/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.333.10.1
현재까지 이, 김 의원의 퇴출 가능성은 낮지 않은 편이다.

현재까지	현재/NNG+까지/JX
이,	이/NNP+,/SP
김	김/NNP
의원의	의원/NNG+의/JKG
퇴출	퇴출/NNG
가능성은	가능/NNG+성/XSN+은/JX
낮지	낮/VA+지/EC
않은	않/VX+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.333.10.2
새누리당은 지금까지 줄기차게 이들의 의원직 박탈을 주장해왔다.

새누리당은	새누리당/NNP+은/JX
지금까지	지금/NNG+까지/JX
줄기차게	줄기차/VA+게/EC
이들의	이/NP+들/XSN+의/JKG
의원직	의원직/NNG
박탈을	박탈/NNG+을/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.333.10.3
민주당도 자진 사퇴를 요구하는 한편 자격심사를 통한 퇴출을 거론하기도 했다.

민주당도	민주당/NNP+도/JX
자진	자진/NNG
사퇴를	사퇴/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
한편	한편/NNG
자격심사를	자격/NNG+심사/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
퇴출을	퇴출/NNG+을/JKO
거론하기도	거론/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.333.11.1
그러나 일각에선 자격심사 절차에 들어가면 상황이 복잡해지고 표결 결과를 장담하기 어려울 것이라는 분석도 나온다.

그러나	그러나/MAJ
일각에선	일각/NNG+에서/JKB+ㄴ/JX
자격심사	자격/NNG+심사/NNG
절차에	절차/NNG+에/JKB
들어가면	들어가/VV+면/EC
상황이	상황/NNG+이/JKS
복잡해지고	복잡하/VA+아/EC+지/VX+고/EC
표결	표결/NNG
결과를	결과/NNG+를/JKO
장담하기	장담/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.333.11.2
대선을 앞두고 ‘이석기, 김재연 변수’에 대한 양당의 이해관계가 다르기 때문이다.

대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘이석기,	‘/SS+이석기/NNP+,/SP
김재연	김재연/NNP
변수’에	변수/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
양당의	양당/NNG+의/JKG
이해관계가	이해관계/NNG+가/JKS
다르기	다르/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.333.12.1
민주당은 빨리 이들이 국회에서 사라져야 대선 정국에서 종북 이슈에 휘말려드는 상황을 피할 수 있다.

민주당은	민주당/NNP+은/JX
빨리	빨리/MAG
이들이	이/NP+들/XSN+이/JKS
국회에서	국회/NNG+에서/JKB
사라져야	사라지/VV+어야/EC
대선	대선/NNG
정국에서	정국/NNG+에서/JKB
종북	종북/NNG
이슈에	이슈/NNG+에/JKB
휘말려드는	휘말리/VV+어/EC+들/VX+는/ETM
상황을	상황/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.333.12.2
이해찬 대표가 28일 “(의원의) 사상이나 가치관을 가지고 제명하는 건 전체주의적 사고방식”이라면서도 이석기 의원에 대해선 “그런 사고와 가치를 가진 사람은 연대대상이 아니다”라고 선을 그었다.

이해찬	이해찬/NNP
대표가	대표/NNG+가/JKS
28일	28/SN+일/NNB
“(의원의)	“/SS+(/SS+의원/NNG+의/JKG+)/SS
사상이나	사상/NNG+이나/JC
가치관을	가치관/NNG+을/JKO
가지고	가지/VV+고/EC
제명하는	제명/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
전체주의적	전체주의/NNG+적/XSN
사고방식”이라면서도	사고방식/NNG+”/SS+이/VCP+라면서/EC+도/JX
이석기	이석기/NNP
의원에	의원/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“그런	“/SS+그런/MMD
사고와	사고/NNG+와/JC
가치를	가치/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
연대대상이	연대/NNG+대상/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.333.13.1
새누리당 일각에선 공식 입장과는 달리 “두 의원이 대선까지 국회에 남아있는 것도 선거전략상 나쁘지 않다”는 말도 들린다.

새누리당	새누리당/NNP
일각에선	일각/NNG+에서/JKB+ㄴ/JX
공식	공식/NNG
입장과는	입장/NNG+과/JKB+는/JX
달리	달리/MAG
“두	“/SS+두/MMN
의원이	의원/NNG+이/JKS
대선까지	대선/NNG+까지/JX
국회에	국회/NNG+에/JKB
남아있는	남/VV+아/EC+있/VX+는/ETM
것도	것/NNB+도/JX
선거전략상	선거/NNG+전략/NNG+상/XSN
나쁘지	나쁘/VA+지/EC
않다”는	않/VX+다/EF+”/SS+는/ETM
말도	말/NNG+도/JX
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.333.13.2
이들이 국회에 있으면 야권연대로 ‘표의 확장성’을 노리는 민주당의 발목을 잡을 수 있다는 것이다.

이들이	이/NP+들/XSN+이/JKS
국회에	국회/NNG+에/JKB
있으면	있/VA+으면/EC
야권연대로	야권/NNG+연대/NNG+로/JKB
‘표의	‘/SS+표/NNG+의/JKG
확장성’을	확장/NNG+성/XSN+’/SS+을/JKO
노리는	노리/VV+는/ETM
민주당의	민주당/NNP+의/JKG
발목을	발목/NNG+을/JKO
잡을	잡/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.333.13.3
한 관계자는 “이석기 의원이 ‘박근혜 선대위원장’이라는 말도 있지 않으냐”고 했다.

한	한/MMN
관계자는	관계자/NNG+는/JX
“이석기	“/SS+이석기/NNP
의원이	의원/NNG+이/JKS
‘박근혜	‘/SS+박근혜/NNP
선대위원장’이라는	선대위원장/NNG+’/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
있지	있/VA+지/EC
않으냐”고	않/VX+으냐/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.333.14.1
통진당은 일제히 반발하고 나섰다.

통진당은	통진당/NNP+은/JX
일제히	일제히/MAG
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.333.14.2
혁신파 이정미 대변인은 “통진당 문제를 우리와 무관하게 결정한 것에 심히 유감을 표하며 양당은 통진당의 자정 노력을 존중하길 바란다”고 말했다.

혁신파	혁신파/NNG
이정미	이정미/NNP
대변인은	대변인/NNG+은/JX
“통진당	“/SS+통진당/NNP
문제를	문제/NNG+를/JKO
우리와	우리/NP+와/JKB
무관하게	무관하/VA+게/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
심히	심히/MAG
유감을	유감/NNG+을/JKO
표하며	표/NNG+하/XSV+며/EC
양당은	양당/NNG+은/JX
통진당의	통진당/NNP+의/JKG
자정	자정/NNG
노력을	노력/NNG+을/JKO
존중하길	존중/NNG+하/XSV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.333.14.3
당권파 김미희 의원은 “정작 징계해야 할 제수 성추행 논란의 김형태 의원과 논문표절 논란의 문대성 의원은 왜 거론하지 않느냐”고 따졌다.

당권파	당권파/NNG
김미희	김미희/NNP
의원은	의원/NNG+은/JX
“정작	“/SS+정작/MAG
징계해야	징계/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
제수	제수/NNG
성추행	성추행/NNG
논란의	논란/NNG+의/JKG
김형태	김형태/NNP
의원과	의원/NNG+과/JC
논문표절	논문/NNG+표절/NNG
문대성	문대성/NNP
왜	왜/MAG
거론하지	거론/NNG+하/XSV+지/EC
않느냐”고	않/VX+느냐/EF+”/SS+고/JKQ
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.333.15.1
이석기 의원은 이날 기자들과 만나 “새누리당의 색깔 공세에 박지원 민주당 원내대표가 굴복했다”고, 김재연 의원은 보도자료를 내고 “당내 논의 과정에 새누리당과 민주당이 간섭할 권한이 없다”고 주장했다.

이석기	이석기/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“새누리당의	“/SS+새누리당/NNP+의/JKG
색깔	색깔/NNG
공세에	공세/NNG+에/JKB
박지원	박지원/NNP
민주당	민주당/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
굴복했다”고,	굴복/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ+,/SP
김재연	김재연/NNP
보도자료를	보도/NNG+자료/NNG+를/JKO
내고	내/VV+고/EC
“당내	“/SS+당내/NNG
논의	논의/NNG
과정에	과정/NNG+에/JKB
새누리당과	새누리당/NNP+과/JC
민주당이	민주당/NNP+이/JKS
간섭할	간섭/NNG+하/XSV+ㄹ/ETM
권한이	권한/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


