# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.308
metadata : {}


# id : NWRW1800000049.308.1.1
‘노후자금’ 국민연금을 청년 복지에?

‘노후자금’	‘/SS+노후/NNG+자금/NNG+’/SS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.308.6.1
국민연금 활용론자들은 기금을 청년 복지에 사용해 고용 안정을 통한 출산율 향상에 기여할 경우 장기적으로 국민연금 재정 안정화에 도움이 된다고 강조한다.

국민연금	국민연금/NNG
활용론자들은	활용론자/NNG+들/XSN+은/JX
기금을	기금/NNG+을/JKO
청년	청년/NNG
복지에	복지/NNG+에/JKB
사용해	사용/NNG+하/XSV+아/EC
고용	고용/NNG
안정을	안정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
출산율	출산/NNG+율/XSN
향상에	향상/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
장기적으로	장기/NNG+적/XSN+으로/JKB
재정	재정/NNG
안정화에	안정/NNG+화/XSN+에/JKB
도움이	도움/NNG+이/JKC
된다고	되/VV+ㄴ다고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.308.6.2
김연명 중앙대 사회복지학과 교수는 “국민연금 기금은 미래 세대를 위한 사회적 책임기금으로 볼 수도 있다”며 “현재 연 50조 원가량 기금이 증가하고 있는데, 그중 5조∼10조 원을 사용하는 것은 무리가 되지 않는다”고 주장한다.

김연명	김연명/NNP
중앙대	중앙대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
“국민연금	“/SS+국민연금/NNG
기금은	기금/NNG+은/JX
미래	미래/NNG
세대를	세대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사회적	사회/NNG+적/XSN
책임기금으로	책임/NNG+기금/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
연	연/NNG
50조	50/SN+조/NR
원가량	원/NNB+가량/XSN
기금이	기금/NNG+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
그중	그중/NNG
5조∼10조	5/SN+조/NR+∼/SO+10/SN+조/NR
원을	원/NNB+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무리가	무리/NNG+가/JKC
되지	되/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.308.7.1
국민연금 기금이 한국 경제 규모에 비해 과도하게 커 부작용 우려가 크다는 지적도 있다.

국민연금	국민연금/NNG
기금이	기금/NNG+이/JKS
한국	한국/NNP
경제	경제/NNG
규모에	규모/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
과도하게	과도/NNG+하/XSA+게/EC
커	크/VA+어/EC
부작용	부작용/NNG
우려가	우려/NNG+가/JKS
크다는	크/VA+다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.308.7.2
국민총생산(GDP) 대비 기금 비율은 30%를 돌파했고, 2035년이 되면 50%까지 육박한다.

국민총생산(GDP)	국민/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
대비	대비/NNG
기금	기금/NNG
비율은	비율/NNG+은/JX
30%를	30/SN+%/SW+를/JKO
돌파했고,	돌파/NNG+하/XSV+았/EP+고/EC+,/SP
2035년이	2035/SN+년/NNB+이/JKC
되면	되/VV+면/EC
50%까지	50/SN+%/SW+까지/JX
육박한다.	육박/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.308.7.3
이에 기금을 복지에 사용해 적정 수준을 유지하자는 것.

이에	이/NP+에/JKB
기금을	기금/NNG+을/JKO
복지에	복지/NNG+에/JKB
사용해	사용/NNG+하/XSV+아/EC
적정	적정/NNG
수준을	수준/NNG+을/JKO
유지하자는	유지/NNG+하/XSV+자는/ETM
것.	것/NNB+./SF


# id : NWRW1800000049.308.8.1
하지만 2100만 국민연금 가입자의 노후자금을 섣불리 사용하면 안 된다는 비판이 만만치 않다.

하지만	하지만/MAJ
2100만	2100/SN+만/NR
국민연금	국민연금/NNG
가입자의	가입자/NNG+의/JKG
노후자금을	노후/NNG+자금/NNG+을/JKO
섣불리	섣불리/MAG
사용하면	사용/NNG+하/XSV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
비판이	비판/NNG+이/JKS
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.308.8.2
국민연금에 대한 불안감을 조성해 2060년으로 예정된 기금 고갈이 앞당겨질 수 있다는 것.

국민연금에	국민연금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안감을	불안감/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
2060년으로	2060/SN+년/NNB+으로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
기금	기금/NNG
고갈이	고갈/NNG+이/JKS
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000049.308.8.3
앞서 정부가 1994년부터 약 10년 동안 사회간접자본(SOC) 건설에 국민연금 기금 45조 원을 사용했다가 제대로 이자를 지급하지 않아 비난 여론이 일기도 했다.

앞서	앞서/MAG
정부가	정부/NNG+가/JKS
1994년부터	1994/SN+년/NNB+부터/JX
약	약/MMA
10년	10/SN+년/NNB
동안	동안/NNG
사회간접자본(SOC)	사회/NNG+간접/NNG+자본/NNG+(/SS+SOC/SL+)/SS
건설에	건설/NNG+에/JKB
국민연금	국민연금/NNG
기금	기금/NNG
45조	45/SN+조/NR
원을	원/NNB+을/JKO
사용했다가	사용/NNG+하/XSV+았/EP+다가/EC
제대로	제대로/MAG
이자를	이자/NNG+를/JKO
지급하지	지급/NNG+하/XSV+지/EC
않아	않/VX+아/EC
비난	비난/NNG
여론이	여론/NNG+이/JKS
일기도	일/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.308.9.1
윤석명 한국보건사회연구원 연구위원은 “2060년 국민연금 고갈을 고려해 보험료를 올려도 모자라는 상황인데, 여기저기서 복지사업에 기금을 쓰기 시작하면 불신이 커지고 임의가입자가 탈퇴하는 등 대란이 일어날 우려가 높다”고 지적했다.

윤석명	윤석명/NNP
한국보건사회연구원	한국보건사회연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“2060년	“/SS+2060/SN+년/NNB
국민연금	국민연금/NNG
고갈을	고갈/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
보험료를	보험료/NNG+를/JKO
올려도	올리/VV+어도/EC
모자라는	모자라/VV+는/ETM
상황인데,	상황/NNG+이/VCP+ㄴ데/EC+,/SP
여기저기서	여기저기/NNG+서/JKB
복지사업에	복지/NNG+사업/NNG+에/JKB
기금을	기금/NNG+을/JKO
쓰기	쓰/VV+기/ETN
시작하면	시작/NNG+하/XSV+면/EC
불신이	불신/NNG+이/JKS
커지고	커지/VV+고/EC
임의가입자가	임의/NNG+가입자/NNG+가/JKS
탈퇴하는	탈퇴/NNG+하/XSV+는/ETM
등	등/NNB
대란이	대란/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.308.10.1
주무 부처인 보건복지부는 기금 사용에 대해서는 사회적 합의를 거쳐야 한다는 입장이다.

주무	주무/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
보건복지부는	보건/NNG+복지부/NNG+는/JX
기금	기금/NNG
사용에	사용/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
사회적	사회/NNG+적/XSN
합의를	합의/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.308.10.2
보건복지부 관계자는 “기금을 복지사업에 사용하려면 최소한 국고채 수익률 이상의 수익이 보장돼야 한다”며 “하지만 이 정도의 수익률이 보장되는 사업은 많지 않다”고 지적했다.

보건복지부	보건/NNG+복지부/NNG
관계자는	관계자/NNG+는/JX
“기금을	“/SS+기금/NNG+을/JKO
복지사업에	복지/NNG+사업/NNG+에/JKB
사용하려면	사용/NNG+하/XSV+려면/EC
최소한	최소한/MAG
국고채	국고채/NNG
수익률	수익/NNG+률/XSN
이상의	이상/NNG+의/JKG
수익이	수익/NNG+이/JKS
보장돼야	보장/NNG+되/XSV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
이	이/MMD
정도의	정도/NNG+의/JKG
수익률이	수익/NNG+률/XSN+이/JKS
보장되는	보장/NNG+되/XSV+는/ETM
사업은	사업/NNG+은/JX
많지	많/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


