# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.307
metadata : {}


# id : NWRW1800000041.307.1.1
[기자의 눈/박재명]여수 앞바다는 기름 범벅인데… “윤진숙 장관, 웃음이 나옵니까”

[기자의	[/SS+기자/NNG+의/JKG
국민적	국민/NNG+적/XSN
공분은	공분/NNG+은/JX
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
즉각	즉각/MAG
경질을	경질/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.11.1
세종=박재명·경제부대규모 원유 유출 사고의 주무 부처 장관이 맞는지 의심스러울 정도의 발언이 이어졌다.

세종=박재명·경제부대규모	세종/NNP+=/SW+박재명/NNP+·/SP+경제부/NNG+대/XPN+규모/NNG
원유	원유/NNG
유출	유출/NNG
사고의	사고/NNG+의/JKG
주무	주무/NNG
부처	부처/NNG
장관이	장관/NNG+이/JKS
맞는지	맞/VV+는지/EF
의심스러울	의심/NNG+스럽/XSA+ㄹ/ETM
정도의	정도/NNG+의/JKG
발언이	발언/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.307.11.2
윤 장관은 이번 사고의 피해자에 대해 “(정유사인) GS칼텍스가 1차 피해자고, 주민이 2차 피해자”라는 말도 했다.

윤	윤/NNP
장관은	장관/NNG+은/JX
이번	이번/NNG
사고의	사고/NNG+의/JKG
피해자에	피해자/NNG+에/JKB
대해	대하/VV+아/EC
“(정유사인)	“/SS+(/SS+정유사/NNG+이/VCP+ㄴ/ETM+)/SS
GS칼텍스가	GS칼텍스/NNP+가/JKS
1차	1/SN+차/NNB
피해자고,	피해자/NNG+이/VCP+고/EC+,/SP
주민이	주민/NNG+이/JKS
2차	2/SN+차/NNB
피해자”라는	피해자/NNG+”/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.11.3
GS칼텍스는 사고 40분 후에야 16만4100L에 이르는 유출량을 800L로 신고해 늑장 축소 대응 여부를 조사받고 있는 상황이다.

GS칼텍스는	GS칼텍스/NNP+는/JX
사고	사고/NNG
40분	40/SN+분/NNB
후에야	후/NNG+에/JKB+야/JX
16만4100L에	16/SN+만/NR+4100/SN+L/SW+에/JKB
이르는	이르/VV+는/ETM
유출량을	유출량/NNG+을/JKO
800L로	800/SN+L/SW+로/JKB
신고해	신고/NNG+하/XSV+아/EC
늑장	늑장/NNG
축소	축소/NNG
대응	대응/NNG
여부를	여부/NNG+를/JKO
조사받고	조사/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.307.11.4
복구 현장에서 구슬땀을 흘리는 피해 주민들의 가슴에 ‘대못’을 박는 말이다.

복구	복구/NNG
현장에서	현장/NNG+에서/JKB
구슬땀을	구슬땀/NNG+을/JKO
흘리는	흘리/VV+는/ETM
피해	피해/NNG
주민들의	주민/NNG+들/XSN+의/JKG
가슴에	가슴/NNG+에/JKB
‘대못’을	‘/SS+대/XPN+못/NNG+’/SS+을/JKO
박는	박/VV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.307.12.1
이에 앞서 윤 장관은 1일 여수 사고 현장을 방문했을 때는 현장 주민들 앞에서 손으로 코를 막은 채 “피해가 크지 않다고 보고받아 심각하지 않은 줄 알았다”고 말했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
윤	윤/NNP
장관은	장관/NNG+은/JX
1일	1/SN+일/NNB
여수	여수/NNP
사고	사고/NNG
현장을	현장/NNG+을/JKO
방문했을	방문/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
현장	현장/NNG
주민들	주민/NNG+들/XSN
앞에서	앞/NNG+에서/JKB
손으로	손/NNG+으로/JKB
코를	코/NNG+를/JKO
막은	막/VV+은/ETM
채	채/NNB
“피해가	“/SS+피해/NNG+가/JKS
크지	크/VA+지/EC
않다고	않/VX+다고/EC
보고받아	보고/NNG+받/XSV+아/EC
심각하지	심각하/VA+지/EC
않은	않/VX+은/ETM
줄	줄/NNB
알았다”고	알/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.12.2
윤 장관의 현장 방문 사진이 인터넷에 올라와 논란이 불거지자 윤 장관은 2일 대변인실을 통해 “독감에 걸렸기 때문”이라고 해명했다.

윤	윤/NNP
장관의	장관/NNG+의/JKG
현장	현장/NNG
방문	방문/NNG
사진이	사진/NNG+이/JKS
인터넷에	인터넷/NNG+에/JKB
올라와	올라오/VV+아/EC
논란이	논란/NNG+이/JKS
불거지자	불거지/VV+자/EC
장관은	장관/NNG+은/JX
2일	2/SN+일/NNB
대변인실을	대변인실/NNG+을/JKO
통해	통하/VV+아/EC
“독감에	“/SS+독감/NNG+에/JKB
걸렸기	걸리/VV+었/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이/VCP+라고/EC
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.12.3
윤 장관은 해명이 아니라 현장 주민들의 마음을 아프게 한 데 대해 머리를 조아리고 사과를 먼저 했어야 했다.

윤	윤/NNP
장관은	장관/NNG+은/JX
해명이	해명/NNG+이/JKC
아니라	아니/VCN+라/EC
현장	현장/NNG
주민들의	주민/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
아프게	아프/VA+게/EC
한	하/VX+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
머리를	머리/NNG+를/JKO
조아리고	조아리/VV+고/EC
사과를	사과/NNG+를/JKO
먼저	먼저/MAG
했어야	하/VV+았/EP+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.307.13.1
3일에는 한 방송 프로그램에 출연해 본인의 언행이 자주 기사화되는 이유를 묻자 “윤진숙이라는 이름이 뜨면 (기사를) 보는 사람이 많다.

3일에는	3/SN+일/NNB+에/JKB+는/JX
한	한/MMN
방송	방송/NNG
프로그램에	프로그램/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
본인의	본인/NNG+의/JKG
언행이	언행/NNG+이/JKS
자주	자주/MAG
기사화되는	기사/NNG+화/XSN+되/XSV+는/ETM
이유를	이유/NNG+를/JKO
묻자	묻/VV+자/EC
“윤진숙이라는	“/SS+윤진숙/NNP+이/VCP+라는/ETM
이름이	이름/NNG+이/JKS
뜨면	뜨/VV+면/EC
(기사를)	(/SS+기사/NNG+를/JKO+)/SS
보는	보/VV+는/ETM
사람이	사람/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.307.13.2
인기 덕분이라고 생각한다”고 말했다.

인기	인기/NNG
덕분이라고	덕분/NNG+이/VCP+라고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.13.3
인터넷에는 어안이 벙벙해진 누리꾼들의 비난이 봇물 터지듯 했다.

인터넷에는	인터넷/NNG+에/JKB+는/JX
어안이	어안/NNG+이/JKS
벙벙해진	벙벙하/VA+아/EC+지/VX+ㄴ/ETM
누리꾼들의	누리/NNG+꾼/XSN+들/XSN+의/JKG
비난이	비난/NNG+이/JKS
봇물	봇물/NNG
터지듯	터지/VV+듯/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.307.13.4
물론 반쯤 농담으로 한 얘기였겠지만 피해 주민들에게 상처를 입힌 점을 생각한다면 주무 장관이 해서는 안 되는 말이었다.

물론	물론/MAG
반쯤	반/NNG+쯤/XSN
농담으로	농담/NNG+으로/JKB
한	하/VV+ㄴ/ETM
얘기였겠지만	얘기/NNG+이/VCP+었/EP+겠/EP+지만/EC
피해	피해/NNG
주민들에게	주민/NNG+들/XSN+에게/JKB
상처를	상처/NNG+를/JKO
입힌	입히/VV+ㄴ/ETM
점을	점/NNG+을/JKO
생각한다면	생각/NNG+하/XSV+ㄴ다면/EC
주무	주무/NNG
장관이	장관/NNG+이/JKS
해서는	하/VV+아서/EC+는/JX
안	안/MAG
되는	되/VV+는/ETM
말이었다.	말/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.307.14.1
박근혜 대통령은 최근 “공직자가 적절하지 못한 발언을 해 국민 마음에 상처를 주는 일이 재발하면 반드시 책임을 묻겠다”고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
최근	최근/NNG
“공직자가	“/SS+공직자/NNG+가/JKS
적절하지	적절하/VA+지/EC
못한	못하/VX+ㄴ/ETM
발언을	발언/NNG+을/JKO
해	하/VV+아/EC
국민	국민/NNG
마음에	마음/NNG+에/JKB
상처를	상처/NNG+를/JKO
주는	주/VV+는/ETM
일이	일/NNG+이/JKS
재발하면	재발/NNG+하/XSV+면/EC
반드시	반드시/MAG
책임을	책임/NNG+을/JKO
묻겠다”고	묻/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.14.2
박 대통령이 윤 장관의 책임을 물을 것인지 국민이 지켜보고 있다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
윤	윤/NNP
장관의	장관/NNG+의/JKG
책임을	책임/NNG+을/JKO
물을	묻/VV+을/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
국민이	국민/NNG+이/JKS
지켜보고	지켜보/VV+고/EC
있다.	있/VX+다/EF+./SF


