# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.356
metadata : {}


# id : NWRW1800000053.356.1.1
“사드, 환경평가해도 배치 취소안해… 성주기지내 위치 조정”

“사드,	“/SS+사드/NNG+,/SP
한국당 경대수 의원이 “일반 환경영향평가 발표를 보류했어야 하는 것 아니냐”고 따지자 송 장관은 “(발표 하루 전인) 27일 발사했다면 발표하는 일은 없었을 것”이라며 “발사하는 시간은 우리가 정하는 게 아니고 김정은이 정한다”고 반박했다.

한국당	한국당/NNP
경대수	경대수/NNP
의원이	의원/NNG+이/JKS
“일반	“/SS+일반/NNG
환경영향평가	환경/NNG+영향/NNG+평가/NNG
발표를	발표/NNG+를/JKO
보류했어야	보류/NNG+하/XSV+았/EP+어야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
따지자	따지/VV+자/EC
송	송/NNP
장관은	장관/NNG+은/JX
“(발표	“/SS+(/SS+발표/NNG
하루	하루/NNG
전인)	전/NNG+이/VCP+ㄴ/ETM+)/SS
27일	27/SN+일/NNB
발사했다면	발사/NNG+하/XSV+았/EP+다면/EC
발표하는	발표/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
없었을	없/VA+었/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“발사하는	“/SS+발사/NNG+하/XSV+는/ETM
시간은	시간/NNG+은/JX
우리가	우리/NP+가/JKS
정하는	정하/VV+는/ETM
게	거/NNB+이/JKC
아니고	아니/VCN+고/EC
김정은이	김정은/NNP+이/JKS
정한다”고	정하/VV+ㄴ다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.10.2
송 장관은 북한의 미사일 발사에 대해서는 “재진입 실험이라고까지 보는 것은 조금 이르다.

송	송/NNP
장관은	장관/NNG+은/JX
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
발사에	발사/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“재진입	“/SS+재/XPN+진입/NNG
실험이라고까지	실험/NNG+이/VCP+라고/EC+까지/JX
보는	보/VV+는/ETM
것은	것/NNB+은/JX
조금	조금/MAG
이르다.	이르/VA+다/EF+./SF


# id : NWRW1800000053.356.10.3
국방과학연구소 연구원들과 토의해 보니 이동 거리나 속도에 중점을 둔 것으로 판단한다”고 설명했다.

국방과학연구소	국방/NNG+과학/NNG+연구소/NNG
연구원들과	연구원/NNG+들/XSN+과/JKB
토의해	토의/NNG+하/XSV+아/EC
보니	보/VX+니/EC
이동	이동/NNG
거리나	거리/NNG+나/JC
속도에	속도/NNG+에/JKB
중점을	중점/NNG+을/JKO
둔	두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단한다”고	판단/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.11.1
○ 북 도발에 ‘독자 제재’ 등 적극 대응 의지

○	○/SW
북	북/NNP
도발에	도발/NNG+에/JKB
‘독자	‘/SS+독자/NNG
제재’	제재/NNG+’/SS
등	등/NNB
적극	적극/NNG
대응	대응/NNG
의지	의지/NNG


# id : NWRW1800000053.356.12.1
송 장관은 우리 군의 북한에 대한 적극 대응 의지도 밝혔다.

송	송/NNP
장관은	장관/NNG+은/JX
우리	우리/NP
군의	군/NNG+의/JKG
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
적극	적극/NNG
대응	대응/NNG
의지도	의지/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.356.12.2
그는 한미 미사일지침 개정에서 탄두 중량을 늘리는 것에 대해 “협상할 실무자들에게 어떤 무게로 가야 하는지에 대해 한도를 정하고 이야기하지 말라고 지침을 줬다”라며 “표적의 크기와 두께가 어느 정도냐에 따라 고려할 사안”이라고 강조했다.

그는	그/NP+는/JX
한미	한미/NNP
미사일지침	미사일/NNG+지침/NNG
개정에서	개정/NNG+에서/JKB
탄두	탄두/NNG
중량을	중량/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
“협상할	“/SS+협상/NNG+하/XSV+ㄹ/ETM
실무자들에게	실무자/NNG+들/XSN+에게/JKB
어떤	어떤/MMD
무게로	무게/NNG+로/JKB
가야	가/VV+아야/EC
하는지에	하/VX+는지/EF+에/JKB
한도를	한도/NNG+를/JKO
정하고	정하/VV+고/EC
이야기하지	이야기/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
지침을	지침/NNG+을/JKO
줬다”라며	주/VV+었/EP+다/EF+”/SS+이/VCP+라며/EC
“표적의	“/SS+표적/NNG+의/JKG
크기와	크기/NNG+와/JC
두께가	두께/NNG+가/JKS
어느	어느/MMD
정도냐에	정도/NNG+이/VCP+냐/EF+에/JKB
따라	따르/VV+아/EC
고려할	고려/NNG+하/XSV+ㄹ/ETM
사안”이라고	사안/NNG+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.13.1
또 문재인 대통령이 지시한 ‘독자적 대북 제재’에 대해 “킬체인(Kill Chain)을 염두에 두면 좋을 것 같다”라며 “국방개혁을 할 때 가장 우선적으로 작전계획을 바꾸고자 한다”라고 설명했다.

또	또/MAG
문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
지시한	지시/NNG+하/XSV+ㄴ/ETM
‘독자적	‘/SS+독자/NNG+적/XSN
대북	대북/NNG
제재’에	제재/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
“킬체인(Kill	“/SS+킬체인/NNG+(/SS+Kill/SL
Chain)을	Chain/SL+)/SS+을/JKO
염두에	염두/NNG+에/JKB
두면	두/VV+면/EC
좋을	좋/VA+을/ETM
것	것/NNB
같다”라며	같/VA+다/EF+”/SS+라며/EC
“국방개혁을	“/SS+국방/NNG+개혁/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
우선적으로	우선/NNG+적/XSN+으로/JKB
작전계획을	작전/NNG+계획/NNG+을/JKO
바꾸고자	바꾸/VV+고자/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


