# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.402
metadata : {}


# id : NWRW1800000052.402.1.1
최순실, SK 80억 보도에 “얘기를 짜봐라”

최순실,	최순실/NNP+,/SP
이에 노 전 부장은 “정동춘 (재단) 이사장과 김필승 이사도 막으려 했는데 본인(정 전 사무총장)이 너무 완고해가지고…”라고 답했다.

이에	이/NP+에/JKB
노	노/NNP
전	전/MMD
부장은	부장/NNG+은/JX
“정동춘	“/SS+정동춘/NNP
(재단)	(/SS+재단/NNG+)/SS
이사장과	이사장/NNG+과/JC
김필승	김필승/NNP
이사도	이사/NNG+도/JX
막으려	막/VV+으려/EC
했는데	하/VX+았/EP+는데/EC
본인(정	본인/NNG+(/SS+정/NNP
사무총장)이	사무총장/NNG+)/SS+이/JKS
너무	너무/MAG
완고해가지고…”라고	완고하/VA+아/EC+가지/VX+고/EC+…/SE+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.402.9.1
최씨는 통화에서 “그거를 얘기를 좀 짜보라”며 대책 마련을 지시하기도 했다.

최씨는	최/NNP+씨/NNB+는/JX
통화에서	통화/NNG+에서/JKB
“그거를	“/SS+그거/NP+를/JKO
얘기를	얘기/NNG+를/JKO
좀	좀/MAG
짜보라”며	짜/VV+아/EC+보/VX+라/EF+”/SS+며/EC
대책	대책/NNG
마련을	마련/NNG+을/JKO
지시하기도	지시/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.402.9.2
최씨는 “그쪽(SK)에서 안 수석하고 얘기를 했다는데 그게 뭐 말이 되느냐. 그리고 그 사람(정 전 사무총장)이 무슨 감정으로 얘기를 했는지”라면서 “안(종범 전 수석)은 지금 뭐라 그런데요?”라고 물었다.

최씨는	최/NNP+씨/NNB+는/JX
“그쪽(SK)에서	“/SS+그쪽/NP+(/SS+SK/SL+)/SS+에서/JKB
안	안/NNP
수석하고	수석/NNG+하/XSV+고/EC
얘기를	얘기/NNG+를/JKO
했다는데	하/VV+았/EP+다는데/EC
그게	그거/NP+이/JKS
뭐	뭐/IC
말이	말/NNG+이/JKC
되느냐.	되/VV+느냐/EF+./SF
그리고	그리고/MAJ
그	그/MMD
사람(정	사람/NNG+(/SS+정/NNP
전	전/MMD
사무총장)이	사무총장/NNG+)/SS+이/JKS
무슨	무슨/MMD
감정으로	감정/NNG+으로/JKB
했는지”라면서	하/VV+았/EP+는지/EF+”/SS+이/VCP+라면서/EC
“안(종범	“/SS+안/NNP+(/SS+종범/NNP
수석)은	수석/NNG+)/SS+은/JX
지금	지금/MAG
뭐라	뭐/NP+이/VCP+라/EC
그런데요?”라고	그러/VV+ㄴ데/EF+요/JX+?/SF+”/SS+라고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.402.9.3
상대는 이에 대해 “안 수석은 지금 교체 얘기가 나온다”고 답했다.

상대는	상대/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“안	“/SS+안/NNP
수석은	수석/NNG+은/JX
지금	지금/MAG
교체	교체/NNG
얘기가	얘기/NNG+가/JKS
나온다”고	나오/VV+ㄴ다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.402.9.4
이에 최씨는 당황한 듯 “교체?”라고 되물었다.

이에	이/NP+에/JKB
최씨는	최/NNP+씨/NNB+는/JX
당황한	당황/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
“교체?”라고	“/SS+교체/NNG+?/SF+”/SS+라고/JKQ
되물었다.	되묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.402.10.1
이 통화는 <한겨레>가 10월27일 정현식 전 사무총장의 단독 인터뷰를 보도한 직후 상황을 파악하며 대책을 모의하기 위해 이뤄진 것으로 보인다.

이	이/MMD
통화는	통화/NNG+는/JX
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
10월27일	10/SN+월/NNB+27/SN+일/NNB
정현식	정현식/NNP
전	전/MMD
사무총장의	사무총장/NNG+의/JKG
단독	단독/NNG
인터뷰를	인터뷰/NNG+를/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
상황을	상황/NNG+을/JKO
파악하며	파악/NNG+하/XSV+며/EC
대책을	대책/NNG+을/JKO
모의하기	모의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이뤄진	이뤄지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.402.10.2
정 전 사무총장은 인터뷰에서 “최순실씨가 ‘에스케이와 이야기가 다 됐으니 가서 사업 설명을 하라’고 지시했다.

정	정/NNP
전	전/MMD
사무총장은	사무총장/NNG+은/JX
인터뷰에서	인터뷰/NNG+에서/JKB
“최순실씨가	“/SS+최순실/NNP+씨/NNB+가/JKS
‘에스케이와	‘/SS+에스케이/NNP+와/JKB
이야기가	이야기/NNG+가/JKS
다	다/MAG
됐으니	되/VV+었/EP+으니/EC
가서	가/VV+아서/EC
사업	사업/NNG
설명을	설명/NNG+을/JKO
하라’고	하/VV+라/EF+’/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.402.10.3
에스케이를 찾아가 80억원 투자 유치를 설명한 지 며칠 뒤 안종범 수석한테서 ‘에스케이와 얘기가 어떻게 됐냐’고 묻는 전화가 왔다”고 밝힌 바 있다.

에스케이를	에스케이/NNP+를/JKO
찾아가	찾아가/VV+아/EC
80억원	80/SN+억/NR+원/NNB
투자	투자/NNG
유치를	유치/NNG+를/JKO
설명한	설명/NNG+하/XSV+ㄴ/ETM
지	지/NNB
며칠	며칠/NNG
뒤	뒤/NNG
안종범	안종범/NNP
수석한테서	수석/NNG+한테서/JKB
‘에스케이와	‘/SS+에스케이/NNP+와/JKB
얘기가	얘기/NNG+가/JKS
어떻게	어떻/VA+게/EC
됐냐’고	되/VV+었/EP+냐/EF+’/SS+고/JKQ
묻는	묻/VV+는/ETM
전화가	전화/NNG+가/JKS
왔다”고	오/VV+았/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.402.11.1
최씨는 또 노 전 부장과의 통화에서 “걔는 쓸데없는 얘기를 뭐하러 하냐. 그 폰은 냈대요?”라고 말하면서 휴대전화가 검찰에 제출됐는지를 묻기도 했다.

최씨는	최/NNP+씨/NNB+는/JX
또	또/MAG
노	노/NNP
전	전/MMD
부장과의	부장/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“걔는	“/SS+걔/NP+는/JX
쓸데없는	쓸데없/VA+는/ETM
얘기를	얘기/NNG+를/JKO
뭐하러	뭐/NP+하/VV+러/EC
하냐.	하/VV+냐/EF+./SF
그	그/MMD
폰은	폰/NNG+은/JX
냈대요?”라고	내/VV+었/EP+대/EF+요/JX+?/SF+”/SS+라고/JKQ
말하면서	말/NNG+하/XSV+면서/EC
휴대전화가	휴대/NNG+전화/NNG+가/JKS
검찰에	검찰/NNG+에/JKB
제출됐는지를	제출/NNG+되/XSV+었/EP+는지/EF+를/JKO
묻기도	묻/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.402.11.2
최씨는 제출 여부를 재차 물으면서 “큰일 났네”라며 민감한 반응을 보였다.

최씨는	최/NNP+씨/NNB+는/JX
제출	제출/NNG
여부를	여부/NNG+를/JKO
재차	재차/MAG
물으면서	묻/VV+으면서/EC
“큰일	“/SS+큰일/NNG
났네”라며	나/VV+았/EP+네/EF+”/SS+이/VCP+라며/EC
민감한	민감/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.402.11.3
이날 청문회에 증인으로 나온 박헌영 전 재단 과장은 “저에 대한 얘기인 것 같다”고 했다.

이날	이날/NNG
청문회에	청문회/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
박헌영	박헌영/NNP
전	전/MMD
재단	재단/NNG
과장은	과장/NNG+은/JX
“저에	“/SS+저/NP+에/JKB
대한	대하/VV+ㄴ/ETM
얘기인	얘기/NNG+이/VCP+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.402.11.4
그는 “최순실·고영태씨의 요청으로 (휴대전화를) 제 이름으로 2대, 어머니 이름으로 1대를 만들었다”고 말했다.

그는	그/NP+는/JX
“최순실·고영태씨의	“/SS+최순실/NNP+·/SP+고영태/NNP+씨/NNB+의/JKG
요청으로	요청/NNG+으로/JKB
(휴대전화를)	(/SS+휴대/NNG+전화/NNG+를/JKO+)/SS
제	저/NP+의/JKG
이름으로	이름/NNG+으로/JKB
2대,	2/SN+대/NNB+,/SP
어머니	어머니/NNG
1대를	1/SN+대/NNB+를/JKO
만들었다”고	만들/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


