# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.247
metadata : {}


# id : NWRW1800000044.247.1.1
현대차, 사내하청 채용 발표 임박…불법파견 선고 이번에도 미뤄지나

현대차,	현대차/NNP+,/SP
제기된	제기/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
원고가	원고/NNG+가/JKS
소취하서를	소/NNG+취하서/NNG+를/JKO
내면	내/VV+면/EC
2주	2/SN+주/NNB
동안	동안/NNG
피고의	피고/NNG+의/JKG
동의	동의/NNG
여부를	여부/NNG+를/JKO
확인해야	확인/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
민사소송법	민사/NNG+소송법/NNG
규정을	규정/NNG+을/JKO
이유로	이유/NNG+로/JKB
18~19일로	18/SN+~/SO+19/SN+일/NNB+로/JKB
다시	다시/MAG
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.247.7.1
앞서 현대차는 4년여를 끌어온 소송의 1심 결론이 나기 직전인 지난달 18일 현대차 사내하청 전주·아산지회 쪽과 각종 소송을 취하하고 신규채용 때 사내하청 노동자를 우대하는 내용을 담은 합의안을 발표했다.

앞서	앞서/MAG
현대차는	현대차/NNP+는/JX
4년여를	4/SN+년/NNB+여/XSN+를/JKO
끌어온	끌어오/VV+ㄴ/ETM
소송의	소송/NNG+의/JKG
1심	1심/NNG
결론이	결론/NNG+이/JKS
나기	나/VV+기/ETN
직전인	직전/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
18일	18/SN+일/NNB
현대차	현대차/NNP
사내하청	사내/NNG+하청/NNG
전주·아산지회	전주/NNP+·/SP+아산/NNP+지회/NNG
쪽과	쪽/NNB+과/JKB
각종	각종/NNG
소송을	소송/NNG+을/JKO
취하하고	취하/NNG+하/XSV+고/EC
신규채용	신규/NNG+채용/NNG
때	때/NNG
노동자를	노동자/NNG+를/JKO
우대하는	우대/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
합의안을	합의안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.247.7.2
이어 현대차에 정규직으로 신규채용된 노동자 75명이 소취하서를 접수하자 재판부는 선고를 연기했다.

이어	이어/MAG
현대차에	현대차/NNP+에/JKB
정규직으로	정규직/NNG+으로/JKB
신규채용된	신규/NNG+채용/NNG+되/XSV+ㄴ/ETM
노동자	노동자/NNG
75명이	75/SN+명/NNB+이/JKS
소취하서를	소/NNG+취하서/NNG+를/JKO
접수하자	접수/NNG+하/XSV+자/EC
재판부는	재판부/NNG+는/JX
선고를	선고/NNG+를/JKO
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.247.7.3
그리고 당시 합의에 따른 1차 신규채용자 400명 발표를 눈앞에 두고 있는 것이다.

그리고	그리고/MAJ
당시	당시/NNG
합의에	합의/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
1차	1/SN+차/NNB
신규채용자	신규/NNG+채용자/NNG
400명	400/SN+명/NNB
발표를	발표/NNG+를/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.247.8.1
이진환 울산 사내하청지회 수석부지회장 등 노동자 3명은 이 소송 선고가 예정대로 이뤄져야 한다며 11일부터 서울 서초동 서울중앙지법 앞에서 무기한 단식농성에 들어갔다.

이진환	이진환/NNP
울산	울산/NNP
사내하청지회	사내/NNG+하청/NNG+지회/NNG
수석부지회장	수석/NNG+부지회장/NNG
등	등/NNB
노동자	노동자/NNG
3명은	3/SN+명/NNB+은/JX
이	이/MMD
소송	소송/NNG
선고가	선고/NNG+가/JKS
예정대로	예정/NNG+대로/JX
이뤄져야	이뤄지/VV+어야/EC
한다며	하/VX+ㄴ다며/EC
11일부터	11/SN+일/NNB+부터/JX
서울	서울/NNP
서초동	서초동/NNP
서울중앙지법	서울중앙지법/NNP
앞에서	앞/NNG+에서/JKB
무기한	무/XPN+기한/NNG
단식농성에	단식/NNG+농성/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.247.8.2
노동계도 15일 민주사회를 위한 변호사모임 노동위원회, 노동당, 좌파노동자회 등이 참여한 ‘현대차 비정규직투쟁 공동대책위원회’를 출범시켰다.

노동계도	노동/NNG+계/XSN+도/JX
15일	15/SN+일/NNB
민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사모임	변호사/NNG+모임/NNG
노동위원회,	노동/NNG+위원회/NNG+,/SP
노동당,	노동당/NNP+,/SP
좌파노동자회	좌파/NNG+노동자회/NNG
등이	등/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
‘현대차	‘/SS+현대차/NNP
비정규직투쟁	비/XPN+정규직/NNG+투쟁/NNG
공동대책위원회’를	공동/NNG+대책/NNG+위원회/NNG+’/SS+를/JKO
출범시켰다.	출범/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.247.9.1
현대차 쪽은 곧 신규채용을 발표할 예정임을 부인하지 않으면서도, 이에 선고 연기 의도는 전혀 없다고 부인했다.

현대차	현대차/NNP
쪽은	쪽/NNB+은/JX
곧	곧/MAG
신규채용을	신규/NNG+채용/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정임을	예정/NNG+이/VCP+ㅁ/ETN+을/JKO
부인하지	부인/NNG+하/XSV+지/EC
않으면서도,	않/VX+으면서/EC+도/JX+,/SP
이에	이/NP+에/JKB
선고	선고/NNG
연기	연기/NNG
의도는	의도/NNG+는/JX
전혀	전혀/MAG
없다고	없/VA+다고/EC
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.247.9.2
현대차 관계자는 “지난달 노사 자율 합의를 끌어낸 데 따라 진행되는 일이다.

현대차	현대차/NNP
관계자는	관계자/NNG+는/JX
“지난달	“/SS+지난달/NNG
노사	노사/NNG
자율	자율/NNG
합의를	합의/NNG+를/JKO
끌어낸	끌어내/VV+ㄴ/ETM
데	데/NNB
따라	따르/VV+아/EC
진행되는	진행/NNG+되/XSV+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.247.9.3
그 부분을 존중해달라”고 말했다.

그	그/MMD
부분을	부분/NNG+을/JKO
존중해달라”고	존중/NNG+하/XSV+아/EC+달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


