# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.72
metadata : {}


# id : NWRW1800000046.72.1.1
南北 협상 벌어진 43시간… 발 동동 구른 영화가 있다고?

南北	南北/SH
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.72.5.2
배급사 관계자는 "가장 중요한 것은 영화적 완성도지만 외적인 요인도 무시할 수 없다. 외부 환경이 흥행에 불을 붙일 수도 있고 물을 끼얹을 수도 있는데 긴장 국면에서 벗어나 마음이 놓인다"며 안도의 한숨을 쉬었다.

배급사	배급사/NNG
관계자는	관계자/NNG+는/JX
"가장	"/SS+가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
영화적	영화/NNG+적/XSN
완성도지만	완성도/NNG+이/VCP+지만/EC
외적인	외/NNG+적/XSN+이/VCP+ㄴ/ETM
요인도	요인/NNG+도/JX
무시할	무시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF
외부	외부/NNG
환경이	환경/NNG+이/JKS
흥행에	흥행/NNG+에/JKB
불을	불/NNG+을/JKO
붙일	붙이/VV+ㄹ/ETM
수도	수/NNB+도/JX
있고	있/VA+고/EC
물을	물/NNG+을/JKO
끼얹을	끼얹/VV+을/ETM
있는데	있/VA+는데/EC
긴장	긴장/NNG
국면에서	국면/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
마음이	마음/NNG+이/JKS
놓인다"며	놓이/VV+ㄴ다/EF+"/SS+며/EC
안도의	안도/NNG+의/JKG
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.72.6.1
'서부전선'은 농사짓다 끌려온 국군 남복(설경구)이 잃어버린 일급작전비밀문서(비문)가 인민군 탱크병 영광(여진구)의 손에 들어가면서 꼬이는 이야기다.

'서부전선'은	'/SS+서부전선/NNP+'/SS+은/JX
농사짓다	농사짓/VV+다/EC
끌려온	끌려오/VV+ㄴ/ETM
국군	국군/NNG
남복(설경구)이	남복/NNP+(/SS+설경구/NNP+)/SS+이/JKS
잃어버린	잃어버리/VV+ㄴ/ETM
일급작전비밀문서(비문)가	일급/NNG+작전/NNG+비밀문서/NNG+(/SS+비문/NNG+)/SS+가/JKS
인민군	인민군/NNG
탱크병	탱크/NNG+병/NNG
영광(여진구)의	영광/NNP+(/SS+여진구/NNP+)/SS+의/JKG
손에	손/NNG+에/JKB
들어가면서	들어가/VV+면서/EC
꼬이는	꼬이/VV+는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.72.6.2
비문을 잃어버리면 총살당하는 남복과 탱크를 잃어버리면 총살당하는 영광은 임무 완수를 위해 엎치락뒤치락한다.

비문을	비문/NNG+을/JKO
잃어버리면	잃어버리/VV+면/EC
총살당하는	총살/NNG+당하/XSV+는/ETM
남복과	남복/NNP+과/JC
탱크를	탱크/NNG+를/JKO
영광은	영광/NNP+은/JX
임무	임무/NNG
완수를	완수/NNG+를/JKO
위해	위하/VV+아/EC
엎치락뒤치락한다.	엎치락뒤치락/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.72.6.3
천 감독은 "마지막 임무를 마치고 평범한 삶으로 돌아가고 싶어하는 두 사람의 이야기"라며 "남북의 극한 대치가 아니라 화해·화합을 말하고 싶었다"고 덧붙였다.

천	천/NNP
감독은	감독/NNG+은/JX
"마지막	"/SS+마지막/NNG
임무를	임무/NNG+를/JKO
마치고	마치/VV+고/EC
평범한	평범하/VA+ㄴ/ETM
삶으로	삶/NNG+으로/JKB
돌아가고	돌아가/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
두	두/MMN
사람의	사람/NNG+의/JKG
이야기"라며	이야기/NNG+"/SS+이/VCP+라며/EC
"남북의	"/SS+남북/NNP+의/JKG
극한	극한/NNG
대치가	대치/NNG+가/JKS
아니라	아니/VCN+라/EC
화해·화합을	화해/NNG+·/SP+화합/NNG+을/JKO
말하고	말/NNG+하/XSV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.72.7.1
'서부전선'에 전쟁 영웅은 없고 살아남아 집에 가고 싶어하는 두 졸병만 있다.

'서부전선'에	'/SS+서부전선/NNP+'/SS+에/JKB
전쟁	전쟁/NNG
영웅은	영웅/NNG+은/JX
없고	없/VA+고/EC
살아남아	살아남/VV+아/EC
집에	집/NNG+에/JKB
가고	가/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
두	두/MMN
졸병만	졸병/NNG+만/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.72.7.2
자식을 군에 보낸 부모 마음도 비슷할 것이다.

자식을	자식/NNG+을/JKO
군에	군/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
부모	부모/NNG
마음도	마음/NNG+도/JX
비슷할	비슷하/VA+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.72.7.3
이날 제작보고회에서 설경구가 "내가 니 아빠뻘이야 인마"라고 농을 던지자 여진구는 "살려주시라요"로 받았다.

이날	이날/NNG
제작보고회에서	제작/NNG+보고회/NNG+에서/JKB
설경구가	설경구/NNP+가/JKS
"내가	"/SS+내/NP+가/JKS
니	니/NP
아빠뻘이야	아빠/NNG+뻘/XSN+이/VCP+야/EF
인마"라고	인마/IC+"/SS+라고/JKQ
농을	농/NNG+을/JKO
던지자	던지/VV+자/EC
여진구는	여진구/NNP+는/JX
"살려주시라요"로	"/SS+살리/VV+어/EC+주/VX+시/EP+라/EF+요/JX+"/SS+로/JKB
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.72.7.4
두 배우는 "'서부전선'은 추석 명절에 여러 세대를 아우를 수 있는 따뜻한 드라마"라고 입을 모았다.

두	두/MMN
배우는	배우/NNG+는/JX
"'서부전선'은	"/SS+'/SS+서부전선/NNP+'/SS+은/JX
추석	추석/NNG
명절에	명절/NNG+에/JKB
여러	여러/MMN
세대를	세대/NNG+를/JKO
아우를	아우르/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
드라마"라고	드라마/NNG+"/SS+라고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.72.8.1
영화는 극장 밖 현실에 영향을 받는다.

영화는	영화/NNG+는/JX
극장	극장/NNG
밖	밖/NNG
현실에	현실/NNG+에/JKB
영향을	영향/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000046.72.8.2
1930년대 독립군 이야기를 그린 '암살'은 올해가 광복 70주년이라서 더 주목받았고, 을(乙)이 갑(甲)을 누른 '베테랑'은 최근 재벌가의 폐해 때문에 더 시원한 쾌감을 선물했다.

1930년대	1930/SN+년대/NNB
독립군	독립군/NNG
이야기를	이야기/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
'암살'은	'/SS+암살/NNP+'/SS+은/JX
올해가	올해/NNG+가/JKS
광복	광복/NNG
70주년이라서	70/SN+주년/NNB+이/VCP+라서/EC
더	더/MAG
주목받았고,	주목/NNG+받/XSV+았/EP+고/EC+,/SP
을(乙)이	을/NNG+(/SS+乙/SH+)/SS+이/JKS
갑(甲)을	갑/NNG+(/SS+甲/SH+)/SS+을/JKO
누른	누르/VV+ㄴ/ETM
'베테랑'은	'/SS+베테랑/NNP+'/SS+은/JX
최근	최근/MAG
재벌가의	재벌가/NNG+의/JKG
폐해	폐해/NNG
때문에	때문/NNB+에/JKB
시원한	시원하/VA+ㄴ/ETM
쾌감을	쾌감/NNG+을/JKO
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.72.8.3
지난해 '명량'은 세월호 참사 이후 리더십의 결핍을 파고들어 1760만 관객을 모았다.

지난해	지난해/NNG
'명량'은	'/SS+명량/NNP+'/SS+은/JX
세월호	세월호/NNP
참사	참사/NNG
이후	이후/NNG
리더십의	리더십/NNG+의/JKG
결핍을	결핍/NNG+을/JKO
파고들어	파고들/VV+어/EC
1760만	1760/SN+만/NR
관객을	관객/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.72.8.4
'서부전선'이 이번에 겪은 북한 리스크는 결과적으로 이 영화 흥행에 호재일까, 악재일까.

'서부전선'이	'/SS+서부전선/NNP+'/SS+이/JKS
이번에	이번/NNG+에/JKB
겪은	겪/VV+은/ETM
북한	북한/NNP
리스크는	리스크/NNG+는/JX
결과적으로	결과/NNG+적/XSN+으로/JKB
이	이/MMD
영화	영화/NNG
흥행에	흥행/NNG+에/JKB
호재일까,	호재/NNG+이/VCP+ㄹ까/EF+,/SP
악재일까.	악재/NNG+이/VCP+ㄹ까/EF+./SF


