# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.24
metadata : {}


# id : NWRW1800000026.24.1.1
대출이자, 단골은행 가면 더 깎아줘요;신용등급 관련 정보 은행에 먼저 알려야 회사 주거래은행에선 추가 우대할인도 제공

대출이자,	대출/NNG+이자/NNG+,/SP
단, 연체가 없도록 깔끔하게 관리하는 것은 필수다.

단,	단/MAJ+,/SP
연체가	연체/NNG+가/JKS
없도록	없/VA+도록/EC
깔끔하게	깔끔/NNG+하/XSA+게/EC
관리하는	관리/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
필수다.	필수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.24.5.1
직장에서 승진을 해서 연봉이 높아졌다거나 전문 자격증을 취득했다면 이 또한 신용등급을 높일 수 있는 요인이 된다.

직장에서	직장/NNG+에서/JKB
승진을	승진/NNG+을/JKO
해서	하/VV+아서/EC
연봉이	연봉/NNG+이/JKS
높아졌다거나	높아지/VV+었/EP+다/EF+거나/JX
전문	전문/NNG
자격증을	자격증/NNG+을/JKO
취득했다면	취득/NNG+하/XSV+았/EP+다면/EC
이	이/MMD
또한	또한/MAG
신용등급을	신용/NNG+등급/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
요인이	요인/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.24.5.2
이러한 신상의 변화가 있다면 이를 금융회사에 알려주고 신용등급을 다시 평가해 달라고 요청해야 한다.

이러한	이러하/VA+ㄴ/ETM
신상의	신상/NNG+의/JKG
변화가	변화/NNG+가/JKS
있다면	있/VA+다면/EC
이를	이/NP+를/JKO
금융회사에	금융/NNG+회사/NNG+에/JKB
알려주고	알리/VV+어/EC+주/VX+고/EC
신용등급을	신용/NNG+등급/NNG+을/JKO
다시	다시/MAG
평가해	평가/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청해야	요청/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.24.5.3
신용등급이 높아지면 추가적으로 금리 인하를 요구할 수 있기 때문이다.

신용등급이	신용/NNG+등급/NNG+이/JKS
높아지면	높아지/VV+면/EC
추가적으로	추가/NNG+적/XSN+으로/JKB
금리	금리/NNG
인하를	인하/NNG+를/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.24.6.1
자신에게 맞는 우대대출 상품이 있는지 사전에 알아보는 것도 중요하다.

자신에게	자신/NNG+에게/JKB
맞는	맞/VV+는/ETM
우대대출	우대/NNG+대출/NNG
상품이	상품/NNG+이/JKS
있는지	있/VA+는지/EF
사전에	사전/NNG+에/JKB
알아보는	알아보/VV+는/ETM
것도	것/NNB+도/JX
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.24.6.2
은행에 따라 전문직 우대대출이나 교직원 우대대출 같은 상품을 구비해 놓곤 한다.

은행에	은행/NNG+에/JKB
따라	따르/VV+아/EC
전문직	전문직/NNG
우대대출이나	우대/NNG+대출/NNG+이나/JC
교직원	교직원/NNG
우대대출	우대/NNG+대출/NNG
같은	같/VA+은/ETM
상품을	상품/NNG+을/JKO
구비해	구비/NNG+하/XSV+아/EC
놓곤	놓/VX+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.24.6.3
밑져야 본전이니 '나는 해당 사항 없을 것'이라 지레짐작 말고 한 번쯤 체크해 볼 필요가 있다.

밑져야	밑지/VV+어야/EC
본전이니	본전/NNG+이/VCP+니/EC
'나는	'/SS+나/NP+는/JX
해당	해당/NNG
사항	사항/NNG
없을	없/VA+을/ETM
것'이라	것/NNB+'/SS+이라/JKQ
지레짐작	지레짐작/NNG
말고	말/VV+고/EC
한	한/MMN
번쯤	번/NNB+쯤/XSN
체크해	체크/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.24.7.1
회사마다 주거래은행을 두고 있다.

회사마다	회사/NNG+마다/JX
주거래은행을	주거래/NNG+은행/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.24.7.2
규모가 어느 정도 되는 회사라면 은행 입장에서는 무시 못할 고객이다.

규모가	규모/NNG+가/JKS
어느	어느/MMD
정도	정도/NNG
되는	되/VV+는/ETM
회사라면	회사/NNG+이/VCP+라면/EC
은행	은행/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
무시	무시/NNG
못할	못/MAG+하/VV+ㄹ/ETM
고객이다.	고객/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.24.7.3
이 때문에 보통 은행들은 거래하는 회사 직원들에 대해 우대금리를 적용해 주기도 한다.

이	이/MMD
때문에	때문/NNB+에/JKB
보통	보통/MAG
은행들은	은행/NNG+들/XSN+은/JX
거래하는	거래/NNG+하/XSV+는/ETM
회사	회사/NNG
직원들에	직원/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
우대금리를	우대/NNG+금리/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
주기도	주/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.24.7.4
회사 총무부나 담당 부서에 의뢰해 회사의 주거래은행이 어디인지 알아보고, 추가 금리할인 혜택이 있는지 확인해 두는 것도 요령이다.

회사	회사/NNG
총무부나	총무부/NNG+나/JC
담당	담당/NNG
부서에	부서/NNG+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
회사의	회사/NNG+의/JKG
주거래은행이	주거래/NNG+은행/NNG+이/JKS
어디인지	어디/NP+이/VCP+ㄴ지/EF
알아보고,	알아보/VV+고/EC+,/SP
추가	추가/NNG
금리할인	금리/NNG+할인/NNG
혜택이	혜택/NNG+이/JKS
있는지	있/VA+는지/EF
확인해	확인/NNG+하/XSV+아/EC
두는	두/VX+는/ETM
것도	것/NNB+도/JX
요령이다.	요령/NNG+이/VCP+다/EF+./SF


