# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.293
metadata : {}


# id : NWRW1800000038.293.1.1
[만물상] 英雄 엄마

[만물상]	[/SS+만물상/NNG+]/SS
슬펐다"고	슬프/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.5.5
심리학에선 사고 현장에 사람이 많을수록 '방관자 효과'가 커진다고 한다.

심리학에선	심리학/NNG+에서/JKB+ㄴ/JX
사고	사고/NNG
현장에	현장/NNG+에/JKB
사람이	사람/NNG+이/JKS
많을수록	많/VA+을수록/EC
'방관자	'/SS+방관자/NNG
효과'가	효과/NNG+'/SS+가/JKS
커진다고	커지/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.293.5.6
옆 사람이 먼저 돕겠거니 하며 팔짱을 낀다.

옆	옆/NNG
사람이	사람/NNG+이/JKS
먼저	먼저/MAG
돕겠거니	돕/VV+겠/EP+거니/EC
하며	하/VV+며/EC
팔짱을	팔짱/NNG+을/JKO
낀다.	끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.293.6.1
▶로요-케네트의 힘은 모성(母性)에서 나왔다.

▶로요-케네트의	▶/SW+로요/NNP+-/SO+케네트/NNP+의/JKG
힘은	힘/NNG+은/JX
모성(母性)에서	모성/NNG+(/SS+母性/SH+)/SS+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.6.2
쓰러진 병사를 보살피려 했고, 본능적으로 어린이들의 안위를 먼저 생각했다.

쓰러진	쓰러지/VV+ㄴ/ETM
병사를	병사/NNG+를/JKO
보살피려	보살피/VV+려/EC
했고,	하/VX+았/EP+고/EC+,/SP
본능적으로	본능/NNG+적/XSN+으로/JKB
어린이들의	어린이/NNG+들/XSN+의/JKG
안위를	안위/NNG+를/JKO
먼저	먼저/MAG
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.6.3
엄마였기에 아들뻘 범인들에게 "할 말이 있으면 해봐라"며 달랠 줄도 알았다.

엄마였기에	엄마/NNG+이/VCP+었/EP+기에/EC
아들뻘	아들/NNG+뻘/XSN
범인들에게	범인/NNG+들/XSN+에게/JKB
"할	"/SS+하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
있으면	있/VA+으면/EC
해봐라"며	하/VV+아/EC+보/VX+아라/EF+"/SS+며/EC
달랠	달래/VV+ㄹ/ETM
줄도	줄/NNB+도/JX
알았다.	알/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.6.4
광기(狂氣)에 찬 살인자마저 머뭇거리게 한 엄마의 부드러운 힘이었다.

광기(狂氣)에	광기/NNG+(/SS+狂氣/SH+)/SS+에/JKB
찬	차/VV+ㄴ/ETM
살인자마저	살인자/NNG+마저/JX
머뭇거리게	머뭇거리/VV+게/EC
한	하/VX+ㄴ/ETM
엄마의	엄마/NNG+의/JKG
부드러운	부드럽/VA+ㄴ/ETM
힘이었다.	힘/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.293.6.5
기자가 그녀에게 물었다.

기자가	기자/NNG+가/JKS
그녀에게	그녀/NP+에게/JKB
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.6.6
"캐머런 총리가 당신을 관저로 초대한다면 어떻겠는가." 그녀는 "황홀할 것"이라고 했다.

"캐머런	"/SS+캐머런/NNP
총리가	총리/NNG+가/JKS
당신을	당신/NP+을/JKO
관저로	관저/NNG+로/JKB
초대한다면	초대/NNG+하/XSV+ㄴ다면/EC
어떻겠는가."	어떻/VA+겠/EP+는가/EF+./SF+"/SS
그녀는	그녀/NP+는/JX
"황홀할	"/SS+황홀/NNG+하/XSA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.6.7
그리고 한마디 덧붙였다.

그리고	그리고/MAJ
한마디	한마디/NNG
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.6.8
"총리가 선술집에서 맥주 한잔을 사줘도 행복하겠다."

"총리가	"/SS+총리/NNG+가/JKS
선술집에서	선술집/NNG+에서/JKB
맥주	맥주/NNG
한잔을	한잔/NNG+을/JKO
사줘도	사/VV+아/EC+주/VX+어도/EC
행복하겠다."	행복/NNG+하/XSA+겠/EP+다/EF+./SF+"/SS


