# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.333
metadata : {}


# id : NWRW1800000025.333.1.1
“5년간 2만명 기부 동참… 재활센터 내년 첫 삽”

“5년간	“/SS+5/SN+년/NNB+간/XSN
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.333.3.3
백 이사는 동아일보가 선정한 ‘2020년을 빛낼 대한민국 100인’ 중 한 명이기도 하다.

백	백/NNP
이사는	이사/NNG+는/JX
동아일보가	동아일보/NNP+가/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
‘2020년을	‘/SS+2020/SN+년/NNB+을/JKO
빛낼	빛내/VV+ㄹ/ETM
대한민국	대한민국/NNP
100인’	100/SN+인/NNG+’/SS
중	중/NNB
한	한/MMN
명이기도	명/NNB+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000025.333.3.4
이날 행사에는 터를 제공한 김영종 종로구청장, 김춘진 정범구 민주당 의원, 박홍섭 마포구청장, 산악인 엄홍길 대장, 김철웅 요넥스코리아 대표, 권택명 외한은행 나눔재단 상근이사, 박점식 천지세무법인 회장 등 후원자 200여 명이 참석했다.

이날	이날/NNG
행사에는	행사/NNG+에/JKB+는/JX
터를	터/NNG+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
김영종	김영종/NNP
종로구청장,	종로구청장/NNG+,/SP
김춘진	김춘진/NNP
정범구	정범구/NNP
민주당	민주당/NNP
의원,	의원/NNG+,/SP
박홍섭	박홍섭/NNP
마포구청장,	마포구청장/NNG+,/SP
산악인	산악인/NNG
엄홍길	엄홍길/NNP
대장,	대장/NNG+,/SP
김철웅	김철웅/NNP
요넥스코리아	요넥스코리아/NNP
대표,	대표/NNG+,/SP
권택명	권택명/NNP
외한은행	외한은행/NNP
나눔재단	나눔재단/NNP
상근이사,	상근/NNG+이사/NNG+,/SP
박점식	박점식/NNP
천지세무법인	천지세무법인/NNP
회장	회장/NNG
등	등/NNB
후원자	후원자/NNG
200여	200/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.333.4.1
서울 종로구 신교동 공영주차장 용지 1980m²(약 600평)에 지상 4층 규모로 건립하는 푸르메재활센터는 저소득층 장애인에게 양·한방 치료부터 치과 진료까지 통합 서비스를 제공하게 된다.

서울	서울/NNP
종로구	종로구/NNP
신교동	신교동/NNP
공영주차장	공영/NNG+주차장/NNG
용지	용지/NNG
1980m²(약	1980/SN+m²/SW+(/SS+약/MMA
600평)에	600/SN+평/NNB+)/SS+에/JKB
지상	지상/NNG
4층	4/SN+층/NNG
규모로	규모/NNG+로/JKB
건립하는	건립/NNG+하/XSV+는/ETM
푸르메재활센터는	푸르메재활센터/NNP+는/JX
저소득층	저/XPN+소득/NNG+층/XSN
장애인에게	장애인/NNG+에게/JKB
양·한방	양·한방/NNG
치료부터	치료/NNG+부터/JX
치과	치과/NNG
진료까지	진료/NNG+까지/JX
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
제공하게	제공/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.333.4.2
용지 제공과 관련한 협약은 다음 주 체결할 예정이다.

용지	용지/NNG
제공과	제공/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
협약은	협약/NNG+은/JX
다음	다음/NNG
주	주/NNG
체결할	체결/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.333.5.1
SK텔레콤이 6월 기부한 건립기금 10억 원을 비롯해 5년간 2만여 명이 기부한 50억 원을 이 병원 건립에 쓴다.

SK텔레콤이	SK텔레콤/NNP+이/JKS
6월	6/SN+월/NNB
기부한	기부/NNG+하/XSV+ㄴ/ETM
건립기금	건립/NNG+기금/NNG
10억	10/SN+억/NR
원을	원/NNB+을/JKO
비롯해	비롯하/VV+아/EC
5년간	5/SN+년/NNB+간/XSN
2만여	2/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
50억	50/SN+억/NR
이	이/MMD
병원	병원/NNG
건립에	건립/NNG+에/JKB
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.333.5.2
대통령 부인 김윤옥 여사도 1000만 원을, 조무제 전 대법관(동아대 교수)도 900만 원을 기부했다.

대통령	대통령/NNG
부인	부인/NNG
김윤옥	김윤옥/NNP
여사도	여사/NNG+도/JX
1000만	1000/SN+만/NR
원을,	원/NNB+을/JKO+,/SP
조무제	조무제/NNP
전	전/MMD
대법관(동아대	대/XPN+법관/NNG+(/SS+동아대/NNP
교수)도	교수/NNG+)/SS+도/JX
900만	900/SN+만/NR
원을	원/NNB+을/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.333.5.3
소설가 박완서 씨는 2005년 푸르메재단이 펴낸 ‘사는 게 맛있다’에 글을 기부한 것을 시작으로 정기 후원을 하고 있다.

소설가	소설가/NNG
박완서	박완서/NNP
씨는	씨/NNB+는/JX
2005년	2005/SN+년/NNB
푸르메재단이	푸르메재단/NNP+이/JKS
펴낸	펴내/VV+ㄴ/ETM
‘사는	‘/SS+살/VV+는/ETM
게	거/NNB+이/JKS
맛있다’에	맛있/VA+다/EF+’/SS+에/JKB
글을	글/NNG+을/JKO
기부한	기부/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
정기	정기/NNG
후원을	후원/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.333.5.4
푸르메재단 홍보대사인 이지선 씨는 지난해 11월 미국 뉴욕마라톤과 올해 3월 서울국제마라톤을 완주하며 기부를 호소했다.

푸르메재단	푸르메재단/NNP
홍보대사인	홍보/NNG+대사/NNG+이/VCP+ㄴ/ETM
이지선	이지선/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
미국	미국/NNP
뉴욕마라톤과	뉴욕/NNP+마라톤/NNG+과/JC
올해	올해/NNG
3월	3/SN+월/NNB
서울국제마라톤을	서울/NNP+국제/NNG+마라톤/NNG+을/JKO
완주하며	완주/NNG+하/XSV+며/EC
기부를	기부/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.333.6.1
병원 건립 역시 재능 기부로 이뤄진다.

병원	병원/NNG
건립	건립/NNG
역시	역시/MAG
재능	재능/NNG
기부로	기부/NNG+로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.333.6.2
한미파슨스가 건축관리(CM) 서비스를, 이가건축사무소가 건축설계를 맡아 재능 기부로 동참했다.

한미파슨스가	한미/NNP+파슨스/NNP+가/JKS
건축관리(CM)	건축/NNG+관리/NNG+(/SS+CM/SL+)/SS
서비스를,	서비스/NNG+를/JKO+,/SP
이가건축사무소가	이가건축사무소/NNP+가/JKS
건축설계를	건축/NNG+설계/NNG+를/JKO
맡아	맡/VV+아/EC
재능	재능/NNG
기부로	기부/NNG+로/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.333.7.1
백 이사는 “재활센터 건립비용 100억 원 중 아직 절반밖에 모금이 되지 않았다”며 “진정성을 갖고 노력한다면 지금처럼 고마운 인연이 이어질 것을 믿는다”고 말했다.

백	백/NNP
이사는	이사/NNG+는/JX
“재활센터	“/SS+재활/NNG+센터/NNG
건립비용	건립/NNG+비용/NNG
100억	100/SN+억/NR
원	원/NNB
중	중/NNB
아직	아직/MAG
절반밖에	절반/NNG+밖에/JX
모금이	모금/NNG+이/JKS
되지	되/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“진정성을	“/SS+진정/NNG+성/XSN+을/JKO
갖고	갖/VV+고/EC
노력한다면	노력/NNG+하/XSV+ㄴ다면/EC
지금처럼	지금/NNG+처럼/JKB
고마운	고맙/VA+ㄴ/ETM
인연이	인연/NNG+이/JKS
이어질	이어지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
믿는다”고	믿/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


