# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.63
metadata : {}


# id : NWRW1800000033.63.1.1
한국, 이란 원유수입 단계 축소 불가피

한국,	한국/NNP+,/SP
이란과	이란/NNP+과/JKB
새로운	새롭/VA+ㄴ/ETM
계약은	계약/NNG+은/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.63.5.1
가이트너 장관은 그동안 이란 제재를 반대해 온 중국을 방문해 11일 원자바오(溫家寶) 총리, 시진핑(習近平) 국가부주석, 리커창(李克强) 상무부총리를 차례로 만나 이란 금수조치 동참을 촉구했다.

가이트너	가이트너/NNP
장관은	장관/NNG+은/JX
그동안	그동안/NNG
이란	이란/NNP
제재를	제재/NNG+를/JKO
반대해	반대/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
중국을	중국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
11일	11/SN+일/NNB
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
총리,	총리/NNG+,/SP
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
국가부주석,	국가/NNG+부주석/NNG+,/SP
리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
상무부총리를	상무/NNG+부총리/NNG+를/JKO
차례로	차례/NNG+로/JKB
만나	만나/VV+아/EC
금수조치	금수/NNG+조치/NNG
동참을	동참/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.63.6.1
한국은 이란 제재 수정안 예외조항에 규정된 면제(exception)나 예외(waiver)를 미국에 요청하는 ‘투 트랙’ 방식으로 이 문제에 접근하고 있다.

한국은	한국/NNP+은/JX
이란	이란/NNP
제재	제재/NNG
수정안	수정안/NNG
예외조항에	예외/NNG+조항/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
면제(exception)나	면제/NNG+(/SS+exception/SL+)/SS+나/JC
예외(waiver)를	예외/NNG+(/SS+waiver/SL+)/SS+를/JKO
미국에	미국/NNP+에/JKB
요청하는	요청/NNG+하/XSV+는/ETM
‘투	‘/SS+투/NNG
트랙’	트랙/NNG+’/SS
방식으로	방식/NNG+으로/JKB
이	이/MMD
문제에	문제/NNG+에/JKB
접근하고	접근/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.63.6.2
면제를 받으면 석유 분야를 포함해 포괄적으로 금수조치를 유예받는 장점이 있다.

면제를	면제/NNG+를/JKO
받으면	받/VV+으면/EC
석유	석유/NNG
분야를	분야/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
포괄적으로	포괄/NNG+적/XSN+으로/JKB
금수조치를	금수/NNG+조치/NNG+를/JKO
유예받는	유예/NNG+받/XSV+는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.63.6.3
하지만 면제를 받기 위해서는 ‘미국의 국익에 부합한다’는 추상적인 조건을 충족해야 하는 어려움이 있다.

하지만	하지만/MAJ
면제를	면제/NNG+를/JKO
받기	받/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
‘미국의	‘/SS+미국/NNP+의/JKG
국익에	국익/NNG+에/JKB
부합한다’는	부합/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
추상적인	추상/NNG+적/XSN+이/VCP+ㄴ/ETM
조건을	조건/NNG+을/JKO
충족해야	충족/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
어려움이	어려움/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.63.6.4
현실적 대안으로 국방수권법 발효 이후 90일 내에 이란산 석유 수입량을 상당 부분 줄이기로 하고 일정 기간 예외를 인정받는 방안이 있다.

현실적	현실/NNG+적/XSN
대안으로	대안/NNG+으로/JKB
국방수권법	국방/NNG+수권법/NNG
발효	발효/NNG
이후	이후/NNG
90일	90/SN+일/NNB
내에	내/NNB+에/JKB
이란산	이란/NNG+산/XSN
석유	석유/NNG
수입량을	수입량/NNG+을/JKO
상당	상당/NNG
부분	부분/NNG
줄이기로	줄이/VV+기/ETN+로/JKB
하고	하/VV+고/EC
일정	일정/NNG
기간	기간/NNG
예외를	예외/NNG+를/JKO
인정받는	인정/NNG+받/XSV+는/ETM
방안이	방안/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.63.7.1
청와대 고위 관계자는 “북한 핵을 막아 달라고 미국에 부탁하면서 이란 핵 문제에 대한 제재를 나 몰라라 할 수는 없다”며 “이왕 한다면 타이밍도 중요하다.

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“북한	“/SS+북한/NNP
핵을	핵/NNG+을/JKO
막아	막/VV+아/EC
달라고	달/VX+라고/EC
미국에	미국/NNP+에/JKB
부탁하면서	부탁/NNG+하/XSV+면서/EC
이란	이란/NNP
핵	핵/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제재를	제재/NNG+를/JKO
나	나/NP
몰라라	모르/VV+아라/EF
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“이왕	“/SS+이왕/MAG
한다면	하/VV+ㄴ다면/EC
타이밍도	타이밍/NNG+도/JX
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.63.7.2
결정이 늦어져 일본, 중국, 인도를 따라가는 모양새라면 매우 곤란하다”고 말했다.

결정이	결정/NNG+이/JKS
늦어져	늦어지/VV+어/EC
일본,	일본/NNP+,/SP
중국,	중국/NNP+,/SP
인도를	인도/NNP+를/JKO
따라가는	따라가/VV+는/ETM
모양새라면	모양새/NNG+이/VCP+라면/EC
매우	매우/MAG
곤란하다”고	곤란/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.63.8.1
미국 측과의 협의를 통해 예외를 인정받더라도 이란산 원유의 수입 축소는 불가피할 것으로 보인다.

미국	미국/NNP
측과의	측/NNB+과/JKB+의/JKG
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
예외를	예외/NNG+를/JKO
인정받더라도	인정/NNG+받/XSV+더라도/EC
이란산	이란/NNG+산/XSN
원유의	원유/NNG+의/JKG
수입	수입/NNG
축소는	축소/NNG+는/JX
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.63.8.2
기름값 상승도 우려된다.

기름값	기름값/NNG
상승도	상승/NNG+도/JX
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.63.8.3
정부 관계자는 “3월까지는 대표단 미국 측 인사를 설득해 보고, 그 결과에 따라 컨틴전시 플랜(비상계획)을 가동할 예정이다”라고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
“3월까지는	“/SS+3/SN+월/NNB+까지/JX+는/JX
대표단	대표단/NNG
미국	미국/NNP
측	측/NNB
인사를	인사/NNG+를/JKO
설득해	설득/NNG+하/XSV+아/EC
보고,	보/VX+고/EC+,/SP
그	그/MMD
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
컨틴전시	컨틴전시/NNG
플랜(비상계획)을	플랜/NNG+(/SS+비상/NNG+계획/NNG+)/SS+을/JKO
가동할	가동/NNG+하/XSV+ㄹ/ETM
예정이다”라고	예정/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.63.8.4
정부는 1단계로 대체 원유 수입처를 중동 이외 지역으로까지 확대하고, 2단계로 비축유를 방출하는 단계별 대책을 가동할 계획이다.

정부는	정부/NNG+는/JX
1단계로	1/SN+단계/NNG+로/JKB
대체	대체/NNG
원유	원유/NNG
수입처를	수입처/NNG+를/JKO
중동	중동/NNP
이외	이외/NNG
지역으로까지	지역/NNG+으로/JKB+까지/JX
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
2단계로	2/SN+단계/NNG+로/JKB
비축유를	비축유/NNG+를/JKO
방출하는	방출/NNG+하/XSV+는/ETM
단계별	단계/NNG+별/XSN
대책을	대책/NNG+을/JKO
가동할	가동/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.63.9.1
이란산 원유를 들여오는 SK에너지와 현대오일뱅크는 당장 발등에 불이 떨어졌다.

이란산	이란/NNG+산/XSN
원유를	원유/NNG+를/JKO
들여오는	들여오/VV+는/ETM
SK에너지와	SK에너지/NNP+와/JC
현대오일뱅크는	현대오일뱅크/NNP+는/JX
당장	당장/NNG
발등에	발등/NNG+에/JKB
불이	불/NNG+이/JKS
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.63.9.2
다른 지역 원유보다 배럴당 1∼3달러 싼 이란산 원유의 수입이 줄면 그만큼 수익성이 나빠진다.

다른	다른/MMD
지역	지역/NNG
원유보다	원유/NNG+보다/JKB
배럴당	배럴/NNG+당/XSN
1∼3달러	1/SN+∼/SO+3/SN+달러/NNB
싼	싸/VA+ㄴ/ETM
이란산	이란/NNG+산/XSN
원유의	원유/NNG+의/JKG
수입이	수입/NNG+이/JKS
줄면	줄/VV+면/EC
그만큼	그만큼/MAG
수익성이	수익/NNG+성/XSN+이/JKS
나빠진다.	나빠지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.63.9.3
배럴당 103달러짜리 이란산 원유를 다른 지역의 106달러 원유로 대체하면 정유업계에 연간 2850억 원의 손실이 발생한다.

배럴당	배럴/NNG+당/XSN
103달러짜리	103/SN+달러/NNB+짜리/XSN
이란산	이란/NNG+산/XSN
원유를	원유/NNG+를/JKO
다른	다른/MMD
지역의	지역/NNG+의/JKG
106달러	106/SN+달러/NNB
원유로	원유/NNG+로/JKB
대체하면	대체/NNG+하/XSV+면/EC
정유업계에	정유업/NNG+계/XSN+에/JKB
연간	연간/NNG
2850억	2850/SN+억/NR
원의	원/NNB+의/JKG
손실이	손실/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.63.10.1
정유업계 관계자는 “거래가 제한되더라도 비축유와 현물시장 거래로 당분간은 버틸 수 있지만 아무래도 공급이 달리고 원가상승 요인도 있을 것”이라고 내다봤다.

정유업계	정유업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“거래가	“/SS+거래/NNG+가/JKS
제한되더라도	제한/NNG+되/XSV+더라도/EC
비축유와	비축유/NNG+와/JC
현물시장	현물/NNG+시장/NNG
거래로	거래/NNG+로/JKB
당분간은	당분간/NNG+은/JX
버틸	버티/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
아무래도	아무래도/MAG
공급이	공급/NNG+이/JKS
달리고	달리/VV+고/EC
원가상승	원가/NNG+상승/NNG
요인도	요인/NNG+도/JX
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.63.10.2
이란산 원유에 대한 의존도가 20%로 가장 높은 현대오일뱅크 관계자는 “사태 추이를 지켜보면서 원유 도입처 다변화에 대비하고 있다”고 말했다.

이란산	이란/NNG+산/XSN
원유에	원유/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의존도가	의존도/NNG+가/JKS
20%로	20/SN+%/SW+로/JKB
가장	가장/MAG
높은	높/VA+은/ETM
현대오일뱅크	현대오일뱅크/NNP
관계자는	관계자/NNG+는/JX
“사태	“/SS+사태/NNG
추이를	추이/NNG+를/JKO
지켜보면서	지켜보/VV+면서/EC
원유	원유/NNG
도입처	도입처/NNG
다변화에	다변/NNG+화/XSN+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


