# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.8
metadata : {}


# id : NWRW1800000029.8.1.1
하이닉스 ‘트리플 크라운’

하이닉스	하이닉스/NNP
업계에선 하이닉스가 반도체의 생산효율을 좌우하는 미세공정 전환을 꾸준히 추진하는 동시에 모바일 D램 등 고부가가치 반도체의 생산 비중을 늘린 덕분에 좋은 실적을 올린 것으로 분석한다.

업계에선	업계/NNG+에서/JKB+ㄴ/JX
하이닉스가	하이닉스/NNP+가/JKS
반도체의	반도체/NNG+의/JKG
생산효율을	생산/NNG+효율/NNG+을/JKO
좌우하는	좌우/NNG+하/XSV+는/ETM
미세공정	미세/NNG+공정/NNG
전환을	전환/NNG+을/JKO
꾸준히	꾸준히/MAG
추진하는	추진/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
모바일	모바일/NNG
D램	D/SL+램/NNG
등	등/NNB
고부가가치	고/XPN+부가/NNG+가치/NNG
생산	생산/NNG
비중을	비중/NNG+을/JKO
늘린	늘리/VV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
좋은	좋/VA+은/ETM
실적을	실적/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.8.5.2
하이닉스는 주력제품인 D램의 40나노급 생산비중을 지난해 말까지 전체의 50%까지 늘렸다.

하이닉스는	하이닉스/NNP+는/JX
주력제품인	주력/NNG+제품/NNG+이/VCP+ㄴ/ETM
D램의	D/SL+램/NNG+의/JKG
40나노급	40/SN+나노급/NNG
생산비중을	생산/NNG+비중/NNG+을/JKO
지난해	지난해/NNG
말까지	말/NNB+까지/JX
전체의	전체/NNG+의/JKG
50%까지	50/SN+%/SW+까지/JX
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.8.5.3
일반적으로 D램 생산 공정을 50나노급에서 40나노급으로 개선하면 생산성이 50% 이상 올라가는데, 대만 업체들은 현재까지 50나노급 공정에 머물러 있다.

일반적으로	일반/NNG+적/XSN+으로/JKB
D램	D/SL+램/NNG
생산	생산/NNG
공정을	공정/NNG+을/JKO
50나노급에서	50/SN+나노급/NNG+에서/JKB
40나노급으로	40/SN+나노급/NNG+으로/JKB
개선하면	개선/NNG+하/XSV+면/EC
생산성이	생산/NNG+성/XSN+이/JKS
50%	50/SN+%/SW
이상	이상/NNG
올라가는데,	올라가/VV+는데/EC+,/SP
대만	대만/NNP
업체들은	업체/NNG+들/XSN+은/JX
현재까지	현재/NNG+까지/JX
50나노급	50/SN+나노급/NNG
공정에	공정/NNG+에/JKB
머물러	머무르/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.8.6.1
하이닉스는 지난해 12월 개발을 마친 30나노급 D램 비중을 올해 지속적으로 늘릴 방침이다.

하이닉스는	하이닉스/NNP+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
개발을	개발/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
30나노급	30/SN+나노급/NNG
D램	D/SL+램/NNG
비중을	비중/NNG+을/JKO
올해	올해/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
늘릴	늘리/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.8.6.2
또 현재 D램 매출의 60% 이상을 차지하고 있는 모바일과 그래픽, 서버용 D램의 고부가 제품 비중도 70% 이상으로 높이기로 했다.

또	또/MAG
현재	현재/MAG
D램	D/SL+램/NNG
매출의	매출/NNG+의/JKG
60%	60/SN+%/SW
이상을	이상/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
모바일과	모바일/NNG+과/JC
그래픽,	그래픽/NNG+,/SP
서버용	서버/NNG+용/XSN
D램의	D/SL+램/NNG+의/JKG
고부가	고/XPN+부가/NNG
제품	제품/NNG
비중도	비중/NNG+도/JX
70%	70/SN+%/SW
이상으로	이상/NNG+으로/JKB
높이기로	높이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


