# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.389
metadata : {}


# id : NWRW1800000038.389.1.1
"6자회담 끝났다"던 北, 회담 再開 물밑 작업… 김계관, 中·러 잇달아 방문 '6자회담 재개' 환경 조성

"6자회담	"/SS+6/SN+자/NNB+회담/NNG
필요성을	필요/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.4.2
지난 3월 "정밀 핵 타격 수단으로 서울과 워싱턴을 불바다로 만들 것"이라고 위협했던 북한이 국제적으로 불리한 상황에 놓이자, 김계관을 통해서 유화적인 분위기를 만들고 있다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
"정밀	"/SS+정밀/NNG
핵	핵/NNG
타격	타격/NNG
수단으로	수단/NNG+으로/JKB
서울과	서울/NNP+과/JC
워싱턴을	워싱턴/NNP+을/JKO
불바다로	불바다/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
위협했던	위협/NNG+하/XSV+았/EP+던/ETM
북한이	북한/NNP+이/JKS
국제적으로	국제/NNG+적/XSN+으로/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
놓이자,	놓이/VV+자/EC+,/SP
김계관을	김계관/NNP+을/JKO
통해서	통하/VV+아서/EC
유화적인	유화/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
만들고	만들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.389.5.1
◇중국 방문한 지 보름 만에 러시아로

◇중국	◇/SW+중국/NNP
방문한	방문/NNG+하/XSV+ㄴ/ETM
지	지/NNB
보름	보름/NNG
만에	만/NNB+에/JKB
러시아로	러시아/NNP+로/JKB


# id : NWRW1800000038.389.6.1
러시아를 방문 중인 김계관은 4일 티토프 외교부 제1차관 등과 5시간에 걸쳐 만났다.

러시아를	러시아/NNP+를/JKO
방문	방문/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김계관은	김계관/NNP+은/JX
4일	4/SN+일/NNB
티토프	티토프/NNP
외교부	외교부/NNG
제1차관	제/XPN+1/SN+차관/NNG
등과	등/NNB+과/JKB
5시간에	5/SN+시간/NNB+에/JKB
걸쳐	걸치/VV+어/EC
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.6.2
러시아 외교부는 회담 후 발표문에서 "(러·북) 양국은 한반도 상황을 논의했으며 특히 핵 문제 해결에 각별한 관심을 기울였다"고 밝혔다.

러시아	러시아/NNP
외교부는	외교부/NNG+는/JX
회담	회담/NNG
후	후/NNG
발표문에서	발표문/NNG+에서/JKB
"(러·북)	"/SS+(/SS+러/NNP+·/SP+북/NNP+)/SS
양국은	양국/NNG+은/JX
한반도	한반도/NNP
상황을	상황/NNG+을/JKO
논의했으며	논의/NNG+하/XSV+았/EP+으며/EC
특히	특히/MAG
핵	핵/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
기울였다"고	기울이/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.389.6.3
또 "2005년 9·19 공동성명의 원칙을 바탕으로 6자회담의 조속한 재개를 위한 환경 조성에 공동 노력할 필요가 있다"고 했다.

또	또/MAG
"2005년	"/SS+2005/SN+년/NNB
9·19	9/SN+·/SP+19/SN
공동성명의	공동/NNG+성명/NNG+의/JKG
원칙을	원칙/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
6자회담의	6/SN+자/NNB+회담/NNG+의/JKG
조속한	조속하/VA+ㄴ/ETM
재개를	재개/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
환경	환경/NNG
조성에	조성/NNG+에/JKB
공동	공동/NNG
노력할	노력/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.7.1
이에 앞서 김계관은 지난달 19일 베이징에서도 장예쑤이(張業遂) 외교부 상무(수석)부부장과 첫 전략 대화를 갖고 "북한은 6자회담을 포함한 어떤 형태의 회담이라도 참가할 것"이라고 했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
김계관은	김계관/NNP+은/JX
지난달	지난달/NNG
19일	19/SN+일/NNB
베이징에서도	베이징/NNP+에서/JKB+도/JX
장예쑤이(張業遂)	장예쑤이/NNP+(/SS+張業遂/SH+)/SS
외교부	외교부/NNG
상무(수석)부부장과	상무/NNG+(/SS+수석/NNG+)/SS+부부장/NNG+과/JKB
첫	첫/MMN
전략	전략/NNG
대화를	대화/NNG+를/JKO
갖고	갖/VV+고/EC
"북한은	"/SS+북한/NNP+은/JX
6자회담을	6/SN+자/NNB+회담/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
어떤	어떤/MMD
형태의	형태/NNG+의/JKG
회담이라도	회담/NNG+이/VCP+라도/EC
참가할	참가/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.8.1
북한이 6자회담 재개를 위해 나서는 것은 그동안 북한이 밝혀 온 입장을 180도 뒤집는 것이다.

북한이	북한/NNP+이/JKS
6자회담	6/SN+자/NNB+회담/NNG
재개를	재개/NNG+를/JKO
위해	위하/VV+아/EC
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
그동안	그동안/NNG
밝혀	밝히/VV+어/EC
온	오/VX+ㄴ/ETM
입장을	입장/NNG+을/JKO
180도	180/SN+도/NNB
뒤집는	뒤집/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.389.8.2
북한의 대외적 국가수반(首班)인 김영남 최고인민회의 상임위원장은 2009년 이집트에서 개최된 비동맹운동(NAM) 정상회의에서 "6자회담은 영원히 끝났다"고 말한 바 있다.

북한의	북한/NNP+의/JKG
대외적	대외/NNG+적/XSN
국가수반(首班)인	국가수반/NNG+(/SS+首班/SH+)/SS+이/VCP+ㄴ/ETM
김영남	김영남/NNP
최고인민회의	최고인민회의/NNG
상임위원장은	상임/NNG+위원장/NNG+은/JX
2009년	2009/SN+년/NNB
이집트에서	이집트/NNP+에서/JKB
개최된	개최/NNG+되/XSV+ㄴ/ETM
비동맹운동(NAM)	비/XPN+동맹/NNG+운동/NNG+(/SS+NAM/SL+)/SS
정상회의에서	정상/NNG+회의/NNG+에서/JKB
"6자회담은	"/SS+6/SN+자/NNB+회담/NNG+은/JX
영원히	영원히/MAG
끝났다"고	끝나/VV+았/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.389.8.3
그랬던 북한이 김계관을 보름 간격으로 중국과 러시아에 보내 6자회담 재개 필요성을 강조한 것은 외교적 고립 상태를 탈피하기 위한 것이다.

그랬던	그렇/VA+었/EP+던/ETM
북한이	북한/NNP+이/JKS
김계관을	김계관/NNP+을/JKO
보름	보름/NNG
간격으로	간격/NNG+으로/JKB
중국과	중국/NNP+과/JC
러시아에	러시아/NNP+에/JKB
보내	보내/VV+어/EC
6자회담	6/SN+자/NNB+회담/NNG
재개	재개/NNG
필요성을	필요/NNG+성/XSN+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
외교적	외교/NNG+적/XSN
고립	고립/NNG
상태를	상태/NNG+를/JKO
탈피하기	탈피/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.389.9.1
한·미·중 3국은 한·미 정상회담(5월 7일)→미·중 정상회담(6월 7일)→한·중 정상회담(6월 27일)을 잇달아 개최하면서 '북핵 불용' 의지를 명확히 했다.

한·미·중	한·미/NNP+·/SP+중/NNP
3국은	3국/NNG+은/JX
한·미	한·미/NNP
정상회담(5월	정상/NNG+회담/NNG+(/SS+5/SN+월/NNB
7일)→미·중	7/SN+일/NNB+)/SS+→/SW+미/NNP+·/SP+중/NNP
정상회담(6월	정상/NNG+회담/NNG+(/SS+6/SN+월/NNB
7일)→한·중	7/SN+일/NNB+)/SS+→/SW+한·중/NNP
27일)을	27/SN+일/NNB+)/SS+을/JKO
잇달아	잇달/VV+아/EC
개최하면서	개최/NNG+하/XSV+면서/EC
'북핵	'/SS+북핵/NNG
불용'	불용/NNG+'/SS
의지를	의지/NNG+를/JKO
명확히	명확히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.9.2
G8(주요 8개국) 정상회의(6월 19일)와 ARF(아세안지역안보포럼·7월 2일) 회의도 북한의 핵 포기를 강하게 촉구하면서 북한은 고립무원(孤立無援)의 상태가 됐다.

G8(주요	G/SL+8/SN+(/SS+주요/NNG
8개국)	8/SN+개국/NNB+)/SS
정상회의(6월	정상/NNG+회의/NNG+(/SS+6/SN+월/NNB
19일)와	19/SN+일/NNB+)/SS+와/JC
ARF(아세안지역안보포럼·7월	ARF/SL+(/SS+아세안지역안보포럼/NNP+·/SP+7/SN+월/NNB
2일)	2/SN+일/NNB+)/SS
회의도	회의/NNG+도/JX
북한의	북한/NNP+의/JKG
핵	핵/NNG
포기를	포기/NNG+를/JKO
강하게	강하/VA+게/EC
촉구하면서	촉구/NNG+하/XSV+면서/EC
북한은	북한/NNP+은/JX
고립무원(孤立無援)의	고립무원/NNG+(/SS+孤立無援/SH+)/SS+의/JKG
상태가	상태/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.389.10.1
문성묵 전 남북 군사실무회담 수석대표는 월간조선 인터뷰에서 "북한 사람들과 20년 가까이 접촉한 경험칙을 보면 그들이 아무리 어깃장을 놓아도 아쉬울 때는 어김없이 회담에 나온다"며 "북한이 대통령 실명까지 거론하며 비난했지만, 지금은 굉장히 아쉬운 상황인 것은 틀림없다"고 말했다.

문성묵	문성묵/NNP
전	전/MMD
남북	남북/NNP
군사실무회담	군사/NNG+실무/NNG+회담/NNG
수석대표는	수석대표/NNG+는/JX
월간조선	월간조선/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
"북한	"/SS+북한/NNP
사람들과	사람/NNG+들/XSN+과/JKB
20년	20/SN+년/NNB
가까이	가까이/MAG
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
경험칙을	경험칙/NNG+을/JKO
보면	보/VV+면/EC
그들이	그/NP+들/XSN+이/JKS
아무리	아무리/MAG
어깃장을	어깃장/NNG+을/JKO
놓아도	놓/VV+아도/EC
아쉬울	아쉽/VA+ㄹ/ETM
때는	때/NNG+는/JX
어김없이	어김없이/MAG
회담에	회담/NNG+에/JKB
나온다"며	나오/VV+ㄴ다/EF+"/SS+며/EC
"북한이	"/SS+북한/NNP+이/JKS
대통령	대통령/NNG
실명까지	실명/NNG+까지/JX
거론하며	거론/NNG+하/XSV+며/EC
비난했지만,	비난/NNG+하/XSV+았/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
굉장히	굉장히/MAG
아쉬운	아쉽/VA+ㄴ/ETM
상황인	상황/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
틀림없다"고	틀림없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.11.1
◇북·중·러 3각 체제 복원 시도

◇북·중·러	◇/SW+북·중/NNP+·/SP+러/NNP
3각	3/SN+각/NNG
체제	체제/NNG
복원	복원/NNG
시도	시도/NNG


# id : NWRW1800000038.389.12.1
김계관은 낮은 수준에서나마 한·미·중 협력 체제가 구축되는 것에 대항해서 전통적인 북·중·러 3각 관계를 복원시키는 '특수 임무'를 띠고 있다는 분석이 나온다.

김계관은	김계관/NNP+은/JX
낮은	낮/VA+은/ETM
수준에서나마	수준/NNG+에서/JKB+나마/JX
한·미·중	한·미/NNP+·/SP+중/NNP
협력	협력/NNG
체제가	체제/NNG+가/JKS
구축되는	구축/NNG+되/XSV+는/ETM
것에	것/NNB+에/JKB
대항해서	대항/NNG+하/XSV+아서/EC
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
북·중·러	북·중/NNP+·/SP+러/NNP
3각	3/SN+각/NNG
관계를	관계/NNG+를/JKO
복원시키는	복원/NNG+시키/XSV+는/ETM
'특수	'/SS+특수/NNG
임무'를	임무/NNG+'/SS+를/JKO
띠고	띠/VV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.389.12.2
외교 소식통은 "핵·경제 병진(竝進) 노선을 추진 중인 북한이 핵 문제는 얼버무리면서 전통적인 우방국인 중국과 러시아와의 관계를 복원시켜 각종 지원을 얻어내려는 속셈"이라고 말했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
"핵·경제	"/SS+핵/NNG+·/SP+경제/NNG
병진(竝進)	병진/NNG+(/SS+竝進/SH+)/SS
노선을	노선/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
북한이	북한/NNP+이/JKS
핵	핵/NNG
문제는	문제/NNG+는/JX
얼버무리면서	얼버무리/VV+면서/EC
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
우방국인	우방국/NNG+이/VCP+ㄴ/ETM
중국과	중국/NNP+과/JC
러시아와의	러시아/NNP+와/JKB+의/JKG
관계를	관계/NNG+를/JKO
복원시켜	복원/NNG+시키/XSV+어/EC
각종	각종/NNG
지원을	지원/NNG+을/JKO
얻어내려는	얻/VV+어/EC+내/VX+려는/ETM
속셈"이라고	속셈/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.389.13.1
하지만 김계관의 이 같은 노력에도 불구하고 당분간 회담이 열릴 가능성은 거의 없다는 분석이 지배적이다.

하지만	하지만/MAJ
김계관의	김계관/NNP+의/JKG
이	이/NP
같은	같/VA+은/ETM
노력에도	노력/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
당분간	당분간/MAG
회담이	회담/NNG+이/JKS
열릴	열리/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다는	없/VA+다는/ETM
분석이	분석/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.389.13.2
무엇보다 북한이 비핵화 의무를 이행하는 모습을 보일 때에만 회담이 가능하다는 미국의 입장이 변하지 않고 있다.

무엇보다	무엇/NP+보다/JKB
북한이	북한/NNP+이/JKS
비핵화	비핵/NNG+화/XSN
의무를	의무/NNG+를/JKO
이행하는	이행/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보일	보이/VV+ㄹ/ETM
때에만	때/NNG+에/JKB+만/JX
회담이	회담/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
미국의	미국/NNP+의/JKG
입장이	입장/NNG+이/JKS
변하지	변하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.389.13.3
북한 역시 핵보유국 자격으로 회담하겠다는 입장이어서 대화의 조건을 맞춰 가기엔 적지 않은 시간이 필요할 것으로 보인다.

북한	북한/NNP
역시	역시/MAG
핵보유국	핵보유국/NNG
자격으로	자격/NNG+으로/JKB
회담하겠다는	회담/NNG+하/XSV+겠/EP+다는/ETM
입장이어서	입장/NNG+이/VCP+어서/EC
대화의	대화/NNG+의/JKG
조건을	조건/NNG+을/JKO
맞춰	맞추/VV+어/EC
가기엔	가/VX+기/ETN+에/JKB+ㄴ/JX
적지	적/VA+지/EC
않은	않/VX+은/ETM
시간이	시간/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.389.14.1
서울의 외교 소식통은 "6일 개성공단 정상화를 위한 남북대화가 성공적으로 진행돼 남북관계가 호전되고, 북한이 비핵화 조치를 이행할 의지를 비친다면 가을쯤에 6자회담 재개를 위한 실무회의가 재개될 가능성이 있다"고 내다봤다.

서울의	서울/NNP+의/JKG
외교	외교/NNG
소식통은	소식통/NNG+은/JX
"6일	"/SS+6/SN+일/NNB
개성공단	개성공단/NNP
정상화를	정상/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
남북대화가	남북/NNP+대화/NNG+가/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
진행돼	진행/NNG+되/XSV+어/EC
남북관계가	남북/NNP+관계/NNG+가/JKS
호전되고,	호전/NNG+되/XSV+고/EC+,/SP
북한이	북한/NNP+이/JKS
비핵화	비핵/NNG+화/XSN
조치를	조치/NNG+를/JKO
이행할	이행/NNG+하/XSV+ㄹ/ETM
의지를	의지/NNG+를/JKO
비친다면	비치/VV+ㄴ다면/EC
가을쯤에	가을/NNG+쯤/XSN+에/JKB
6자회담	6/SN+자/NNB+회담/NNG
재개를	재개/NNG+를/JKO
실무회의가	실무/NNG+회의/NNG+가/JKS
재개될	재개/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


