# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.59
metadata : {}


# id : NWRW1800000025.59.1.1
車, 환경을 생각하다

車,	車/SH+,/SP
디젤	디젤/NNG
하이브리드	하이브리드/NNG
엔진이	엔진/NNG+이/JKS
탑재되는	탑재/NNG+되/XSV+는/ETM
중형	중형/NNG
세단으로	세단/NNG+으로/JKB
유럽	유럽/NNP
디자인센터에서	디자인/NNG+센터/NNG+에서/JKB
디자인했다.	디자인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.59.3.3
독일 화학회사인 바스프와 공동으로 개발한 친환경, 경량화 신기술이 대거 적용됐다.

독일	독일/NNP
화학회사인	화학/NNG+회사/NNG+이/VCP+ㄴ/ETM
바스프와	바스프/NNP+와/JKB
공동으로	공동/NNG+으로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
친환경,	친/XPN+환경/NNG+,/SP
경량화	경량/NNG+화/XSN
신기술이	신/XPN+기술/NNG+이/JKS
대거	대거/MAG
적용됐다.	적용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.59.4.1
기아자동차는 ‘스포티지 R’와 유럽형 다목적차량 ‘벤가’의 전기차 모델을 각각 처음으로 발표한다.

기아자동차는	기아자동차/NNP+는/JX
‘스포티지	‘/SS+스포티지/NNG
R’와	R/SL+’/SS+와/JC
유럽형	유럽/NNP+형/XSN
다목적차량	다목적/NNG+차량/NNG
‘벤가’의	‘/SS+벤가/NNG+’/SS+의/JKG
전기차	전기/NNG+차/NNG
모델을	모델/NNG+을/JKO
각각	각각/MAG
처음으로	처음/NNG+으로/JKB
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.4.2
스포티지 R는 2004년 8월 출시한 ‘뉴스포티지’ 후속모델로 국내 시장에서는 다음 달 출시된다.

스포티지	스포티지/NNG
R는	R/SL+는/JX
2004년	2004/SN+년/NNB
8월	8/SN+월/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
‘뉴스포티지’	‘/SS+뉴스포티지/NNG+’/SS
후속모델로	후속/NNG+모델/NNG+로/JKB
국내	국내/NNG
시장에서는	시장/NNG+에서/JKB+는/JX
다음	다음/NNG
달	달/NNG
출시된다.	출시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.4.3
벤가 전기차 모델은 시장 상황에 따라 양산 가능성도 있다고 기아차 관계자들은 전했다.

벤가	벤가/NNG
전기차	전기/NNG+차/NNG
모델은	모델/NNG+은/JX
시장	시장/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
양산	양산/NNG
가능성도	가능/NNG+성/XSN+도/JX
있다고	있/VA+다고/EC
기아차	기아차/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.59.5.1
유럽 자동차 회사들은 ‘안방’에서 신차들을 대거 선보인다.

유럽	유럽/NNP
자동차	자동차/NNG
회사들은	회사/NNG+들/XSN+은/JX
‘안방’에서	‘/SS+안방/NNG+’/SS+에서/JKB
신차들을	신차/NNG+들/XSN+을/JKO
대거	대거/MAG
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.6.1
BMW는 이번 모터쇼에서 ‘뉴 5시리즈’와 ‘뉴 X5’ 등을 최초로 공개하며, 아우디는 첫 프리미엄 소형차인 ‘A1’과 기존 ‘A5 쿠페’의 고성능 버전인 ‘뉴 RS5’를 처음 선보인다.

BMW는	BMW/SL+는/JX
이번	이번/NNG
모터쇼에서	모터쇼/NNG+에서/JKB
‘뉴	‘/SS+뉴/NNP
5시리즈’와	5시리즈/NNP+’/SS+와/JC
X5’	X/SL+5/SN+’/SS
등을	등/NNB+을/JKO
최초로	최초/NNG+로/JKB
공개하며,	공개/NNG+하/XSV+며/EC+,/SP
아우디는	아우디/NNP+는/JX
첫	첫/MMN
프리미엄	프리미엄/NNG
소형차인	소형차/NNG+이/VCP+ㄴ/ETM
‘A1’과	‘/SS+A/SL+1/SN+’/SS+과/JC
기존	기존/NNG
‘A5	‘/SS+A/SL+5/SN
쿠페’의	쿠페/NNG+’/SS+의/JKG
고성능	고/XPN+성능/NNG
버전인	버전/NNG+이/VCP+ㄴ/ETM
RS5’를	RS/SL+5/SN+’/SS+를/JKO
처음	처음/NNG
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.6.2
메르세데스벤츠는 향후 S클래스에도 적용할 차세대 플러그인 방식의 하이브리드 콘셉트카 ‘F800’을 전시한다.

메르세데스벤츠는	메르세데스벤츠/NNP+는/JX
향후	향후/NNG
S클래스에도	S클래스/NNP+에/JKB+도/JX
적용할	적용/NNG+하/XSV+ㄹ/ETM
차세대	차세대/NNG
플러그인	플러그인/NNG
방식의	방식/NNG+의/JKG
하이브리드	하이브리드/NNG
콘셉트카	콘셉트카/NNG
‘F800’을	‘/SS+F/SL+800/SN+’/SS+을/JKO
전시한다.	전시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.7.1
폴크스바겐은 신형 ‘샤란’, 신형 ‘크로스폴로’ 등 4개 모델을 이번에 공개한다.

폴크스바겐은	폴크스바겐/NNP+은/JX
신형	신형/NNG
‘샤란’,	‘/SS+샤란/NNG+’/SS+,/SP
‘크로스폴로’	‘/SS+크로스폴로/NNG+’/SS
등	등/NNB
4개	4/SN+개/NNB
모델을	모델/NNG+을/JKO
이번에	이번/NNG+에/JKB
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.7.2
특히 폴로 모델을 베이스로 한 신형 크로스폴로는 디젤 엔진의 경우 연료소비효율이 L당 23.3km에 이르고, 이산화탄소 배출량은 km당 113g으로 유럽 환경 기준인 ‘유로 5기준’을 만족시킨다.

특히	특히/MAG
폴로	폴로/NNP
모델을	모델/NNG+을/JKO
베이스로	베이스/NNG+로/JKB
한	하/VV+ㄴ/ETM
신형	신형/NNG
크로스폴로는	크로스폴로/NNG+는/JX
디젤	디젤/NNG
엔진의	엔진/NNG+의/JKG
경우	경우/NNG
연료소비효율이	연료/NNG+소비/NNG+효율/NNG+이/JKS
L당	L/SW+당/XSN
23.3km에	23/SN+./SP+3/SN+km/SW+에/JKB
이르고,	이르/VV+고/EC+,/SP
이산화탄소	이산화/NNG+탄소/NNG
배출량은	배출량/NNG+은/JX
km당	km/SW+당/XSN
113g으로	113/SN+g/SW+으로/JKB
유럽	유럽/NNP
환경	환경/NNG
기준인	기준/NNG+이/VCP+ㄴ/ETM
‘유로	‘/SS+유로/NNG
5기준’을	5/SN+기준/NNG+’/SS+을/JKO
만족시킨다.	만족/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.8.1
볼보는 ‘올 뉴 볼보 S60’ 양산형 모델을 처음 소개한다.

볼보는	볼보/NNP+는/JX
‘올	‘/SS+올/NNG
뉴	뉴/NNG
볼보	볼보/NNP
S60’	S/SL+60/SN+’/SS
양산형	양산/NNG+형/XSN
모델을	모델/NNG+을/JKO
처음	처음/NNG
소개한다.	소개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.8.2
이 모델에는 세계 최초로 선보이는 보행자 추돌감지 시스템이 내장됐다.

이	이/MMD
모델에는	모델/NNG+에/JKB+는/JX
세계	세계/NNG
최초로	최초/NNG+로/JKB
선보이는	선보이/VV+는/ETM
보행자	보행자/NNG
추돌감지	추돌/NNG+감지/NNG
시스템이	시스템/NNG+이/JKS
내장됐다.	내장/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.59.8.3
보행자 추돌감지 시스템은 차량 전방에 보행자가 접근하면 운전자에게 경고음을 내고 경고등이 작동하며, 운전자가 시간 내 반응하지 못할 경우 차량을 자동으로 멈춘다.

보행자	보행자/NNG
추돌감지	추돌/NNG+감지/NNG
시스템은	시스템/NNG+은/JX
차량	차량/NNG
전방에	전방/NNG+에/JKB
보행자가	보행자/NNG+가/JKS
접근하면	접근/NNG+하/XSV+면/EC
운전자에게	운전자/NNG+에게/JKB
경고음을	경고음/NNG+을/JKO
내고	내/VV+고/EC
경고등이	경고/NNG+등/NNG+이/JKS
작동하며,	작동/NNG+하/XSV+며/EC+,/SP
운전자가	운전자/NNG+가/JKS
시간	시간/NNG
내	내/NNB
반응하지	반응/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
차량을	차량/NNG+을/JKO
자동으로	자동/NNG+으로/JKB
멈춘다.	멈추/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.8.4
볼보코리아는 올해 말경 이 차를 한국에 들여올 계획이다.

볼보코리아는	볼보코리아/NNP+는/JX
올해	올해/NNG
말경	말경/NNG
이	이/MMD
차를	차/NNG+를/JKO
한국에	한국/NNP+에/JKB
들여올	들여오/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.59.9.1
푸조는 하이브리드 기술이 적용된 럭셔리 세단 ‘5 by 푸조’를 처음으로 공개하고, 전기모터만으로 주행이 가능한 하이브리드 콘셉트카인 ‘SR1’도 출품한다.

푸조는	푸조/NNP+는/JX
하이브리드	하이브리드/NNG
기술이	기술/NNG+이/JKS
적용된	적용/NNG+되/XSV+ㄴ/ETM
럭셔리	럭셔리/NNG
세단	세단/NNG
‘5	‘/SS+5/SN
by	by/SL
푸조’를	푸조/NNP+’/SS+를/JKO
처음으로	처음/NNG+으로/JKB
공개하고,	공개/NNG+하/XSV+고/EC+,/SP
전기모터만으로	전기/NNG+모터/NNG+만/JX+으로/JKB
주행이	주행/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
콘셉트카인	콘셉트카/NNG+이/VCP+ㄴ/ETM
‘SR1’도	‘/SS+SR/SL+1/SN+’/SS+도/JX
출품한다.	출품/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.10.1
리콜 사태로 어려움을 겪고 있는 도요타는 ‘하이브리드 시너지 드라이브’ 기술이 적용된 ‘CT 200h’를 내놓는다.

리콜	리콜/NNG
사태로	사태/NNG+로/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
도요타는	도요타/NNP+는/JX
‘하이브리드	‘/SS+하이브리드/NNG
시너지	시너지/NNG
드라이브’	드라이브/NNG+’/SS
기술이	기술/NNG+이/JKS
적용된	적용/NNG+되/XSV+ㄴ/ETM
‘CT	‘/SS+CT/SL
200h’를	200/SN+h/SL+’/SS+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000025.59.10.2
하이브리드 시너지 드라이브는 가속과 제동 시 운동에너지를 회수해 전력으로 전환하는 기술이다.

하이브리드	하이브리드/NNG
시너지	시너지/NNG
드라이브는	드라이브/NNG+는/JX
가속과	가속/NNG+과/JC
제동	제동/NNG
시	시/NNB
운동에너지를	운동/NNG+에너지/NNG+를/JKO
회수해	회수/NNG+하/XSV+아/EC
전력으로	전력/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.59.10.3
혼다는 1인승 3륜 전기자동차인 ‘3R-C’ 콘셉트카를 처음으로 공개한다.

혼다는	혼다/NNP+는/JX
1인승	1인승/NNG
3륜	3/SN+륜/NNG
전기자동차인	전기/NNG+자동차/NNG+이/VCP+ㄴ/ETM
‘3R-C’	‘/SS+3/SN+R/SL+-/SO+C/SL+’/SS
콘셉트카를	콘셉트카/NNG+를/JKO
처음으로	처음/NNG+으로/JKB
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.10.4
이 차는 파워트레인을 낮게 설계해 차체의 흔들림을 줄이고 안정성을 높인 것이 특징이다.

이	이/MMD
차는	차/NNG+는/JX
파워트레인을	파워/NNG+트레인/NNG+을/JKO
낮게	낮/VA+게/EC
설계해	설계/NNG+하/XSV+아/EC
차체의	차체/NNG+의/JKG
흔들림을	흔들리/VV+ㅁ/ETN+을/JKO
줄이고	줄이/VV+고/EC
안정성을	안정/NNG+성/XSN+을/JKO
높인	높이/VV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.59.10.5
닛산은 지난해 제네바 모터쇼에서 공개한 ‘카자나’ 콘셉트카의 양산 버전인 크로스오버 신차 ‘주크’를 발표하고, 닛산의 고급 브랜드인 인피니티 ‘뉴 M시리즈’도 유럽 무대에서 첫선을 보인다.

닛산은	닛산/NNP+은/JX
지난해	지난해/NNG
제네바	제네바/NNP
모터쇼에서	모터쇼/NNG+에서/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
‘카자나’	‘/SS+카자나/NNP+’/SS
콘셉트카의	콘셉트카/NNG+의/JKG
양산	양산/NNG
버전인	버전/NNG+이/VCP+ㄴ/ETM
크로스오버	크로스오버/NNG
신차	신차/NNG
‘주크’를	‘/SS+주크/NNP+’/SS+를/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
닛산의	닛산/NNP+의/JKG
고급	고급/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
인피니티	인피니티/NNP
‘뉴	‘/SS+뉴/NNP
M시리즈’도	M/SL+시리즈/NNP+’/SS+도/JX
유럽	유럽/NNP
무대에서	무대/NNG+에서/JKB
첫선을	첫선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.10.6
이 밖에 포드는 유럽 주력 모델인 ‘포커스’의 신형 모델을 공개한다.

이	이/MMD
밖에	밖/NNG+에/JKB
포드는	포드/NNP+는/JX
유럽	유럽/NNP
주력	주력/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
‘포커스’의	‘/SS+포커스/NNP+’/SS+의/JKG
신형	신형/NNG
모델을	모델/NNG+을/JKO
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


