# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.341
metadata : {}


# id : NWRW1800000052.341.1.1
박경미, 표절 또 드러났는데 ‘당선권’ 배치

박경미,	박경미/NNP+,/SP
학술지에	학술지/NNG+에/JKB
발표하는	발표/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
있지만	있/VA+지만/EC
지도교수가	지도/NNG+교수/NNG+가/JKS
논문에	논문/NNG+에/JKB
단초를	단초/NNG+를/JKO
제공했더라도	제공/NNG+하/XSV+았/EP+더라도/EC
자신이	자신/NNG+이/JKS
단독	단독/NNG
저자로	저자/NNG+로/JKB
해당	해당/NNG
논문을	논문/NNG+을/JKO
없다”며	없/VA+다/EF+”/SS+며/EC
“학계의	“/SS+학계/NNG+의/JKG
암묵적	암묵/NNG+적/XSN
관행을	관행/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
봐도	보/VX+아도/EC
죄질이	죄질/NNG+이/JKS
나쁘다”고	나쁘/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.341.7.1
더민주의 이중잣대에 대한 비판도 나온다.

더민주의	더민주/NNP+의/JKG
이중잣대에	이중/NNG+잣대/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.341.7.2
지난 20일 홍창선 공천관리위원장은 박 교수의 논문 표절을 두고 “옛날에는 그런 경우가 많았다.

지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
홍창선	홍창선/NNP
공천관리위원장은	공천/NNG+관리/NNG+위원장/NNG+은/JX
박	박/NNP
교수의	교수/NNG+의/JKG
논문	논문/NNG
표절을	표절/NNG+을/JKO
두고	두/VV+고/EC
“옛날에는	“/SS+옛날/NNG+에/JKB+는/JX
그런	그런/MMD
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.341.7.3
내가 보기에 그건 마이너한 것”이라고 말했다.

내가	내/NP+가/JKS
보기에	보/VV+기/ETN+에/JKB
그건	그거/NP+ㄴ/JX
마이너한	마이너/NNG+하/XSA+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.341.7.4
하지만 더민주는 지난해 김명수 전 교육부 장관 후보자의 제자 논문 표절 사실을 집중 공략해 낙마시켰다.

하지만	하지만/MAJ
더민주는	더민주/NNP+는/JX
지난해	지난해/NNG
김명수	김명수/NNP
전	전/MMD
교육부	교육부/NNG
장관	장관/NNG
후보자의	후보자/NNG+의/JKG
제자	제자/NNG
논문	논문/NNG
표절	표절/NNG
사실을	사실/NNG+을/JKO
집중	집중/NNG
공략해	공략/NNG+하/XSV+아/EC
낙마시켰다.	낙마/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.341.7.5
국민의당은 이날 논평을 내어 “박 교수의 전력은 힘없는 제자의 논문을 표절했다는 점에서 갑질 중의 갑질”이라며 “더민주가 이런 후보를 앞세운다면 앞으로 국무위원 후보자 인사청문회를 제대로 치를 수 없는 식물야당이 될 것”이라고 꼬집었다.

국민의당은	국민의당/NNP+은/JX
이날	이날/NNG
논평을	논평/NNG+을/JKO
내어	내/VV+어/EC
“박	“/SS+박/NNP
교수의	교수/NNG+의/JKG
전력은	전력/NNG+은/JX
힘없는	힘없/VA+는/ETM
제자의	제자/NNG+의/JKG
논문을	논문/NNG+을/JKO
표절했다는	표절/NNG+하/XSV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
갑질	갑/NNG+질/XSN
중의	중/NNB+의/JKG
갑질”이라며	갑/NNG+질/XSN+”/SS+이/VCP+라며/EC
“더민주가	“/SS+더민주/NNP+가/JKS
이런	이런/MMD
후보를	후보/NNG+를/JKO
앞세운다면	앞세우/VV+ㄴ다면/EC
앞으로	앞/NNG+으로/JKB
국무위원	국무/NNG+위원/NNG
후보자	후보자/NNG
인사청문회를	인사/NNG+청문회/NNG+를/JKO
제대로	제대로/MAG
치를	치르/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
식물야당이	식물/NNG+야당/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


