# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.152
metadata : {}


# id : NWRW1800000029.152.1.1
트레이더 ‘한탕 투자’ UBS도 못 막았다면…

트레이더	트레이더/NNG
후유증으로	후유증/NNG+으로/JKB
정부의	정부/NNG+의/JKG
구제금융까지	구제/NNG+금융/NNG+까지/JX
받았던	받/VV+았/EP+던/ETM
UBS는	UBS/SL+는/JX
재무건전성	재무/NNG+건전/NNG+성/XSN
악화는	악화/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
신용등급마저	신용/NNG+등급/NNG+마저/JX
강등될	강등/NNG+되/XSV+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.152.4.5
이를 계기로 금융사에 대한 규제와 내부통제 시스템을 한층 강화해야 한다는 목소리가 다시 커지고 있다.

이를	이/NP+를/JKO
계기로	계기/NNG+로/JKB
금융사에	금융사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규제와	규제/NNG+와/JC
내부통제	내부/NNG+통제/NNG
시스템을	시스템/NNG+을/JKO
한층	한층/MAG
강화해야	강화/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
다시	다시/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.152.5.1
아도볼리 씨는 런던에서 탄탄대로의 경력을 쌓아가던 잘나가는 금융인이었다.

아도볼리	아도볼리/NNP
씨는	씨/NNB+는/JX
런던에서	런던/NNP+에서/JKB
탄탄대로의	탄탄대로/NNG+의/JKG
경력을	경력/NNG+을/JKO
쌓아가던	쌓/VV+아/EC+가/VX+던/ETM
잘나가는	잘나가/VV+는/ETM
금융인이었다.	금융인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.152.5.2
아프리카 가나 출신으로 영국에서 한 해 학비가 2만 파운드(3500만 원)가량 되는 비싼 기숙학교를 거쳐 명문 노팅엄대를 졸업했다.

아프리카	아프리카/NNP
가나	가나/NNP
출신으로	출신/NNG+으로/JKB
영국에서	영국/NNP+에서/JKB
한	한/MMN
해	해/NNB
학비가	학비/NNG+가/JKS
2만	2/SN+만/NR
파운드(3500만	파운드/NNB+(/SS+3500/SN+만/NR
원)가량	원/NNB+)/SS+가량/XSN
되는	되/VV+는/ETM
비싼	비싸/VA+ㄴ/ETM
기숙학교를	기숙/NNG+학교/NNG+를/JKO
거쳐	거치/VV+어/EC
명문	명문/NNG
노팅엄대를	노팅엄대/NNP+를/JKO
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.152.5.3
2006년 UBS에 수습 투자 상담원으로 입사한 그는 내부에서 인정을 받으면서 최근엔 30만 파운드(약 5억2500만 원)의 연봉을 받았다.

2006년	2006/SN+년/NNB
UBS에	UBS/SL+에/JKB
수습	수습/NNG
투자	투자/NNG
상담원으로	상담원/NNG+으로/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
내부에서	내부/NNG+에서/JKB
인정을	인정/NNG+을/JKO
받으면서	받/VV+으면서/EC
최근엔	최근/NNG+에/JKB+ㄴ/JX
30만	30/SN+만/NR
파운드(약	파운드/NNB+(/SS+약/MMA
5억2500만	5/SN+억/NR+2500/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
연봉을	연봉/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.152.5.4
주변 사람들은 “그는 매우 성실하고 차분한 사람이었다”고 말했다.

주변	주변/NNG
사람들은	사람/NNG+들/XSN+은/JX
“그는	“/SS+그/NP+는/JX
매우	매우/MAG
성실하고	성실/NNG+하/XSA+고/EC
차분한	차분하/VA+ㄴ/ETM
사람이었다”고	사람/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.152.6.1
하지만 그의 풍족한 삶은 잘못된 투자 한 번에 송두리째 날아갈 운명에 놓였다.

하지만	하지만/MAJ
그의	그/NP+의/JKG
풍족한	풍족하/VA+ㄴ/ETM
삶은	삶/NNG+은/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
투자	투자/NNG
한	한/MMN
번에	번/NNB+에/JKB
송두리째	송두리째/MAG
날아갈	날아가/VV+ㄹ/ETM
운명에	운명/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.152.6.2
UBS는 14일 밤 회사의 트레이딩 계정에서 이상한 부분을 발견해 경찰에 신고했고, 다음 날인 15일 오전 3시 반경 아도볼리 씨는 자신의 사무실에서 체포됐다.

UBS는	UBS/SL+는/JX
14일	14/SN+일/NNB
밤	밤/NNG
회사의	회사/NNG+의/JKG
트레이딩	트레이딩/NNG
계정에서	계정/NNG+에서/JKB
이상한	이상/NNG+하/XSA+ㄴ/ETM
부분을	부분/NNG+을/JKO
발견해	발견/NNG+하/XSV+아/EC
경찰에	경찰/NNG+에/JKB
신고했고,	신고/NNG+하/XSV+았/EP+고/EC+,/SP
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
오전	오전/NNG
3시	3/SN+시/NNB
반경	반/NNG+경/XSN
아도볼리	아도볼리/NNP
씨는	씨/NNB+는/JX
자신의	자신/NNG+의/JKG
사무실에서	사무실/NNG+에서/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.152.6.3
15일 오전 UBS는 “한 트레이더의 허가받지 않은 임의매매로 20억 달러에 이르는 손실을 봤다”는 짧은 성명을 발표했고 이날 UBS의 주가는 11% 폭락했다.

15일	15/SN+일/NNB
오전	오전/NNG
UBS는	UBS/SL+는/JX
“한	“/SS+한/MMN
트레이더의	트레이더/NNG+의/JKG
허가받지	허가/NNG+받/XSV+지/EC
않은	않/VX+은/ETM
임의매매로	임의/NNG+매매/NNG+로/JKB
20억	20/SN+억/NR
달러에	달러/NNB+에/JKB
이르는	이르/VV+는/ETM
손실을	손실/NNG+을/JKO
봤다”는	보/VV+았/EP+다/EF+”/SS+는/ETM
짧은	짧/VA+은/ETM
성명을	성명/NNG+을/JKO
발표했고	발표/NNG+하/XSV+았/EP+고/EC
이날	이날/NNG
UBS의	UBS/SL+의/JKG
주가는	주가/NNG+는/JX
11%	11/SN+%/SW
폭락했다.	폭락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.152.6.4
무디스는 “이 회사의 위험관리에 대한 취약점이 드러났다”며 신용등급 강등을 검토하겠다고 밝혔다.

무디스는	무디스/NNP+는/JX
“이	“/SS+이/MMD
회사의	회사/NNG+의/JKG
위험관리에	위험/NNG+관리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
취약점이	취약점/NNG+이/JKS
드러났다”며	드러나/VV+았/EP+다/EF+”/SS+며/EC
신용등급	신용/NNG+등급/NNG
강등을	강등/NNG+을/JKO
검토하겠다고	검토/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.152.7.1
아도볼리 씨가 정확히 어떤 투자를 해 이 같은 막대한 손실을 냈는지는 알려지지 않았다.

아도볼리	아도볼리/NNP
씨가	씨/NNB+가/JKS
정확히	정확히/MAG
어떤	어떤/MMD
투자를	투자/NNG+를/JKO
해	하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
막대한	막대하/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
냈는지는	내/VV+었/EP+는지/EC+는/JX
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.152.7.2
다만 그가 지난주 페이스북에 “나에게 기적이 필요하다”고 써놓은 것으로 미뤄볼 때, 최근 투자에서 잇달아 실패한 뒤 이를 만회하기 위해 고위험 파생상품에 무리한 투자를 했다 더 큰 손실을 본 것으로 추정된다.

다만	다만/MAG
그가	그/NP+가/JKS
지난주	지난주/NNG
페이스북에	페이스북/NNP+에/JKB
“나에게	“/SS+나/NP+에게/JKB
기적이	기적/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
써놓은	쓰/VV+어/EC+놓/VX+은/ETM
것으로	것/NNB+으로/JKB
미뤄볼	미루/VV+어/EC+보/VX+ㄹ/ETM
때,	때/NNG+,/SP
최근	최근/NNG
투자에서	투자/NNG+에서/JKB
잇달아	잇달/VV+아/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
만회하기	만회/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
고위험	고/XPN+위험/NNG
파생상품에	파생/NNG+상품/NNG+에/JKB
무리한	무리/NNG+하/XSV+ㄴ/ETM
투자를	투자/NNG+를/JKO
했다	하/VV+았/EP+다/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
본	보/VV+ㄴ/ETM
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.152.7.3
최근 글로벌 금융시장에선 유럽 국가들의 재정위기로 각국의 주가와 환율이 크게 출렁이고 있었다.

최근	최근/NNG
글로벌	글로벌/NNG
금융시장에선	금융/NNG+시장/NNG+에서/JKB+ㄴ/JX
유럽	유럽/NNP
국가들의	국가/NNG+들/XSN+의/JKG
재정위기로	재정/NNG+위기/NNG+로/JKB
각국의	각국/NNG+의/JKG
주가와	주가/NNG+와/JC
환율이	환율/NNG+이/JKS
크게	크/VA+게/EC
출렁이고	출렁이/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.152.8.1
세계 금융계는 유수의 글로벌 투자은행인 UBS에서 이런 사태가 발생한 것에 충격과 의문을 감추지 못하고 있다.

세계	세계/NNG
금융계는	금융/NNG+계/XSN+는/JX
유수의	유수/NNG+의/JKG
글로벌	글로벌/NNG
투자은행인	투자/NNG+은행/NNG+이/VCP+ㄴ/ETM
UBS에서	UBS/SL+에서/JKB
이런	이런/MMD
사태가	사태/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
충격과	충격/NNG+과/JC
의문을	의문/NNG+을/JKO
감추지	감추/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.152.8.2
2008년 글로벌 금융위기를 거치면서 금융사들은 리스크 관리를 위해 저마다 내부통제 시스템을 강화했다.

2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기를	금융/NNG+위기/NNG+를/JKO
거치면서	거치/VV+면서/EC
금융사들은	금융사/NNG+들/XSN+은/JX
리스크	리스크/NNG
관리를	관리/NNG+를/JKO
위해	위하/VV+아/EC
저마다	저마다/MAG
내부통제	내부/NNG+통제/NNG
시스템을	시스템/NNG+을/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.152.8.3
트레이더마다 최대 투자 및 손실한도를 정해놓고 이를 넘어서면 상부나 리스크관리 부서에 자동으로 보고가 되는 등의 방식이다.

트레이더마다	트레이더/NNG+마다/JX
최대	최대/NNG
투자	투자/NNG
및	및/MAG
손실한도를	손실/NNG+한도/NNG+를/JKO
정해놓고	정하/VV+아/EC+놓/VX+고/EC
이를	이/NP+를/JKO
넘어서면	넘어서/VV+면/EC
상부나	상부/NNG+나/JC
리스크관리	리스크/NNG+관리/NNG
부서에	부서/NNG+에/JKB
자동으로	자동/NNG+으로/JKB
보고가	보고/NNG+가/JKC
되는	되/VV+는/ETM
등의	등/NNB+의/JKG
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.152.8.4
하지만 이번 사건을 통해 이 기능이 제대로 작동하지 않는 것이 드러난 셈이다.

하지만	하지만/MAJ
이번	이번/NNG
사건을	사건/NNG+을/JKO
통해	통하/VV+아/EC
이	이/MMD
기능이	기능/NNG+이/JKS
제대로	제대로/MAG
작동하지	작동/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
드러난	드러나/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.152.8.5
경찰은 아도볼리 씨가 내부통제 시스템을 깨기 위해 고의로 범법행위를 저질렀는지, 다른 동료들과 공모를 했는지 등을 수사하고 있다.

경찰은	경찰/NNG+은/JX
아도볼리	아도볼리/NNP
씨가	씨/NNB+가/JKS
내부통제	내부/NNG+통제/NNG
시스템을	시스템/NNG+을/JKO
깨기	깨/VV+기/ETN
위해	위하/VV+아/EC
고의로	고의/NNG+로/JKB
범법행위를	범법/NNG+행위/NNG+를/JKO
저질렀는지,	저지르/VV+었/EP+는지/EC+,/SP
다른	다른/MMD
동료들과	동료/NNG+들/XSN+과/JKB
공모를	공모/NNG+를/JKO
했는지	하/VV+았/EP+는지/EC
등을	등/NNB+을/JKO
수사하고	수사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


