# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.81
metadata : {}


# id : NWRW1800000033.81.1.1
“섹스, 거짓말, 그리고 Gmail”

“섹스,	“/SS+섹스/NNG+,/SP
인터넷	인터넷/NNG
포털이	포털/NNG+이/JKS
제공하는	제공/NNG+하/XSV+는/ETM
e메일	e/SL+메일/NNG
서비스가	서비스/NNG+가/JKS
대부분	대/XPN+부분/NNG
그렇듯이	그렇/VA+듯이/EC
G메일	G/SL+메일/NNG
역시	역시/MAG
보안이	보안/NNG+이/JKS
취약하지만	취약/NNG+하/XSA+지만/EC
무료로	무료/NNG+로/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.81.4.3
ID와 비밀번호만 공유하면 누구나 다른 사람의 G메일에 접근할 수 있다.

ID와	ID/SL+와/JC
비밀번호만	비밀번호/NNG+만/JX
공유하면	공유/NNG+하/XSV+면/EC
누구나	누구/NP+나/JX
다른	다른/MMD
사람의	사람/NNG+의/JKG
G메일에	G/SL+메일/NNG+에/JKB
접근할	접근/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.81.5.1
퍼트레이어스 전 국장과 브로드웰은 불륜의 증거를 남기지 않기 위해 익명의 G메일 계정을 개설한 후 ID와 비밀번호를 공유하며 ‘드래프트’로 불리는 보내지 않은 편지함에 메시지를 남겨놓는 방식으로 서로 연락을 했다.

퍼트레이어스	퍼트레이어스/NNP
전	전/MMD
국장과	국장/NNG+과/JC
브로드웰은	브로드웰/NNP+은/JX
불륜의	불륜/NNG+의/JKG
증거를	증거/NNG+를/JKO
남기지	남기/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
익명의	익명/NNG+의/JKG
G메일	G/SL+메일/NNG
계정을	계정/NNG+을/JKO
개설한	개설/NNG+하/XSV+ㄴ/ETM
후	후/NNG
ID와	ID/SL+와/JC
비밀번호를	비밀번호/NNG+를/JKO
공유하며	공유/NNG+하/XSV+며/EC
‘드래프트’로	‘/SS+드래프트/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
보내지	보내/VV+지/EC
않은	않/VX+은/ETM
편지함에	편지함/NNG+에/JKB
메시지를	메시지/NNG+를/JKO
남겨놓는	남기/VV+어/EC+놓/VX+는/ETM
방식으로	방식/NNG+으로/JKB
서로	서로/MAG
연락을	연락/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.81.5.2
브로드웰은 익명의 G메일 계정을 이용해 켈리에게 협박 메시지를 보냈다.

브로드웰은	브로드웰/NNP+은/JX
익명의	익명/NNG+의/JKG
G메일	G/SL+메일/NNG
계정을	계정/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
켈리에게	켈리/NNP+에게/JKB
협박	협박/NNG
메시지를	메시지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.81.6.1
하지만 전문가들의 추적을 피할 수는 없었다.

하지만	하지만/MAJ
전문가들의	전문가/NNG+들/XSN+의/JKG
추적을	추적/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.81.6.2
월스트리트저널은 12일 “‘섹스, 거짓말, 그리고 비디오테이프’라는 영화 제목에 빗대 이번 스캔들을 ‘섹스, 거짓말, 그리고 G메일’이라고 할 수 있다”며 “기밀정보를 다루는 군과 정보당국 책임자들이 보안이 취약한 개인용 e메일을 사용하는 것을 제한하는 조치가 필요하다”고 지적했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
12일	12/SN+일/NNB
“‘섹스,	“/SS+‘/SS+섹스/NNG+,/SP
거짓말,	거짓말/NNG+,/SP
그리고	그리고/MAJ
비디오테이프’라는	비디오테이프/NNG+’/SS+이/VCP+라는/ETM
영화	영화/NNG
제목에	제목/NNG+에/JKB
빗대	빗대/VV+어/EC
이번	이번/NNG
스캔들을	스캔들/NNG+을/JKO
‘섹스,	‘/SS+섹스/NNG+,/SP
G메일’이라고	G/SL+메일/NNG+’/SS+이라고/JKQ
할	하/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“기밀정보를	“/SS+기밀/NNG+정보/NNG+를/JKO
다루는	다루/VV+는/ETM
군과	군/NNG+과/JC
정보당국	정보/NNG+당국/NNG
책임자들이	책임자/NNG+들/XSN+이/JKS
보안이	보안/NNG+이/JKS
취약한	취약/NNG+하/XSA+ㄴ/ETM
개인용	개인/NNG+용/XSN
e메일을	e/SL+메일/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
조치가	조치/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


