# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.266
metadata : {}


# id : NWRW1800000052.266.1.1
경기 광역버스 준공영제 ‘반쪽 엔진’ 31개 시군중 15곳 ‘반대 또는 난색’

경기	경기/NNP
성남·용인·시흥시	성남/NNP+·/SP+용인/NNP+·/SP+시흥시/NNP
등	등/NNB
경기도	경기도/NNP
내	내/NNB
15개	15/SN+개/NNB
자치단체가	자치/NNG+단체/NNG+가/JKS
과도한	과도/NNG+하/XSA+ㄴ/ETM
재정	재정/NNG
부담을	부담/NNG+을/JKO
들어	들/VV+어/EC
사실상	사실상/MAG
준공영제	준/XPN+공영/NNG+제/XSN
참여를	참여/NNG+를/JKO
아예	아예/MAG
거부하거나	거부/NNG+하/XSV+거나/EC
부담금	부담금/NNG
비율을	비율/NNG+을/JKO
낮춰	낮추/VV+어/EC
달라고	달/VX+라고/EC
요구하는	요구/NNG+하/XSV+는/ETM
난색을	난색/NNG+을/JKO
보이기	보이/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.266.4.1
경기도의회 최종환 의원(민주당·파주1)이 7일 경기도가 지난 8∼9월 사이 `도내 시·군을 상대로 준공영제에 따른 의견'을 수렴한 내용을 분석한 결과를 보면, 도내 31개 시·군 중 준공영제 도입과 예산 부담에 동의한 곳은 수원·부천·안산시 등 9곳에 불과했다.

경기도의회	경기도의회/NNP
최종환	최종환/NNP
의원(민주당·파주1)이	의원/NNG+(/SS+민주당/NNP+·/SP+파주/NNP+1/SN+)/SS+이/JKS
7일	7/SN+일/NNB
경기도가	경기도/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
8∼9월	8/SN+∼/SO+9/SN+월/NNB
사이	사이/NNG
`도내	`/SS+도내/NNG
시·군을	시/NNG+·/SP+군/NNG+을/JKO
상대로	상대/NNG+로/JKB
준공영제에	준/XPN+공영/NNG+제/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
의견'을	의견/NNG+'/SS+을/JKO
수렴한	수렴/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
도내	도내/NNG
31개	31/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
중	중/NNB
준공영제	준/XPN+공영/NNG+제/XSN
도입과	도입/NNG+과/JC
예산	예산/NNG
부담에	부담/NNG+에/JKB
동의한	동의/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
수원·부천·안산시	수원/NNP+·/SP+부천/NNP+·/SP+안산시/NNP
등	등/NNB
9곳에	9/SN+곳/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000052.266.4.2
반면 성남·화성·시흥·군포·용인시 등 6곳은 준공영제 도입에 반대했고 안양·하남·의정부·남양주시 등 9곳은 과도한 재정 부담을 이유로 경기도와 자치단체 5 : 5인 분담비율에서 자치단체 분담비율을 30% 이하로 낮춰 달라고 요구하는 등 분담비율 조정을 전제로 내걸었다.

반면	반면/NNG
성남·화성·시흥·군포·용인시	성남/NNP+·/SP+화성/NNP+·/SP+시흥/NNP+·/SP+군포/NNP+·/SP+용인시/NNP
등	등/NNB
6곳은	6/SN+곳/NNG+은/JX
준공영제	준/XPN+공영/NNG+제/XSN
도입에	도입/NNG+에/JKB
반대했고	반대/NNG+하/XSV+았/EP+고/EC
안양·하남·의정부·남양주시	안양/NNP+·/SP+하남/NNP+·/SP+의정부/NNP+·/SP+남양주시/NNP
9곳은	9/SN+곳/NNG+은/JX
과도한	과도/NNG+하/XSA+ㄴ/ETM
재정	재정/NNG
부담을	부담/NNG+을/JKO
이유로	이유/NNG+로/JKB
경기도와	경기도/NNP+와/JC
자치단체	자치/NNG+단체/NNG
5	5/SN
:	:/SP
5인	5/SN+이/VCP+ㄴ/ETM
분담비율에서	분담/NNG+비율/NNG+에서/JKB
분담비율을	분담/NNG+비율/NNG+을/JKO
30%	30/SN+%/SW
이하로	이하/NNG+로/JKB
낮춰	낮추/VV+어/EC
달라고	달/VX+라고/EC
요구하는	요구/NNG+하/XSV+는/ETM
분담비율	분담/NNG+비율/NNG
조정을	조정/NNG+을/JKO
전제로	전제/NNG+로/JKB
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.266.5.1
특히 경기도에 참여 불가 의견을 낸 성남시는 “재정 부담 외에도 (100% 민간운영인) 일반 시내버스와의 운영 방식의 차이”를 지적했다.

특히	특히/MAG
경기도에	경기도/NNP+에/JKB
참여	참여/NNG
불가	불가/NNG
의견을	의견/NNG+을/JKO
낸	내/VV+ㄴ/ETM
성남시는	성남시/NNP+는/JX
“재정	“/SS+재정/NNG
부담	부담/NNG
외에도	외/NNB+에/JKB+도/JX
(100%	(/SS+100/SN+%/SW
민간운영인)	민간/NNG+운영/NNG+이/VCP+ㄴ/ETM+)/SS
일반	일반/NNG
시내버스와의	시내버스/NNG+와/JKB+의/JKG
운영	운영/NNG
방식의	방식/NNG+의/JKG
차이”를	차이/NNG+”/SS+를/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.266.5.2
또 시흥시는 “준공영제 시행 시 막대한 예산이 수반되지만 경기도가 시·군과 협의 없이 일방적으로 예산을 분담시키는가 하면 준공영제 시행에 따른 구체적 내용이 없다”며 반대 이유를 밝혔다.

또	또/MAG
시흥시는	시흥시/NNP+는/JX
“준공영제	“/SS+준/XPN+공영/NNG+제/XSN
시행	시행/NNG
시	시/NNB
막대한	막대하/VA+ㄴ/ETM
예산이	예산/NNG+이/JKS
수반되지만	수반/NNG+되/XSV+지만/EC
경기도가	경기도/NNP+가/JKS
시·군과	시/NNG+·/SP+군/NNG+과/JKB
협의	협의/NNG
없이	없이/MAG
일방적으로	일방/NNG+적/XSN+으로/JKB
예산을	예산/NNG+을/JKO
분담시키는가	분담/NNG+시키/XSV+는가/EF
하면	하/VV+면/EC
준공영제	준/XPN+공영/NNG+제/XSN
시행에	시행/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
구체적	구체/NNG+적/XSN
내용이	내용/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
반대	반대/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.266.6.1
준공영제 참여 거부 의사를 밝힌 성남시와 용인시를 합친 6개 자치단체의 광역버스 이용객은 하루 전체 승객 28만여명의 41%를 차지하고 이들의 예산 분담액은 시군 전체 분담금 414억원 중 40.8%인 169억원에 이른다.

준공영제	준/XPN+공영/NNG+제/XSN
참여	참여/NNG
거부	거부/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
성남시와	성남시/NNP+와/JC
용인시를	용인시/NNP+를/JKO
합친	합치/VV+ㄴ/ETM
6개	6/SN+개/NNB
자치단체의	자치/NNG+단체/NNG+의/JKG
광역버스	광역/NNG+버스/NNG
이용객은	이용객/NNG+은/JX
하루	하루/NNG
전체	전체/NNG
승객	승객/NNG
28만여명의	28/SN+만/NR+여/XSN+명/NNB+의/JKG
41%를	41/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
이들의	이/NP+들/XSN+의/JKG
예산	예산/NNG
분담액은	분담액/NNG+은/JX
시군	시군/NNG
분담금	분담금/NNG
414억원	414/SN+억/NR+원/NNB
중	중/NNB
40.8%인	40/SN+./SP+8/SN+%/SW+이/VCP+ㄴ/ETM
169억원에	169/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.266.6.2
사실상 준공영제가 출발 시동도 걸기 어렵다는 지적이 나온다.

사실상	사실상/MAG
준공영제가	준/XPN+공영/NNG+제/XSN+가/JKS
출발	출발/NNG
시동도	시동/NNG+도/JX
걸기	걸/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.266.7.1
최 의원은 “출발부터 졸속 지적을 받은 준공영제 도입과 관련해 경기도는 성남시 등 6개 자치단체가 의견 수렴 과정에서 준공영제 참여 의사가 없거나 반대한다는 뜻을 분명히 밝혔음에도 이를 숨기거나 부분 동의로 왜곡했다”고 비판했다.

최	최/NNP
의원은	의원/NNG+은/JX
“출발부터	“/SS+출발/NNG+부터/JX
졸속	졸속/NNG
지적을	지적/NNG+을/JKO
받은	받/VV+은/ETM
준공영제	준/XPN+공영/NNG+제/XSN
도입과	도입/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
경기도는	경기도/NNP+는/JX
성남시	성남시/NNP
등	등/NNB
6개	6/SN+개/NNB
자치단체가	자치/NNG+단체/NNG+가/JKS
의견	의견/NNG
수렴	수렴/NNG
과정에서	과정/NNG+에서/JKB
참여	참여/NNG
의사가	의사/NNG+가/JKS
없거나	없/VA+거나/EC
반대한다는	반대/NNG+하/XSV+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
밝혔음에도	밝히/VV+었/EP+음/ETN+에/JKB+도/JX
이를	이/NP+를/JKO
숨기거나	숨기/VV+거나/EC
부분	부분/NNG
동의로	동의/NNG+로/JKB
왜곡했다”고	왜곡/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.266.8.1
남경필 경기지사는 지난 6월28일 향후 2년 내 광역버스 입석률 0% 달성을 하겠다며 내년 7월 광역버스 준공영제 도입 계획을 밝혔다.

남경필	남경필/NNP
경기지사는	경기/NNP+지사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
6월28일	6/SN+월/NNB+28/SN+일/NNB
향후	향후/NNG
2년	2/SN+년/NNB
내	내/NNB
광역버스	광역/NNG+버스/NNG
입석률	입석/NNG+률/XSN
0%	0/SN+%/SW
달성을	달성/NNG+을/JKO
하겠다며	하/VV+겠/EP+다며/EC
내년	내년/NNG
7월	7/SN+월/NNB
준공영제	준/XPN+공영/NNG+제/XSN
도입	도입/NNG
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.266.8.2
경기도가 매년 900억원의 예산을 시·군과 절반씩 부담해 광역버스 업체의 운전기사 충원을 돕는 대신 경기도가 노선 변경 등의 권한을 갖는 내용이다.

경기도가	경기도/NNP+가/JKS
매년	매년/MAG
900억원의	900/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
시·군과	시/NNG+·/SP+군/NNG+과/JKB
절반씩	절반/NNG+씩/XSN
부담해	부담/NNG+하/XSV+아/EC
광역버스	광역/NNG+버스/NNG
업체의	업체/NNG+의/JKG
운전기사	운전기사/NNG
충원을	충원/NNG+을/JKO
돕는	돕/VV+는/ETM
대신	대신/NNG
노선	노선/NNG
변경	변경/NNG
등의	등/NNB+의/JKG
권한을	권한/NNG+을/JKO
갖는	갖/VV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.266.8.3
그러나 서울시와의 사전 협의도 안된 데다 연간 수천억원씩 재정보전금을 지원하면서 나아지지 않는 버스시스템부터 개선하라는 비판을 받아왔다.

그러나	그러나/MAJ
서울시와의	서울시/NNP+와/JKB+의/JKG
사전	사전/NNG
협의도	협의/NNG+도/JX
안된	안/MAG+되/XSV+ㄴ/ETM
데다	데/NNB+다/JX
연간	연간/NNG
수천억원씩	수천억/NR+원/NNB+씩/XSN
재정보전금을	재정/NNG+보전금/NNG+을/JKO
지원하면서	지원/NNG+하/XSV+면서/EC
나아지지	나아지/VV+지/EC
않는	않/VX+는/ETM
버스시스템부터	버스/NNG+시스템/NNG+부터/JX
개선하라는	개선/NNG+하/XSV+라는/ETM
비판을	비판/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


