# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.172
metadata : {}


# id : NWRW1800000022.172.1.1
[현장 마이스터] 코리아나화장품 이강태 신소재연구팀장;화장품 원료 찾아 오늘도 산에 오른다

[현장	[/SS+현장/NNG
# id : NWRW1800000022.172.4.1
'천연 원료'를 찾기 위해 그는 주중에는 식물원과 교수 연구실에서, 주말엔 전국 방방곡곡을 뒤진다.

'천연	'/SS+천연/NNG
원료'를	원료/NNG+'/SS+를/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
그는	그/NP+는/JX
주중에는	주중/NNG+에/JKB+는/JX
식물원과	식물원/NNG+과/JC
교수	교수/NNG
연구실에서,	연구실/NNG+에서/JKB+,/SP
주말엔	주말/NNG+에/JKB+ㄴ/JX
전국	전국/NNG
방방곡곡을	방방곡곡/NNG+을/JKO
뒤진다.	뒤지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.172.4.2
충남대 미생물학과 석사 출신인 그는 1996년 코리아나 화장품 신소재개발팀 연구원으로 입사했다.

충남대	충남대/NNP
미생물학과	미생물학과/NNG
석사	석사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
1996년	1996/SN+년/NNB
코리아나	코리아나/NNP
화장품	화장품/NNG
신소재개발팀	신/XPN+소재/NNG+개발/NNG+팀/NNG
연구원으로	연구원/NNG+으로/JKB
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.172.4.3
그가 본격적으로 성과를 보인 것은 1998년 뽕나무의 어린 가지에서 뽑은 '상지' 추출물이 미백 기능성 효과로 식약청 인증을 받으면서.

그가	그/NP+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
성과를	성과/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것은	것/NNB+은/JX
1998년	1998/SN+년/NNB
뽕나무의	뽕나무/NNG+의/JKG
어린	어리/VA+ㄴ/ETM
가지에서	가지/NNG+에서/JKB
뽑은	뽑/VV+은/ETM
'상지'	'/SS+상지/NNG+'/SS
추출물이	추출물/NNG+이/JKS
미백	미백/NNG
기능성	기능/NNG+성/XSN
효과로	효과/NNG+로/JKB
식약청	식약청/NNG
인증을	인증/NNG+을/JKO
받으면서.	받/VV+으면서/EC+./SF


# id : NWRW1800000022.172.4.4
이 추출물이 사용된 '코리아나 화이트플래닝크림'은 연간 매출 '100억원'을 올리는 대박을 터뜨렸다.

이	이/MMD
추출물이	추출물/NNG+이/JKS
사용된	사용/NNG+되/XSV+ㄴ/ETM
'코리아나	'/SS+코리아나/NNP
화이트플래닝크림'은	화이트플래닝크림/NNG+'/SS+은/JX
연간	연간/NNG
매출	매출/NNG
'100억원'을	'/SS+100/SN+억/NR+원/NNB+'/SS+을/JKO
올리는	올리/VV+는/ETM
대박을	대/XPN+박/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.172.5.1
이때부터 '한약재'에 관심을 기울이기 시작했다.

이때부터	이때/NNG+부터/JX
'한약재'에	'/SS+한약재/NNG+'/SS+에/JKB
관심을	관심/NNG+을/JKO
기울이기	기울이/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.172.5.2
"감초 추출물, 율피 추출물, 천궁 추출물 등 한방 천연 재료들의 효능을 밝히고 이를 제품화해 왔습니다.

"감초	"/SS+감초/NNG
추출물,	추출물/NNG+,/SP
율피	율피/NNG
천궁	천궁/NNG
추출물	추출물/NNG
등	등/NNB
한방	한방/NNG
천연	천연/NNG
재료들의	재료/NNG+들/XSN+의/JKG
효능을	효능/NNG+을/JKO
밝히고	밝히/VV+고/EC
이를	이/NP+를/JKO
제품화해	제품/NNG+화/XSN+하/XSV+아/EC
왔습니다.	오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000022.172.5.3
국내 한약재는 다 한번씩은 시험해 봐 개수만 500여개에 이를 정도죠."

국내	국내/NNG
한약재는	한약재/NNG+는/JX
다	다/MAG
한번씩은	한번/NNG+씩/XSN+은/JX
시험해	시험/NNG+하/XSV+아/EC
봐	보/VV+아/EC
개수만	개수/NNG+만/JX
500여개에	500/SN+여/XSN+개/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
정도죠."	정도/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000022.172.6.1
그는 실험이 끝나면 각종 한의학 서적을 붙잡고 살았다.

그는	그/NP+는/JX
실험이	실험/NNG+이/JKS
끝나면	끝나/VV+면/EC
각종	각종/NNG
한의학	한의학/NNG
서적을	서적/NNG+을/JKO
붙잡고	붙잡/VV+고/EC
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.172.7.1
"이 바닥에선 정보 자체가 경쟁이기 때문에 남들이 찾지 못하는 정보를 뒤지려면, 외국 서적은 물론 고서를 찾아야 할 때가 많습니다.

"이	"/SS+이/MMD
바닥에선	바닥/NNG+에서/JKB+ㄴ/JX
정보	정보/NNG
자체가	자체/NNG+가/JKS
경쟁이기	경쟁/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
남들이	남/NNG+들/XSN+이/JKS
찾지	찾/VV+지/EC
못하는	못하/VX+는/ETM
정보를	정보/NNG+를/JKO
뒤지려면,	뒤지/VV+려면/EC+,/SP
외국	외국/NNG
서적은	서적/NNG+은/JX
물론	물론/MAG
고서를	고서/NNG+를/JKO
찾아야	찾/VV+아야/EC
할	하/VX+ㄹ/ETM
때가	때/NNG+가/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000022.172.7.2
고서나 중국 서적은 뜻 모르는 한자를 찾아가며 읽다 보면 밤을 새우기 일쑤였습니다."

고서나	고서/NNG+나/JC
중국	중국/NNP
서적은	서적/NNG+은/JX
뜻	뜻/NNG
모르는	모르/VV+는/ETM
한자를	한자/NNG+를/JKO
찾아가며	찾아가/VV+며/EC
읽다	읽/VV+다/EC
보면	보/VX+면/EC
밤을	밤/NNG+을/JKO
새우기	새우/VV+기/ETN
일쑤였습니다."	일쑤/NNG+이/VCP+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.172.8.1
이런 노력 끝에 국내 124건, 해외 18건의 천연 원료를 특허 등록했다.

이런	이런/MMD
노력	노력/NNG
끝에	끝/NNG+에/JKB
국내	국내/NNG
124건,	124/SN+건/NNB+,/SP
해외	해외/NNG
18건의	18/SN+건/NNB+의/JKG
천연	천연/NNG
원료를	원료/NNG+를/JKO
특허	특허/NNG
등록했다.	등록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.172.8.2
2008년 한 해에만 따낸 특허 수가 국내 특허 10개, 해외 특허 8개에 이른다.

2008년	2008/SN+년/NNB
한	한/MMN
해에만	해/NNG+에/JKB+만/JX
따낸	따내/VV+ㄴ/ETM
특허	특허/NNG
수가	수/NNG+가/JKS
국내	국내/NNG
10개,	10/SN+개/NNB+,/SP
해외	해외/NNG
8개에	8/SN+개/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.172.9.1
그는 최근의 가장 큰 성과로 '천녀목란'(함박꽃나무)을 화장품 제품에 접목시킨 것을 꼽았다.

그는	그/NP+는/JX
최근의	최근/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
성과로	성과/NNG+로/JKB
'천녀목란'(함박꽃나무)을	'/SS+천녀목란/NNG+'/SS+(/SS+함박꽃나무/NNG+)/SS+을/JKO
화장품	화장품/NNG
제품에	제품/NNG+에/JKB
접목시킨	접목/NNG+시키/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.172.9.2
지난 2007년에 발굴해 프리미엄 한방 브랜드 '자인'의 주 원료로 사용되고 있는 천녀목란은 지난해 말 '대한민국 발명특허대전'과 '보건산업 기술대전'에서 연이어 수상했다.

지난	지나/VV+ㄴ/ETM
2007년에	2007/SN+년/NNB+에/JKB
발굴해	발굴/NNG+하/XSV+아/EC
프리미엄	프리미엄/NNG
한방	한방/NNG
브랜드	브랜드/NNG
'자인'의	'/SS+자인/NNP+'/SS+의/JKG
주	주/MMA
원료로	원료/NNG+로/JKB
사용되고	사용/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
천녀목란은	천녀목란/NNG+은/JX
지난해	지난해/NNG
말	말/NNB
'대한민국	'/SS+대한민국/NNP
발명특허대전'과	발명/NNG+특허/NNG+대전/NNG+'/SS+과/JC
'보건산업	'/SS+보건/NNG+산업/NNG
기술대전'에서	기술/NNG+대전/NNG+'/SS+에서/JKB
연이어	연잇/VV+어/EC
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.172.9.3
피부 세포 재생 효과가 있다는 것이 입증됐기 때문이다.

피부	피부/NNG
세포	세포/NNG
재생	재생/NNG
효과가	효과/NNG+가/JKS
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
입증됐기	입증/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.172.9.4
천녀목란은 지난해 프랑스 명품 화장품 업체인 크리스찬 디올과 겔랑에 수출되기도 했다.

천녀목란은	천녀목란/NNG+은/JX
지난해	지난해/NNG
프랑스	프랑스/NNP
명품	명품/NNG
화장품	화장품/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
크리스찬	크리스찬/NNP
디올과	디올/NNP+과/JC
겔랑에	겔랑/NNP+에/JKB
수출되기도	수출/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.172.10.1
"최근에는 개나리 씨앗에서 추출한 성분을 스위스 원료 회사로 수출을 추진하고 있습니다.

"최근에는	"/SS+최근/NNG+에/JKB+는/JX
개나리	개나리/NNG
씨앗에서	씨앗/NNG+에서/JKB
추출한	추출/NNG+하/XSV+ㄴ/ETM
성분을	성분/NNG+을/JKO
스위스	스위스/NNP
원료	원료/NNG
회사로	회사/NNG+로/JKB
수출을	수출/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.172.10.2
성사될 경우 전 세계 화장품의 원료로 공급돼 한국산 천연 화장품 원료가 글로벌화하는 계기를 마련하게 되죠.

성사될	성사/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
전	전/MMN
세계	세계/NNG
화장품의	화장품/NNG+의/JKG
원료로	원료/NNG+로/JKB
공급돼	공급/NNG+되/XSV+어/EC
한국산	한국/NNP+산/XSN
천연	천연/NNG
화장품	화장품/NNG
원료가	원료/NNG+가/JKS
글로벌화하는	글로벌/NNG+화/XSN+하/XSV+는/ETM
계기를	계기/NNG+를/JKO
마련하게	마련/NNG+하/XSV+게/EC
되죠.	되/VV+죠/EF+./SF


# id : NWRW1800000022.172.10.3
이게 성공하면 우리 농가도 살리고 국위도 선양할 수 있지 않겠습니까.

이게	이거/NP+이/JKS
성공하면	성공/NNG+하/XSV+면/EC
우리	우리/NP
농가도	농가/NNG+도/JX
살리고	살리/VV+고/EC
국위도	국위/NNG+도/JX
선양할	선양/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않겠습니까.	않/VX+겠/EP+습니까/EF+./SF


# id : NWRW1800000022.172.10.4
'우리의 원료'를 끊임없이 세계 속에 알려 나갈 겁니다."

'우리의	'/SS+우리/NP+의/JKG
원료'를	원료/NNG+'/SS+를/JKO
끊임없이	끊임없이/MAG
세계	세계/NNG
속에	속/NNG+에/JKB
알려	알리/VV+어/EC
나갈	나가/VX+ㄹ/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


