# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.108
metadata : {}


# id : NWRW1800000041.108.1.1
현대자동차, 창업차량 지원 ‘기프트카’ 성과… 혜택 주인공들 월소득 2배 늘어

현대자동차,	현대자동차/NNP+,/SP
이번 성금 전달로 현대차그룹은 2003년부터 12년간 총 1590억 원을 사회복지공동모금회에 기탁했다.

이번	이번/NNG
성금	성금/NNG
전달로	전달/NNG+로/JKB
현대차그룹은	현대차그룹/NNP+은/JX
2003년부터	2003/SN+년/NNB+부터/JX
12년간	12/SN+년/NNB+간/XSN
총	총/MMA
1590억	1590/SN+억/NR
원을	원/NNB+을/JKO
사회복지공동모금회에	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+에/JKB
기탁했다.	기탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.108.5.1
성금을 전달한 정의선 현대차그룹 부회장은 “내년에도 쉽지 않은 경영환경이 예상되지만 이럴 때일수록 더 힘들어지는 이웃을 돌아보며 그룹의 전문성을 활용한 사회공헌 활동으로 사회적 책임을 다하겠다”고 밝혔다.

성금을	성금/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
정의선	정의선/NNP
현대차그룹	현대차그룹/NNP
부회장은	부회장/NNG+은/JX
“내년에도	“/SS+내년/NNG+에/JKB+도/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
경영환경이	경영/NNG+환경/NNG+이/JKS
예상되지만	예상/NNG+되/XSV+지만/EC
이럴	이렇/VA+ㄹ/ETM
때일수록	때/NNG+이/VCP+ㄹ수록/EC
더	더/MAG
힘들어지는	힘들어지/VV+는/ETM
이웃을	이웃/NNG+을/JKO
돌아보며	돌아보/VV+며/EC
그룹의	그룹/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
사회공헌	사회/NNG+공헌/NNG
활동으로	활동/NNG+으로/JKB
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.108.6.1
현대차그룹의 ‘기프트카 캠페인’ 인기

현대차그룹의	현대차그룹/NNP+의/JKG
‘기프트카	‘/SS+기프트카/NNG
캠페인’	캠페인/NNG+’/SS
인기	인기/NNG


# id : NWRW1800000041.108.7.1
2005년부터 이뤄지는 현대자동차의 대표적 사회공헌사업인 ‘함께 움직이는 세상 공모사업’은 예산이나 인력 부족으로 복지사업에 어려움을 겪는 단체를 지원한다.

2005년부터	2005/SN+년/NNB+부터/JX
이뤄지는	이뤄지/VV+는/ETM
현대자동차의	현대자동차/NNP+의/JKG
대표적	대표/NNG+적/XSN
사회공헌사업인	사회/NNG+공헌/NNG+사업/NNG+이/VCP+ㄴ/ETM
‘함께	‘/SS+함께/MAG
움직이는	움직이/VV+는/ETM
세상	세상/NNG
공모사업’은	공모/NNG+사업/NNG+’/SS+은/JX
예산이나	예산/NNG+이나/JC
인력	인력/NNG
부족으로	부족/NNG+으로/JKB
복지사업에	복지/NNG+사업/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
단체를	단체/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.108.7.2
현대차는 1월 ‘2014년 함께 움직이는 세상 공모사업’을 실시해 소외 계층에게 따뜻한 나눔을 전달할 37개 사회복지사업을 선정하고 지원에 나섰다.

현대차는	현대차/NNP+는/JX
1월	1/SN+월/NNB
‘2014년	‘/SS+2014/SN+년/NNB
함께	함께/MAG
움직이는	움직이/VV+는/ETM
세상	세상/NNG
공모사업’을	공모/NNG+사업/NNG+’/SS+을/JKO
실시해	실시/NNG+하/XSV+아/EC
소외	소외/NNG
계층에게	계층/NNG+에게/JKB
따뜻한	따뜻하/VA+ㄴ/ETM
나눔을	나누/VV+ㅁ/ETN+을/JKO
전달할	전달/NNG+하/XSV+ㄹ/ETM
37개	37/SN+개/NNB
사회복지사업을	사회/NNG+복지/NNG+사업/NNG+을/JKO
선정하고	선정/NNG+하/XSV+고/EC
지원에	지원/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.108.7.3
지난해 포터 개조차 2대를 지원한 ‘이동복지 차량지원 사업’ 분야는 올해는 스타렉스 및 포터 개조차 3대와 엑센트 8대 등 총 11대 지원으로 규모를 확대하기도 했다.

지난해	지난해/NNG
포터	포터/NNP
개조차	개조/NNG+차/NNG
2대를	2/SN+대/NNB+를/JKO
지원한	지원/NNG+하/XSV+ㄴ/ETM
‘이동복지	‘/SS+이동/NNG+복지/NNG
차량지원	차량/NNG+지원/NNG
사업’	사업/NNG+’/SS
분야는	분야/NNG+는/JX
올해는	올해/NNG+는/JX
스타렉스	스타렉스/NNG
및	및/MAG
3대와	3/SN+대/NNB+와/JC
엑센트	엑센트/NNG
8대	8/SN+대/NNB
등	등/NNB
총	총/MMA
11대	11/SN+대/NNB
지원으로	지원/NNG+으로/JKB
규모를	규모/NNG+를/JKO
확대하기도	확대/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.108.8.1
기아자동차도 봉사활동 기획 프로젝트를 평가해 매칭펀드 형태로 최대 1000만 원까지 지원하는 ‘어기여차’ 사업으로 대학 동아리의 봉사활동을 돕고 있다.

기아자동차도	기아자동차/NNP+도/JX
봉사활동	봉사/NNG+활동/NNG
기획	기획/NNG
프로젝트를	프로젝트/NNG+를/JKO
평가해	평가/NNG+하/XSV+아/EC
매칭펀드	매칭펀드/NNG
형태로	형태/NNG+로/JKB
최대	최대/NNG
1000만	1000/SN+만/NR
원까지	원/NNB+까지/JX
지원하는	지원/NNG+하/XSV+는/ETM
‘어기여차’	‘/SS+어기여차/IC+’/SS
사업으로	사업/NNG+으로/JKB
대학	대학/NNG
동아리의	동아리/NNG+의/JKG
봉사활동을	봉사/NNG+활동/NNG+을/JKO
돕고	돕/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.108.8.2
기아차는 개별 봉사활동 프로젝트 지원 이외에도 △사회공헌활동 이해 증진을 위한 명사 특강 △팀별로 2회씩 실시되는 멘토링 등 다양한 활동을 학생들에게 제공할 계획이다.

기아차는	기아차/NNP+는/JX
개별	개별/NNG
봉사활동	봉사/NNG+활동/NNG
프로젝트	프로젝트/NNG
지원	지원/NNG
이외에도	이외/NNG+에/JKB+도/JX
△사회공헌활동	△/SW+사회/NNG+공헌/NNG+활동/NNG
이해	이해/NNG
증진을	증진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
명사	명사/NNG
특강	특강/NNG
△팀별로	△/SW+팀/NNG+별/XSN+로/JKB
2회씩	2/SN+회/NNB+씩/XSN
실시되는	실시/NNG+되/XSV+는/ETM
멘토링	멘토링/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
학생들에게	학생/NNG+들/XSN+에게/JKB
제공할	제공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.108.9.1
현대차그룹의 대표 사회공헌 프로그램으로 자리 잡은 ‘기프트카 캠페인’은 업종의 전문성을 살린 참신한 시도로 업계의 주목을 받아왔다.

현대차그룹의	현대차그룹/NNP+의/JKG
대표	대표/NNG
사회공헌	사회/NNG+공헌/NNG
프로그램으로	프로그램/NNG+으로/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
‘기프트카	‘/SS+기프트카/NNG
캠페인’은	캠페인/NNG+’/SS+은/JX
업종의	업종/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
살린	살리/VV+ㄴ/ETM
참신한	참신하/VA+ㄴ/ETM
시도로	시도/NNG+로/JKB
업계의	업계/NNG+의/JKG
주목을	주목/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.108.9.2
지난해 시즌4까지 창업용 차량을 지원받은 주인공들의 월평균 소득도 지원 전에 비해 약 2배 이상 증가하는 등 실질적인 성과도 냈다.

지난해	지난해/NNG
시즌4까지	시즌/NNG+4/SN+까지/JX
창업용	창업/NNG+용/XSN
차량을	차량/NNG+을/JKO
지원받은	지원/NNG+받/XSV+은/ETM
주인공들의	주인공/NNG+들/XSN+의/JKG
월평균	월평균/NNG
소득도	소득/NNG+도/JX
지원	지원/NNG
전에	전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
약	약/MMA
2배	2/SN+배/NNG
이상	이상/NNG
증가하는	증가/NNG+하/XSV+는/ETM
등	등/NNB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
성과도	성과/NNG+도/JX
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.108.10.1
글로벌 사회공헌활동도 전개

글로벌	글로벌/NNG
사회공헌활동도	사회/NNG+공헌/NNG+활동/NNG+도/JX
전개	전개/NNG


# id : NWRW1800000041.108.11.1
현대차그룹은 전 세계적으로 문제가 되고 있는 환경오염을 해결하기 위해 다양한 활동을 전개하고 있다.

현대차그룹은	현대차그룹/NNP+은/JX
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
문제가	문제/NNG+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
환경오염을	환경/NNG+오염/NNG+을/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
전개하고	전개/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.108.11.2
2008년부터는 중국의 내몽골 황사 발원지 지역에 현지 토종식물을 심어 중국과 한국의 황사 예방에 큰 성과를 거뒀다.

2008년부터는	2008/SN+년/NNB+부터/JX+는/JX
중국의	중국/NNP+의/JKG
내몽골	내몽골/NNP
황사	황사/NNG
발원지	발원지/NNG
지역에	지역/NNG+에/JKB
현지	현지/NNG
토종식물을	토종/NNG+식물/NNG+을/JKO
심어	심/VV+어/EC
중국과	중국/NNP+과/JC
한국의	한국/NNP+의/JKG
예방에	예방/NNG+에/JKB
큰	크/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.108.11.3
한중 합작 사막화 방지 사업인 ‘현대그린존’ 프로젝트는 5000만 m²(약 1500만 평)에 달하는 방대한 지역이 알칼리성 소금 사막에서 풀이 무성한 초지로 바뀌는 등 중국 내 외자 기업의 모범적인 사회공헌사업으로 크게 주목 받았다.

한중	한중/NNP
합작	합작/NNG
사막화	사막/NNG+화/XSN
방지	방지/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
‘현대그린존’	‘/SS+현대/NNP+그린존/NNG+’/SS
프로젝트는	프로젝트/NNG+는/JX
5000만	5000/SN+만/NR
m²(약	m²/SW+(/SS+약/MMA
1500만	1500/SN+만/NR
평)에	평/NNB+)/SS+에/JKB
달하는	달하/VV+는/ETM
방대한	방대하/VA+ㄴ/ETM
지역이	지역/NNG+이/JKS
알칼리성	알칼리/NNG+성/XSN
소금	소금/NNG
사막에서	사막/NNG+에서/JKB
풀이	풀/NNG+이/JKS
무성한	무성하/VA+ㄴ/ETM
초지로	초지/NNG+로/JKB
바뀌는	바뀌/VV+는/ETM
등	등/NNB
중국	중국/NNP
내	내/NNB
외자	외자/NNG
기업의	기업/NNG+의/JKG
모범적인	모범/NNG+적/XSN+이/VCP+ㄴ/ETM
사회공헌사업으로	사회/NNG+공헌/NNG+사업/NNG+으로/JKB
크게	크/VA+게/EC
주목	주목/NNG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.108.12.1
기아차는 6월 중국 옌청 시와 함께 어린이 전용 교통안전 체험관인 ‘키즈오토파크’ 개관식을 열고 중국 어린이들의 올바른 교통안전 의식 함양을 위한 활동에 나섰다.

기아차는	기아차/NNP+는/JX
6월	6/SN+월/NNB
중국	중국/NNP
옌청	옌청/NNP
시와	시/NNG+와/JKB
함께	함께/MAG
어린이	어린이/NNG
전용	전용/NNG
교통안전	교통안전/NNG
체험관인	체험관/NNG+이/VCP+ㄴ/ETM
‘키즈오토파크’	‘/SS+키즈오토파크/NNP+’/SS
개관식을	개관식/NNG+을/JKO
열고	열/VV+고/EC
어린이들의	어린이/NNG+들/XSN+의/JKG
올바른	올바르/VA+ㄴ/ETM
의식	의식/NNG
함양을	함양/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
활동에	활동/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.108.13.1
이 사업을 통해 △애니메이션으로 교통사고의 위험성을 알리는 ‘오토 가상 체험장’ △안전벨트 착용법을 교육하는 ‘오토부스’를 비롯해 △횡단보도, 사각지대 사고를 예방하는 ‘보행 교육장’을 제공하는 등 매년 3만5000명 규모의 어린이들이 체계적으로 학습할 수 있도록 다양한 체험 공간을 마련했다.

이	이/MMD
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
△애니메이션으로	△/SW+애니메이션/NNG+으로/JKB
교통사고의	교통사고/NNG+의/JKG
위험성을	위험/NNG+성/XSN+을/JKO
알리는	알리/VV+는/ETM
‘오토	‘/SS+오토/NNG
가상	가상/NNG
체험장’	체험장/NNG+’/SS
△안전벨트	△/SW+안전벨트/NNG
착용법을	착용법/NNG+을/JKO
교육하는	교육/NNG+하/XSV+는/ETM
‘오토부스’를	‘/SS+오토부스/NNG+’/SS+를/JKO
비롯해	비롯하/VV+아/EC
△횡단보도,	△/SW+횡단보도/NNG+,/SP
사각지대	사각지대/NNG
사고를	사고/NNG+를/JKO
예방하는	예방/NNG+하/XSV+는/ETM
‘보행	‘/SS+보행/NNG
교육장’을	교육장/NNG+’/SS+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
등	등/NNB
매년	매년/MAG
3만5000명	3/SN+만/NR+5000/SN+명/NNB
규모의	규모/NNG+의/JKG
어린이들이	어린이/NNG+들/XSN+이/JKS
체계적으로	체계/NNG+적/XSN+으로/JKB
학습할	학습/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
체험	체험/NNG
공간을	공간/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.108.14.1
동반성장재원 500억 원 출연

동반성장재원	동반/NNG+성장/NNG+재원/NNG
500억	500/SN+억/NR
원	원/NNB
출연	출연/NNG


# id : NWRW1800000041.108.15.1
현대·기아차는 올 9월 윤상직 산업통상자원부 장관, 안충영 동반성장위원회 위원장, 정진행 현대차그룹 사장 등이 참석한 가운데 동반성장 투자재원 500억 원을 출연하는 협약식을 가졌다.

현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
올	올/NNG
9월	9/SN+월/NNB
윤상직	윤상직/NNP
산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
장관,	장관/NNG+,/SP
안충영	안충영/NNP
동반성장위원회	동반/NNG+성장/NNG+위원회/NNG
위원장,	위원장/NNG+,/SP
정진행	정진행/NNP
현대차그룹	현대차그룹/NNP
사장	사장/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
동반성장	동반/NNG+성장/NNG
투자재원	투자/NNG+재원/NNG
500억	500/SN+억/NR
원을	원/NNB+을/JKO
출연하는	출연/NNG+하/XSV+는/ETM
협약식을	협약식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.108.16.1
현대·기아차는 1년에 100억 원씩 5년간 500억 원을 출연해 △협력 중소기업의 연구 및 인력개발 △제조업의 정보통신기술 접목 등 생산성 향상 △해외시장 동반진출 지원 등 대·중소기업 동반성장에 힘을 보탤 계획이다.

현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
1년에	1/SN+년/NNB+에/JKB
100억	100/SN+억/NR
원씩	원/NNB+씩/XSN
5년간	5/SN+년/NNB+간/XSN
500억	500/SN+억/NR
원을	원/NNB+을/JKO
출연해	출연/NNG+하/XSV+아/EC
△협력	△/SW+협력/NNG
중소기업의	중소기업/NNG+의/JKG
연구	연구/NNG
및	및/MAG
인력개발	인력/NNG+개발/NNG
△제조업의	△/SW+제조업/NNG+의/JKG
정보통신기술	정보/NNG+통신/NNG+기술/NNG
접목	접목/NNG
등	등/NNB
생산성	생산/NNG+성/XSN
향상	향상/NNG
△해외시장	△/SW+해외/NNG+시장/NNG
동반진출	동반/NNG+진출/NNG
지원	지원/NNG
대·중소기업	대·중소기업/NNG
동반성장에	동반/NNG+성장/NNG+에/JKB
힘을	힘/NNG+을/JKO
보탤	보태/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.108.17.1
정 사장은 “이번에 마련한 동반성장 투자재원은 벤처기술 개발 공모제, 민관 공동투자 기술개발사업, 협력사 인재채용 지원과 최근 정부가 추진 중인 스마트공장 보급·확산 등 중소 협력사의 경쟁력 향상을 위해 활용될 예정”이라고 말했다.

정	정/NNP
사장은	사장/NNG+은/JX
“이번에	“/SS+이번/NNG+에/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
동반성장	동반/NNG+성장/NNG
투자재원은	투자/NNG+재원/NNG+은/JX
벤처기술	벤처/NNG+기술/NNG
개발	개발/NNG
공모제,	공모/NNG+제/XSN+,/SP
민관	민관/NNG
공동투자	공동/NNG+투자/NNG
기술개발사업,	기술/NNG+개발/NNG+사업/NNG+,/SP
협력사	협력사/NNG
인재채용	인재/NNG+채용/NNG
지원과	지원/NNG+과/JC
최근	최근/NNG
정부가	정부/NNG+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
스마트공장	스마트/NNG+공장/NNG
보급·확산	보급/NNG+·/SP+확산/NNG
등	등/NNB
중소	중소/NNG
협력사의	협력사/NNG+의/JKG
경쟁력	경쟁력/NNG
향상을	향상/NNG+을/JKO
위해	위하/VV+아/EC
활용될	활용/NNG+되/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


