# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.207
metadata : {}


# id : NWRW1800000021.207.1.1
“배 나오면 안돼” 2루수 “뚱뚱하면 어때” 3루수

“배	“/SS+배/NNG
대표적인 중량급 3루수인 롯데 이대호는 100kg, 두산 김동주는 98kg으로 한국야구위원회 인명사전에 등록돼 있지만 이를 믿는 팬은 아무도 없다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
중량급	중량급/NNG
3루수인	3루수/NNG+이/VCP+ㄴ/ETM
롯데	롯데/NNP
이대호는	이대호/NNP+는/JX
100kg,	100/SN+kg/SW+,/SP
두산	두산/NNP
김동주는	김동주/NNP+는/JX
98kg으로	98/SN+kg/SW+으로/JKB
한국야구위원회	한국야구위원회/NNP
인명사전에	인명사전/NNG+에/JKB
등록돼	등록/NNG+되/XSV+어/EC
있지만	있/VX+지만/EC
이를	이/NP+를/JKO
믿는	믿/VV+는/ETM
팬은	팬/NNG+은/JX
아무도	아무/NP+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.207.7.1
같은 내야수이지만 2루수(76.1kg), 유격수(77.9kg)는 최경량급 포지션으로 나타났다.

같은	같/VA+은/ETM
내야수이지만	내야수/NNG+이/VCP+지만/EC
2루수(76.1kg),	2루수/NNG+(/SS+76/SN+./SP+1/SN+kg/SW+)/SS+,/SP
유격수(77.9kg)는	유격수/NNG+(/SS+77/SN+./SP+9/SN+kg/SW+)/SS+는/JX
최경량급	최/XPN+경량급/NNG
포지션으로	포지션/NNG+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.207.7.2
2루수, 유격수는 도루 견제, 더블 플레이, 역모션 등 빠른 순간에 이뤄져야 하는 동작들을 소화해야 한다.

2루수,	2루수/NNG+,/SP
유격수는	유격수/NNG+는/JX
도루	도루/NNG
견제,	견제/NNG+,/SP
더블	더블/NNG
플레이,	플레이/NNG+,/SP
역모션	역모션/NNG
등	등/NNB
빠른	빠르/VA+ㄴ/ETM
순간에	순간/NNG+에/JKB
이뤄져야	이뤄지/VV+어야/EC
하는	하/VX+는/ETM
동작들을	동작/NNG+들/XSN+을/JKO
소화해야	소화/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.207.7.3
결국 날렵한 선수들의 무대가 될 수밖에 없다.

결국	결국/NNG
날렵한	날렵하/VA+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
무대가	무대/NNG+가/JKC
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.207.7.4
두 포지션의 평균 키도 2루수 178.6cm, 유격수 179.6cm로 작다.

두	두/MMN
포지션의	포지션/NNG+의/JKG
평균	평균/NNG
키도	키/NNG+도/JX
2루수	2루수/NNG
178.6cm,	178/SN+./SP+6/SN+cm/SW+,/SP
유격수	유격수/NNG
179.6cm로	179/SN+./SP+6/SN+cm/SW+로/JKB
작다.	작/VA+다/EF+./SF


# id : NWRW1800000021.207.7.5
반면 3루수는 타구는 강하게 날아오지만 상대적으로 빠른 동작을 필요로 하지는 않는다.

반면	반면/NNG
3루수는	3루수/NNG+는/JX
타구는	타구/NNG+는/JX
강하게	강하/VA+게/EC
날아오지만	날아오/VV+지만/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
빠른	빠르/VA+ㄴ/ETM
동작을	동작/NNG+을/JKO
필요로	필요/NNG+로/JKB
하지는	하/VV+지/EC+는/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.207.8.1
허구연 MBC 해설위원은 “감독들이 같은 조건이면 빠르고 수비 실력이 나은 선수를 3루수가 아닌 2루수나 유격수로 기용하기 때문에 3루수는 힘 있고 타격이 좋은 선수로 발전할 수밖에 없다”고 말했다.

허구연	허구연/NNP
MBC	MBC/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“감독들이	“/SS+감독/NNG+들/XSN+이/JKS
같은	같/VA+은/ETM
조건이면	조건/NNG+이/VCP+면/EC
빠르고	빠르/VA+고/EC
수비	수비/NNG
실력이	실력/NNG+이/JKS
나은	낫/VA+은/ETM
선수를	선수/NNG+를/JKO
3루수가	3루수/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
2루수나	2루수/NNG+나/JC
유격수로	유격수/NNG+로/JKB
기용하기	기용/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
3루수는	3루수/NNG+는/JX
힘	힘/NNG
있고	있/VA+고/EC
타격이	타격/NNG+이/JKS
좋은	좋/VA+은/ETM
선수로	선수/NNG+로/JKB
발전할	발전/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.207.9.1
외야수 중에서는 중견수가 가장 가벼운 편이다.

외야수	외야수/NNG
중에서는	중/NNB+에서/JKB+는/JX
중견수가	중견수/NNG+가/JKS
가장	가장/MAG
가벼운	가볍/VA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.207.9.2
좌익수나 우익수에 비해 행동반경이 넓은 중견수는 수비할 때 가장 긴 거리를 뛴다.

좌익수나	좌익수/NNG+나/JC
우익수에	우익수/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
행동반경이	행동/NNG+반경/NNG+이/JKS
넓은	넓/VA+은/ETM
중견수는	중견수/NNG+는/JX
수비할	수비/NNG+하/XSV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
긴	길/VA+ㄴ/ETM
거리를	거리/NNG+를/JKO
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.207.9.3
두산 이종욱(77kg)과 LG 이대형(78kg)을 떠올리면 쉽다.

두산	두산/NNP
이종욱(77kg)과	이종욱/NNP+(/SS+77/SN+kg/SW+)/SS+과/JC
LG	LG/SL
이대형(78kg)을	이대형/NNP+(/SS+78/SN+kg/SW+)/SS+을/JKO
떠올리면	떠올리/VV+면/EC
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000021.207.9.4
좌익수나 우익수는 홈까지 거리가 중견수에 비해 길기 때문에 어깨가 좋은 선수가 환영받는다.

좌익수나	좌익수/NNG+나/JC
우익수는	우익수/NNG+는/JX
홈까지	홈/NNG+까지/JX
거리가	거리/NNG+가/JKS
중견수에	중견수/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
길기	길/VA+기/ETN
때문에	때문/NNB+에/JKB
어깨가	어깨/NNG+가/JKS
좋은	좋/VA+은/ETM
선수가	선수/NNG+가/JKS
환영받는다.	환영/NNG+받/XSV+는다/EF+./SF


