# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.56
metadata : {}


# id : NWRW1800000030.56.1.1
손바닥만한 화폭, 넘쳐흐르는 순수

손바닥만한	손바닥/NNG+만/JX+하/VA+ㄴ/ETM
비롯해	비롯하/VV+아/EC
걸작으로	걸작/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
〈자화상〉	〈/SS+자화상/NNG+〉/SS
등	등/NNB
대표작과	대표작/NNG+과/JKB
미공개	미/XPN+공개/NNG
작품	작품/NNG
70여점이	70/SN+여/XSN+점/NNB+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.56.4.1
장욱진 화백은 경성사범부속보통학교 시절 '전일본소학생미전'에서 1등을 할 정도로 일찌감치 미술에 재능을 보였고 일본 제국미술학교(현 무사시노미술대학) 서양화과에 입학해 본격적인 그림 수업을 받았다.

장욱진	장욱진/NNP
화백은	화백/NNG+은/JX
경성사범부속보통학교	경성사범부속보통학교/NNP
시절	시절/NNG
'전일본소학생미전'에서	'/SS+전/MMN+일본/NNP+소/XPN+학생/NNG+미전/NF+'/SS+에서/JKB
1등을	1/SN+등/NNB+을/JKO
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
일찌감치	일찌감치/MAG
미술에	미술/NNG+에/JKB
재능을	재능/NNG+을/JKO
보였고	보이/VV+었/EP+고/EC
일본	일본/NNP
제국미술학교(현	제국미술학교/NNP+(/SS+현/MMD
무사시노미술대학)	무사시노미술대학/NNP+)/SS
서양화과에	서양화과/NNG+에/JKB
입학해	입학/NNG+하/XSV+아/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
그림	그림/NNG
수업을	수업/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.56.4.2
일본 유학 시절이나 귀국 후 활동기는 서양의 입체파를 비롯해 추상표현주의 등 다양한 사조가 실험되던 시기였지만 장 화백은 자신만의 세계를 추구해나갔다.

일본	일본/NNP
유학	유학/NNG
시절이나	시절/NNG+이나/JC
귀국	귀국/NNG
후	후/NNG
활동기는	활동기/NNG+는/JX
서양의	서양/NNG+의/JKG
입체파를	입체파/NNG+를/JKO
비롯해	비롯하/VV+아/EC
추상표현주의	추상/NNG+표현주의/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사조가	사조/NNG+가/JKS
실험되던	실험/NNG+되/XSV+던/ETM
시기였지만	시기/NNG+이/VCP+었/EP+지만/EC
장	장/NNP
화백은	화백/NNG+은/JX
자신만의	자신/NNG+만/JX+의/JKG
세계를	세계/NNG+를/JKO
추구해나갔다.	추구/NNG+하/XSV+아/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.56.4.3
그는 국립박물관(현 국립중앙박물관) 진열과에서 2년간 일하면서 한국의 전통 예술작품을 접하는 기회를 가졌다.

그는	그/NP+는/JX
국립박물관(현	국립박물관/NNP+(/SS+현/MMD
국립중앙박물관)	국립중앙박물관/NNP+)/SS
진열과에서	진열/NNG+과/NNG+에서/JKB
2년간	2/SN+년/NNB+간/XSN
일하면서	일/NNG+하/XSV+면서/EC
한국의	한국/NNP+의/JKG
전통	전통/NNG
예술작품을	예술/NNG+작품/NNG+을/JKO
접하는	접하/VV+는/ETM
기회를	기회/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.4.4
심미안이 뛰어났던 그는 백자와 민화(民畵), 전통 공예품에 심취했고 고분 발굴단을 따라다니며 벽화를 공부했다.

심미안이	심미안/NNG+이/JKS
뛰어났던	뛰어나/VA+았/EP+던/ETM
그는	그/NP+는/JX
백자와	백자/NNG+와/JC
민화(民畵),	민화/NNG+(/SS+民畵/SH+)/SS+,/SP
전통	전통/NNG
공예품에	공예품/NNG+에/JKB
심취했고	심취/NNG+하/XSV+았/EP+고/EC
고분	고분/NNG
발굴단을	발굴단/NNG+을/JKO
따라다니며	따라다니/VV+며/EC
벽화를	벽화/NNG+를/JKO
공부했다.	공부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.56.4.5
장 화백은 이어 서울대 교수가 됐지만 작품에 몰두하기 위해 1960년 교수직을 사임했다.

장	장/NNP
화백은	화백/NNG+은/JX
이어	잇/VV+어/EC
서울대	서울대/NNP
교수가	교수/NNG+가/JKC
됐지만	되/VV+었/EP+지만/EC
작품에	작품/NNG+에/JKB
몰두하기	몰두/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
1960년	1960/SN+년/NNB
교수직을	교수직/NNG+을/JKO
사임했다.	사임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.56.5.1
이후 장욱진 화백은 경기도 덕소(1963~75)를 거쳐 서울 명륜동(1975~79)과 충청북도 수안보(1980~85), 경기도 용인 구성(1986~90)에 화실을 마련해 그림에 열중했다.

이후	이후/NNG
장욱진	장욱진/NNP
화백은	화백/NNG+은/JX
경기도	경기도/NNP
덕소(1963~75)를	덕소/NNP+(/SS+1963/SN+~/SO+75/SN+)/SS+를/JKO
거쳐	거치/VV+어/EC
서울	서울/NNP
명륜동(1975~79)과	명륜동/NNP+(/SS+1975/SN+~/SO+79/SN+)/SS+과/JC
충청북도	충청북도/NNP
수안보(1980~85),	수안보/NNP+(/SS+1980/SN+~/SO+85/SN+)/SS+,/SP
용인	용인/NNP
구성(1986~90)에	구성/NNP+(/SS+1986/SN+~/SO+90/SN+)/SS+에/JKB
화실을	화실/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
그림에	그림/NNG+에/JKB
열중했다.	열중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.56.5.2
그는 화실에서 혼자 자취하며 그림을 그렸고 작업이 없을 때는 술로 지냈다.

그는	그/NP+는/JX
화실에서	화실/NNG+에서/JKB
혼자	혼자/NNG
자취하며	자취/NNG+하/XSV+며/EC
그림을	그림/NNG+을/JKO
그렸고	그리/VV+었/EP+고/EC
작업이	작업/NNG+이/JKS
없을	없/VA+을/ETM
때는	때/NNG+는/JX
술로	술/NNG+로/JKB
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.5.3
작가는 생전에 "고요와 고독 속에서 그림을 그린다. 자기를 한곳에 몰아세워 놓고 감각을 다스려 정신을 집중해야 한다"고 말했다.

작가는	작가/NNG+는/JX
생전에	생전/NNG+에/JKB
"고요와	"/SS+고요/NNG+와/JC
고독	고독/NNG
속에서	속/NNG+에서/JKB
그림을	그림/NNG+을/JKO
그린다.	그리/VV+ㄴ다/EF+./SF
자기를	자기/NNG+를/JKO
한곳에	한곳/NNG+에/JKB
몰아세워	몰아세우/VV+어/EC
놓고	놓/VX+고/EC
감각을	감각/NNG+을/JKO
다스려	다스리/VV+어/EC
정신을	정신/NNG+을/JKO
집중해야	집중/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.56.5.4
덕소 시절에는 화면에 물감을 두껍게 발라 마티에르가 느껴지지만 명륜동을 거치면서 화면은 캔버스의 바닥이 드러날 정도로 묽어졌다.

덕소	덕소/NNP
시절에는	시절/NNG+에/JKB+는/JX
화면에	화면/NNG+에/JKB
물감을	물감/NNG+을/JKO
두껍게	두껍/VA+게/EC
발라	바르/VV+아/EC
마티에르가	마티에르/NNG+가/JKS
느껴지지만	느끼/VV+어/EC+지/VX+지만/EC
명륜동을	명륜동/NNP+을/JKO
거치면서	거치/VV+면서/EC
화면은	화면/NNG+은/JX
캔버스의	캔버스/NNG+의/JKG
바닥이	바닥/NNG+이/JKS
드러날	드러나/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
묽어졌다.	묽/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.56.6.1
이번 전시에 나온 작품 〈독〉은 화면 가득 독으로 채우고 왼쪽에 앙상한 가지를 그려넣어 묘한 긴장감을 보여준다.

이번	이번/NNG
전시에	전시/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
작품	작품/NNG
〈독〉은	〈/SS+독/NNG+〉/SS+은/JX
화면	화면/NNG
가득	가득/MAG
독으로	독/NNG+으로/JKB
채우고	채우/VV+고/EC
왼쪽에	왼쪽/NNG+에/JKB
앙상한	앙상하/VA+ㄴ/ETM
가지를	가지/NNG+를/JKO
그려넣어	그리/VV+어/EC+넣/VV+어/EC
묘한	묘하/VA+ㄴ/ETM
긴장감을	긴장감/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.56.6.2
독 아래 보일 듯 말 듯 까치 한 마리가 긴장감을 부드럽게 풀어주면서 미소를 자아낸다.

독	독/NNG
아래	아래/NNG
보일	보이/VV+ㄹ/ETM
듯	듯/NNB
말	말/VV+ㄹ/ETM
까치	까치/NNG
한	한/MMN
마리가	마리/NNB+가/JKS
긴장감을	긴장감/NNG+을/JKO
부드럽게	부드럽/VA+게/EC
풀어주면서	풀/VV+어/EC+주/VX+면서/EC
미소를	미소/NNG+를/JKO
자아낸다.	자아내/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.56.6.3
중앙 집중적인 구도가 강하게 보이는데, 그의 작품은 후기로 오면서 화면이 즉흥적인 구도로 바뀐다.

중앙	중앙/NNG
집중적인	집중/NNG+적/XSN+이/VCP+ㄴ/ETM
구도가	구도/NNG+가/JKS
강하게	강하/VA+게/EC
보이는데,	보이/VV+는데/EC+,/SP
그의	그/NP+의/JKG
작품은	작품/NNG+은/JX
후기로	후기/NNG+로/JKB
오면서	오/VV+면서/EC
화면이	화면/NNG+이/JKS
즉흥적인	즉흥/NNG+적/XSN+이/VCP+ㄴ/ETM
구도로	구도/NNG+로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.56.7.1
〈자화상〉은 6·25전쟁이 발발한 뒤 폭음에 빠져 있던 작가가 고향인 충남 연기로 옮겨 완성한 작품이다.

〈자화상〉은	〈/SS+자화상/NNG+〉/SS+은/JX
6·25전쟁이	6/SN+·/SP+25/SN+전쟁/NNG+이/JKS
발발한	발발/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
폭음에	폭음/NNG+에/JKB
빠져	빠지/VV+어/EC
있던	있/VX+던/ETM
작가가	작가/NNG+가/JKS
고향인	고향/NNG+이/VCP+ㄴ/ETM
충남	충남/NNP
연기로	연기/NNP+로/JKB
옮겨	옮기/VV+어/EC
완성한	완성/NNG+하/XSV+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.56.7.2
고향의 자연에서 정신적인 안정을 찾은 작가는 분출하는 창작열을 느꼈다.

고향의	고향/NNG+의/JKG
자연에서	자연/NNG+에서/JKB
정신적인	정신/NNG+적/XSN+이/VCP+ㄴ/ETM
안정을	안정/NNG+을/JKO
찾은	찾/VV+은/ETM
작가는	작가/NNG+는/JX
분출하는	분출/NNG+하/XSV+는/ETM
창작열을	창작열/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.7.3
손바닥 만한 종이에 연미복을 입고 황금벌판을 걷는 자신을 그린 작품으로 전쟁의 포화가 전혀 느껴지지 않는다.

손바닥	손바닥/NNG
만한	만/JX+하/VA+ㄴ/ETM
종이에	종이/NNG+에/JKB
연미복을	연미복/NNG+을/JKO
입고	입/VV+고/EC
황금벌판을	황금벌판/NNG+을/JKO
걷는	걷/VV+는/ETM
자신을	자신/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
작품으로	작품/NNG+으로/JKB
전쟁의	전쟁/NNG+의/JKG
포화가	포화/NNG+가/JKS
전혀	전혀/MAG
느껴지지	느끼/VV+어/EC+지/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.56.7.4
대자연 속에서 절대 고독을 즐기는 자신을 보여주고 있으며, 동시에 전쟁을 잊고 싶은 마음을 나타냈다.

대자연	대/XPN+자연/NNG
속에서	속/NNG+에서/JKB
절대	절대/NNG
고독을	고독/NNG+을/JKO
즐기는	즐기/VV+는/ETM
자신을	자신/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
동시에	동시/NNG+에/JKB
전쟁을	전쟁/NNG+을/JKO
잊고	잊/VV+고/EC
싶은	싶/VX+은/ETM
마음을	마음/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.7.5
그에게 고향의 체험은 창작을 이어가는 데 중요한 영감의 원천이 되었다.

그에게	그/NP+에게/JKB
고향의	고향/NNG+의/JKG
체험은	체험/NNG+은/JX
창작을	창작/NNG+을/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
데	데/NNB
중요한	중요/NNG+하/XSA+ㄴ/ETM
영감의	영감/NNG+의/JKG
원천이	원천/NNG+이/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.7.6
〈자화상〉은 회화 작품으로는 드물게 문화재로 지정됐다.

〈자화상〉은	〈/SS+자화상/NNG+〉/SS+은/JX
회화	회화/NNG
작품으로는	작품/NNG+으로/JKB+는/JX
드물게	드물/VA+게/EC
문화재로	문화재/NNG+로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.8.1
작품 〈모기장〉은 보일 듯 말 듯한 모기장을 두고 바깥 세계와의 거리를 암시한다.

작품	작품/NNG
〈모기장〉은	〈/SS+모기장/NNP+〉/SS+은/JX
보일	보이/VV+ㄹ/ETM
듯	듯/NNB
말	말/VV+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모기장을	모기장/NNG+을/JKO
두고	두/VV+고/EC
바깥	바깥/NNG
세계와의	세계/NNG+와/JKB+의/JKG
거리를	거리/NNG+를/JKO
암시한다.	암시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.56.8.2
어두컴컴한 집에는 등잔과 밥그릇, 요강 등 생활에 필요한 최소한의 것만 그려넣어 작가의 무욕(無欲)을 그대로 보여준다.

어두컴컴한	어두컴컴하/VA+ㄴ/ETM
집에는	집/NNG+에/JKB+는/JX
등잔과	등잔/NNG+과/JC
밥그릇,	밥그릇/NNG+,/SP
요강	요강/NNG
등	등/NNB
생활에	생활/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
것만	것/NNB+만/JX
그려넣어	그리/VV+어/EC+넣/VV+어/EC
작가의	작가/NNG+의/JKG
무욕(無欲)을	무욕/NNG+(/SS+無欲/SH+)/SS+을/JKO
그대로	그대로/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.56.8.3
'심플'이란 말을 좋아했던 작가는 이렇게 생활과 작품 제작에서 극도의 단순함을 추구했다.

'심플'이란	'/SS+심플/NNG+'/SS+이/VCP+란/ETM
말을	말/NNG+을/JKO
좋아했던	좋아하/VV+았/EP+던/ETM
작가는	작가/NNG+는/JX
이렇게	이렇/VA+게/EC
생활과	생활/NNG+과/JC
작품	작품/NNG
제작에서	제작/NNG+에서/JKB
극도의	극도/NNG+의/JKG
단순함을	단순/NNG+하/XSA+ㅁ/ETN+을/JKO
추구했다.	추구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.56.9.1
장욱진의 작품은 어린아이의 그림처럼 간단하고 단순해 보이지만 작가는 줄 하나를 긋기 위해 며칠을 고민하는 등 스스로에게 치열하고 준엄했다.

장욱진의	장욱진/NNP+의/JKG
작품은	작품/NNG+은/JX
어린아이의	어린아이/NNG+의/JKG
그림처럼	그림/NNG+처럼/JKB
간단하고	간단하/VA+고/EC
단순해	단순/NNG+하/XSA+아/EC
보이지만	보이/VV+지만/EC
작가는	작가/NNG+는/JX
줄	줄/NNG
하나를	하나/NR+를/JKO
긋기	긋/VV+기/ETN
위해	위하/VV+아/EC
며칠을	며칠/NNG+을/JKO
고민하는	고민/NNG+하/XSV+는/ETM
등	등/NNB
스스로에게	스스로/NNG+에게/JKB
치열하고	치열/NNG+하/XSA+고/EC
준엄했다.	준엄하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.56.9.2
이렇게 해서 나온 작품은 10호 미만의 작은 것들이지만 안정된 구도와 색의 통일, 생명력 강한 이미지를 드러낼 수 있었다.

이렇게	이렇/VA+게/EC
해서	하/VV+아서/EC
나온	나오/VV+ㄴ/ETM
작품은	작품/NNG+은/JX
10호	10/SN+호/NNB
미만의	미만/NNG+의/JKG
작은	작/VA+은/ETM
것들이지만	것/NNB+들/XSN+이/VCP+지만/EC
안정된	안정/NNG+되/XSV+ㄴ/ETM
구도와	구도/NNG+와/JC
색의	색/NNG+의/JKG
통일,	통일/NNG+,/SP
생명력	생명력/NNG
강한	강하/VA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
드러낼	드러내/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.56.9.3
농촌 풍경과 가족도, 새와 달·해 등을 담은 우화적(寓話的) 화면이 우리에게 생명의 강함과 시들지 않는 아름다움을 안겨주는 이유이기도 하다.

농촌	농촌/NNG
풍경과	풍경/NNG+과/JC
가족도,	가족도/NNG+,/SP
새와	새/NNG+와/JC
달·해	달/NNG+·/SP+해/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
우화적(寓話的)	우화/NNG+적/XSN+(/SS+寓話的/SH+)/SS
화면이	화면/NNG+이/JKS
우리에게	우리/NP+에게/JKB
생명의	생명/NNG+의/JKG
강함과	강하/VA+ㅁ/ETN+과/JC
시들지	시들/VV+지/EC
않는	않/VX+는/ETM
아름다움을	아름다움/NNG+을/JKO
안겨주는	안기/VV+어/EC+주/VX+는/ETM
이유이기도	이유/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000030.56.10.1
전시는 2월 27일까지 열리며, 20주기 전시에 맞춰 마로니에북스에서 장욱진의 영문판 화집을 냈다.

전시는	전시/NNG+는/JX
2월	2/SN+월/NNB
27일까지	27/SN+일/NNB+까지/JX
열리며,	열리/VV+며/EC+,/SP
20주기	20/SN+주기/NNB
전시에	전시/NNG+에/JKB
맞춰	맞추/VV+어/EC
마로니에북스에서	마로니에북스/NNP+에서/JKB
장욱진의	장욱진/NNP+의/JKG
영문판	영문판/NNG
화집을	화집/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.56.10.2
관람료 2000~3000원.

관람료	관람료/NNG
2000~3000원.	2000/SN+~/SO+3000/SN+원/NNB+./SF


# id : NWRW1800000030.56.10.3
(02)2287-3500

(02)2287-3500	(/SS+02/SN+)/SS+2287/SN+-/SO+3500/SN


