# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.79
metadata : {}


# id : NWRW1800000029.79.1.1
[Money&Life]원금 보장받고 상조서비스 걱정없고… 상조보험이 있었네!

[Money&Life]원금	[/SS+Money/SL+&/SW+Life/SL+]/SS+원금/NNG
서비스를	서비스/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.79.9.3
또 상조보험은 피보험자가 일단 사망한 시점부터 보험계약자가 보험료를 납입할 의무가 없어진다.

또	또/MAG
상조보험은	상조/NNG+보험/NNG+은/JX
피보험자가	피보험자/NNG+가/JKS
일단	일단/MAG
사망한	사망/NNG+하/XSV+ㄴ/ETM
시점부터	시점/NNG+부터/JX
보험계약자가	보험/NNG+계약자/NNG+가/JKS
보험료를	보험료/NNG+를/JKO
납입할	납입/NNG+하/XSV+ㄹ/ETM
의무가	의무/NNG+가/JKS
없어진다.	없어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.79.9.4
하지만 상조회사의 서비스는 계약 대상자가 사망했어도 미납한 약정금액을 모두 내야 한다.

하지만	하지만/MAJ
상조회사의	상조/NNG+회사/NNG+의/JKG
서비스는	서비스/NNG+는/JX
계약	계약/NNG
대상자가	대상자/NNG+가/JKS
사망했어도	사망/NNG+하/XSV+았/EP+어도/EC
미납한	미납/NNG+하/XSV+ㄴ/ETM
약정금액을	약정/NNG+금액/NNG+을/JKO
모두	모두/MAG
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.79.9.5
또 보장성 상조보험에 낸 납입금(보험료)은 소득공제 혜택을 받을 수 있는 반면 상조회사에 낸 납입금은 소득공제 대상이 아니다.

또	또/MAG
보장성	보장/NNG+성/XSN
상조보험에	상조/NNG+보험/NNG+에/JKB
낸	내/VV+ㄴ/ETM
납입금(보험료)은	납입금/NNG+(/SS+보험료/NNG+)/SS+은/JX
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
반면	반면/NNG
상조회사에	상조/NNG+회사/NNG+에/JKB
납입금은	납입금/NNG+은/JX
대상이	대상/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.79.10.1
○ 상조보험도 장례는 상조회사가 제공

○	○/SW
상조보험도	상조/NNG+보험/NNG+도/JX
장례는	장례/NNG+는/JX
상조회사가	상조/NNG+회사/NNG+가/JKS
제공	제공/NNG


# id : NWRW1800000029.79.11.1
일부 상조업체가 재무 건전성이 떨어지고 너무 영세해 상조서비스에 가입한 소비자가 피해를 보는 일이 적지 않았다.

일부	일부/NNG
상조업체가	상조업체/NNG+가/JKS
재무	재무/NNG
건전성이	건전/NNG+성/XSN+이/JKS
떨어지고	떨어지/VV+고/EC
너무	너무/MAG
영세해	영세/NNG+하/XSA+아/EC
상조서비스에	상조/NNG+서비스/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
소비자가	소비자/NNG+가/JKS
피해를	피해/NNG+를/JKO
보는	보/VV+는/ETM
일이	일/NNG+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.79.12.1
실제 지난해 말 기준 300개 상조업체 가운데 167개 업체는 자산보다 부채가 많았다.

실제	실제/MAG
지난해	지난해/NNG
말	말/NNB
기준	기준/NNG
300개	300/SN+개/NNB
상조업체	상조업체/NNG
가운데	가운데/NNG
167개	167/SN+개/NNB
업체는	업체/NNG+는/JX
자산보다	자산/NNG+보다/JKB
부채가	부채/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.79.12.2
자산 대비 부채비율은 평균 135%에 이르렀다.

자산	자산/NNG
대비	대비/NNG
부채비율은	부채/NNG+비율/NNG+은/JX
평균	평균/NNG
135%에	135/SN+%/SW+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.79.13.1
소비자가 정기적으로 납부한 돈을 상조회사가 운용해 손실을 내거나 부도를 내고 잠적하는 일이 자주 일어났다.

소비자가	소비자/NNG+가/JKS
정기적으로	정기/NNG+적/XSN+으로/JKB
납부한	납부/NNG+하/XSV+ㄴ/ETM
돈을	돈/NNG+을/JKO
상조회사가	상조/NNG+회사/NNG+가/JKS
운용해	운용/NNG+하/XSV+아/EC
손실을	손실/NNG+을/JKO
내거나	내/VV+거나/EC
부도를	부도/NNG+를/JKO
내고	내/VV+고/EC
잠적하는	잠적/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
자주	자주/MAG
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.79.14.1
공정거래위원회는 지난해 9월부터 상조회사가 소비자로부터 받은 선수금을 다른 금융기관에 예치하는 등 소비자 피해를 방지할 안전장치를 갖추도록 했다.

공정거래위원회는	공정/NNG+거래/NNG+위원회/NNG+는/JX
지난해	지난해/NNG
9월부터	9/SN+월/NNB+부터/JX
상조회사가	상조/NNG+회사/NNG+가/JKS
소비자로부터	소비자/NNG+로부터/JKB
받은	받/VV+은/ETM
선수금을	선수금/NNG+을/JKO
다른	다른/MMD
금융기관에	금융/NNG+기관/NNG+에/JKB
예치하는	예치/NNG+하/XSV+는/ETM
등	등/NNB
소비자	소비자/NNG
피해를	피해/NNG+를/JKO
방지할	방지/NNG+하/XSV+ㄹ/ETM
안전장치를	안전장치/NNG+를/JKO
갖추도록	갖추/VV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.79.14.2
하지만 50% 이상만 외부에 예치하면 되기 때문에 완전한 보호장치라고 할 수 없다는 지적도 있다.

하지만	하지만/MAJ
50%	50/SN+%/SW
이상만	이상/NNG+만/JX
외부에	외부/NNG+에/JKB
예치하면	예치/NNG+하/XSV+면/EC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
완전한	완전/NNG+하/XSA+ㄴ/ETM
보호장치라고	보호/NNG+장치/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.79.15.1
이런 점에서 보험사는 영세한 일부 상조회사보다는 안전하다.

이런	이런/MMD
점에서	점/NNG+에서/JKB
보험사는	보험사/NNG+는/JX
영세한	영세/NNG+하/XSA+ㄴ/ETM
일부	일부/NNG
상조회사보다는	상조/NNG+회사/NNG+보다/JKB+는/JX
안전하다.	안전/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.79.15.2
상조보험에 납입한 보험료는 예금자보호법의 보호를 받을 수 있기 때문이다.

상조보험에	상조/NNG+보험/NNG+에/JKB
납입한	납입/NNG+하/XSV+ㄴ/ETM
보험료는	보험료/NNG+는/JX
예금자보호법의	예금자/NNG+보호법/NNG+의/JKG
보호를	보호/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.16.1
또 대부분의 상조보험 약관에는 ‘보험사가 상조서비스를 수익자에게 제공한다’는 점이 명시돼 있다.

또	또/MAG
대부분의	대/XPN+부분/NNG+의/JKG
상조보험	상조/NNG+보험/NNG
약관에는	약관/NNG+에/JKB+는/JX
‘보험사가	‘/SS+보험사/NNG+가/JKS
상조서비스를	상조/NNG+서비스/NNG+를/JKO
수익자에게	수익자/NNG+에게/JKB
제공한다’는	제공/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
점이	점/NNG+이/JKS
명시돼	명시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.79.16.2
상조서비스 제공에 대한 책임을 보험사가 부담하는 것이다.

상조서비스	상조/NNG+서비스/NNG
제공에	제공/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
보험사가	보험사/NNG+가/JKS
부담하는	부담/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.16.3
보험사는 전문상조회사와 제휴해 상조서비스를 제공한다.

보험사는	보험사/NNG+는/JX
전문상조회사와	전문/NNG+상조/NNG+회사/NNG+와/JKB
제휴해	제휴/NNG+하/XSV+아/EC
상조서비스를	상조/NNG+서비스/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.79.16.4
상조보험에 들어도 장례 지도사를 보내주는 서비스는 보험사가 아닌 상조회사가 하는 것이다.

상조보험에	상조/NNG+보험/NNG+에/JKB
들어도	들/VV+어도/EC
장례	장례/NNG
지도사를	지도사/NNG+를/JKO
보내주는	보내/VV+어/EC+주/VX+는/ETM
서비스는	서비스/NNG+는/JX
보험사가	보험사/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
상조회사가	상조/NNG+회사/NNG+가/JKS
하는	하/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.17.1
일부 보험사는 장례비 명목의 보험금을 지급하면서 상조보험이라고 홍보하기도 하지만 여기에는 장례용품이나 인력·차량지원 같은 서비스가 포함되지 않는 만큼 사망보험금을 지급하는 일반보험일 뿐이다.

일부	일부/NNG
보험사는	보험사/NNG+는/JX
장례비	장례비/NNG
명목의	명목/NNG+의/JKG
보험금을	보험금/NNG+을/JKO
지급하면서	지급/NNG+하/XSV+면서/EC
상조보험이라고	상조/NNG+보험/NNG+이/VCP+라고/EC
홍보하기도	홍보/NNG+하/XSV+기/ETN+도/JX
하지만	하/VX+지만/EC
여기에는	여기/NP+에/JKB+는/JX
장례용품이나	장례용품/NNG+이나/JC
인력·차량지원	인력/NNG+·/SP+차량/NNG+지원/NNG
같은	같/VA+은/ETM
서비스가	서비스/NNG+가/JKS
포함되지	포함/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
만큼	만큼/NNB
사망보험금을	사망/NNG+보험금/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
일반보험일	일반/NNG+보험/NNG+이/VCP+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.18.1
금감원은 “일부 상조보험은 가입 후 1, 2년 내 질병으로 사망하는 경우 서비스를 제공하지 않고 보험가입금액의 절반을 현금으로 주고 있다”며 “실제 상을 당했을 때 상조서비스가 최초 약정한 서비스와 동일한지 확인해야 한다”고 조언했다.

금감원은	금감원/NNG+은/JX
“일부	“/SS+일부/NNG
상조보험은	상조/NNG+보험/NNG+은/JX
가입	가입/NNG
후	후/NNG
1,	1/SN+,/SP
2년	2/SN+년/NNB
내	내/NNB
질병으로	질병/NNG+으로/JKB
사망하는	사망/NNG+하/XSV+는/ETM
경우	경우/NNG
서비스를	서비스/NNG+를/JKO
제공하지	제공/NNG+하/XSV+지/EC
않고	않/VX+고/EC
보험가입금액의	보험/NNG+가입/NNG+금액/NNG+의/JKG
절반을	절반/NNG+을/JKO
현금으로	현금/NNG+으로/JKB
주고	주/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“실제	“/SS+실제/MAG
상을	상/NNG+을/JKO
당했을	당하/VV+았/EP+을/ETM
때	때/NNG
상조서비스가	상조/NNG+서비스/NNG+가/JKS
최초	최초/NNG
약정한	약정/NNG+하/XSV+ㄴ/ETM
서비스와	서비스/NNG+와/JKB
동일한지	동일/NNG+하/XSA+ㄴ지/EF
확인해야	확인/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


