# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.373
metadata : {}


# id : NWRW1800000045.373.1.1
복합리조트, 또다른 황금알 전쟁… 국내외 34곳 도전장

복합리조트,	복합/NNG+리조트/NNG+,/SP
자본이	자본/NNG+이/JKS
손잡은	손잡/VV+은/ETM
GGAM	GGAM/SL
컨소시엄,	컨소시엄/NNG+,/SP
CTF코리아개발(홍콩),	CTF코리아개발/NNP+(/SS+홍콩/NNP+)/SS+,/SP
신화롄(新華聯·중국),	신화롄/NNP+(/SS+新華聯/SH+·/SP+중국/NNP+)/SS+,/SP
임피리얼퍼시픽(마카오),	임피리얼퍼시픽/NNP+(/SS+마카오/NNP+)/SS+,/SP
오디아(싱가포르)	오디아/NNP+(/SS+싱가포르/NNP+)/SS
등	등/NNB
외국계	외국/NNG+계/XSN
업체가	업체/NNG+가/JKS
대거	대거/MAG
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.373.6.1
인천공항국제업무지구와 영종도하늘도시에도 각각 3곳의 업체가 도전장을 냈고, 무의도와 을왕리 용두도, 인천항(송도 9공구)에도 총 5개 업체가 출사표를 냈다.

인천공항국제업무지구와	인천공항국제업무지구/NNP+와/JC
영종도하늘도시에도	영종도하늘도시/NNP+에/JKB+도/JX
각각	각각/MAG
3곳의	3/SN+곳/NNG+의/JKG
업체가	업체/NNG+가/JKS
도전장을	도전장/NNG+을/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
무의도와	무의도/NNP+와/JC
을왕리	을왕리/NNP
용두도,	용두도/NNP+,/SP
인천항(송도	인천항/NNP+(/SS+송도/NNP
9공구)에도	9/SN+공구/NNG+)/SS+에/JKB+도/JX
총	총/MMA
5개	5/SN+개/NNB
출사표를	출사표/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.373.7.1
영종도에는 파라다이스세가사미와 리포&시저스 등 외국인 카지노 시설을 중심으로 한 복합리조트 2곳이 이미 허가를 받아 놓은 상태다.

영종도에는	영종도/NNP+에/JKB+는/JX
파라다이스세가사미와	파라다이스세가사미/NNP+와/JC
리포&시저스	리포&시저스/NNP
등	등/NNB
외국인	외국인/NNG
카지노	카지노/NNG
시설을	시설/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
복합리조트	복합/NNG+리조트/NNG
2곳이	2/SN+곳/NNG+이/JKS
이미	이미/MAG
허가를	허가/NNG+를/JKO
받아	받/VV+아/EC
놓은	놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.373.7.2
영종도 등 한창 시설이 개발되고 있는 지역에 복합리조트가 들어설 경우 리조트 밖으로 나오면 마땅한 관광 인프라가 부족하다는 것은 단점으로 꼽힌다.

영종도	영종도/NNP
등	등/NNB
한창	한창/MAG
시설이	시설/NNG+이/JKS
개발되고	개발/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
지역에	지역/NNG+에/JKB
복합리조트가	복합/NNG+리조트/NNG+가/JKS
들어설	들어서/VV+ㄹ/ETM
경우	경우/NNG
리조트	리조트/NNG
밖으로	밖/NNG+으로/JKB
나오면	나오/VV+면/EC
마땅한	마땅하/VA+ㄴ/ETM
관광	관광/NNG
인프라가	인프라/NNG+가/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
것은	것/NNB+은/JX
단점으로	단점/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.373.8.1
서울 지역은 수협중앙회의 노량진수산시장이 유일하다.

서울	서울/NNP
지역은	지역/NNG+은/JX
수협중앙회의	수협중앙회/NNP+의/JKG
노량진수산시장이	노량진수산시장/NNP+이/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.373.8.2
노량진수산시장의 현대화사업으로 현재 수산시장 부지에 새로 짓고 있는 건물을 복합리조트로 꾸미겠다는 구상이다.

노량진수산시장의	노량진수산시장/NNP+의/JKG
현대화사업으로	현대/NNG+화/XSN+사업/NNG+으로/JKB
현재	현재/MAG
수산시장	수산/NNG+시장/NNG
부지에	부지/NNG+에/JKB
새로	새로/MAG
짓고	짓/VV+고/EC
있는	있/VX+는/ETM
건물을	건물/NNG+을/JKO
복합리조트로	복합/NNG+리조트/NNG+로/JKB
꾸미겠다는	꾸미/VV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.373.8.3
수협은 전체 4만8200m² 부지에 5성급 호텔(1000실 규모)과 컨벤션시설, 외국인 전용 카지노, 쇼핑시설 등을 계획하고 있다.

수협은	수협/NNP+은/JX
전체	전체/NNG
4만8200m²	4/SN+만/NR+8200/SN+m²/SW
부지에	부지/NNG+에/JKB
5성급	5/SN+성급/NNG
호텔(1000실	호텔/NNG+(/SS+1000/SN+실/NNG
규모)과	규모/NNG+)/SS+과/JC
컨벤션시설,	컨벤션/NNG+시설/NNG+,/SP
외국인	외국인/NNG
전용	전용/NNG
카지노,	카지노/NNG+,/SP
쇼핑시설	쇼핑/NNG+시설/NNG
등을	등/NNB+을/JKO
계획하고	계획/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.373.8.4
지하 6층, 지상 52층 규모로 총사업비 규모는 1조2943억 원에 달한다.

지하	지하/NNG
6층,	6/SN+층/NNG+,/SP
지상	지상/NNG
52층	52/SN+층/NNG
규모로	규모/NNG+로/JKB
총사업비	총/MMA+사업비/NNG
규모는	규모/NNG+는/JX
1조2943억	1/SN+조/NR+2943/SN+억/NR
원에	원/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.373.9.1
수협은 해외 관광객의 80%가 찾는 서울에 복합리조트를 지어야 접근성 측면에서 유리하게 작용한다고 주장한다.

수협은	수협/NNP+은/JX
해외	해외/NNG
관광객의	관광객/NNG+의/JKG
80%가	80/SN+%/SW+가/JKS
찾는	찾/VV+는/ETM
서울에	서울/NNP+에/JKB
복합리조트를	복합/NNG+리조트/NNG+를/JKO
지어야	짓/VV+어야/EC
접근성	접근/NNG+성/XSN
측면에서	측면/NNG+에서/JKB
유리하게	유리/NNG+하/XSA+게/EC
작용한다고	작용/NNG+하/XSV+ㄴ다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.373.9.2
또 노량진의 경우 올림픽대로로 연결돼 공항에서 접근하기 쉽고, 지하철 1·9호선과 접한 것도 강점으로 꼽는다.

또	또/MAG
노량진의	노량진/NNP+의/JKG
경우	경우/NNG
올림픽대로로	올림픽대로/NNP+로/JKB
연결돼	연결/NNG+되/XSV+어/EC
공항에서	공항/NNG+에서/JKB
접근하기	접근/NNG+하/XSV+기/ETN
쉽고,	쉽/VA+고/EC+,/SP
지하철	지하철/NNG
1·9호선과	1/SN+·/SP+9/SN+호선/NNB+과/JKB
접한	접하/VV+ㄴ/ETM
것도	것/NNB+도/JX
강점으로	강점/NNG+으로/JKB
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000045.373.10.1
수협은 노량진수산시장을 주축으로 여의도와 용산에 들어서는 대형 서울시내 면세점을 아우르는 대규모 관광벨트로서의 복합리조트를 만들겠다는 구상이다.

수협은	수협/NNP+은/JX
노량진수산시장을	노량진수산시장/NNP+을/JKO
주축으로	주축/NNG+으로/JKB
여의도와	여의도/NNP+와/JC
용산에	용산/NNP+에/JKB
들어서는	들어서/VV+는/ETM
대형	대형/NNG
서울시내	서울/NNP+시내/NNG
면세점을	면세점/NNG+을/JKO
아우르는	아우르/VV+는/ETM
대규모	대/XPN+규모/NNG
관광벨트로서의	관광/NNG+벨트/NNG+로서/JKB+의/JKG
복합리조트를	복합/NNG+리조트/NNG+를/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.373.10.2
또 국제금융센터 등 금융 중심지인 여의도도 지리적으로 가까워 마이스(MICE·회의, 포상관광, 컨벤션, 전시박람회 및 이벤트) 기능까지 아우르는 복합 시설로 거듭나겠다는 목표다.

또	또/MAG
국제금융센터	국제금융센터/NNP
등	등/NNB
금융	금융/NNG
중심지인	중심지/NNG+이/VCP+ㄴ/ETM
여의도도	여의도/NNP+도/JX
지리적으로	지리/NNG+적/XSN+으로/JKB
가까워	가깝/VA+어/EC
마이스(MICE·회의,	마이스/NNG+(/SS+MICE/SL+·/SP+회의/NNG+,/SP
포상관광,	포상/NNG+관광/NNG+,/SP
컨벤션,	컨벤션/NNG+,/SP
전시박람회	전시/NNG+박람회/NNG
및	및/MAG
이벤트)	이벤트/NNG+)/SS
기능까지	기능/NNG+까지/JX
아우르는	아우르/VV+는/ETM
복합	복합/NNG
시설로	시설/NNG+로/JKB
거듭나겠다는	거듭나/VV+겠/EP+다는/ETM
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.373.11.1
지역균형발전 논리를 내세우며 아예 수도권을 벗어나 지방에 입지를 정한 업체도 많다.

지역균형발전	지역/NNG+균형/NNG+발전/NNG
논리를	논리/NNG+를/JKO
내세우며	내세우/VV+며/EC
아예	아예/MAG
수도권을	수도/NNG+권/XSN+을/JKO
벗어나	벗어나/VV+아/EC
지방에	지방/NNG+에/JKB
입지를	입지/NNG+를/JKO
정한	정하/VV+ㄴ/ETM
업체도	업체/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000045.373.11.2
코오롱글로벌은 강원 춘천시에 입지를 정했고, 여수 경도레저관광과 중국 평강도가촌 등을 포함한 컨소시엄 3곳은 전남 여수 경도를 입지로 택했다.

코오롱글로벌은	코오롱글로벌/NNP+은/JX
강원	강원/NNP
춘천시에	춘천시/NNP+에/JKB
입지를	입지/NNG+를/JKO
정했고,	정하/VV+았/EP+고/EC+,/SP
여수	여수/NNP
경도레저관광과	경도레저관광/NNP+과/JC
중국	중국/NNP
평강도가촌	평강도가촌/NNP
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
컨소시엄	컨소시엄/NNG
3곳은	3/SN+곳/NNG+은/JX
전남	전남/NNP
경도를	경도/NNP+를/JKO
입지로	입지/NNG+로/JKB
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.373.11.3
롯데그룹은 말레이시아의 합작법인인 겐팅과 부산 북항에 복합리조트 건설 계획을 세웠다.

롯데그룹은	롯데그룹/NNP+은/JX
말레이시아의	말레이시아/NNP+의/JKG
합작법인인	합작/NNG+법인/NNG+이/VCP+ㄴ/ETM
겐팅과	겐팅/NNP+과/JKB
부산	부산/NNP
북항에	북항/NNP+에/JKB
복합리조트	복합/NNG+리조트/NNG
건설	건설/NNG
계획을	계획/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.373.12.1
주관 부서인 문체부는 이달 말까지 34개 업체가 제안한 복합리조트 후보 지역에 대한 평가 및 선정을 마무리하고, 해당 지역에서 사업을 할 업체를 대상으로 다시 심사를 실시한다.

주관	주관/NNG
부서인	부서/NNG+이/VCP+ㄴ/ETM
문체부는	문체부/NNG+는/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
34개	34/SN+개/NNB
업체가	업체/NNG+가/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
복합리조트	복합/NNG+리조트/NNG
후보	후보/NNG
지역에	지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가	평가/NNG
및	및/MAG
선정을	선정/NNG+을/JKO
마무리하고,	마무리/NNG+하/XSV+고/EC+,/SP
해당	해당/NNG
지역에서	지역/NNG+에서/JKB
사업을	사업/NNG+을/JKO
할	하/VV+ㄹ/ETM
업체를	업체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
다시	다시/MAG
심사를	심사/NNG+를/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.373.12.2
최종 사업자 선정은 12월에 이뤄진다.

최종	최종/NNG
사업자	사업자/NNG
선정은	선정/NNG+은/JX
12월에	12/SN+월/NNB+에/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.373.13.1
:: 복합리조트 ::

::	:/SP+:/SP
복합리조트	복합/NNG+리조트/NNG


# id : NWRW1800000045.373.14.1
카지노와 호텔, 쇼핑몰, 컨벤션, 공연장, 테마파크 등 다양한 분야의 시설을 융합한 복합단지를 말한다.

카지노와	카지노/NNP+와/JC
호텔,	호텔/NNG+,/SP
쇼핑몰,	쇼핑몰/NNG+,/SP
컨벤션,	컨벤션/NNG+,/SP
공연장,	공연장/NNG+,/SP
테마파크	테마파크/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야의	분야/NNG+의/JKG
시설을	시설/NNG+을/JKO
융합한	융합/NNG+하/XSV+ㄴ/ETM
복합단지를	복합/NNG+단지/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.373.14.2
비즈니스와 레저를 아우르는 대형 시설로, 싱가포르의 마리나베이샌즈가 대표적이다.

비즈니스와	비즈니스/NNG+와/JC
레저를	레저/NNG+를/JKO
아우르는	아우르/VV+는/ETM
대형	대형/NNG
시설로,	시설/NNG+로/JKB+,/SP
싱가포르의	싱가포르/NNP+의/JKG
마리나베이샌즈가	마리나베이샌즈/NNP+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.373.14.3
세계 각국에서 카지노 시설과 연계한 복합리조트 투자 유치에 적극적으로 나서고 있으며, 한국 정부도 올 1월 투자활성화 방안의 하나로 복합리조트 신규 사업자 2곳 이상을 추가 선정한다고 발표했다.

세계	세계/NNG
각국에서	각국/NNG+에서/JKB
카지노	카지노/NNG
시설과	시설/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
복합리조트	복합/NNG+리조트/NNG
투자	투자/NNG
유치에	유치/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
나서고	나서/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
한국	한국/NNP
정부도	정부/NNG+도/JX
올	올/NNG
1월	1/SN+월/NNB
투자활성화	투자/NNG+활성/NNG+화/XSN
방안의	방안/NNG+의/JKG
하나로	하나/NR+로/JKB
신규	신규/NNG
사업자	사업자/NNG
2곳	2/SN+곳/NNG
이상을	이상/NNG+을/JKO
추가	추가/NNG
선정한다고	선정/NNG+하/XSV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


