# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.365
metadata : {}


# id : NWRW1800000037.365.1.1
北 ‘김광호 압송조’ 中에 파견

北	北/SH
조태용 외교부 대변인은 23일 “김 씨 가족에 대한 영사 면담은 이뤄지지 않았지만 정부는 필요한 조치를 취하고 있다”고 밝혔다.

조태용	조태용/NNP
외교부	외교부/NNG
대변인은	대변인/NNG+은/JX
23일	23/SN+일/NNB
“김	“/SS+김/NNP
씨	씨/NNB
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영사	영사/NNG
면담은	면담/NNG+은/JX
이뤄지지	이뤄지/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
정부는	정부/NNG+는/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취하고	취하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.365.4.3
김 씨와 당시 약혼녀였던 김모 씨는 2009년 8월 함께 한국에 입국한 뒤 결혼해 딸을 낳고 살다가 지난해 10월 북한에 들어갔다.

김	김/NNP
씨와	씨/NNB+와/JC
당시	당시/NNG
약혼녀였던	약혼녀/NNG+이/VCP+었/EP+던/ETM
김모	김/NNP+모/NP
씨는	씨/NNB+는/JX
2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
함께	함께/MAG
한국에	한국/NNP+에/JKB
입국한	입국/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
결혼해	결혼/NNG+하/XSV+아/EC
딸을	딸/NNG+을/JKO
낳고	낳/VV+고/EC
살다가	살/VV+다가/EC
지난해	지난해/NNG
10월	10/SN+월/NNB
북한에	북한/NNP+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.365.4.4
이어 김 씨는 올 6월 가족과 함께 다시 중국으로 나와 옌지에서 머물며 한국으로 오려고 시도하던 중 중국 공안에 체포됐다.

이어	이어/MAG
김	김/NNP
씨는	씨/NNB+는/JX
올	올/NNG
6월	6/SN+월/NNB
가족과	가족/NNG+과/JKB
함께	함께/MAG
다시	다시/MAG
중국으로	중국/NNP+으로/JKB
나와	나오/VV+아/EC
옌지에서	옌지/NNP+에서/JKB
머물며	머물/VV+며/EC
한국으로	한국/NNP+으로/JKB
오려고	오/VV+려고/EC
시도하던	시도/NNG+하/XSV+던/ETM
중	중/NNB
중국	중국/NNP
공안에	공안/NNG+에/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


