# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.75
metadata : {}


# id : NWRW1800000044.75.1.1
“목숨값이 415달러?” 네팔 셰르파들 파업

“목숨값이	“/SS+목숨값/NNG+이/JKS
셰르파들은 고객들의 정상(8848m) 등반을 위해 알루미늄 다리 등을 설치하다가 참변을 당했다.

셰르파들은	셰르파/NNG+들/XSN+은/JX
고객들의	고객/NNG+들/XSN+의/JKG
정상(8848m)	정상/NNG+(/SS+8848/SN+m/SW+)/SS
등반을	등반/NNG+을/JKO
위해	위하/VV+아/EC
알루미늄	알루미늄/NNG
다리	다리/NNG
등을	등/NNB+을/JKO
설치하다가	설치/NNG+하/XSV+다가/EC
참변을	참변/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.6.4
셰르파는 원래 히말라야 고산지대에 사는 소수민족의 이름으로 인구는 15만명 정도로 추정되며 상당수가 에베레스트 등반객 안내 일을 하고 있다.

셰르파는	셰르파/NNG+는/JX
원래	원래/MAG
히말라야	히말라야/NNP
고산지대에	고산/NNG+지대/NNG+에/JKB
사는	살/VV+는/ETM
소수민족의	소수/NNG+민족/NNG+의/JKG
이름으로	이름/NNG+으로/JKB
인구는	인구/NNG+는/JX
15만명	15/SN+만/NR+명/NNB
정도로	정도/NNG+로/JKB
추정되며	추정/NNG+되/XSV+며/EC
상당수가	상당수/NNG+가/JKS
에베레스트	에베레스트/NNP
등반객	등반객/NNG
안내	안내/NNG
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.75.6.5
성이 셰르파인 경우도 많다.

성이	성/NNG+이/JKS
셰르파인	셰르파/NNG+이/VCP+ㄴ/ETM
경우도	경우/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000044.75.7.1
하지만 네팔 정부가 사고 뒤 희생자 가족한테 제시한 사망 보상금 415달러는 장례 비용이나 간신히 충당할 정도여서 셰르파들의 공분을 샀다.

하지만	하지만/MAJ
네팔	네팔/NNP
정부가	정부/NNG+가/JKS
사고	사고/NNG
뒤	뒤/NNG
희생자	희생자/NNG
가족한테	가족/NNG+한테/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
사망	사망/NNG
보상금	보상금/NNG
415달러는	415/SN+달러/NNB+는/JX
장례	장례/NNG
비용이나	비용/NNG+이나/JX
간신히	간신히/MAG
충당할	충당/NNG+하/XSV+ㄹ/ETM
정도여서	정도/NNG+이/VCP+어서/EC
셰르파들의	셰르파/NNG+들/XSN+의/JKG
공분을	공분/NNG+을/JKO
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.7.2
이에 따라 셰르파 300여명은 네팔 정부에 처우 개선에 대한 13개 요구를 전달한 뒤 요구사항이 관철될 때까지 파업을 선언했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
셰르파	셰르파/NNG
300여명은	300/SN+여/XSN+명/NNB+은/JX
네팔	네팔/NNP
정부에	정부/NNG+에/JKB
처우	처우/NNG
개선에	개선/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
13개	13/SN+개/NNB
요구를	요구/NNG+를/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
요구사항이	요구/NNG+사항/NNG+이/JKS
관철될	관철/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
파업을	파업/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.7.3
이들은 숨진 셰르파에 대한 사망 보상금을 현재 415달러에서 1만400달러로 올리고 사망 보험금도 현재 1만달러에서 2만달러로 인상할 것 등을 요구했다.

이들은	이/NP+들/XSN+은/JX
숨진	숨지/VV+ㄴ/ETM
셰르파에	셰르파/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사망	사망/NNG
보상금을	보상금/NNG+을/JKO
현재	현재/MAG
415달러에서	415/SN+달러/NNB+에서/JKB
1만400달러로	1/SN+만/NR+400/SN+달러/NNB+로/JKB
올리고	올리/VV+고/EC
보험금도	보험금/NNG+도/JX
1만달러에서	1/SN+만/NR+달러/NNB+에서/JKB
2만달러로	2/SN+만/NR+달러/NNB+로/JKB
인상할	인상/NNG+하/XSV+ㄹ/ETM
것	것/NNB
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.7.4
22일 오후에는 셰르파들이 내부 회의를 거쳐 이번 등산 시즌 전면 파업까지 선언했다고 <아에프페>(AFP) 통신이 전했다.

22일	22/SN+일/NNB
오후에는	오후/NNG+에/JKB+는/JX
셰르파들이	셰르파/NNG+들/XSN+이/JKS
내부	내부/NNG
회의를	회의/NNG+를/JKO
거쳐	거치/VV+어/EC
이번	이번/NNG
등산	등산/NNG
시즌	시즌/NNG
전면	전면/NNG
파업까지	파업/NNG+까지/JX
선언했다고	선언/NNG+하/XSV+았/EP+다고/EC
<아에프페>(AFP)	</SS+아에프페/NNP+>/SS+(/SS+AFP/SL+)/SS
통신이	통신/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.8.1
에베레스트 등반객 안내는 등반객들의 짐을 대신 지고 베이스캠프까지 20번 이상 왕복하는 등 고되고 큰 위험이 따른다.

에베레스트	에베레스트/NNP
등반객	등반객/NNG
안내는	안내/NNG+는/JX
등반객들의	등반객/NNG+들/XSN+의/JKG
짐을	짐/NNG+을/JKO
대신	대신/NNG
지고	지/VV+고/EC
베이스캠프까지	베이스캠프/NNG+까지/JX
20번	20/SN+번/NNB
이상	이상/NNG
왕복하는	왕복/NNG+하/XSV+는/ETM
등	등/NNB
고되고	고되/VA+고/EC
큰	크/VA+ㄴ/ETM
위험이	위험/NNG+이/JKS
따른다.	따르/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.75.8.2
하지만 한 계절에 등반객을 안내하고 버는 돈이 5000달러가량으로 네팔 1인당 국민소득 750달러의 몇 배에 해당해 일을 포기하기 쉽지 않다.

하지만	하지만/MAJ
한	한/MMN
계절에	계절/NNG+에/JKB
등반객을	등반객/NNG+을/JKO
안내하고	안내/NNG+하/XSV+고/EC
버는	벌/VV+는/ETM
돈이	돈/NNG+이/JKS
5000달러가량으로	5000/SN+달러/NNB+가량/XSN+으로/JKB
네팔	네팔/NNP
1인당	1/SN+인/NNG+당/XSN
국민소득	국민/NNG+소득/NNG
750달러의	750/SN+달러/NNB+의/JKG
몇	몇/NR
배에	배/NNG+에/JKB
해당해	해당/NNG+하/XSV+아/EC
일을	일/NNG+을/JKO
포기하기	포기/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000044.75.9.1
1953년 뉴질랜드 산악인 에드먼드 힐러리와 셰르파 텐징 노르가이가 에베레스트 정상에 오른 이후, 에베레스트 등반대는 꾸준히 늘어 현재는 산업 수준으로 번창했다.

1953년	1953/SN+년/NNB
뉴질랜드	뉴질랜드/NNP
산악인	산악인/NNG
에드먼드	에드먼드/NNP
힐러리와	힐러리/NNP+와/JC
셰르파	셰르파/NNG
텐징	텐징/NNP
노르가이가	노르가이/NNP+가/JKS
에베레스트	에베레스트/NNP
정상에	정상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
이후,	이후/NNG+,/SP
등반대는	등반대/NNG+는/JX
꾸준히	꾸준히/MAG
늘어	늘/VV+어/EC
현재는	현재/NNG+는/JX
산업	산업/NNG
수준으로	수준/NNG+으로/JKB
번창했다.	번창/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.9.2
1990년대부터는 일반인들도 돈을 내고 셰르파와 전문 산악인들의 도움을 받아 정상에 오르는 이른바 ‘상업 등반’이 활성화됐다.

1990년대부터는	1990/SN+년대/NNB+부터/JX+는/JX
일반인들도	일반인/NNG+들/XSN+도/JX
돈을	돈/NNG+을/JKO
내고	내/VV+고/EC
셰르파와	셰르파/NNG+와/JC
전문	전문/NNG
산악인들의	산악인/NNG+들/XSN+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
정상에	정상/NNG+에/JKB
오르는	오르/VV+는/ETM
이른바	이른바/MAG
‘상업	‘/SS+상업/NNG
등반’이	등반/NNG+’/SS+이/JKS
활성화됐다.	활성/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.75.9.3
네팔 정부도 초기에는 에베레스트 입산을 엄격히 제한했지만 막대한 관광수입 때문에 입산 제한을 계속 완화하고 있다.

네팔	네팔/NNP
정부도	정부/NNG+도/JX
초기에는	초기/NNG+에/JKB+는/JX
에베레스트	에베레스트/NNP
입산을	입산/NNG+을/JKO
엄격히	엄격히/MAG
제한했지만	제한/NNG+하/XSV+았/EP+지만/EC
막대한	막대하/VA+ㄴ/ETM
관광수입	관광/NNG+수입/NNG
때문에	때문/NNB+에/JKB
입산	입산/NNG
제한을	제한/NNG+을/JKO
계속	계속/MAG
완화하고	완화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.75.9.4
네팔 정부는 에베레스트 정상 등반을 위해 입국하는 이들에게 입장료 등으로 1인당 1만~2만5000달러가량을 받는다.

네팔	네팔/NNP
정부는	정부/NNG+는/JX
에베레스트	에베레스트/NNP
정상	정상/NNG
등반을	등반/NNG+을/JKO
위해	위하/VV+아/EC
입국하는	입국/NNG+하/XSV+는/ETM
이들에게	이/NNB+들/XSN+에게/JKB
입장료	입장료/NNG
등으로	등/NNB+으로/JKB
1인당	1/SN+인/NNG+당/XSN
1만~2만5000달러가량을	1/SN+만/NR+~/SO+2/SN+만/NR+5000/SN+달러/NNB+가량/XSN+을/JKO
받는다.	받/VV+는다/EF+./SF


