# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.352
metadata : {}


# id : NWRW1800000049.352.1.1
‘우병우 청문회’ 된 경찰청장 청문회

‘우병우	‘/SS+우병우/NNP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.352.4.3
그는 경감이었던 1993년 11월 면허정지에 해당하는 혈중알코올농도 0.09%로 자신의 차를 몰고 가다 중앙선 침범으로 사고를 일으켜 벌금 100만 원의 처분을 받았지만 징계를 받지는 않았다.

그는	그/NP+는/JX
경감이었던	경감/NNG+이/VCP+었/EP+던/ETM
1993년	1993/SN+년/NNB
11월	11/SN+월/NNB
면허정지에	면허/NNG+정지/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
혈중알코올농도	혈중/NNG+알코올/NNG+농도/NNG
0.09%로	0/SN+./SP+09/SN+%/SW+로/JKB
자신의	자신/NNG+의/JKG
차를	차/NNG+를/JKO
몰고	몰/VV+고/EC
가다	가/VV+다/EC
중앙선	중앙선/NNG
침범으로	침범/NNG+으로/JKB
사고를	사고/NNG+를/JKO
일으켜	일으키/VV+어/EC
벌금	벌금/NNG
100만	100/SN+만/NR
원의	원/NNB+의/JKG
처분을	처분/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
징계를	징계/NNG+를/JKO
받지는	받/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.352.5.1
이 후보자가 뒤늦게 경찰 신분을 숨긴 사실을 밝히자 야당 의원들은 “충격적인 결격 사유”라며 한때 청문회 거부를 주장했다.

이	이/NNP
후보자가	후보자/NNG+가/JKS
뒤늦게	뒤늦/VA+게/EC
경찰	경찰/NNG
신분을	신분/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
밝히자	밝히/VV+자/EC
야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
“충격적인	“/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
결격	결격/NNG
사유”라며	사유/NNG+”/SS+이/VCP+라며/EC
한때	한때/MAG
청문회	청문회/NNG
거부를	거부/NNG+를/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.5.2
이 후보자는 야당의 자진 사퇴 요구에 “34년 경찰 생활을 하면서 쌓은 경험과 지혜를 조직을 위해 쓸 수 있도록 배려해 달라”고 호소하며 “어떤 질책도 달게 받겠다”고 거듭 사과했다.

이	이/NNP
후보자는	후보자/NNG+는/JX
야당의	야당/NNG+의/JKG
자진	자진/NNG
사퇴	사퇴/NNG
요구에	요구/NNG+에/JKB
“34년	“/SS+34/SN+년/NNB
경찰	경찰/NNG
생활을	생활/NNG+을/JKO
하면서	하/VV+면서/EC
쌓은	쌓/VV+은/ETM
경험과	경험/NNG+과/JC
지혜를	지혜/NNG+를/JKO
조직을	조직/NNG+을/JKO
위해	위하/VV+아/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
배려해	배려/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
호소하며	호소/NNG+하/XSV+며/EC
“어떤	“/SS+어떤/MMD
질책도	질책/NNG+도/JX
달게	달/VA+게/EC
받겠다”고	받/VV+겠/EP+다/EF+”/SS+고/JKQ
거듭	거듭/MAG
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.6.1
야당은 이 후보자의 인사검증을 맡은 우병우 대통령민정수석비서관의 부실 검증 의혹을 집중적으로 추궁했다.

야당은	야당/NNG+은/JX
이	이/NNP
후보자의	후보자/NNG+의/JKG
인사검증을	인사/NNG+검증/NNG+을/JKO
맡은	맡/VV+은/ETM
우병우	우병우/NNP
대통령민정수석비서관의	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG+의/JKG
부실	부실/NNG
검증	검증/NNG
의혹을	의혹/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
추궁했다.	추궁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.6.2
이 후보자는 “경무관 승진 때부터 음주운전 적발 당시 신분을 감춘 사실을 소명했다”며 “(우 수석이 알고 있었는지는) 잘 모르겠다”고 말했다.

이	이/NNP
후보자는	후보자/NNG+는/JX
“경무관	“/SS+경무관/NNG
승진	승진/NNG
때부터	때/NNG+부터/JX
음주운전	음주/NNG+운전/NNG
적발	적발/NNG
당시	당시/NNG
신분을	신분/NNG+을/JKO
감춘	감추/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
소명했다”며	소명/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“(우	“/SS+(/SS+우/NNP
수석이	수석/NNG+이/JKS
알고	알/VV+고/EC
있었는지는)	있/VX+었/EP+는지/EF+는/JX+)/SS
잘	잘/MAG
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.6.3
이 후보자의 나이도 문제가 됐다.

이	이/NNP
후보자의	후보자/NNG+의/JKG
나이도	나이/NNG+도/JX
문제가	문제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.352.6.4
1958년 6월 21일생인 이 후보자는 60세 정년인 경찰공무원법에 따라 2년 임기가 끝나기 전인 2018년 6월에 퇴직해야 한다.

1958년	1958/SN+년/NNB
6월	6/SN+월/NNB
21일생인	21/SN+일/NNB+생/XSN+이/VCP+ㄴ/ETM
이	이/NNP
후보자는	후보자/NNG+는/JX
60세	60/SN+세/NNB
정년인	정년/NNG+이/VCP+ㄴ/ETM
경찰공무원법에	경찰/NNG+공무원법/NNG+에/JKB
따라	따르/VV+아/EC
2년	2/SN+년/NNB
임기가	임기/NNG+가/JKS
끝나기	끝나/VV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
2018년	2018/SN+년/NNB
6월에	6/SN+월/NNB+에/JKB
퇴직해야	퇴직/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.352.6.5
야당은 “임기를 채울 수 있는지조차 확인하지 않은 부실 검증”이라고 지적했다.

야당은	야당/NNG+은/JX
“임기를	“/SS+임기/NNG+를/JKO
채울	채우/VV+ㄹ/ETM
수	수/NNB
있는지조차	있/VA+는지/EF+조차/JX
확인하지	확인/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
부실	부실/NNG
검증”이라고	검증/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.7.1
의경으로 복무 중인 우 수석 아들(24)의 ‘보직 특혜’ 의혹도 쟁점이 됐다.

의경으로	의경/NNG+으로/JKB
복무	복무/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
우	우/NNP
수석	수석/NNG
아들(24)의	아들/NNG+(/SS+24/SN+)/SS+의/JKG
‘보직	‘/SS+보직/NNG
특혜’	특혜/NNG+’/SS
의혹도	의혹/NNG+도/JX
쟁점이	쟁점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.352.7.2
야당은 치안비서관으로 우 수석과 함께 청와대에서 근무하던 이 후보자가 경찰에 압력을 행사한 것 아니냐는 의혹을 제기했지만 이 후보자는 “(우 수석의 아들이 의경인지) 언론 보도를 보고 이번에 처음 알았다”고 말했다.

야당은	야당/NNG+은/JX
치안비서관으로	치안/NNG+비서관/NNG+으로/JKB
우	우/NNP
수석과	수석/NNG+과/JKB
함께	함께/MAG
청와대에서	청와대/NNP+에서/JKB
근무하던	근무/NNG+하/XSV+던/ETM
이	이/NNP
후보자가	후보자/NNG+가/JKS
경찰에	경찰/NNG+에/JKB
압력을	압력/NNG+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
의혹을	의혹/NNG+을/JKO
제기했지만	제기/NNG+하/XSV+았/EP+지만/EC
후보자는	후보자/NNG+는/JX
“(우	“/SS+(/SS+우/NNP
수석의	수석/NNG+의/JKG
아들이	아들/NNG+이/JKS
의경인지)	의경/NNG+이/VCP+ㄴ지/EF+)/SS
언론	언론/NNG
보도를	보도/NNG+를/JKO
보고	보/VV+고/EC
이번에	이번/NNG+에/JKB
처음	처음/NNG
알았다”고	알/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.7.3
야당은 경찰이 특별감찰에 비협조적이었다는 이석수 특별감찰관의 발언도 문제 삼았다.

야당은	야당/NNG+은/JX
경찰이	경찰/NNG+이/JKS
특별감찰에	특별/NNG+감찰/NNG+에/JKB
비협조적이었다는	비/XPN+협조/NNG+적/XSN+이/VCP+었/EP+다는/ETM
이석수	이석수/NNP
특별감찰관의	특별/NNG+감찰관/NNG+의/JKG
발언도	발언/NNG+도/JX
문제	문제/NNG
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.7.4
이에 대해 이 후보자는 “기본적인 자료를 다 제출했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
이	이/NNP
후보자는	후보자/NNG+는/JX
“기본적인	“/SS+기본/NNG+적/XSN+이/VCP+ㄴ/ETM
자료를	자료/NNG+를/JKO
다	다/MAG
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.7.5
다만 특별 외출 자료는 우 수석 아들을 면회 온 가족 친지들의 명단이 있어 제출하지 않았다”고 해명했다.

다만	다만/MAG
특별	특별/NNG
외출	외출/NNG
자료는	자료/NNG+는/JX
우	우/NNP
수석	수석/NNG
아들을	아들/NNG+을/JKO
면회	면회/NNG
온	오/VV+ㄴ/ETM
가족	가족/NNG
친지들의	친지/NNG+들/XSN+의/JKG
명단이	명단/NNG+이/JKS
있어	있/VA+어/EC
제출하지	제출/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.352.8.1
경찰청장은 국회 동의 여부와 상관없이 대통령이 임명할 수 있다.

경찰청장은	경찰청장/NNG+은/JX
국회	국회/NNG
동의	동의/NNG
여부와	여부/NNG+와/JKB
상관없이	상관없이/MAG
대통령이	대통령/NNG+이/JKS
임명할	임명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.352.8.2
경찰청장 이·취임식은 23일 열릴 예정이다.

경찰청장	경찰청장/NNG
이·취임식은	이·취임식/NNG+은/JX
23일	23/SN+일/NNB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


