# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.357
metadata : {}


# id : NWRW1800000052.357.1.1
국민의당, 박선숙·김수민 면담도 않고 “문제 없어”

국민의당,	국민의당/NNP+,/SP
검찰은 국민의당 관계자에 대해 출석 통보를 시작하며 수사를 본격화하고 있다.

검찰은	검찰/NNG+은/JX
국민의당	국민의당/NNP
관계자에	관계자/NNG+에/JKB
대해	대하/VV+아/EC
출석	출석/NNG
통보를	통보/NNG+를/JKO
시작하며	시작/NNG+하/XSV+며/EC
수사를	수사/NNG+를/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.357.8.2
서울서부지검은 이날 "왕주현 사무부총장에 15일 오전 10시까지 출석할 것을 통보했으나 왕 부총장이 논의할 시간이 필요하다며 오지 않았다"고 밝혔다.

서울서부지검은	서울서부지검/NNP+은/JX
이날	이날/NNG
"왕주현	"/SS+왕주현/NNP
사무부총장에	사무/NNG+부총장/NNG+에/JKB
15일	15/SN+일/NNB
오전	오전/NNG
10시까지	10/SN+시/NNB+까지/JX
출석할	출석/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
통보했으나	통보/NNG+하/XSV+았/EP+으나/EC
왕	왕/NNP
부총장이	부총장/NNG+이/JKS
논의할	논의/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
필요하다며	필요/NNG+하/XSA+다며/EC
오지	오/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.357.8.3
왕 부총장 쪽은 “16일 출석하겠다”고 밝혔다.

왕	왕/NNP
부총장	부총장/NNG
쪽은	쪽/NNB+은/JX
“16일	“/SS+16/SN+일/NNB
출석하겠다”고	출석/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


