# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.413
metadata : {}


# id : NWRW1800000030.413.1.1
[서울] 마분지 승차권에서… RF시스템 교통카드까지

[서울]	[/SS+서울/NNP+]/SS
발행됐다.	발행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.413.7.3
8t 트럭 1560대에 해당하는 무게이며 나중에 대부분 폐지로 처리됐다.

8t	8/SN+t/SW
트럭	트럭/NNG
1560대에	1560/SN+대/NNB+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
무게이며	무게/NNG+이/VCP+며/EC
나중에	나중/NNG+에/JKB
대부분	대/XPN+부분/NNG
폐지로	폐지/NNG+로/JKB
처리됐다.	처리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.413.8.1
교통카드는 승·하차 정보를 기록하면서 범죄 추적에 단서가 되는 반면 무단 개인 정보 수집이란 의혹에 시달리기도 했다.

교통카드는	교통/NNG+카드/NNG+는/JX
승·하차	승·하차/NNG
정보를	정보/NNG+를/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
범죄	범죄/NNG
추적에	추적/NNG+에/JKB
단서가	단서/NNG+가/JKC
되는	되/VV+는/ETM
반면	반면/NNG
무단	무단/NNG
개인	개인/NNG
정보	정보/NNG
수집이란	수집/NNG+이/VCP+란/ETM
의혹에	의혹/NNG+에/JKB
시달리기도	시달리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.413.8.2
운임 결제뿐 아니라 편의점이나 자판기에서도 쓸 수 있게 용도도 다양해지고 있다.

운임	운임/NNG
결제뿐	결제/NNG+뿐/JX
아니라	아니/VCN+라/EC
편의점이나	편의점/NNG+이나/JC
자판기에서도	자판기/NNG+에서/JKB+도/JX
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
용도도	용도/NNG+도/JX
다양해지고	다양/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.413.9.1
국가 행사를 기념하기 위해 낸 특별승차권은 에드몬슨 승차권과 함께 수집가들에게 인기다.

국가	국가/NNG
행사를	행사/NNG+를/JKO
기념하기	기념/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
낸	내/VX+ㄴ/ETM
특별승차권은	특별/NNG+승차/NNG+권/XSN+은/JX
에드몬슨	에드몬슨/NNP
승차권과	승차/NNG+권/XSN+과/JKB
함께	함께/MAG
수집가들에게	수집가/NNG+들/XSN+에게/JKB
인기다.	인기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.413.9.2
서울메트로 최초 기념승차권은 1974년 8월 15일 개통 당시 발행했으며, 1988년 올림픽과 2002년 월드컵, 또는 새 노선을 개통할 때 주로 등장했다.

서울메트로	서울메트로/NNP
최초	최초/NNG
기념승차권은	기념/NNG+승차/NNG+권/XSN+은/JX
1974년	1974/SN+년/NNB
8월	8/SN+월/NNB
15일	15/SN+일/NNB
개통	개통/NNG
당시	당시/NNG
발행했으며,	발행/NNG+하/XSV+았/EP+으며/EC+,/SP
1988년	1988/SN+년/NNB
올림픽과	올림픽/NNG+과/JC
2002년	2002/SN+년/NNB
월드컵,	월드컵/NNG+,/SP
또는	또는/MAG
새	새/MMA
노선을	노선/NNG+을/JKO
개통할	개통/NNG+하/XSV+ㄹ/ETM
때	때/NNG
주로	주로/MAG
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


