# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.121
metadata : {}


# id : NWRW1800000048.121.1.1
“한국인·마도로스 긍지 살려 국제 해운산업 발전 이끌터”

“한국인·마도로스	“/SS+한국인/NNG+·/SP+마도로스/NNG
선출됐다.	선출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.121.5.2
5차 투표까지 가는 접전이었다.

5차	5/SN+차/NNB
투표까지	투표/NNG+까지/JX
가는	가/VV+는/ETM
접전이었다.	접전/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.121.6.1
임 당선자는 국제기구의 수장으로서 한국의 이익과 전세계의 이익을 고루 고려하겠다는 포부를 밝혔다.

임	임/NNP
당선자는	당선자/NNG+는/JX
국제기구의	국제기구/NNG+의/JKG
수장으로서	수장/NNG+으로서/JKB
한국의	한국/NNP+의/JKG
이익과	이익/NNG+과/JC
전세계의	전/MMN+세계/NNG+의/JKG
이익을	이익/NNG+을/JKO
고루	고루/MAG
고려하겠다는	고려/NNG+하/XSV+겠/EP+다는/ETM
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.121.6.2
그는 “지금 대한민국은 조선기술 역량에서 1위, 해운은 선대 규모가 세계 5위”라며 “해사기구 자체나 한국이나 상호 윈윈할 수 있는 좋은 사례라고 본다.

그는	그/NP+는/JX
“지금	“/SS+지금/MAG
대한민국은	대한민국/NNP+은/JX
조선기술	조선/NNG+기술/NNG
역량에서	역량/NNG+에서/JKB
1위,	1/SN+위/NNB+,/SP
해운은	해운/NNG+은/JX
선대	선대/NNG
규모가	규모/NNG+가/JKS
세계	세계/NNG
5위”라며	5/SN+위/NNB+”/SS+이/VCP+라며/EC
“해사기구	“/SS+해사/NNG+기구/NNG
자체나	자체/NNG+나/JC
한국이나	한국/NNP+이나/JC
상호	상호/NNG
윈윈할	윈윈/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
좋은	좋/VA+은/ETM
사례라고	사례/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.121.6.3
한국은 해운과 조선에 관한 기술과 노하우가 축적돼 있기 때문에 이것을 잘 표준화시켜서 이 내용을 해사기구를 통해 국제사회로 갖고 갈 수 있다”고 말했다.

한국은	한국/NNP+은/JX
해운과	해운/NNG+과/JC
조선에	조선/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기술과	기술/NNG+과/JC
노하우가	노하우/NNG+가/JKS
축적돼	축적/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
이것을	이것/NP+을/JKO
잘	잘/MAG
표준화시켜서	표준/NNG+화/XSN+시키/XSV+어서/EC
이	이/MMD
내용을	내용/NNG+을/JKO
해사기구를	해사/NNG+기구/NNG+를/JKO
통해	통하/VV+아/EC
국제사회로	국제/NNG+사회/NNG+로/JKB
갖고	갖/VV+고/EC
갈	가/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.121.7.1
임 당선자는 또다른 회원국인 북한 방문 의사를 묻자, “북한이 해사기구 활동을 열심히 하려고 노력하고 있다”며 “그런 차원에서 필요하다면 북한과 해사협력에 관해 좀 더 챙겨봐야겠지만, 해운 이외 정치적 상황들이 고려될 수 있기 때문에 전체적인 이해 속에서 진행하겠다”고 말했다.

임	임/NNP
당선자는	당선자/NNG+는/JX
또다른	또/MAG+다른/MMD
회원국인	회원국/NNG+이/VCP+ㄴ/ETM
북한	북한/NNP
방문	방문/NNG
의사를	의사/NNG+를/JKO
묻자,	묻/VV+자/EC+,/SP
“북한이	“/SS+북한/NNP+이/JKS
해사기구	해사/NNG+기구/NNG
활동을	활동/NNG+을/JKO
열심히	열심히/MAG
하려고	하/VV+려고/EC
노력하고	노력/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“그런	“/SS+그런/MMD
차원에서	차원/NNG+에서/JKB
필요하다면	필요/NNG+하/XSA+다면/EC
북한과	북한/NNP+과/JKB
해사협력에	해사/NNG+협력/NNG+에/JKB
관해	관하/VV+아/EC
좀	좀/MAG
더	더/MAG
챙겨봐야겠지만,	챙기/VV+어/EC+보/VX+아야/EC+하/VX+겠/EP+지만/EC+,/SP
해운	해운/NNG
이외	이외/NNG
정치적	정치/NNG+적/XSN
상황들이	상황/NNG+들/XSN+이/JKS
고려될	고려/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
이해	이해/NNG
속에서	속/NNG+에서/JKB
진행하겠다”고	진행/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.121.8.1
그는 또 “선진국과 개도국의 격차를 줄여 화합하도록 해사기구를 이끌겠다”며 “개도국이나 중진국에는 복잡하고 어려운 아이엠오 협약의 체계를 단순화하고 하나의 가이드북을 만들어서 회원국들에 제공할 계획”이라고 밝혔다.

그는	그/NP+는/JX
또	또/MAG
“선진국과	“/SS+선진국/NNG+과/JC
개도국의	개도국/NNG+의/JKG
격차를	격차/NNG+를/JKO
줄여	줄이/VV+어/EC
화합하도록	화합/NNG+하/XSV+도록/EC
해사기구를	해사/NNG+기구/NNG+를/JKO
이끌겠다”며	이끌/VV+겠/EP+다/EF+”/SS+며/EC
“개도국이나	“/SS+개도국/NNG+이나/JC
중진국에는	중진국/NNG+에/JKB+는/JX
복잡하고	복잡하/VA+고/EC
어려운	어렵/VA+ㄴ/ETM
아이엠오	아이엠오/NNG
협약의	협약/NNG+의/JKG
체계를	체계/NNG+를/JKO
단순화하고	단순/NNG+화/XSN+하/XSV+고/EC
하나의	하나/NR+의/JKG
가이드북을	가이드북/NNG+을/JKO
만들어서	만들/VV+어서/EC
회원국들에	회원국/NNG+들/XSN+에/JKB
제공할	제공/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


