# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.170
metadata : {}


# id : NWRW1800000038.170.1.1
공중보건의, 마약류 훔쳐 투약… 환각상태 진료 의혹

공중보건의,	공중/NNG+보건의/NNG+,/SP
약품들은	약품/NNG+들/XSN+은/JX
펜타닐·모르핀황산염수화물·염산페치딘	펜타닐/NNG+·/SP+모르핀/NNG+황산염/NNG+수화물/NNG+·/SP+염산/NNG+페치딘/NNG
등으로	등/NNB+으로/JKB
마취	마취/NNG
보조나	보조/NNG+나/JC
급성	급성/NNG
통증	통증/NNG
완화에	완화/NNG+에/JKB
처방되고	처방/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.170.5.1
이씨는 이 약품들을 지난달 31일부터 이달 5일까지 자신이 근무하는 안산의 진료실에서 투약했다고 경찰은 밝혔다.

이씨는	이/NNP+씨/NNB+는/JX
이	이/MMD
약품들을	약품/NNG+들/XSN+을/JKO
지난달	지난달/NNG
31일부터	31/SN+일/NNB+부터/JX
이달	이달/NNG
5일까지	5/SN+일/NNB+까지/JX
자신이	자신/NNG+이/JKS
근무하는	근무/NNG+하/XSV+는/ETM
안산의	안산/NNP+의/JKG
진료실에서	진료실/NNG+에서/JKB
투약했다고	투약/NNG+하/XSV+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.170.5.2
이씨는 약품을 투약한 이후 환자 46명을 진료하기도 했다.

이씨는	이/NNP+씨/NNB+는/JX
약품을	약품/NNG+을/JKO
투약한	투약/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
환자	환자/NNG
46명을	46/SN+명/NNB+을/JKO
진료하기도	진료/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.170.5.3
이 약품들은 마약성 진통제로 중독성이 강해 진통이 필요없는 일반인이 투약받으면 환각 증세를 보일 수도 있다.

이	이/MMD
약품들은	약품/NNG+들/XSN+은/JX
마약성	마약/NNG+성/XSN
진통제로	진통제/NNG+로/JKB
중독성이	중독/NNG+성/XSN+이/JKS
강해	강하/VA+아/EC
진통이	진통/NNG+이/JKS
필요없는	필요/NNG+없/VA+는/ETM
일반인이	일반인/NNG+이/JKS
투약받으면	투약/NNG+받/XSV+으면/EC
환각	환각/NNG
증세를	증세/NNG+를/JKO
보일	보이/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.170.6.1
그러나 이씨는 경찰에서 "손목 등을 다쳐 통증이 있었기 때문에 진통제로 투약했다"고 주장했다.

그러나	그러나/MAJ
이씨는	이/NNP+씨/NNB+는/JX
경찰에서	경찰/NNG+에서/JKB
"손목	"/SS+손목/NNG
등을	등/NNB+을/JKO
다쳐	다치/VV+어/EC
통증이	통증/NNG+이/JKS
있었기	있/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
진통제로	진통제/NNG+로/JKB
투약했다"고	투약/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.170.6.2
경찰은 이씨가 마약류 이외에도 불면증 등을 이유로 작년 1월부터 최근까지 향정신성 의약품 449정을 스스로 처방했던 사실도 확인했다고 밝혔다.

경찰은	경찰/NNG+은/JX
이씨가	이/NNP+씨/NNB+가/JKS
마약류	마약/NNG+류/XSN
이외에도	이외/NNG+에/JKB+도/JX
불면증	불면증/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
작년	작년/NNG
1월부터	1/SN+월/NNB+부터/JX
최근까지	최근/NNG+까지/JX
향정신성	향정신/NNG+성/XSN
의약품	의약품/NNG
449정을	449/SN+정/NNB+을/JKO
스스로	스스로/MAG
처방했던	처방/NNG+하/XSV+았/EP+던/ETM
사실도	사실/NNG+도/JX
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.170.7.1
이씨는 작년 5월 인천의 한 병원에서 아르바이트하면서 마약류를 훔쳐 투약했다가 적발돼 벌금 1000만원을 선고받은 적이 있다.

이씨는	이/NNP+씨/NNB+는/JX
작년	작년/NNG
5월	5/SN+월/NNB
인천의	인천/NNP+의/JKG
한	한/MMN
병원에서	병원/NNG+에서/JKB
아르바이트하면서	아르바이트/NNG+하/XSV+면서/EC
마약류를	마약/NNG+류/XSN+를/JKO
훔쳐	훔치/VV+어/EC
투약했다가	투약/NNG+하/XSV+았/EP+다가/EC
적발돼	적발/NNG+되/XSV+어/EC
벌금	벌금/NNG
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.170.7.2
그러나 금고 이상 형을 선고받아야 공중보건의 자격을 박탈하고 일반 사병으로 입대한다는 조항 때문에 일선 보건소에서 계속 근무해왔던 것으로 조사됐다.

그러나	그러나/MAJ
금고	금고/NNG
이상	이상/NNG
형을	형/NNG+을/JKO
선고받아야	선고/NNG+받/XSV+아야/EC
공중보건의	공중/NNG+보건의/NNG
자격을	자격/NNG+을/JKO
박탈하고	박탈/NNG+하/XSV+고/EC
일반	일반/NNG
사병으로	사병/NNG+으로/JKB
입대한다는	입대/NNG+하/XSV+ㄴ다는/ETM
조항	조항/NNG
때문에	때문/NNB+에/JKB
일선	일선/NNG
보건소에서	보건소/NNG+에서/JKB
계속	계속/MAG
근무해왔던	근무/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


