# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.4
metadata : {}


# id : NWRW1800000054.4.1.1
날씨보다… 에어컨 시장이 먼저 달아올랐다

날씨보다…	날씨/NNG+보다/JKB+…/SE
유통업체인	유통업체/NNG+이/VCP+ㄴ/ETM
롯데하이마트는	롯데하이마트/NNP+는/JX
4일	4/SN+일/NNB
"이달	"/SS+이달/NNG
1~3일	1/SN+~/SO+3/SN+일/NNB
전국	전국/NNG
매장의	매장/NNG+의/JKG
에어컨	에어컨/NNG
판매량이	판매량/NNG+이/JKS
4월	4/SN+월/NNB
말	말/NNB
주말	주말/NNG
3일과	3/SN+일/NNB+과/JKB
비교해	비교/NNG+하/XSV+아/EC
두	두/MMN
배로	배/NNG+로/JKB
급증했다"고	급증/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.4.4.2
수요가 늘면서 삼성전자·LG전자·캐리어에어컨·대유위니아 등 국내 에어컨 업체들도 서둘러 극성수기 체제에 들어갔다.

수요가	수요/NNG+가/JKS
늘면서	늘/VV+면서/EC
삼성전자·LG전자·캐리어에어컨·대유위니아	삼성전자/NNP+·/SP+LG전자/NNP+·/SP+캐리어에어컨/NNP+·/SP+대유위니아/NNP
등	등/NNB
국내	국내/NNG
에어컨	에어컨/NNG
업체들도	업체/NNG+들/XSN+도/JX
서둘러	서두르/VV+어/EC
극성수기	극성수기/NNG
체제에	체제/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.4.3
과거 더위가 본격적으로 시작된 6월 이후에야 에어컨 성수기에 대비했던 것을 감안하면 한 달 이상 빨라진 일정이다.

과거	과거/NNG
더위가	더위/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
6월	6/SN+월/NNB
이후에야	이후/NNG+에/JKB+야/JX
에어컨	에어컨/NNG
성수기에	성수기/NNG+에/JKB
대비했던	대비/NNG+하/XSV+았/EP+던/ETM
것을	것/NNB+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
한	한/MMN
달	달/NNG
이상	이상/NNG
빨라진	빠르/VA+아/EC+지/VX+ㄴ/ETM
일정이다.	일정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.5.1
◇제품군 확대 등 속도 내는 업계

◇제품군	◇/SW+제품군/NNG
확대	확대/NNG
등	등/NNB
속도	속도/NNG
내는	내/VV+는/ETM
업계	업계/NNG


# id : NWRW1800000054.4.6.1
올 초부터 가파르게 성장해온 에어컨 시장이 5월 초 더위를 만나며 폭발하는 모습이다.

올	올/NNG
초부터	초/NNB+부터/JX
가파르게	가파르/VA+게/EC
성장해온	성장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
에어컨	에어컨/NNG
시장이	시장/NNG+이/JKS
5월	5/SN+월/NNB
초	초/NNB
더위를	더위/NNG+를/JKO
만나며	만나/VV+며/EC
폭발하는	폭발/NNG+하/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.6.2
LG전자 창원공장은 5월 1~9일 황금연휴에도 쉬지 않고 돌아가고 있다.

LG전자	LG전자/NNP
창원공장은	창원공장/NNP+은/JX
5월	5/SN+월/NNB
1~9일	1/SN+~/SO+9/SN+일/NNB
황금연휴에도	황금연휴/NNG+에/JKB+도/JX
쉬지	쉬/VV+지/EC
않고	않/VX+고/EC
돌아가고	돌아가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.4.6.3
LG전자 관계자는 "밀려드는 주문량을 소화하려면 라인을 세울 수가 없다"며 "작년보다 한 달 이상 이른 3월 중순부터 100% 가동하고 있지만 역부족"이라고 말했다.

LG전자	LG전자/NNP
관계자는	관계자/NNG+는/JX
"밀려드는	"/SS+밀려들/VV+는/ETM
주문량을	주문량/NNG+을/JKO
소화하려면	소화/NNG+하/XSV+려면/EC
라인을	라인/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"작년보다	"/SS+작년/NNG+보다/JKB
한	한/MMN
달	달/NNG
이상	이상/NNG
이른	이르/VA+ㄴ/ETM
3월	3/SN+월/NNB
중순부터	중순/NNG+부터/JX
100%	100/SN+%/SW
가동하고	가동/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
역부족"이라고	역부족/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.6.4
에어컨 시즌의 이른 개막을 예상하고 가동률을 높였지만, 예상을 뛰어넘은 것이다.

에어컨	에어컨/NNG
시즌의	시즌/NNG+의/JKG
이른	이르/VA+ㄴ/ETM
개막을	개막/NNG+을/JKO
예상하고	예상/NNG+하/XSV+고/EC
가동률을	가동/NNG+률/XSN+을/JKO
높였지만,	높이/VV+었/EP+지만/EC+,/SP
예상을	예상/NNG+을/JKO
뛰어넘은	뛰어넘/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.6.5
삼성전자도 4월부터 시작한 주야 교대 근무를 연휴에도 이어가며 하루 24시간, 주 7일 라인을 돌리고 있다.

삼성전자도	삼성전자/NNP+도/JX
4월부터	4/SN+월/NNB+부터/JX
시작한	시작/NNG+하/XSV+ㄴ/ETM
주야	주야/NNG
교대	교대/NNG
근무를	근무/NNG+를/JKO
연휴에도	연휴/NNG+에/JKB+도/JX
이어가며	잇/VV+어/EC+가/VX+며/EC
하루	하루/NNG
24시간,	24/SN+시간/NNB+,/SP
주	주/NNG
7일	7/SN+일/NNB
라인을	라인/NNG+을/JKO
돌리고	돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.4.7.1
롯데하이마트는 이달 들어 에어컨 설치팀을 지난해 7월과 같은 규모인 1400팀으로 확대했다.

롯데하이마트는	롯데하이마트/NNP+는/JX
이달	이달/NNG
들어	들/VV+어/EC
에어컨	에어컨/NNG
설치팀을	설치/NNG+팀/NNG+을/JKO
지난해	지난해/NNG
7월과	7/SN+월/NNB+과/JKB
같은	같/VA+은/ETM
규모인	규모/NNG+이/VCP+ㄴ/ETM
1400팀으로	1400/SN+팀/NNG+으로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.7.2
롯데하이마트 월드타워점 이기연 지점장은 "이달 들어 매장 방문객이 2배 이상 늘었다"면서 "전국적으로 5월 판매 물량을 작년의 두 배인 1000억원 수준으로 준비했다"고 말했다.

롯데하이마트	롯데하이마트/NNP
월드타워점	월드타워점/NNG
이기연	이기연/NNP
지점장은	지점장/NNG+은/JX
"이달	"/SS+이달/NNG
들어	들/VV+어/EC
매장	매장/NNG
방문객이	방문객/NNG+이/JKS
2배	2/SN+배/NNG
이상	이상/NNG
늘었다"면서	늘/VV+었/EP+다/EF+"/SS+면서/EC
"전국적으로	"/SS+전국/NNG+적/XSN+으로/JKB
5월	5/SN+월/NNB
판매	판매/NNG
물량을	물량/NNG+을/JKO
작년의	작년/NNG+의/JKG
두	두/MMN
배인	배/NNG+이/VCP+ㄴ/ETM
1000억원	1000/SN+억/NR+원/NNB
수준으로	수준/NNG+으로/JKB
준비했다"고	준비/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.7.3
삼성전자도 배송·설치 인력을 5월부터 작년보다 30% 확대했으며, LG전자도 최근 들어 대리점인 베스트샵 소속 기사 규모를 작년 성수기 수준으로 늘렸다.

삼성전자도	삼성전자/NNP+도/JX
배송·설치	배송/NNG+·/SP+설치/NNG
인력을	인력/NNG+을/JKO
5월부터	5/SN+월/NNB+부터/JX
작년보다	작년/NNG+보다/JKB
30%	30/SN+%/SW
확대했으며,	확대/NNG+하/XSV+았/EP+으며/EC+,/SP
LG전자도	LG전자/NNP+도/JX
최근	최근/NNG
들어	들/VV+어/EC
대리점인	대리점/NNG+이/VCP+ㄴ/ETM
베스트샵	베스트샵/NNP
소속	소속/NNG
기사	기사/NNG
규모를	규모/NNG+를/JKO
작년	작년/NNG
성수기	성수기/NNG
수준으로	수준/NNG+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.4.8.1
에어컨 업체들은 5월로 당겨진 여름 시장을 겨냥해 제품군을 대거 확대하며 마케팅에 총력을 쏟고 있다.

에어컨	에어컨/NNG
업체들은	업체/NNG+들/XSN+은/JX
5월로	5/SN+월/NNB+로/JKB
당겨진	당기/VV+어/EC+지/VX+ㄴ/ETM
여름	여름/NNG
시장을	시장/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
제품군을	제품군/NNG+을/JKO
대거	대거/MAG
확대하며	확대/NNG+하/XSV+며/EC
마케팅에	마케팅/NNG+에/JKB
총력을	총력/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.4.8.2
삼성전자는 4월 말 주력 제품인 무풍 에어컨 제품군을 12개에서 24개로 확대했다.

삼성전자는	삼성전자/NNP+는/JX
4월	4/SN+월/NNB
말	말/NNB
주력	주력/NNG
제품인	제품/NNG+이/VCP+ㄴ/ETM
무풍	무풍/NNP
에어컨	에어컨/NNG
제품군을	제품군/NNG+을/JKO
12개에서	12/SN+개/NNB+에서/JKB
24개로	24/SN+개/NNB+로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.8.3
올 들어 4월까지 지난해 같은 기간의 5배가 팔릴 정도로 인기가 높자 벽걸이형을 추가하고 색상과 가격대를 다양화해 선택의 폭을 넓힌 것이다.

올	올/NNG
들어	들/VV+어/EC
4월까지	4/SN+월/NNB+까지/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간의	기간/NNG+의/JKG
5배가	5/SN+배/NNG+가/JKS
팔릴	팔리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
인기가	인기/NNG+가/JKS
높자	높/VA+자/EC
벽걸이형을	벽걸이/NNG+형/XSN+을/JKO
추가하고	추가/NNG+하/XSV+고/EC
색상과	색상/NNG+과/JC
가격대를	가격대/NNG+를/JKO
다양화해	다양/NNG+화/XSN+하/XSV+아/EC
선택의	선택/NNG+의/JKG
폭을	폭/NNG+을/JKO
넓힌	넓히/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.8.4
LG전자는 인공지능(AI) 에어컨 등 신제품 29종을 내세워 시장을 공략하고 있다.

LG전자는	LG전자/NNP+는/JX
인공지능(AI)	인공/NNG+지능/NNG+(/SS+AI/SL+)/SS
에어컨	에어컨/NNG
등	등/NNB
신제품	신/XPN+제품/NNG
29종을	29/SN+종/NNG+을/JKO
내세워	내세우/VV+어/EC
시장을	시장/NNG+을/JKO
공략하고	공략/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.4.8.5
센서로 사람의 위치와 수를 파악해 냉방 공간과 모드 등을 스스로 결정하는 기능을 갖춘 제품이다.

센서로	센서/NNG+로/JKB
사람의	사람/NNG+의/JKG
위치와	위치/NNG+와/JC
수를	수/NNG+를/JKO
파악해	파악/NNG+하/XSV+아/EC
냉방	냉방/NNG
공간과	공간/NNG+과/JC
모드	모드/NNG
등을	등/NNB+을/JKO
스스로	스스로/MAG
결정하는	결정/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.8.6
캐리어에어컨은 목표 온도와 바람 세기를 설정하지 않아도 온도, 습도 등을 계산해 18단계 바람을 제어하는 에어컨을 내놨으며, 대유위니아는 바람 온도 조절 기능을 갖춘 신제품을 새로 출시했다.

캐리어에어컨은	캐리어에어컨/NNP+은/JX
목표	목표/NNG
온도와	온도/NNG+와/JC
바람	바람/NNG
세기를	세기/NNG+를/JKO
설정하지	설정/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
온도,	온도/NNG+,/SP
습도	습도/NNG
등을	등/NNB+을/JKO
계산해	계산/NNG+하/XSV+아/EC
18단계	18/SN+단계/NNG
바람을	바람/NNG+을/JKO
제어하는	제어/NNG+하/XSV+는/ETM
에어컨을	에어컨/NNG+을/JKO
내놨으며,	내놓/VV+았/EP+으며/EC+,/SP
대유위니아는	대유위니아/NNP+는/JX
온도	온도/NNG
조절	조절/NNG
기능을	기능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
신제품을	신/XPN+제품/NNG+을/JKO
새로	새로/MAG
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.8.7
업체들은 소셜미디어 등을 통한 이벤트, 할인행사와 같은 판촉 활동도 4월 말부터 돌입하며 분위기를 띄우고 있다.

업체들은	업체/NNG+들/XSN+은/JX
소셜미디어	소셜/NNG+미디어/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
이벤트,	이벤트/NNG+,/SP
할인행사와	할인/NNG+행사/NNG+와/JKB
같은	같/VA+은/ETM
판촉	판촉/NNG
활동도	활동/NNG+도/JX
4월	4/SN+월/NNB
말부터	말/NNB+부터/JX
돌입하며	돌입/NNG+하/XSV+며/EC
분위기를	분위기/NNG+를/JKO
띄우고	띄우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.4.9.1
◇작년 무더위 학습효과

◇작년	◇/SW+작년/NNG
무더위	무더위/NNG
학습효과	학습/NNG+효과/NNG


# id : NWRW1800000054.4.10.1
올해 에어컨 시장이 벌써부터 달아오르는 것은 날씨가 가장 큰 요인이다.

올해	올해/NNG
에어컨	에어컨/NNG
시장이	시장/NNG+이/JKS
벌써부터	벌써/MAG+부터/JX
달아오르는	달아오르/VV+는/ETM
것은	것/NNB+은/JX
날씨가	날씨/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.10.2
이달 들어 이어지는 수십 년 만의 고온 현상과 작년 여름 폭염 학습효과가 수요를 자극했다는 것이다.

이달	이달/NNG
들어	들/VV+어/EC
이어지는	이어지/VV+는/ETM
수십	수십/NR
년	년/NNB
만의	만/NNB+의/JKG
고온	고온/NNG
현상과	현상/NNG+과/JC
작년	작년/NNG
여름	여름/NNG
폭염	폭염/NNG
학습효과가	학습/NNG+효과/NNG+가/JKS
수요를	수요/NNG+를/JKO
자극했다는	자극/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.10.3
서강우 롯데하이마트 가전팀장은 "작년에는 초여름부터 주문이 밀린 탓에 주문했다가도 설치까지 기다리지 못하고 구매를 포기한 경우가 꽤 많았다"면서 "봄부터 지난해 구매 시기를 놓쳤던 대기 수요가 몰린 것도 에어컨 시즌이 빨리 찾아온 이유 중 하나"라고 말했다.

서강우	서강우/NNP
롯데하이마트	롯데하이마트/NNP
가전팀장은	가전/NNG+팀장/NNG+은/JX
"작년에는	"/SS+작년/NNG+에/JKB+는/JX
초여름부터	초여름/NNG+부터/JX
주문이	주문/NNG+이/JKS
밀린	밀리/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
주문했다가도	주문/NNG+하/XSV+았/EP+다가/EC+도/JX
설치까지	설치/NNG+까지/JX
기다리지	기다리/VV+지/EC
못하고	못하/VX+고/EC
구매를	구매/NNG+를/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
꽤	꽤/MAG
많았다"면서	많/VA+았/EP+다/EF+"/SS+면서/EC
"봄부터	"/SS+봄/NNG+부터/JX
지난해	지난해/NNG
구매	구매/NNG
시기를	시기/NNG+를/JKO
놓쳤던	놓치/VV+었/EP+던/ETM
대기	대기/NNG
수요가	수요/NNG+가/JKS
몰린	몰리/VV+ㄴ/ETM
것도	것/NNB+도/JX
에어컨	에어컨/NNG
시즌이	시즌/NNG+이/JKS
빨리	빨리/MAG
찾아온	찾아오/VV+ㄴ/ETM
이유	이유/NNG
중	중/NNB
하나"라고	하나/NR+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.10.4
업계에선 올해 에어컨 판매량이 사상 최대였던 지난해(220만대)와 비슷할 것이란 전망이 나온다.

업계에선	업계/NNG+에서/JKB+ㄴ/JX
올해	올해/NNG
에어컨	에어컨/NNG
판매량이	판매량/NNG+이/JKS
사상	사상/NNG
최대였던	최대/NNG+이/VCP+었/EP+던/ETM
지난해(220만대)와	지난해/NNG+(/SS+220/SN+만/NR+대/NNB+)/SS+와/JKB
비슷할	비슷하/VA+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.4.11.1
업체마다 에어컨에 공기 청정과 같은 사계절 기능을 잇달아 넣는 것도 소비자들이 에어컨을 미리 사려는 이유로 꼽힌다.

업체마다	업체/NNG+마다/JX
에어컨에	에어컨/NNG+에/JKB
공기	공기/NNG
청정과	청정/NNG+과/JKB
같은	같/VA+은/ETM
사계절	사계절/NNG
기능을	기능/NNG+을/JKO
잇달아	잇달/VV+아/EC
넣는	넣/VV+는/ETM
것도	것/NNB+도/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
에어컨을	에어컨/NNG+을/JKO
미리	미리/MAG
사려는	사/VV+려는/ETM
이유로	이유/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.4.11.2
LG전자 관계자는 "올해부터는 스탠드형뿐만 아니라 벽걸이형도 공기 청정 면적과 냉방 면적이 같은 제품을 출시하기 시작했다"며 "황사와 미세먼지가 심해지면서 이왕이면 에어컨을 미리 사서 공기 청정기로도 쓰려는 수요가 많아졌다"고 말했다.

LG전자	LG전자/NNP
관계자는	관계자/NNG+는/JX
"올해부터는	"/SS+올해/NNG+부터/JX+는/JX
스탠드형뿐만	스탠드/NNG+형/XSN+뿐/JX+만/JX
아니라	아니/VCN+라/EC
벽걸이형도	벽걸이/NNG+형/XSN+도/JX
공기	공기/NNG
청정	청정/NNG
면적과	면적/NNG+과/JC
냉방	냉방/NNG
면적이	면적/NNG+이/JKS
같은	같/VA+은/ETM
제품을	제품/NNG+을/JKO
출시하기	출시/NNG+하/XSV+기/ETN
시작했다"며	시작/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"황사와	"/SS+황사/NNG+와/JC
미세먼지가	미세/NNG+먼지/NNG+가/JKS
심해지면서	심하/VA+아/EC+지/VX+면서/EC
이왕이면	이왕이면/MAG
에어컨을	에어컨/NNG+을/JKO
미리	미리/MAG
사서	사/VV+아서/EC
청정기로도	청정기/NNG+로/JKB+도/JX
쓰려는	쓰/VV+려는/ETM
수요가	수요/NNG+가/JKS
많아졌다"고	많아지/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


