# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.380
metadata : {}


# id : NWRW1800000022.380.1.1
녹색산업·中企에 5년간 4조 투입 수출 기반 조성;최경환 지경부 장관

녹색산업·中企에	녹색/NNG+산업/NNG+·/SP+中企/SH+에/JKB
지원하겠다는	지원/NNG+하/XSV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.380.7.1
지경부는 수출실적이 없는 중소기업도 신용장에 근거해 무담보로 원자재 구매자금을 지원받을 수 있도록 수출금융 시스템을 바꿀 방침이다.

지경부는	지경부/NNG+는/JX
수출실적이	수출/NNG+실적/NNG+이/JKS
없는	없/VA+는/ETM
중소기업도	중소기업/NNG+도/JX
신용장에	신용장/NNG+에/JKB
근거해	근거/NNG+하/XSV+아/EC
무담보로	무/XPN+담보/NNG+로/JKB
원자재	원자재/NNG
구매자금을	구매/NNG+자금/NNG+을/JKO
지원받을	지원/NNG+받/XSV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
수출금융	수출/NNG+금융/NNG
시스템을	시스템/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


