# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.250
metadata : {}


# id : NWRW1800000028.250.1.1
“결혼 허락해달라” 애인 집서 인질극

“결혼	“/SS+결혼/NNG
박아무개(25)씨가	박/NNP+아무개/NP+(/SS+25/SN+)/SS+씨/NNB+가/JKS
여자친구인	여자/NNG+친구/NNG+이/VCP+ㄴ/ETM
김아무개(26)씨의	김/NNP+아무개/NP+(/SS+26/SN+)/SS+씨/NNB+의/JKG
중랑구	중랑구/NNP
ㅎ아파트	ㅎ/NNG+아파트/NNG
집에	집/NNG+에/JKB
흉기를	흉기/NNG+를/JKO
들고	들/VV+고/EC
들어가	들어가/VV+아/EC
김씨와의	김/NNP+씨/NNB+와/JKB+의/JKG
결혼을	결혼/NNG+을/JKO
허락해	허락/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
인질극을	인질극/NNG+을/JKO
벌였다고	벌이/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.250.3.2
이 과정에서 박씨는 저항하는 김씨의 어머니 송아무개(49)씨에게 미리 준비해 온 흉기를 휘둘러 숨지게 한 것으로 전해졌다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
박씨는	박/NNP+씨/NNB+는/JX
저항하는	저항/NNG+하/XSV+는/ETM
김씨의	김/NNP+씨/NNB+의/JKG
어머니	어머니/NNG
송아무개(49)씨에게	송/NNP+아무개/NP+(/SS+49/SN+)/SS+씨/NNB+에게/JKB
미리	미리/MAG
준비해	준비/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
흉기를	흉기/NNG+를/JKO
휘둘러	휘두르/VV+어/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.250.3.3
박씨와 김씨는 300일 정도 만남을 이어왔으나 김씨 부모의 반대가 심해 최근에는 거의 만나지 못했다고 지인들이 전했다.

박씨와	박/NNP+씨/NNB+와/JC
김씨는	김/NNP+씨/NNB+는/JX
300일	300/SN+일/NNB
정도	정도/NNG
만남을	만남/NNG+을/JKO
이어왔으나	잇/VV+어/EC+오/VX+았/EP+으나/EC
김씨	김/NNP+씨/NNB
부모의	부모/NNG+의/JKG
반대가	반대/NNG+가/JKS
심해	심하/VA+아/EC
최근에는	최근/NNG+에/JKB+는/JX
거의	거의/MAG
만나지	만나/VV+지/EC
못했다고	못하/VX+았/EP+다고/EC
지인들이	지인/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.250.4.1
경찰은 “옆집에서 비명소리가 들린다”는 이웃들의 신고를 받고 오후 4시20분께 현장에 도착했지만 박씨가 경찰의 접근을 완강하게 거부해 밤늦게까지 대치가 이어졌다.

경찰은	경찰/NNG+은/JX
“옆집에서	“/SS+옆집/NNG+에서/JKB
비명소리가	비명/NNG+소리/NNG+가/JKS
들린다”는	들리/VV+ㄴ다/EF+”/SS+는/ETM
이웃들의	이웃/NNG+들/XSN+의/JKG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
오후	오후/NNG
4시20분께	4/SN+시/NNB+20/SN+분/NNB+께/XSN
현장에	현장/NNG+에/JKB
도착했지만	도착/NNG+하/XSV+았/EP+지만/EC
박씨가	박/NNP+씨/NNB+가/JKS
경찰의	경찰/NNG+의/JKG
접근을	접근/NNG+을/JKO
완강하게	완강하/VA+게/EC
거부해	거부/NNG+하/XSV+아/EC
밤늦게까지	밤늦/VA+게/EC+까지/JX
대치가	대치/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.250.4.2
이날 밤 현장을 찾은 송씨의 지인들은 “평소에도 박씨가 집에 찾아와 교제를 허락해 줄 것을 요구하며 여러 차례 난동을 벌인 것으로 안다”고 전했다.

이날	이날/NNG
밤	밤/NNG
현장을	현장/NNG+을/JKO
찾은	찾/VV+은/ETM
송씨의	송/NNP+씨/NNB+의/JKG
지인들은	지인/NNG+들/XSN+은/JX
“평소에도	“/SS+평소/NNG+에/JKB+도/JX
박씨가	박/NNP+씨/NNB+가/JKS
집에	집/NNG+에/JKB
찾아와	찾아오/VV+아/EC
교제를	교제/NNG+를/JKO
허락해	허락/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
여러	여러/MMN
차례	차례/NNG
난동을	난동/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.250.5.1
경찰 관계자는 “박씨가 전화를 통해 ‘어머니가 이미 숨졌다’고 전해 송씨는 이미 숨진 것으로 보인다”며 “물리력을 동원해 진입을 시도하면 더 큰 희생이 생길 수 있어 조속히 인질을 풀어 주도록 박씨를 설득하고 있다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“박씨가	“/SS+박/NNP+씨/NNB+가/JKS
전화를	전화/NNG+를/JKO
통해	통하/VV+아/EC
‘어머니가	‘/SS+어머니/NNG+가/JKS
이미	이미/MAG
숨졌다’고	숨지/VV+었/EP+다/EF+’/SS+고/JKQ
전해	전하/VV+아/EC
송씨는	송/NNP+씨/NNB+는/JX
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“물리력을	“/SS+물리력/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
진입을	진입/NNG+을/JKO
시도하면	시도/NNG+하/XSV+면/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
희생이	희생/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
조속히	조속히/MAG
인질을	인질/NNG+을/JKO
풀어	풀/VV+어/EC
주도록	주/VX+도록/EC
박씨를	박/NNP+씨/NNB+를/JKO
설득하고	설득/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


