# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.247
metadata : {}


# id : NWRW1800000028.247.1.1
‘휴가지 논란’ 오바마, 이번엔 멕시코만으로

‘휴가지	‘/SS+휴가지/NNG
오바마 대통령 가족이 다음달 멕시코만으로 주말휴가를 다녀오더라도, 휴가지 논란이 완전히 가실지는 아직 미지수다.

오바마	오바마/NNP
대통령	대통령/NNG
가족이	가족/NNG+이/JKS
다음달	다음/NNG+달/NNG
멕시코만으로	멕시코만/NNP+으로/JKB
주말휴가를	주말/NNG+휴가/NNG+를/JKO
다녀오더라도,	다녀오/VV+더라도/EC+,/SP
휴가지	휴가지/NNG
논란이	논란/NNG+이/JKS
완전히	완전히/MAG
가실지는	가시/VV+ㄹ지/EF+는/JX
아직	아직/MAG
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.247.5.2
오바마 대통령은 멕시코만 주말휴가 뒤, 지난해 ‘귀족적’이라는 논란을 빚었던 매사추세츠주 마서스비니어드 섬에서 다음달 19일부터 9박10일의 정식 여름휴가를 보낼 예정이기 때문이다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
멕시코만	멕시코만/NNP
주말휴가	주말/NNG+휴가/NNG
뒤,	뒤/NNG+,/SP
지난해	지난해/NNG
‘귀족적’이라는	‘/SS+귀족/NNG+적/XSN+’/SS+이/VCP+라는/ETM
논란을	논란/NNG+을/JKO
빚었던	빚/VV+었/EP+던/ETM
매사추세츠주	매사추세츠주/NNP
마서스비니어드	마서스비니어드/NNP
섬에서	섬/NNG+에서/JKB
다음달	다음/NNG+달/NNG
19일부터	19/SN+일/NNB+부터/JX
9박10일의	9/SN+박/NNB+10/SN+일/NNB+의/JKG
정식	정식/NNG
여름휴가를	여름휴가/NNG+를/JKO
보낼	보내/VV+ㄹ/ETM
예정이기	예정/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.247.5.3
백악관은 이날 브리핑에서 멕시코만 가족휴가 일정을 공개하면서도, 마서스비니어드 여름휴가에 대해서는 아무런 언급도 하지 않았다.

백악관은	백악관/NNP+은/JX
이날	이날/NNG
브리핑에서	브리핑/NNG+에서/JKB
멕시코만	멕시코만/NNP
가족휴가	가족/NNG+휴가/NNG
일정을	일정/NNG+을/JKO
공개하면서도,	공개/NNG+하/XSV+면서/EC+도/JX+,/SP
마서스비니어드	마서스비니어드/NNP
여름휴가에	여름휴가/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
아무런	아무런/MMD
언급도	언급/NNG+도/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


