# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.219
metadata : {}


# id : NWRW1800000025.219.1.1
1기 조광래호, 젊은 피 6명 첫 승선

1기	1/SN+기/NNG
윤빛가람(경남)의	윤빛가람/NNP+(/SS+경남/NNP+)/SS+의/JKG
발탁에	발탁/NNG+에/JKB
대해	대하/VV+아/EC
“새로운	“/SS+새롭/VA+ㄴ/ETM
출발에는	출발/NNG+에/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.219.4.2
가깝게는 2011년 아시안컵과, 멀게는 2014년 브라질 월드컵을 대비해 젊고 가능성 있는 선수를 뽑았다”고 설명했다.

가깝게는	가깝/VA+게/EC+는/JX
2011년	2011/SN+년/NNB
아시안컵과,	아시안/NNP+컵/NNG+과/JC+,/SP
멀게는	멀/VA+게/EC+는/JX
2014년	2014/SN+년/NNB
브라질	브라질/NNP
월드컵을	월드컵/NNG+을/JKO
대비해	대비/NNG+하/XSV+아/EC
젊고	젊/VA+고/EC
가능성	가능/NNG+성/XSN
있는	있/VA+는/ETM
선수를	선수/NNG+를/JKO
뽑았다”고	뽑/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.219.4.3
남아공 월드컵에 출전했던 K리그 대표 골잡이인 이동국의 제외 이유에 대해 조 감독은 “내가 생각하는 축구를 운영하려면 좀 더 많이 움직이고 스피드를 가진 공격수가 필요하다.

남아공	남아공/NNP
월드컵에	월드컵/NNG+에/JKB
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
K리그	K/SL+리그/NNG
대표	대표/NNG
골잡이인	골잡이/NNG+이/VCP+ㄴ/ETM
이동국의	이동국/NNP+의/JKG
제외	제외/NNG
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
조	조/NNP
감독은	감독/NNG+은/JX
“내가	“/SS+내/NP+가/JKS
생각하는	생각/NNG+하/XSV+는/ETM
축구를	축구/NNG+를/JKO
운영하려면	운영/NNG+하/XSV+려면/EC
좀	좀/MAG
더	더/MAG
많이	많이/MAG
움직이고	움직이/VV+고/EC
스피드를	스피드/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
공격수가	공격수/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.219.4.4
이동국은 내가 추구하는 축구와 거리가 있어 이번에 빠졌다”고 밝혔다.

이동국은	이동국/NNP+은/JX
내가	내/NP+가/JKS
추구하는	추구/NNG+하/XSV+는/ETM
축구와	축구/NNG+와/JKB
거리가	거리/NNG+가/JKS
있어	있/VA+어/EC
이번에	이번/NNG+에/JKB
빠졌다”고	빠지/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.219.4.5
이청용(볼턴)은 훈련 부족으로 다음 A매치 때 가세할 예정이다.

이청용(볼턴)은	이청용/NNP+(/SS+볼턴/NNP+)/SS+은/JX
훈련	훈련/NNG
부족으로	부족/NNG+으로/JKB
다음	다음/NNG
A매치	A/SL+매치/NNG
때	때/NNG
가세할	가세/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.219.4.6
대표팀은 9일 파주 대표팀트레이닝센터에 모여 훈련을 시작한다.

대표팀은	대표/NNG+팀/NNG+은/JX
9일	9/SN+일/NNB
파주	파주/NNP
대표팀트레이닝센터에	대표/NNG+팀/NNG+트레이닝/NNG+센터/NNG+에/JKB
모여	모이/VV+어/EC
훈련을	훈련/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.219.5.1
◇축구대표팀(25명) ▽GK=이운재(수원) 김영광(울산) 정성룡(성남) ▽DF=조용형(제주) 곽태휘(교토) 이정수(알 사드) 김영권(FC 도쿄) 홍정호(제주) 황재원(수원) 이영표(알 힐랄) 최효진(서울) 김민우(사간 도스) 박주호(이와타) ▽MF=기성용(셀틱) 백지훈(수원) 김재성(포항) 김보경(오이타) 박지성(맨체스터 유나이티드) 윤빛가람(경남) 조영철(니가타) ▽FW=이근호(감바 오사카) 이승렬(서울) 박주영(모나코) 염기훈(수원) 지동원(전남)

◇축구대표팀(25명)	◇/SW+축구/NNG+대표/NNG+팀/NNG+(/SS+25/SN+명/NNB+)/SS
▽GK=이운재(수원)	▽/SW+GK/SL+=/SW+이운재/NNP+(/SS+수원/NNP+)/SS
김영광(울산)	김영광/NNP+(/SS+울산/NNP+)/SS
정성룡(성남)	정성룡/NNP+(/SS+성남/NNP+)/SS
▽DF=조용형(제주)	▽/SW+DF/SL+=/SW+조용형/NNP+(/SS+제주/NNP+)/SS
곽태휘(교토)	곽태휘/NNP+(/SS+교토/NNP+)/SS
이정수(알	이정수/NNP+(/SS+알/NNP
사드)	사드/NNP+)/SS
김영권(FC	김영권/NNP+(/SS+FC/SL
도쿄)	도쿄/NNP+)/SS
홍정호(제주)	홍정호/NNP+(/SS+제주/NNP+)/SS
황재원(수원)	황재원/NNP+(/SS+수원/NNP+)/SS
이영표(알	이영표/NNP+(/SS+알/NNP
힐랄)	힐랄/NNP+)/SS
최효진(서울)	최효진/NNP+(/SS+서울/NNP+)/SS
김민우(사간	김민우/NNP+(/SS+사간/NNP
도스)	도스/NNP+)/SS
박주호(이와타)	박주호/NNP+(/SS+이와타/NNP+)/SS
▽MF=기성용(셀틱)	▽/SW+MF/SL+=/SW+기성용/NNP+(/SS+셀틱/NNP+)/SS
백지훈(수원)	백지훈/NNP+(/SS+수원/NNP+)/SS
김재성(포항)	김재성/NNP+(/SS+포항/NNP+)/SS
김보경(오이타)	김보경/NNP+(/SS+오이타/NNP+)/SS
박지성(맨체스터	박지성/NNP+(/SS+맨체스터/NNP
유나이티드)	유나이티드/NNP+)/SS
윤빛가람(경남)	윤빛가람/NNP+(/SS+경남/NNP+)/SS
조영철(니가타)	조영철/NNP+(/SS+니가타/NNP+)/SS
▽FW=이근호(감바	▽/SW+FW/SL+=/SW+이근호/NNP+(/SS+감바/NNP
오사카)	오사카/NNP+)/SS
이승렬(서울)	이승렬/NNP+(/SS+서울/NNP+)/SS
박주영(모나코)	박주영/NNP+(/SS+모나코/NNP+)/SS
염기훈(수원)	염기훈/NNP+(/SS+수원/NNP+)/SS
지동원(전남)	지동원/NNP+(/SS+전남/NNP+)/SS


