# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.306
metadata : {}


# id : NWRW1800000056.306.1.1
[유레카] 로봇과 노동자 / 구본권

[유레카]	[/SS+유레카/NNG+]/SS
최근엔 인천공항이 공공데이터를 개방해 포털에서 인천공항을 검색하면 출국장 카운터별 대기인원과 혼잡도를 한눈에 볼 수 있다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
인천공항이	인천공항/NNP+이/JKS
공공데이터를	공공/NNG+데이터/NNG+를/JKO
개방해	개방/NNG+하/XSV+아/EC
포털에서	포털/NNG+에서/JKB
인천공항을	인천공항/NNP+을/JKO
검색하면	검색/NNG+하/XSV+면/EC
출국장	출국장/NNG
카운터별	카운터/NNG+별/XSN
대기인원과	대기/NNG+인원/NNG+과/JC
혼잡도를	혼잡도/NNG+를/JKO
한눈에	한눈/NNG+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.306.4.1
국제공항은 나라의 첫인상을 좌우하는 관문인데, 인천공항공사는 한국의 비정규직 실태를 보여주는 창이기도 하다.

국제공항은	국제공항/NNG+은/JX
나라의	나라/NNG+의/JKG
첫인상을	첫인상/NNG+을/JKO
좌우하는	좌우/NNG+하/XSV+는/ETM
관문인데,	관문/NNG+이/VCP+ㄴ데/EC+,/SP
인천공항공사는	인천공항공사/NNP+는/JX
한국의	한국/NNP+의/JKG
비정규직	비/XPN+정규직/NNG
실태를	실태/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
창이기도	창/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000056.306.4.2
전 직원의 84.2%인 6831명이 용역업체 소속 비정규직으로, 정규직 1284명의 5.3배다.

전	전/MMN
직원의	직원/NNG+의/JKG
84.2%인	84/SN+./SP+2/SN+%/SW+이/VCP+ㄴ/ETM
6831명이	6831/SN+명/NNB+이/JKS
용역업체	용역업체/NNG
소속	소속/NNG
비정규직으로,	비/XPN+정규직/NNG+으로/JKB+,/SP
정규직	정규직/NNG
1284명의	1284/SN+명/NNB+의/JKG
5.3배다.	5/SN+./SP+3/SN+배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.306.4.3
문재인 대통령이 첫 공식 외부일정으로 인천공항을 방문해 공공기관 비정규직 문제 해결을 강조한 것을 계기로, 전기가 마련됐다.

문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
첫	첫/MMN
공식	공식/NNG
외부일정으로	외부/NNG+일정/NNG+으로/JKB
인천공항을	인천공항/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
공공기관	공공/NNG+기관/NNG
비정규직	비/XPN+정규직/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
계기로,	계기/NNG+로/JKB+,/SP
전기가	전기/NNG+가/JKS
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.306.5.1
인공지능 로봇과 자동화 기술을 막거나 외면할 수 없다.

인공지능	인공/NNG+지능/NNG
로봇과	로봇/NNG+과/JC
자동화	자동/NNG+화/XSN
기술을	기술/NNG+을/JKO
막거나	막/VV+거나/EC
외면할	외면/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.306.5.2
오히려 서비스 개선을 위해 적극적으로 개발하고 채택할 필요가 있다.

오히려	오히려/MAG
서비스	서비스/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
개발하고	개발/NNG+하/XSV+고/EC
채택할	채택/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.306.5.3
기계는 사람이 설계하는 대로 작동한다.

기계는	기계/NNG+는/JX
사람이	사람/NNG+이/JKS
설계하는	설계/NNG+하/XSV+는/ETM
대로	대로/NNB
작동한다.	작동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.306.5.4
사람 직무 자체를 대체하도록 로봇을 설계할 수도 있지만, 노동자가 로봇을 활용해 더 효율적으로 일하게 만들 수도 있다.

사람	사람/NNG
직무	직무/NNG
자체를	자체/NNG+를/JKO
대체하도록	대체/NNG+하/XSV+도록/EC
로봇을	로봇/NNG+을/JKO
설계할	설계/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
노동자가	노동자/NNG+가/JKS
활용해	활용/NNG+하/XSV+아/EC
더	더/MAG
효율적으로	효율/NNG+적/XSN+으로/JKB
일하게	일/NNG+하/XSV+게/EC
만들	만들/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.306.5.5
로봇과 인공지능 시대에 진짜 걱정해야 할 것은, 자동화로 일자리가 사라질까봐 불안하고 두려워 새로운 기술을 활용한 도전에 나서지 못하게 만드는 퇴행적 사회 분위기다.

로봇과	로봇/NNG+과/JC
인공지능	인공/NNG+지능/NNG
시대에	시대/NNG+에/JKB
진짜	진짜/MAG
걱정해야	걱정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것은,	것/NNB+은/JX+,/SP
자동화로	자동/NNG+화/XSN+로/JKB
일자리가	일자리/NNG+가/JKS
사라질까봐	사라지/VV+ㄹ까/EF+보/VX+아/EC
불안하고	불안/NNG+하/XSA+고/EC
두려워	두렵/VA+어/EC
새로운	새롭/VA+ㄴ/ETM
기술을	기술/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
도전에	도전/NNG+에/JKB
나서지	나서/VV+지/EC
못하게	못하/VX+게/EC
만드는	만들/VV+는/ETM
퇴행적	퇴행/NNG+적/XSN
사회	사회/NNG
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.306.5.6
인력파견업체 하청을 통한 비정규직 양산의 고리를 끊어야 사회가 두려움 없이 신기술을 모색하고 활용할 수 있다.

인력파견업체	인력/NNG+파견/NNG+업체/NNG
하청을	하청/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
비정규직	비/XPN+정규직/NNG
양산의	양산/NNG+의/JKG
고리를	고리/NNG+를/JKO
끊어야	끊/VV+어야/EC
사회가	사회/NNG+가/JKS
두려움	두려움/NNG
없이	없이/MAG
신기술을	신/XPN+기술/NNG+을/JKO
모색하고	모색/NNG+하/XSV+고/EC
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


