# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.337
metadata : {}


# id : NWRW1800000052.337.1.1
‘일부 비박, 친박·진박에 밀린다’…여론조사 유출 파문

‘일부	‘/SS+일부/NNG
‘진박’(진실한	‘/SS+진박/NNG+’/SS+(/SS+진실/NNG+하/XSA+ㄴ/ETM
친박)	친/XPN+박/NNP+)/SS
후보에게	후보/NNG+에게/JKB
밀리거나,	밀리/VV+거나/EC+,/SP
격차가	격차/NNG+가/JKS
좁혀진	좁히/VV+어/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.337.9.2
예컨대 대구의 관심지인 ㄱ지역구의 경우, 최근의 언론사 여론조사들에서는 비박계 ㄴ후보가 ‘진박’ ㄷ후보에게 20~25%포인트 앞서는 것으로 나타났으나, 이 조사에는 격차가 약 10%포인트로 좁혀진 것으로 적혀 있다.

예컨대	예컨대/MAG
대구의	대구/NNP+의/JKG
관심지인	관심지/NNG+이/VCP+ㄴ/ETM
ㄱ지역구의	ㄱ/NNG+지역구/NNG+의/JKG
경우,	경우/NNG+,/SP
최근의	최근/NNG+의/JKG
언론사	언론사/NNG
여론조사들에서는	여론/NNG+조사/NNG+들/XSN+에서/JKB+는/JX
비박계	비/XPN+박/NNP+계/XSN
ㄴ후보가	ㄴ/NNG+후보/NNG+가/JKS
‘진박’	‘/SS+진박/NNG+’/SS
ㄷ후보에게	ㄷ/NNG+후보/NNG+에게/JKB
20~25%포인트	20/SN+~/SO+25/SN+%/SW+포인트/NNG
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났으나,	나타나/VV+았/EP+으나/EC+,/SP
이	이/MMD
조사에는	조사/NNG+에/JKB+는/JX
격차가	격차/NNG+가/JKS
약	약/MMA
10%포인트로	10/SN+%/SW+포인트/NNG+로/JKB
좁혀진	좁히/VV+어/EC+지/VX+ㄴ/ETM
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.337.10.1
대구의 한 비박계 현역 출마자는 “엄중한 시기에 누가, 어떤 의도로 이런 문건을 유출했는지 밝혀내야 한다”며 “문건 유출만으로도 공관위원장과 해당 위원 등이 책임지고 사퇴해야 한다”고 주장했다.

대구의	대구/NNP+의/JKG
한	한/MMN
비박계	비/XPN+박/NNP+계/XSN
현역	현역/NNG
출마자는	출마자/NNG+는/JX
“엄중한	“/SS+엄중/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
누가,	누구/NP+가/JKS+,/SP
어떤	어떤/MMD
의도로	의도/NNG+로/JKB
이런	이런/MMD
문건을	문건/NNG+을/JKO
유출했는지	유출/NNG+하/XSV+았/EP+는지/EF
밝혀내야	밝혀내/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“문건	“/SS+문건/NNG
유출만으로도	유출/NNG+만/JX+으로/JKB+도/JX
공관위원장과	공관위원장/NNG+과/JC
해당	해당/NNG
위원	위원/NNG
등이	등/NNB+이/JKS
책임지고	책임지/VV+고/EC
사퇴해야	사퇴/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.10.2
수도권의 한 비박계 후보 쪽도 “특정 세력의 공작 정치”라고 반발했다.

수도권의	수도/NNG+권/XSN+의/JKG
한	한/MMN
비박계	비/XPN+박/NNP+계/XSN
후보	후보/NNG
쪽도	쪽/NNB+도/JX
“특정	“/SS+특정/NNG
세력의	세력/NNG+의/JKG
공작	공작/NNG
정치”라고	정치/NNG+”/SS+라고/JKQ
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.11.1
이한구 공관위원장은 이날 저녁 기자들이 여론조사 유출 사태에 대해 묻자 “여론조사는 (당 부설) 여의도연구원에서 한 것으로, 공관위와 관계없는 일”이라며 “당 사무처에서 사무총장이 알아서 할 것”이라고 말했다.

이한구	이한구/NNP
공관위원장은	공관위원장/NNG+은/JX
이날	이날/NNG
저녁	저녁/NNG
기자들이	기자/NNG+들/XSN+이/JKS
여론조사	여론/NNG+조사/NNG
유출	유출/NNG
사태에	사태/NNG+에/JKB
대해	대하/VV+아/EC
묻자	묻/VV+자/EC
“여론조사는	“/SS+여론/NNG+조사/NNG+는/JX
(당	(/SS+당/NNG
부설)	부설/NNG+)/SS
여의도연구원에서	여의도연구원/NNP+에서/JKB
한	하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
공관위와	공관위/NNG+와/JKB
관계없는	관계없/VA+는/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“당	“/SS+당/NNG
사무처에서	사무처/NNG+에서/JKB
사무총장이	사무총장/NNG+이/JKS
알아서	알/VV+아서/EC
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.11.2
공관위 여론조사소위 위원장인 박종희 제2사무부총장도 “별것 아니다.

공관위	공관위/NNG
여론조사소위	여론/NNG+조사/NNG+소위/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
박종희	박종희/NNP
제2사무부총장도	제/XPN+2/SN+사무/NNG+부총장/NNG+도/JX
“별것	“/SS+별것/NNG
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.337.11.3
노코멘트하겠다”고 답변을 피했다.

노코멘트하겠다”고	노코멘트/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
답변을	답변/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.11.4
황진하 사무총장도 “문건을 못 봐서 뭐라고 말할 수 없다.

황진하	황진하/NNP
사무총장도	사무총장/NNG+도/JX
“문건을	“/SS+문건/NNG+을/JKO
못	못/MAG
봐서	보/VV+아서/EC
뭐라고	뭐/NP+이/VCP+라고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.337.11.5
(당 차원의 대응 여부도) 모른다”고 말했다.

(당	(/SS+당/NNG
차원의	차원/NNG+의/JKG
대응	대응/NNG
여부도)	여부/NNG+도/JX+)/SS
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.12.1
최근 ‘살생부’ 파동 때 공관위와 친박계에 자세를 낮췄던 김무성 대표는 이 사태를 보고받고 “문제가 있다면 공관위에서 처리해야 할 일”이라고 말했다고 한 측근이 전했다.

최근	최근/NNG
‘살생부’	‘/SS+살생부/NNG+’/SS
파동	파동/NNG
때	때/NNG
공관위와	공관위/NNG+와/JC
친박계에	친/XPN+박/NNP+계/XSN+에/JKB
자세를	자세/NNG+를/JKO
낮췄던	낮추/VV+었/EP+던/ETM
김무성	김무성/NNP
대표는	대표/NNG+는/JX
이	이/MMD
사태를	사태/NNG+를/JKO
보고받고	보고/NNG+받/XSV+고/EC
“문제가	“/SS+문제/NNG+가/JKS
있다면	있/VA+다면/EC
공관위에서	공관위/NNG+에서/JKB
처리해야	처리/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한	한/MMN
측근이	측근/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.12.2
경선을 앞둔 민감한 시기에 당내 친박계와 비박계의 계파 갈등으로 다시 비화할지 주목된다.

경선을	경선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
당내	당내/NNG
친박계와	친/XPN+박/NNP+계/XSN+와/JC
비박계의	비/XPN+박/NNP+계/XSN+의/JKG
계파	계파/NNG
갈등으로	갈등/NNG+으로/JKB
다시	다시/MAG
비화할지	비화/NNG+하/XSV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.337.13.1
중앙선거관리위원회는 이날 밤 “해당 문건에 대한 사실관계 여부를 파악해 위반 혐의 발견 시 검찰에 수사의뢰할 예정”이라고 밝혔다.

중앙선거관리위원회는	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+는/JX
이날	이날/NNG
밤	밤/NNG
“해당	“/SS+해당/NNG
문건에	문건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사실관계	사실/NNG+관계/NNG
여부를	여부/NNG+를/JKO
파악해	파악/NNG+하/XSV+아/EC
위반	위반/NNG
혐의	혐의/NNG
발견	발견/NNG
시	시/NNB
검찰에	검찰/NNG+에/JKB
수사의뢰할	수사/NNG+의뢰/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


