# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.341
metadata : {}


# id : NWRW1800000041.341.1.1
무개차 등장에 “비바, 파파” 연호… 교황 8번 멈춰 축복

무개차	무개차/NNG
# id : NWRW1800000041.341.4.3
교황은 이날 경기장에 들어서면서 아이를 포함해 신자들에게 축복을 주기 위해 8번이나 멈춰섰다.

교황은	교황/NNG+은/JX
이날	이날/NNG
경기장에	경기장/NNG+에/JKB
들어서면서	들어서/VV+면서/EC
아이를	아이/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
신자들에게	신자/NNG+들/XSN+에게/JKB
축복을	축복/NNG+을/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
8번이나	8/SN+번/NNB+이나/JX
멈춰섰다.	멈추/VV+어/EC+서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.341.5.1
교황이 10시 35분부터 15분가량 경기장 1층 제의실에서 세월호 희생자 유가족을 만나는 동안 행사장엔 침묵이 흘렀다.

교황이	교황/NNG+이/JKS
10시	10/SN+시/NNB
35분부터	35/SN+분/NNB+부터/JX
15분가량	15/SN+분/NNB+가량/XSN
경기장	경기장/NNG
1층	1/SN+층/NNG
제의실에서	제의실/NNG+에서/JKB
세월호	세월호/NNP
희생자	희생자/NNG
유가족을	유가족/NNG+을/JKO
만나는	만나/VV+는/ETM
동안	동안/NNG
행사장엔	행사장/NNG+에/JKB+ㄴ/JX
침묵이	침묵/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.341.5.2
신도들은 교황이 잠시 휴식을 취하는 줄 알았다가 뒤늦게 세월호 관계자를 만났다는 소식을 전해 들은 뒤 “역시 힘들어하는 사람들에 대한 관심과 배려가 많은 분”이라며 고개를 숙였다.

신도들은	신도/NNG+들/XSN+은/JX
교황이	교황/NNG+이/JKS
잠시	잠시/MAG
휴식을	휴식/NNG+을/JKO
취하는	취하/VV+는/ETM
줄	줄/NNB
알았다가	알/VV+았/EP+다가/EC
뒤늦게	뒤늦/VA+게/EC
세월호	세월호/NNP
관계자를	관계자/NNG+를/JKO
만났다는	만나/VV+았/EP+다는/ETM
소식을	소식/NNG+을/JKO
전해	전하/VV+아/EC
들은	듣/VV+은/ETM
뒤	뒤/NNG
“역시	“/SS+역시/MAG
힘들어하는	힘들/VA+어/EC+하/VX+는/ETM
사람들에	사람/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JC
배려가	배려/NNG+가/JKS
많은	많/VA+은/ETM
분”이라며	분/NNB+”/SS+이/VCP+라며/EC
고개를	고개/NNG+를/JKO
숙였다.	숙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.341.6.1
10시 50분경 성가 ‘서로 사랑하십시오’가 울려 퍼지는 가운데 미사가 시작됐다.

10시	10/SN+시/NNB
50분경	50/SN+분/NNB+경/XSN
성가	성가/NNG
‘서로	‘/SS+서로/MAG
사랑하십시오’가	사랑/NNG+하/XSV+시/EP+ㅂ시오/EF+’/SS+가/JKS
울려	울리/VV+어/EC
퍼지는	퍼지/VV+는/ETM
가운데	가운데/NNG
미사가	미사/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.341.6.2
교황은 이탈리아어로 한 강론에서 “가난하고 궁핍한 이들과 힘없는 이들에게 깊은 관심을 기울여야 한다”고 말했다.

교황은	교황/NNG+은/JX
이탈리아어로	이탈리아어/NNP+로/JKB
한	한/MMN
강론에서	강론/NNG+에서/JKB
“가난하고	“/SS+가난/NNG+하/XSA+고/EC
궁핍한	궁핍/NNG+하/XSA+ㄴ/ETM
이들과	이/NNB+들/XSN+과/JC
힘없는	힘없/VA+는/ETM
이들에게	이/NNB+들/XSN+에게/JKB
깊은	깊/VA+은/ETM
관심을	관심/NNG+을/JKO
기울여야	기울이/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.7.1
성모승천대축일은 천주의 성모마리아 대축일(1월 1일), 예수 부활 대축일(매년 날짜가 바뀜), 예수성탄대축일(12월 25일)과 함께 가톨릭교회의 4대 의무 축일이다.

성모승천대축일은	성모/NNG+승천/NNG+대/XPN+축일/NNG+은/JX
천주의	천주/NNG+의/JKG
성모마리아	성모/NNG+마리아/NNP
대축일(1월	대/XPN+축일/NNG+(/SS+1/SN+월/NNB
1일),	1/SN+일/NNB+)/SS+,/SP
예수	예수/NNP
부활	부활/NNG
대축일(매년	대/XPN+축일/NNG+(/SS+매년/MAG
날짜가	날짜/NNG+가/JKS
바뀜),	바뀌/VV+ㅁ/ETN+)/SS+,/SP
예수성탄대축일(12월	예수/NNP+성탄/NNG+대/XPN+축일/NNG+(/SS+12/SN+월/NNB
25일)과	25/SN+일/NNB+)/SS+과/JKB
함께	함께/MAG
가톨릭교회의	가톨릭교회/NNG+의/JKG
4대	4/SN+대/NNG
의무	의무/NNG
축일이다.	축일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.341.8.1
교황의 이날 강론은 성모 승천의 의미와 그리스도인의 자유, 젊은 세대를 위한 희망의 고리로 연결돼 있다.

교황의	교황/NNG+의/JKG
이날	이날/NNG
강론은	강론/NNG+은/JX
성모	성모/NNG
승천의	승천/NNG+의/JKG
의미와	의미/NNG+와/JC
그리스도인의	그리스도인/NNG+의/JKG
자유,	자유/NNG+,/SP
젊은	젊/VA+은/ETM
세대를	세대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
희망의	희망/NNG+의/JKG
고리로	고리/NNG+로/JKB
연결돼	연결/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.341.8.2
교황은 “은총이 가득하신 성모 마리아에게서, 우리는 그리스도인의 자유가 단순히 죄에서 벗어나는 일보다는 더 크다는 것을 배우게 된다”고 했다.

교황은	교황/NNG+은/JX
“은총이	“/SS+은총/NNG+이/JKS
가득하신	가득/MAG+하/XSA+시/EP+ㄴ/ETM
성모	성모/NNG
마리아에게서,	마리아/NNP+에게서/JKB+,/SP
우리는	우리/NP+는/JX
그리스도인의	그리스도인/NNG+의/JKG
자유가	자유/NNG+가/JKS
단순히	단순히/MAG
죄에서	죄/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
일보다는	일/NNG+보다/JKB+는/JX
더	더/MAG
크다는	크/VA+다는/ETM
것을	것/NNB+을/JKO
배우게	배우/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.8.3
그 자유의 의미는 사회의 모든 영역의 정신적 쇄신을 낳는 것이다.

그	그/MMD
자유의	자유/NNG+의/JKG
의미는	의미/NNG+는/JX
사회의	사회/NNG+의/JKG
모든	모든/MMN
영역의	영역/NNG+의/JKG
정신적	정신/NNG+적/XSN
쇄신을	쇄신/NNG+을/JKO
낳는	낳/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.341.8.4
교황은 “올바른 정신적 가치와 문화를 짓누르는 물질주의의 유혹에 맞서, 그리고 이기주의와 분열을 일으키는 무한 경쟁의 사조에 맞서 싸우기를 빈다”고 했다.

교황은	교황/NNG+은/JX
“올바른	“/SS+올바르/VA+ㄴ/ETM
정신적	정신/NNG+적/XSN
가치와	가치/NNG+와/JC
문화를	문화/NNG+를/JKO
짓누르는	짓누르/VV+는/ETM
물질주의의	물질주의/NNG+의/JKG
유혹에	유혹/NNG+에/JKB
맞서,	맞서/VV+어/EC+,/SP
그리고	그리고/MAJ
이기주의와	이기주의/NNG+와/JC
분열을	분열/NNG+을/JKO
일으키는	일으키/VV+는/ETM
무한	무한/NNG
경쟁의	경쟁/NNG+의/JKG
사조에	사조/NNG+에/JKB
맞서	맞서/VV+어/EC
싸우기를	싸우/VV+기/ETN+를/JKO
빈다”고	빌/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.8.5
노동자들을 소외시키는 비인간적인 경제모델과 인간의 존엄성을 모독하는 죽음의 문화를 배척할 것도 강조했다.

노동자들을	노동자/NNG+들/XSN+을/JKO
소외시키는	소외/NNG+시키/XSV+는/ETM
비인간적인	비/XPN+인간/NNG+적/XSN+이/VCP+ㄴ/ETM
경제모델과	경제/NNG+모델/NNG+과/JC
인간의	인간/NNG+의/JKG
존엄성을	존엄/NNG+성/XSN+을/JKO
모독하는	모독/NNG+하/XSV+는/ETM
죽음의	죽음/NNG+의/JKG
문화를	문화/NNG+를/JKO
배척할	배척/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.8.6
기회가 있을 때마다 청년들을 위한 관심을 촉구해 온 교황은 절망에 빠진 젊은 세대를 도울 해법으로 복음이 제시하는 희망을 꼽았다.

기회가	기회/NNG+가/JKS
있을	있/VA+을/ETM
때마다	때/NNG+마다/JX
청년들을	청년/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
촉구해	촉구/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
교황은	교황/NNG+은/JX
절망에	절망/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
세대를	세대/NNG+를/JKO
도울	돕/VV+ㄹ/ETM
해법으로	해법/NNG+으로/JKB
복음이	복음/NNG+이/JKS
제시하는	제시/NNG+하/XSV+는/ETM
희망을	희망/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.8.7
그러면서 그는 “젊은이들이 외적으로 부유해도 내적으로 쓰라린 고통과 허무를 겪는 사회 속에서 성장해 절망을 겪고 있다”면서 “이런 젊은이들이 기쁨과 확신을 찾고, 결코 희망을 빼앗기지 않기를 바란다”고 했다.

그러면서	그러/VV+면서/EC
그는	그/NP+는/JX
“젊은이들이	“/SS+젊은이/NNG+들/XSN+이/JKS
외적으로	외/NNG+적/XSN+으로/JKB
부유해도	부유/NNG+하/XSA+아도/EC
내적으로	내/NNB+적/XSN+으로/JKB
쓰라린	쓰라리/VA+ㄴ/ETM
고통과	고통/NNG+과/JC
허무를	허무/NNG+를/JKO
겪는	겪/VV+는/ETM
사회	사회/NNG
속에서	속/NNG+에서/JKB
성장해	성장/NNG+하/XSV+아/EC
절망을	절망/NNG+을/JKO
겪고	겪/VV+고/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“이런	“/SS+이런/MMD
젊은이들이	젊은이/NNG+들/XSN+이/JKS
기쁨과	기쁨/NNG+과/JC
확신을	확신/NNG+을/JKO
찾고,	찾/VV+고/EC+,/SP
결코	결코/MAG
희망을	희망/NNG+을/JKO
빼앗기지	빼앗기/VV+지/EC
않기를	않/VX+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.9.1
프란치스코 교황은 미사를 마친 뒤 퇴장하다 휠체어를 탄 장애인을 보자 다가가 머리에 손을 얹고 강복한 뒤 행사장을 떠났다.

프란치스코	프란치스코/NNP
교황은	교황/NNG+은/JX
미사를	미사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
퇴장하다	퇴장/NNG+하/XSV+다/EC
휠체어를	휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
보자	보/VV+자/EC
다가가	다가가/VV+아/EC
머리에	머리/NNG+에/JKB
손을	손/NNG+을/JKO
얹고	얹/VV+고/EC
강복한	강복/NNG+하/XSV+ㄴ/ETM
행사장을	행사장/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.9.2
교황은 대전가톨릭대 구내식당에서 아시아 17개국 청년대표 20명과 오찬을 가졌다.

교황은	교황/NNG+은/JX
대전가톨릭대	대전가톨릭대/NNP
구내식당에서	구내식당/NNG+에서/JKB
아시아	아시아/NNP
17개국	17/SN+개국/NNB
청년대표	청년/NNG+대표/NNG
20명과	20/SN+명/NNB+과/JKB
오찬을	오찬/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


