# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.64
metadata : {}


# id : NWRW1800000053.64.1.1
“지방의회 사무처 직원 인사권 독립시켜야”

“지방의회	“/SS+지방/NNG+의회/NNG
# id : NWRW1800000053.64.5.1
―유급보좌관을 달라고 요구한다.

―유급보좌관을	―/SS+유급/NNG+보좌관/NNG+을/JKO
달라고	달/VV+라고/EC
요구한다.	요구/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.64.5.2
보는 시선이 곱지만은 않다.

보는	보/VV+는/ETM
시선이	시선/NNG+이/JKS
곱지만은	곱/VA+지만/EC+은/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.64.6.1
“서울이나 경기 지역이라도 우선적으로 시범 실시할 필요가 있다.

“서울이나	“/SS+서울/NNP+이나/JC
경기	경기/NNP
지역이라도	지역/NNG+이/VCP+라도/EC
우선적으로	우선/NNG+적/XSN+으로/JKB
시범	시범/NNG
실시할	실시/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.64.6.2
국회의원의 경우 국민 5000만 명을 위한 의정 활동을 위해 의원당 9명이 보좌한다.

국회의원의	국회/NNG+의원/NNG+의/JKG
경우	경우/NNG
국민	국민/NNG
5000만	5000/SN+만/NR
명을	명/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
의정	의정/NNG
활동을	활동/NNG+을/JKO
위해	위하/VV+아/EC
의원당	의원/NNG+당/XSN
9명이	9/SN+명/NNB+이/JKS
보좌한다.	보좌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.64.6.3
반면 서울, 경기 주민 2000만 명을 위해 일하는 지방의원은 한 명의 도움도 받지 못한다.

반면	반면/NNG
서울,	서울/NNP+,/SP
경기	경기/NNP
주민	주민/NNG
2000만	2000/SN+만/NR
명을	명/NNB+을/JKO
위해	위하/VV+아/EC
일하는	일/NNG+하/XSV+는/ETM
지방의원은	지방/NNG+의원/NNG+은/JX
한	한/MMN
명의	명/NNB+의/JKG
도움도	도움/NNG+도/JX
받지	받/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.64.6.4
서울시 예산이 40조 원인데 106명 서울시의원이 제대로 감시한다면 세금을 절감하는 효과가 더 크다.”

서울시	서울시/NNP
예산이	예산/NNG+이/JKS
40조	40/SN+조/NR
원인데	원/NNB+이/VCP+ㄴ데/EC
106명	106/SN+명/NNB
서울시의원이	서울시/NNP+의원/NNG+이/JKS
제대로	제대로/MAG
감시한다면	감시/NNG+하/XSV+ㄴ다면/EC
세금을	세금/NNG+을/JKO
절감하는	절감/NNG+하/XSV+는/ETM
효과가	효과/NNG+가/JKS
더	더/MAG
크다.”	크/VA+다/EF+./SF+”/SS


# id : NWRW1800000053.64.7.1
―자치입법권을 더 달라고 한다.

―자치입법권을	―/SS+자치/NNG+입법/NNG+권/XSN+을/JKO
더	더/MAG
달라고	달/VV+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.64.7.2
우리나라가 연방국가도 아니지 않나.

우리나라가	우리나라/NNG+가/JKS
연방국가도	연방/NNG+국가/NNG+도/JX
아니지	아니/VCN+지/EC
않나.	않/VX+나/EF+./SF


# id : NWRW1800000053.64.8.1
“서민의 고민을 실질적으로 풀어줄 수 있는 것은 지방의회다.

“서민의	“/SS+서민/NNG+의/JKG
고민을	고민/NNG+을/JKO
실질적으로	실질/NNG+적/XSN+으로/JKB
풀어줄	풀/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
지방의회다.	지방/NNG+의회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.64.8.2
도시가스 요금을 카드로도 낼 수 있게 하고, 공공체육시설의 대관료를 낮춘 것은 국회가 아니라 시의회다.”

도시가스	도시가스/NNG
요금을	요금/NNG+을/JKO
카드로도	카드/NNG+로/JKB+도/JX
낼	내/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하고,	하/VX+고/EC+,/SP
공공체육시설의	공공/NNG+체육/NNG+시설/NNG+의/JKG
대관료를	대관료/NNG+를/JKO
낮춘	낮추/VV+ㄴ/ETM
것은	것/NNB+은/JX
국회가	국회/NNG+가/JKC
아니라	아니/VCN+라/EC
시의회다.”	시/NNG+의회/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000053.64.9.1
―지방의회 사무처 직원의 인사권을 왜 독립시켜야 하나.

―지방의회	―/SS+지방/NNG+의회/NNG
사무처	사무처/NNG
직원의	직원/NNG+의/JKG
인사권을	인사/NNG+권/XSN+을/JKO
왜	왜/MAG
독립시켜야	독립/NNG+시키/XSV+어야/EC
하나.	하/VX+나/EF+./SF


# id : NWRW1800000053.64.10.1
“시의회에서 일하는 직원은 서울시장이 인사권을 갖는다.

“시의회에서	“/SS+시/NNG+의회/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
직원은	직원/NNG+은/JX
서울시장이	서울시장/NNG+이/JKS
인사권을	인사/NNG+권/XSN+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000053.64.10.2
서울시의회의 역할이 시를 견제하고 감시하는 것인데 이들은 순환근무 때문에 집행부로 돌아간다.

서울시의회의	서울시의회/NNP+의/JKG
역할이	역할/NNG+이/JKS
시를	시/NNG+를/JKO
견제하고	견제/NNG+하/XSV+고/EC
감시하는	감시/NNG+하/XSV+는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
이들은	이/NP+들/XSN+은/JX
순환근무	순환/NNG+근무/NNG
때문에	때문/NNB+에/JKB
집행부로	집행부/NNG+로/JKB
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.64.10.3
시의회가 독립적인 인사권을 가져야 진정한 견제와 균형이 이뤄질 수 있다.”

시의회가	시/NNG+의회/NNG+가/JKS
독립적인	독립/NNG+적/XSN+이/VCP+ㄴ/ETM
인사권을	인사/NNG+권/XSN+을/JKO
가져야	가지/VV+어야/EC
진정한	진정하/VA+ㄴ/ETM
견제와	견제/NNG+와/JC
균형이	균형/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
수	수/NNB
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000053.64.11.1
―지방의원 ‘개인기’보다 의회 시스템을 구축하려고 한다는데….

―지방의원	―/SS+지방/NNG+의원/NNG
‘개인기’보다	‘/SS+개인기/NNG+’/SS+보다/JKB
의회	의회/NNG
시스템을	시스템/NNG+을/JKO
구축하려고	구축/NNG+하/XSV+려고/EC
한다는데….	하/VX+ㄴ다는데/EC+…/SE+./SF


# id : NWRW1800000053.64.12.1
“서울시의회는 올해 초 시민권익담당관을 신설했다.

“서울시의회는	“/SS+서울시의회/NNP+는/JX
올해	올해/NNG
초	초/NNB
시민권익담당관을	시민/NNG+권익/NNG+담당관/NNG+을/JKO
신설했다.	신설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.12.2
의원들 개인에게 민원을 제기하지 않아도 시민들이 생활하면서 느끼는 불편을 호소할 수 있도록 하는 부서다.

의원들	의원/NNG+들/XSN
개인에게	개인/NNG+에게/JKB
민원을	민원/NNG+을/JKO
제기하지	제기/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
시민들이	시민/NNG+들/XSN+이/JKS
생활하면서	생활/NNG+하/XSV+면서/EC
느끼는	느끼/VV+는/ETM
불편을	불편/NNG+을/JKO
호소할	호소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
부서다.	부서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.64.12.3
지난해 여러 경로로 접수된 민원 446건도 데이터베이스화했다.

지난해	지난해/NNG
여러	여러/MMN
경로로	경로/NNG+로/JKB
접수된	접수/NNG+되/XSV+ㄴ/ETM
민원	민원/NNG
446건도	446/SN+건/NNB+도/JX
데이터베이스화했다.	데이터베이스/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.12.4
도시계획, 복지, 교육에 대한 시민들의 민원을 분석하고 이를 하나하나 해결해 나가는 첫 단추를 끼운 셈이다.”

도시계획,	도시/NNG+계획/NNG+,/SP
복지,	복지/NNG+,/SP
교육에	교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
민원을	민원/NNG+을/JKO
분석하고	분석/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
하나하나	하나하나/MAG
해결해	해결/NNG+하/XSV+아/EC
나가는	나가/VX+는/ETM
첫	첫/MMN
단추를	단추/NNG+를/JKO
끼운	끼우/VV+ㄴ/ETM
셈이다.”	셈/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000053.64.13.1
―지방의원 자질 문제는 여전히 거론된다.

―지방의원	―/SS+지방/NNG+의원/NNG
자질	자질/NNG
문제는	문제/NNG+는/JX
여전히	여전히/MAG
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.64.14.1
“결국 시민의 생활을 긍정적으로 바꿔 놓는 조례와 의정 활동을 통해 지방의회가 더욱 신뢰를 쌓아야 한다.

“결국	“/SS+결국/MAG
시민의	시민/NNG+의/JKG
생활을	생활/NNG+을/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
바꿔	바꾸/VV+어/EC
놓는	놓/VX+는/ETM
조례와	조례/NNG+와/JC
의정	의정/NNG
활동을	활동/NNG+을/JKO
통해	통하/VV+아/EC
지방의회가	지방/NNG+의회/NNG+가/JKS
더욱	더욱/MAG
신뢰를	신뢰/NNG+를/JKO
쌓아야	쌓/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.64.14.2
9대 후반기 서울시의회는 의원 스스로의 역량을 강화하기 위해 시의원과 공무원이 ‘의회 역량강화 태스크포스(TF)’를 구성해 실행하는 방안을 모색하고 있다.

9대	9/SN+대/NNB
후반기	후반기/NNG
서울시의회는	서울시의회/NNP+는/JX
의원	의원/NNG
스스로의	스스로/NNG+의/JKG
역량을	역량/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
시의원과	시/NNG+의원/NNG+과/JC
공무원이	공무원/NNG+이/JKS
‘의회	‘/SS+의회/NNG
역량강화	역량/NNG+강화/NNG
태스크포스(TF)’를	태스크포스/NNG+(/SS+TF/SL+)/SS+’/SS+를/JKO
구성해	구성/NNG+하/XSV+아/EC
실행하는	실행/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
모색하고	모색/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.64.14.3
의원 개인의 역량 강화를 위해 의원 교육연수 조례를 개정해 연차별로 연수를 시키고, 의원 연구단체 활성화를 위해 지원금을 늘릴 계획이다.”

의원	의원/NNG
개인의	개인/NNG+의/JKG
역량	역량/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
교육연수	교육/NNG+연수/NNG
조례를	조례/NNG+를/JKO
개정해	개정/NNG+하/XSV+아/EC
연차별로	연차/NNG+별/XSN+로/JKB
연수를	연수/NNG+를/JKO
시키고,	시키/VV+고/EC+,/SP
연구단체	연구/NNG+단체/NNG
활성화를	활성/NNG+화/XSN+를/JKO
지원금을	지원금/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
계획이다.”	계획/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000053.64.15.1
―지방분권에 대한 시민들의 관심도 높아졌다.

―지방분권에	―/SS+지방/NNG+분권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
관심도	관심/NNG+도/JX
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.64.16.1
“서울시의회는 지난해 11월 시의원, 외부 전문가, 공무원 등으로 ‘지방분권TF’를 구성했다.

“서울시의회는	“/SS+서울시의회/NNP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
시의원,	시/NNG+의원/NNG+,/SP
외부	외부/NNG
전문가,	전문가/NNG+,/SP
공무원	공무원/NNG
등으로	등/NNB+으로/JKB
‘지방분권TF’를	‘/SS+지방/NNG+분권/NNG+TF/SL+’/SS+를/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.16.2
전문 인력 확보, 의회 인사권 독립, 자치 조직권 강화, 자치 입법권 강화, 예산 편성 자율화 등 7대 과제를 선정해 대선 후보들에게 질의서를 전달했다.

전문	전문/NNG
인력	인력/NNG
확보,	확보/NNG+,/SP
의회	의회/NNG
인사권	인사/NNG+권/XSN
독립,	독립/NNG+,/SP
자치	자치/NNG
조직권	조직/NNG+권/XSN
강화,	강화/NNG+,/SP
입법권	입법/NNG+권/XSN
예산	예산/NNG
편성	편성/NNG
자율화	자율/NNG+화/XSN
등	등/NNB
7대	7/SN+대/NNG
과제를	과제/NNG+를/JKO
선정해	선정/NNG+하/XSV+아/EC
대선	대선/NNG
후보들에게	후보/NNG+들/XSN+에게/JKB
질의서를	질의서/NNG+를/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.16.3
민주주의를 발전시키고 권력 집중의 폐해를 막기 위해 지방분권은 꼭 필요하다.”

민주주의를	민주주의/NNG+를/JKO
발전시키고	발전/NNG+시키/XSV+고/EC
권력	권력/NNG
집중의	집중/NNG+의/JKG
폐해를	폐해/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
지방분권은	지방/NNG+분권/NNG+은/JX
꼭	꼭/MAG
필요하다.”	필요/NNG+하/XSA+다/EF+./SF+”/SS


