# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.127
metadata : {}


# id : NWRW1800000026.127.1.1
[천안함 함미 인양] 외신 반응;"천안함 침몰, 美 9·11 테러와 비교될 만한 비극" "北소행 드러나도 한국 효과적 대응수단 거의 없어"

[천안함	[/SS+천안함/NNP
대해	대하/VV+아/EC
의혹이	의혹/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"북한이	"/SS+북한/NNP+이/JKS
침몰의	침몰/NNG+의/JKG
배후로	배후/NNG+로/JKB
드러나더라도	드러나/VV+더라도/EC
정부가	정부/NNG+가/JKS
택할	택하/VV+ㄹ/ETM
있는	있/VA+는/ETM
효과적	효과/NNG+적/XSN
대응수단은	대응/NNG+수단/NNG+은/JX
거의	거의/MAG
없다"고	없/VA+다/EF+"/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.127.3.2
신문은 전문가들을 인용해 "한국 정부가 북한에 공격적인(aggressive) 대응을 할 경우 대규모 충돌로 확대될 수 있고 이는 한국의 이익을 해치기 때문에 그럴 가능성은 별로 없다"고 보도했다.

신문은	신문/NNG+은/JX
전문가들을	전문가/NNG+들/XSN+을/JKO
인용해	인용/NNG+하/XSV+아/EC
"한국	"/SS+한국/NNP
정부가	정부/NNG+가/JKS
북한에	북한/NNP+에/JKB
공격적인(aggressive)	공격/NNG+적/XSN+이/VCP+ㄴ/ETM+(/SS+aggressive/SL+)/SS
대응을	대응/NNG+을/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
대규모	대/XPN+규모/NNG
충돌로	충돌/NNG+로/JKB
확대될	확대/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
이는	이/NP+는/JX
한국의	한국/NNP+의/JKG
이익을	이익/NNG+을/JKO
해치기	해치/VV+기/ETN
때문에	때문/NNB+에/JKB
그럴	그렇/VA+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
별로	별로/MAG
없다"고	없/VA+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.127.4.1
로이터통신은 "한국이 북한에 보복 공격을 할 가능성은 거의 없지만, NLL(북방한계선)이나 휴전선 부근에서 군사 훈련 등 무력시위를 할 수는 있다"고 분석했다.

로이터통신은	로이터통신/NNP+은/JX
"한국이	"/SS+한국/NNP+이/JKS
북한에	북한/NNP+에/JKB
보복	보복/NNG
공격을	공격/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없지만,	없/VA+지만/EC+,/SP
NLL(북방한계선)이나	NLL/SL+(/SS+북방/NNG+한계선/NNG+)/SS+이나/JC
휴전선	휴전선/NNG
부근에서	부근/NNG+에서/JKB
군사	군사/NNG
훈련	훈련/NNG
등	등/NNB
무력시위를	무력시위/NNG+를/JKO
수는	수/NNB+는/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.127.5.1
중국 신화통신은 "한국 당국은 북한이 이번 해양 재난(naval disaster)의 배후일 가능성을 낮게 보는 반면 한국 언론은 천안함 함미의 거친 단면을 근거로 북한의 어뢰 공격에 의한 침몰 가능성을 말한다"며 "기이한(mysterious) 침몰"이라고 보도했다.

중국	중국/NNP
신화통신은	신화통신/NNP+은/JX
"한국	"/SS+한국/NNP
당국은	당국/NNG+은/JX
북한이	북한/NNP+이/JKS
이번	이번/NNG
해양	해양/NNG
재난(naval	재난/NNG+(/SS+naval/SL
disaster)의	disaster/SL+)/SS+의/JKG
배후일	배후/NNG+이/VCP+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
낮게	낮/VA+게/EC
보는	보/VV+는/ETM
반면	반면/NNG
한국	한국/NNP
언론은	언론/NNG+은/JX
천안함	천안함/NNP
함미의	함미/NNG+의/JKG
거친	거칠/VA+ㄴ/ETM
단면을	단면/NNG+을/JKO
근거로	근거/NNG+로/JKB
북한의	북한/NNP+의/JKG
어뢰	어뢰/NNG
공격에	공격/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
침몰	침몰/NNG
말한다"며	말/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"기이한(mysterious)	"/SS+기이하/VA+ㄴ/ETM+(/SS+mysterious/SL+)/SS
침몰"이라고	침몰/NNG+"/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.127.6.1
한편 도널드 커크(Kirk) 전 뉴욕타임스 기자는 15일 서울 장충동 민주평화통일자문회의 사무처 강연에서 "천안함 침몰은 미국의 9·11 테러와 비교될 만한 비극"이라며 "9·11 테러 이후 미국인들이 그랬듯이 한국인들도 일치단결해 침몰의 원인을 찾아내고 대응해야 한다"고 말했다.

한편	한편/MAG
도널드	도널드/NNP
커크(Kirk)	커크/NNP+(/SS+Kirk/SL+)/SS
전	전/MMD
뉴욕타임스	뉴욕타임스/NNP
기자는	기자/NNG+는/JX
15일	15/SN+일/NNB
서울	서울/NNP
장충동	장충동/NNP
민주평화통일자문회의	민주/NNG+평화/NNG+통일/NNG+자문/NNG+회의/NNG
사무처	사무처/NNG
강연에서	강연/NNG+에서/JKB
"천안함	"/SS+천안함/NNP
침몰은	침몰/NNG+은/JX
미국의	미국/NNP+의/JKG
9·11	9/SN+·/SP+11/SN
테러와	테러/NNG+와/JKB
비교될	비교/NNG+되/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
비극"이라며	비극/NNG+"/SS+이/VCP+라며/EC
"9·11	"/SS+9/SN+·/SP+11/SN
테러	테러/NNG
이후	이후/NNG
미국인들이	미국인/NNG+들/XSN+이/JKS
그랬듯이	그러/VV+었/EP+듯이/EC
한국인들도	한국인/NNG+들/XSN+도/JX
일치단결해	일치단결/NNG+하/XSV+아/EC
침몰의	침몰/NNG+의/JKG
원인을	원인/NNG+을/JKO
찾아내고	찾아내/VV+고/EC
대응해야	대응/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


