# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.432
metadata : {}


# id : NWRW1800000038.432.1.1
김정은, 장성택이 틀어쥔 '비자금' 회수 노려

김정은,	김정은/NNP+,/SP
김정은은 제3경제를 통해 조성한 비자금을 간부들 선물 구입 등 통치 자금으로 쓰고 일부는 호화 요트, 양주, 사치품 수입 등 개인적 용도에도 쓰는 것으로 알려졌다.

김정은은	김정은/NNP+은/JX
제3경제를	제/XPN+3/SN+경제/NNG+를/JKO
통해	통하/VV+아/EC
조성한	조성/NNG+하/XSV+ㄴ/ETM
비자금을	비자금/NNG+을/JKO
간부들	간부/NNG+들/XSN
선물	선물/NNG
구입	구입/NNG
등	등/NNB
통치	통치/NNG
자금으로	자금/NNG+으로/JKB
쓰고	쓰/VV+고/EC
일부는	일부/NNG+는/JX
호화	호화/NNG
요트,	요트/NNG+,/SP
양주,	양주/NNG+,/SP
사치품	사치품/NNG
수입	수입/NNG
개인적	개인/NNG+적/XSN
용도에도	용도/NNG+에/JKB+도/JX
쓰는	쓰/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.432.15.2
최근에는 마식령 스키장 건설 등 김정은의 '역점 사업'에 이 자금을 일부 풀었다는 관측도 있다.

최근에는	최근/NNG+에/JKB+는/JX
마식령	마식령/NNP
스키장	스키장/NNG
건설	건설/NNG
등	등/NNB
김정은의	김정은/NNP+의/JKG
'역점	'/SS+역점/NNG
사업'에	사업/NNG+'/SS+에/JKB
이	이/MMD
자금을	자금/NNG+을/JKO
일부	일부/NNG
풀었다는	풀/VV+었/EP+다는/ETM
관측도	관측/NNG+도/JX
있다.	있/VA+다/EF+./SF


